FE College,Subject Area,Female,Male,Total
South West College,Social Sciences,124,31,155
South West College,Languages Literature & Culture,891,405,1296
South West College,Education & Training,63,38,101
South West College,Preparation for Life & Work,2075,3791,5866
South West College,Business Administration & Law,656,403,1059
South West College,Total,8991,11742,20733
NI Total,Health Public Services & Care,10747,1997,12744
NI Total,Science & Mathematics,2895,1983,4878
NI Total,Agriculture Horticulture & Animal Care,577,586,1163
NI Total,Engineering & Manufacturing Technologies,634,8885,9519
NI Total,Construction Planning & the Built Environment,197,5935,6132
NI Total,Information & Communication Technology,7928,9585,17513
NI Total,Retail & Commercial Enterprise,10611,3035,13646
NI Total,Leisure Travel & Tourism,1332,3259,4591
NI Total,Arts Media & Publishing,3604,3430,7034
NI Total,History Philosophy & Theology,308,288,596
NI Total,Social Sciences,1393,832,2225
NI Total,Languages Literature & Culture,3938,2417,6355
NI Total,Education & Training,636,298,934
NI Total,Preparation for Life & Work,19300,25914,45214
NI Total,Business Administration & Law,5221,3593,8814
NI Total,Unknown,287,133,420
NI Total,Total,69608,72170,141778
Source: Consolidated Data Return (CDR),,,,
Notes:,,,,
For further details on definitions please refer to the metadata.,,,,
