HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",64,78,8,31,88,38,7,.,3,.,29,175,.,29,.,72,622
AA27Z,Medical Care of Patients with Alzheimer's Disease,10,6,10,1,8,4,2,.,5,3,.,9,.,1,.,10,69
AA28C,Motor Neuron Disease with CC Score 8+,.,.,4,.,7,.,.,.,.,1,1,.,.,1,.,1,15
AA28D,Motor Neuron Disease with CC Score 5-7,6,1,.,.,.,2,.,.,.,1,.,3,.,1,.,.,14
AA28E,Motor Neuron Disease with CC Score 2-4,2,.,.,.,1,1,.,.,.,.,.,10,.,.,.,.,14
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,2,.,.,.,.,.,5,.,.,.,.,7
AA29C,Transient Ischaemic Attack with CC Score 11+,4,3,.,.,1,.,2,.,1,1,.,9,2,2,.,1,26
AA29D,Transient Ischaemic Attack with CC Score 8-10,3,9,.,9,5,2,4,.,1,1,4,14,.,5,.,12,69
AA29E,Transient Ischaemic Attack with CC Score 5-7,17,22,2,20,18,10,3,.,4,1,15,29,.,9,.,25,175
AA29F,Transient Ischaemic Attack with CC Score 0-4,20,50,1,21,21,6,3,.,3,.,21,26,.,22,.,23,217
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,4
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",1,.,.,2,1,.,.,.,1,.,.,.,.,1,.,2,8
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",6,.,.,5,2,1,.,.,.,.,.,26,.,2,.,6,48
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",6,2,.,2,3,2,.,.,.,.,1,26,.,.,.,5,47
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",1,4,.,.,4,1,.,.,.,.,.,.,.,.,.,10,20
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",11,8,4,2,17,7,2,.,7,.,4,21,1,2,.,17,103
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",89,111,4,59,128,48,25,.,24,.,45,263,.,53,.,171,"1,020"
AA35A,Stroke with CC Score 16+,3,11,1,9,.,.,4,.,20,4,.,15,13,3,.,13,96
AA35B,Stroke with CC Score 13-15,8,14,2,8,4,6,7,.,11,14,5,42,4,8,.,25,158
AA35C,Stroke with CC Score 10-12,23,32,1,29,23,8,11,.,15,12,4,65,20,21,.,60,324
AA35D,Stroke with CC Score 7-9,82,71,1,48,68,44,20,.,15,35,27,131,25,43,.,132,742
AA35E,Stroke with CC Score 4-6,95,130,4,53,107,78,14,.,17,11,43,168,12,33,.,163,928
AA35F,Stroke with CC Score 0-3,64,114,4,18,113,66,9,.,10,1,30,149,1,41,.,124,744
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,.,19
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,26,.,.,.,.,26
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,41
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,13
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,25
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,12,.,1,.,1,14
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,38,.,.,.,1,39
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",1,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,61
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA80Z,Complex Long Term EEG Monitoring,.,1,.,.,24,.,.,.,.,.,.,4,.,.,.,.,29
AA81Z,Standard Long Term EEG Monitoring,.,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,2
BZ24D,Non-Surgical Ophthalmology with Interventions,5,.,2,.,.,1,1,.,1,.,2,12,.,.,.,.,24
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,.,1,1,2,.,1,.,.,.,.,.,.,2,.,4,11
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",13,7,3,5,7,6,1,.,5,.,4,24,.,4,.,10,89
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",38,19,3,2,12,8,1,.,.,2,3,142,.,5,.,9,244
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,5
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",2,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,4
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,8
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,24
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,31
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,23
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
CA03B,Major Neck Procedures with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
CA11A,"Septoplasty, 19 years and over",2,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,5
CA12Z,Major Treatment of Epistaxis,13,7,.,.,2,.,.,.,.,.,.,2,.,.,.,.,24
CA13A,"Minor Treatment of Epistaxis, 19 years and over",15,8,.,.,2,.,.,.,.,.,.,5,.,.,.,1,31
CA13B,"Minor Treatment of Epistaxis, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA14Z,Nasal Polypectomy,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA22Z,Major Nose Procedures,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA23Z,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA27Z,Major Sinus Procedures,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA28Z,Intermediate Sinus Procedures,.,7,.,.,.,.,.,.,.,.,.,3,.,.,.,.,10
CA29Z,Minor Sinus Procedures,1,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,4
CA31Z,"Simple or Cortical, Mastoid Procedures",.,1,.,.,.,.,.,.,.,.,.,3,.,.,.,.,4
CA32A,"Tympanoplasty, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA53A,"Intermediate Ear Procedures, 19 years and over",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA53B,"Intermediate Ear Procedures, 18 years and under",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA60A,"Tonsillectomy, 19 years and over",.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,5
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA63Z,Tracheostomy,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA81A,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,2
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,3
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2,1,.,.,4,.,.,.,.,.,.,1,.,.,.,.,8
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",3,1,.,.,2,.,.,.,.,.,.,2,.,.,.,1,9
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",4,1,.,.,1,.,.,.,.,.,.,1,.,.,.,3,10
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
CA92B,Very Major Maxillofacial Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA94Z,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA96Z,"Reduction or Fixation, of Jaw",22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,79
CA97Z,"Reduction or Fixation, of Cheekbone",17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,65
CB01B,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",2,.,8,.,3,.,.,.,.,.,.,10,.,.,.,4,27
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",1,3,.,.,2,.,.,.,.,.,2,1,.,.,.,.,9
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",1,1,11,1,1,1,1,.,.,.,2,.,.,1,.,1,21
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",6,2,90,.,3,3,.,.,.,1,.,11,.,.,.,2,118
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",9,8,3,.,6,.,.,.,1,.,1,7,1,.,.,10,46
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",20,16,1,2,22,1,.,.,1,.,2,12,.,1,.,55,133
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",40,21,.,.,32,.,.,.,1,.,.,31,.,1,.,65,191
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",52,81,17,11,85,20,4,.,14,5,17,89,6,32,.,135,568
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",70,108,20,33,107,35,7,.,8,3,24,122,4,29,.,104,674
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",56,75,4,7,90,13,5,.,3,1,8,167,.,15,.,28,472
CD04A,"Major Surgical Removal of Tooth, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
DZ02J,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
DZ02L,"Complex Thoracic Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
DZ02M,"Complex Thoracic Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ09J,"Pulmonary Embolus with Interventions, with CC Score 9+",.,4,.,.,.,.,2,.,.,.,.,1,.,.,.,1,8
DZ09K,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,3,2,2,2,3,.,.,.,.,.,2,.,.,.,4,18
DZ09L,"Pulmonary Embolus without Interventions, with CC Score 12+",.,4,.,.,8,1,1,.,.,.,1,.,.,.,.,3,18
DZ09M,"Pulmonary Embolus without Interventions, with CC Score 9-11",3,3,6,4,11,2,.,.,3,.,4,3,1,.,.,5,45
DZ09N,"Pulmonary Embolus without Interventions, with CC Score 6-8",7,22,10,12,23,5,2,1,6,1,16,16,1,3,.,14,139
DZ09P,"Pulmonary Embolus without Interventions, with CC Score 3-5",25,51,25,15,19,18,9,.,6,.,13,36,.,10,.,59,286
DZ09Q,"Pulmonary Embolus without Interventions, with CC Score 0-2",15,31,11,19,29,18,3,.,3,.,14,37,.,8,.,44,232
DZ10H,"Lung Abscess-Empyema with Interventions, with CC Score 9+",.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,3
DZ10J,"Lung Abscess-Empyema with Interventions, with CC Score 5-8",1,.,.,.,3,1,.,.,.,.,1,3,.,.,.,1,10
DZ10K,"Lung Abscess-Empyema with Interventions, with CC Score 0-4",.,.,.,.,3,1,.,.,2,.,.,1,.,.,.,4,11
DZ10L,"Lung Abscess-Empyema without Interventions, with CC Score 9+",.,4,.,.,6,.,1,.,.,.,.,1,.,.,.,.,12
DZ10M,"Lung Abscess-Empyema without Interventions, with CC Score 5-8",3,.,1,.,1,2,2,.,.,.,.,4,.,.,.,10,23
DZ10N,"Lung Abscess-Empyema without Interventions, with CC Score 0-4",.,2,2,.,6,2,1,.,.,.,3,4,.,1,.,2,23
DZ11K,"Lobar, Atypical or Viral Pneumonia, with Multiple Interventions, with CC Score 14+",.,1,.,1,1,.,1,.,.,.,.,.,.,.,.,.,4
