HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Unit Cost
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,161,.,.,.,.,.,.,.,.,.,.,.,.,652,.,489
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,119,.,.,.,.,.,.,.,.,.,.,.,.,652,.,386
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,531,.,.,.,.,.,531
AA24H,303,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,101
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,124,.,.,.,.,.,.,.,.,.,.,.,.,.,.,124
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,132,.,.,.,.,.,.,.,132
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,320,.,.,.,.,.,.,.,.,.,320
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,.,.,.,327
AA25G,130,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,136,.,.,.,.,.,.,.,136
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,848,.,.,.,.,.,848
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,398,.,398
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391,.,416
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,537,.,.,.,.,.,.,201,.,.,.,.,.,239
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525,.,525
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,371,.,.,.,.,.,.,313,.,.,.,.,.,357
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,712,.,712
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,624,.,.,.,.,.,.,.,.,.,.,.,.,624
AA26F,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,739,.,.,.,.,.,.,.,236,.,.,.,.,488
AA26G,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,349
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,715,.,715
AA26G,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391,.,391
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,170,.,.,454,.,.,.,.,.,.,.,.,.,.,.,360
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA26G,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,292,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,316
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,346,739,701,.,.,.,.,.,.,313,.,.,.,.,495
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,335
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",226,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,226
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,848,.,.,.,.,.,848
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,596,.,596
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,128,"1,769",.,.,.,.,.,916,.,.,"1,034",.,.,.,.,302
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",100,.,.,.,.,537,454,.,.,581,.,.,.,.,.,.,281,.,276
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,405,.,149,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,371,.,.,.,.,.,.,309,.,.,.,.,.,340
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,292,.,.,340,.,.,.,.,.,.,.,360,.,.,.,.,314
AA26H,823,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,485,.,.,.,.,.,485
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA29F,320,Transient Ischaemic Attack with CC Score 0-4,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,259
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,266,.,431
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,312,.,.,.,.,.,312
AA30F,130,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,336,.,.,.,.,.,336
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,848,.,.,.,.,.,848
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,520
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",100,.,.,.,.,.,454,.,.,.,.,.,110,.,.,.,.,.,242
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,149,.,.,.,.,.,.,.,.,.,.,.,.,.,.,149
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,"1,725",.,.,.,.,.,.,.,.,.,.,.,"1,725"
AA30F,340,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,328,.,.,.,.,.,.,.,.,.,.,.,328
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,371,.,.,.,.,.,115,312,.,.,.,.,.,314
AA30F,823,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,485,.,.,.,.,.,485
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,145,"1,959",.,.,.,.,.,.,.,.,.,.,.,391,.,460
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,537,454,.,.,.,.,.,.,.,.,.,266,.,428
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,371,.,.,.,.,.,.,313,.,.,.,.,.,369
AA35B,361,Stroke with CC Score 13-15,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA35D,301,Stroke with CC Score 7-9,.,276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276
AA35E,300,Stroke with CC Score 4-6,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA35F,300,Stroke with CC Score 0-3,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA53D,191,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,"8,145",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,145"
AA53D,502,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,"1,864",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,864"
AA54B,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,710,.,.,.,.,710
AA54C,140,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",352,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,553",.,953
AA54C,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,"3,710","2,261",.,.,.,.,.,.,.,.,946,.,.,.,.,"2,305"
AA55A,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,648,.,.,.,.,648
AA55B,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",289,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,289
AA55B,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,653,.,.,391,.,627
AA55B,300,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,201
AA55C,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",289,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,289
AA55C,150,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,451",.,.,.,.,.,"2,451"
AA55C,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,"2,066",.,.,.,.,.,.,.,.,525,.,.,391,.,"1,156"
AA56B,120,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,380",.,"1,380"
AA57A,150,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"9,701",.,.,.,.,.,"9,701"
AA57A,191,"Minimal Intracranial Procedures, 19 years and over",520,.,.,"3,664","1,896",.,.,.,.,.,.,.,.,815,.,.,391,.,"1,620"
AA57A,400,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,332,.,.,.,.,.,332
AA57B,110,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,"1,534",.,.,.,.,.,.,.,.,.,"1,534"
AA60A,100,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"10,321",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"10,321"
AA60A,191,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"17,597","2,426",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,593"
AA80Z,420,Complex Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AA81Z,420,Standard Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AB12Z,150,Insertion of Neurostimulator for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,"10,031",.,.,.,.,.,"10,031"
AB12Z,191,Insertion of Neurostimulator for Pain Management,.,.,.,"17,604","2,426",.,.,.,.,.,.,.,.,"1,882",.,.,.,.,"5,917"
AB13Z,191,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
AB14Z,191,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,"8,318",.,.,.,.,.,.,.,.,.,"1,704",.,.,.,.,"4,538"
AB15Z,191,"Radiofrequency Ablation or Cryoablation, for Pain Management",596,.,.,"1,182","1,898",.,.,.,.,.,737,"1,281",.,592,.,674,391,.,983
AB16Z,110,"Denervation or Injection Around Spinal Facet, for Pain Management",.,.,.,.,.,.,.,.,650,.,.,.,"1,015",.,.,.,.,.,651
AB16Z,191,"Denervation or Injection Around Spinal Facet, for Pain Management",558,.,.,957,"2,012",.,.,.,.,.,724,"1,126",.,472,.,674,391,.,743
AB17Z,110,"Nerve Block or Destruction of Nerve, for Pain Management","1,984",.,.,.,.,.,.,.,640,.,.,.,.,.,.,.,.,.,808
AB17Z,120,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,634,.,.,.,.,634
AB17Z,140,"Nerve Block or Destruction of Nerve, for Pain Management",368,.,.,.,.,.,.,"1,161",.,.,.,.,.,.,.,.,.,.,"1,003"
AB17Z,150,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,"1,946",.,.,.,.,.,"1,946"
AB17Z,160,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,715,.,715
AB17Z,191,"Nerve Block or Destruction of Nerve, for Pain Management",562,.,.,"1,036","1,927",.,.,.,.,.,754,"1,167",.,471,.,828,391,.,704
AB17Z,400,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AB17Z,410,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AB17Z,502,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,072",.,"1,072"
AB18Z,110,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,"1,053",.,.,.,.,.,.,.,.,.,"1,053"
AB18Z,191,Continuous Infusion of Therapeutic Substance for Pain Management,522,.,.,145,.,.,.,.,.,.,.,"1,290",.,"1,308",.,674,391,.,624
AB18Z,300,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,537,.,.,.,.,.,.,.,.,.,.,266,.,402
AB18Z,400,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,371,.,.,.,.,.,.,313,.,.,.,.,.,315
AB18Z,410,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AB18Z,501,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,380,.,.,.,.,.,380
AB19Z,110,Injection of Therapeutic Substance into Joint for Pain Management,858,.,.,.,.,723,.,"1,785",676,.,.,.,665,625,.,.,"1,016",.,705
AB19Z,191,Injection of Therapeutic Substance into Joint for Pain Management,482,.,.,145,.,.,.,.,.,.,.,"1,168",.,366,.,520,391,.,649
AB19Z,300,Injection of Therapeutic Substance into Joint for Pain Management,.,.,.,.,.,.,.,.,.,743,.,.,.,.,.,.,.,.,743
AB19Z,410,Injection of Therapeutic Substance into Joint for Pain Management,.,.,292,.,.,340,.,.,.,.,.,.,.,360,.,.,.,.,318
AB20Z,110,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,657,.,.,.,"1,233",.,.,.,.,.,660
AB20Z,150,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,984,.,.,.,.,.,984
AB20Z,191,Epidural Under Image Control for Pain Management,539,.,.,"1,254",.,.,.,.,.,.,.,"1,150",.,433,.,.,391,.,643
AB21Z,110,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,.,.,.,675,.,.,.,.,.,.,.,.,.,675
AB21Z,191,"Epidural or Therapeutic Spinal Puncture, for Pain Management",510,.,.,"1,363","2,638",.,.,.,.,.,907,"1,188",.,559,.,674,391,.,777
AB21Z,400,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,371,.,.,.,.,.,.,228,.,.,.,.,.,259
AB22Z,110,Trigger Point Injection for Pain Management,"1,045",.,.,.,.,670,.,.,662,.,.,.,.,283,.,.,386,.,685
AB22Z,160,Trigger Point Injection for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,776,.,.,.,.,.,776
AB22Z,191,Trigger Point Injection for Pain Management,510,.,.,586,"2,018",.,.,.,.,.,684,"1,105",.,431,.,572,391,.,469
AB22Z,400,Trigger Point Injection for Pain Management,.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AB22Z,410,Trigger Point Injection for Pain Management,.,.,292,.,.,340,.,.,.,.,.,.,.,360,.,.,.,.,322
BZ24E,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",396,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,347
BZ24F,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",396,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,336
BZ24G,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",484,.,.,.,.,.,.,.,.,.,136,.,351,209,.,.,.,.,351
BZ24G,300,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,454,.,.,.,.,.,110,.,.,.,.,.,225
BZ24G,303,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,405,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,405
BZ24G,320,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,542,.,.,.,.,.,.,.,542
BZ24G,361,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
BZ24G,400,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,312,.,.,.,.,.,312
BZ24G,800,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
BZ30A,130,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,278",.,.,.,.,.,"2,278"
BZ30B,130,"Complex, Cataract or Lens Procedures, with CC Score 0-1",791,.,.,.,.,.,.,.,.,811,715,.,"2,126",.,.,.,.,.,"1,892"
BZ31A,130,"Very Major, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,758,.,"1,852",.,.,.,.,.,"1,544"
BZ31B,130,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",791,.,.,.,.,.,.,671,.,811,752,.,"1,752",.,.,790,.,.,"1,165"
BZ32A,130,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,.,.,"1,075",.,.,.,.,.,933
BZ32B,130,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",758,.,.,.,.,.,.,.,.,811,770,.,"1,238",943,353,790,.,.,974
BZ32B,800,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,"1,042",.,.,.,.,.,.,.,.,.,.,.,.,652,.,847
BZ33Z,120,"Minor, Cataract or Lens Procedures",.,.,.,.,.,.,.,.,.,.,.,.,135,.,.,.,.,.,135
BZ33Z,130,"Minor, Cataract or Lens Procedures",594,.,.,.,.,.,.,.,.,.,695,.,348,.,353,.,.,.,444
BZ34A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,671,.,811,.,.,"1,067","1,024",.,790,.,.,794
BZ34B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",791,.,.,.,.,.,.,671,.,811,765,.,"1,412",966,.,790,.,.,810
BZ34C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",791,.,.,.,.,.,.,671,.,811,763,.,"1,238",982,.,790,.,.,848
BZ40Z,130,Very Complex Oculoplastics Procedures,"1,384",.,.,.,.,.,.,.,.,.,733,.,"1,870",.,.,835,.,.,"1,066"
BZ41B,130,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,215",.,.,.,.,.,.,.,.,.,716,.,"1,979",.,.,616,.,.,"1,118"
BZ41B,160,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,069",.,.,.,"1,585",.,"1,456"
BZ42A,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,654,.,.,891,.,.,.,.,773
BZ42A,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,"1,402",.,.,.,.,.,.,"1,585",.,"1,493"
BZ42B,120,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,814",.,.,"1,814"
BZ42B,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,082",.,.,.,.,.,.,.,.,.,708,.,"1,424","1,017",.,703,.,.,"1,112"
BZ42B,140,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",368,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368
BZ42B,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,"1,614",.,.,.,.,.,.,"1,969",.,"1,745"
BZ43Z,130,"Complex or Very Major, Oculoplastics Procedures, 18 years and under","1,187",.,.,.,.,.,.,.,.,.,.,.,"1,861",.,.,.,.,.,"1,636"
BZ44A,130,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,861,.,.,.,.,861
BZ44B,100,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,519,.,.,"1,581",.,.,.,.,.,.,.,.,.,.,"1,050"
BZ44B,130,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,102",.,.,.,.,.,.,.,.,"1,245",680,.,834,798,388,728,.,.,833
BZ44B,140,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",352,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,352
BZ44B,160,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,105,.,.,.,"1,348",.,727
BZ44B,330,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,204,.,.,.,.,.,.,.,.,.,.,.,.,.,204
BZ44C,130,"Major Oculoplastics Procedures, 18 years and under","1,036",.,.,.,.,.,.,.,.,.,.,.,"1,660",.,.,.,.,.,"1,478"
BZ45A,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,"1,154",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,154"
