HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AB20Z,Epidural Under Image Control for Pain Management,"1,077",.,.,"48,901",.,.,.,.,"99,788",.,.,"20,693","4,184","67,096",.,.,391,.,"242,129"
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management","21,421",.,.,"265,871","2,638","1,112",.,.,"24,294",.,"2,720","59,422","2,513","2,238",.,"51,914","118,337",.,"552,480"
AB22Z,Trigger Point Injection for Pain Management,"6,222",.,"6,706","5,863","2,018","20,931",.,.,"13,912",.,"1,369","9,949",776,"4,023",.,"1,715","46,471",.,"119,954"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",396,.,.,.,.,.,.,.,.,.,.,.,"1,338",.,.,.,.,.,"1,734"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",792,.,.,.,.,.,.,.,.,.,.,.,"34,119",.,.,.,.,.,"34,911"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","2,903",654,.,67,.,.,909,.,.,.,950,.,"188,691",209,.,.,.,.,"194,384"
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"4,556",.,.,.,.,.,"4,556"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1","1,583",.,.,.,.,.,.,.,.,811,715,.,"40,401",.,.,.,.,.,"43,509"
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,758,.,"9,262",.,.,.,.,.,"10,811"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1","27,697",.,.,.,.,.,.,"2,014",.,"1,621","6,770",.,"57,811",.,.,790,.,.,"96,703"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,.,.,"1,075",.,.,.,.,.,"1,866"
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1","6,067",.,.,"1,042",.,.,.,.,.,"1,621","13,085",.,"30,951","1,885",353,"1,580",652,.,"57,237"
BZ33Z,"Minor, Cataract or Lens Procedures","171,570",.,.,.,.,.,.,.,.,.,"82,711",.,"252,580",.,"15,536",.,.,.,"522,397"
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,"6,043",.,"16,210",.,.,"2,134","1,024",.,790,.,.,"26,201"
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3","3,165",.,.,.,.,.,.,"42,969",.,"121,577","3,824",.,"16,940","14,488",.,"18,965",.,.,"221,928"
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,031,898",.,.,.,.,.,.,"279,298",.,"514,674","2,290,580",.,"1,291,098","361,288",.,"411,703",.,.,"6,180,540"
BZ40Z,Very Complex Oculoplastics Procedures,"5,537",.,.,.,.,.,.,.,.,.,"7,335",.,"7,480",.,.,"4,173",.,.,"24,526"
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1","17,009",.,.,.,.,.,.,.,.,.,"24,356",.,"32,740",.,.,"1,847","4,755",.,"80,707"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,"1,402",654,.,.,891,.,.,"1,585",.,"4,532"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","46,890",.,.,.,.,.,.,.,.,"19,365","45,308",.,"133,901","2,033",.,"5,330","13,785",.,"266,612"
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under","2,373",.,.,.,.,.,.,.,.,.,.,.,"7,444",.,.,.,.,.,"9,817"
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,861,.,.,.,.,861
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","92,933",.,.,.,723,.,.,"1,581",.,"6,226","90,385",.,"134,405","13,572","1,941","10,190","1,348",.,"353,303"
BZ44C,"Major Oculoplastics Procedures, 18 years and under","7,252",.,.,.,.,.,.,.,.,.,.,.,"28,222",.,.,.,.,.,"35,475"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","2,572",.,.,.,"2,308",.,.,.,.,"2,182",.,.,"3,020",446,.,616,"1,202",.,"12,346"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","169,001","1,786",.,.,"14,151","10,372","1,304","1,520",.,"39,931","43,455","2,019","211,627","40,318","3,418","16,720","33,237",717,"589,573"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years","12,197",.,.,.,.,.,.,.,.,.,.,.,"24,537",.,.,.,.,.,"36,733"
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under","6,527",.,.,.,.,.,.,.,.,.,.,.,"19,721",.,.,.,"2,531",.,"28,779"
BZ46A,"Minor Oculoplastics Procedures, 19 years and over","21,053",.,.,.,.,.,.,.,.,"1,084","24,368",.,"69,707","25,190","3,030","1,560","2,403",.,"148,395"
BZ46B,"Minor Oculoplastics Procedures, 18 years and under","6,255",.,.,.,.,.,.,.,.,.,.,.,"14,599",878,.,.,.,.,"21,731"
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",989,.,.,.,.,.,.,.,.,.,.,.,"3,489",.,.,.,.,.,"4,478"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",989,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,989
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","1,978",.,.,.,.,.,.,.,.,.,.,.,"4,638",476,.,.,.,.,"7,092"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"12,959",.,.,.,.,.,"12,959"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+","5,934",.,.,.,.,.,.,.,.,.,.,.,"7,283",.,.,.,.,.,"13,217"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","4,945",.,.,.,.,.,.,.,.,.,.,.,"17,558",.,.,.,.,.,"22,503"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+","1,714",.,.,.,.,.,.,.,.,.,.,.,"8,078",846,.,.,.,.,"10,638"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","14,044",.,.,.,.,.,.,.,.,.,"9,836",.,"109,224",.,.,725,.,.,"133,830"
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"21,457",.,.,.,.,.,"22,446"
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+","2,374",.,.,.,.,.,.,.,.,822,.,.,"2,007",.,.,.,.,.,"5,203"
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","8,967",.,.,.,.,.,.,.,.,.,"4,822",.,"12,819","1,413","2,441",.,.,.,"30,462"
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under","3,956",.,.,.,.,.,.,.,.,.,.,.,"14,252",.,.,.,.,.,"18,208"
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over","3,956",.,.,.,.,.,.,.,.,.,"7,352",.,"29,524","1,829",388,.,.,.,"43,049"
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under","6,923",.,.,.,.,.,.,.,.,.,.,.,"18,043",.,.,.,.,.,"24,966"
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1","1,123",.,.,.,.,.,.,.,.,.,984,.,"3,574",.,.,.,.,.,"5,682"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,"12,193",.,"16,446",.,.,.,.,.,"28,638"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,822,"1,334",.,"2,123",.,.,.,.,.,"4,280"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0","2,374",.,.,.,.,.,.,.,.,822,"11,214",.,"59,162",.,.,.,.,.,"73,572"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,650,.,.,.,.,.,.,.,650
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0","6,067",.,.,.,.,.,.,.,.,.,.,.,"9,577",.,.,.,.,.,"15,644"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+","2,374",.,.,.,.,.,.,.,.,822,"1,316",.,796,.,.,.,.,.,"5,308"
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0","2,374",.,.,.,.,.,.,.,.,.,"2,052",.,"6,542",.,.,579,.,.,"11,547"
BZ65Z,"Minor, Cornea or Sclera Procedures",.,.,.,.,.,.,.,.,.,.,.,.,669,.,.,.,.,.,669
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over","7,121",.,.,.,.,.,.,.,.,822,.,.,"7,069",.,.,.,.,.,"15,011"
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under","4,945",.,.,.,.,.,.,.,.,.,.,.,"14,309",.,.,.,.,.,"19,254"
BZ72A,"Major Ocular Motility Procedures, 19 years and over","25,912",.,.,.,.,.,.,.,.,"1,881","1,441",.,"43,824",.,.,.,.,.,"73,057"
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years","44,505",.,.,.,.,.,.,.,.,"9,878",.,.,"133,219",.,.,.,.,.,"187,601"
BZ72C,"Major Ocular Motility Procedures, 3 years and under","1,978",.,.,.,.,.,.,.,.,.,.,.,"5,759",.,.,.,.,.,"7,737"
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over","1,978",.,.,"1,318",.,.,.,.,.,.,.,.,"3,572",.,.,.,.,.,"6,868"
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,822,.,.,"15,969",.,.,.,.,.,"16,791"
BZ74A,"Minor Ocular Motility Procedures, 19 years and over","1,978",.,.,.,.,.,.,.,.,"2,465","1,359",.,"8,021",.,.,.,.,.,"13,823"
BZ74B,"Minor Ocular Motility Procedures, 18 years and under","1,978",.,.,.,.,.,.,.,.,.,.,.,"7,491",.,.,.,.,.,"9,469"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"9,654",.,.,.,.,.,"9,654"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,197",.,.,.,.,.,"2,197"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"32,913",.,.,.,.,.,"32,913"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,996",.,.,.,.,.,"1,996"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",544,.,.,.,.,.,.,.,.,.,.,.,"9,433",.,509,.,.,.,"10,487"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","1,616",.,.,.,.,.,.,.,.,.,.,.,"97,029",.,.,.,.,.,"98,644"
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+","4,895",.,.,.,.,.,.,.,.,.,.,.,"11,678",.,509,.,.,.,"17,083"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","51,411",.,.,.,.,.,.,671,.,.,"5,397",.,"121,103",.,"2,038","1,182",.,.,"181,802"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"3,950",.,.,.,.,.,"3,950"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+","16,270",.,.,.,.,.,.,.,.,.,"2,003",.,"94,494",.,509,.,.,.,"113,276"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","218,872",.,.,.,.,.,.,.,.,.,"34,851",.,"337,847",.,"11,529",.,.,.,"603,099"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,982",.,.,.,.,.,"2,982"
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over","7,386",.,.,.,.,.,.,.,.,.,723,.,"23,583",.,.,.,"1,553",.,"33,245"
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years","1,583",.,.,.,.,.,.,.,.,.,.,.,"10,319",.,.,.,.,.,"11,902"
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"27,123",.,.,.,.,.,"27,123"
BZ88A,"Retinal Tomography, 19 years and over","7,913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,913"
BZ89A,"Digital Retinal Photography, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,717",.,.,.,"2,717"
BZ90Z,"Very Complex, Glaucoma or Iris Procedures","1,979",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,979"
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",660,.,.,.,.,.,.,.,.,.,792,.,"2,373",.,.,.,.,.,"3,824"
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",660,.,.,.,.,.,.,.,.,.,"25,400",.,"45,693",.,.,.,.,.,"71,753"
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",660,.,.,.,.,.,.,.,.,.,.,.,"2,986",.,.,.,.,.,"3,645"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1","23,216",.,.,.,.,.,.,.,.,.,"19,838",.,"118,495",.,.,"3,257",.,.,"164,805"
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+","1,632",.,.,.,.,.,.,.,.,.,.,.,"1,935",.,.,.,.,.,"3,567"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1","9,234",.,.,.,.,.,.,.,.,.,631,.,"39,610",.,.,.,.,.,"49,474"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",660,.,.,.,.,.,.,.,.,822,680,.,"5,536",.,.,.,.,.,"7,698"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0","17,808",.,.,.,.,.,.,.,.,.,"3,978",.,"57,092",.,964,"1,450",.,.,"81,293"
BZ95Z,"Minor, Glaucoma or Iris Procedures","34,956",.,.,.,.,.,.,.,.,.,687,.,"37,896",.,643,.,.,.,"74,182"
CA03B,Major Neck Procedures with CC Score 0-1,.,"3,238",.,.,"1,649","2,386",.,.,.,.,.,.,"11,920",.,.,.,.,.,"19,193"
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,759,.,.,.,.,.,.,933,.,.,.,.,.,"1,692"
CA04B,"Intermediate Neck Procedures, 18 years and under",.,"1,109",.,.,.,"2,402",.,.,.,.,.,.,"6,899",.,.,.,"4,307",.,"14,717"
CA05A,"Minor Neck Procedures, 19 years and over","9,012","10,560",.,.,"10,181","18,600","11,796","8,021","1,057",949,"28,734","10,854","56,248","7,849",.,"3,134","16,936",.,"193,928"
CA05B,"Minor Neck Procedures, 18 years and under","1,071",.,.,.,"1,120","7,287",.,.,.,.,.,.,"3,889",930,.,.,"2,488",.,"16,785"
CA10A,"Septorhinoplasty, 19 years and over",.,"11,544",.,.,.,"15,562","10,758",.,.,.,.,"7,720","26,972",948,.,.,.,.,"73,504"
CA10B,"Septorhinoplasty, 18 years and under",.,.,.,.,.,"1,801",.,"1,045",.,.,.,.,.,.,.,.,"2,229",.,"5,074"
CA11A,"Septoplasty, 19 years and over",.,"56,454",.,.,"20,683","85,243","50,321","16,608",.,"5,978",.,"71,131","128,449","37,463",.,"109,108",.,.,"581,440"
CA11B,"Septoplasty, 18 years and under",.,797,.,.,.,"9,275","6,598","2,214",.,.,.,"2,631","3,236","6,742",.,"4,041","3,192",.,"38,727"
CA12Z,Major Treatment of Epistaxis,.,.,.,.,.,.,.,.,.,.,.,.,366,.,.,.,.,.,366
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,"3,311",.,.,.,901,.,.,.,"1,084",.,.,641,.,.,.,.,.,"5,937"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","2,191","4,387",.,.,"2,259","3,780",.,.,.,.,.,.,"9,580","1,041",.,.,"2,244",.,"25,480"
CA14Z,Nasal Polypectomy,"2,921","4,048",.,.,"12,417","13,309",867,"6,643",.,.,.,"7,352","61,287","2,567",.,"3,237",.,.,"114,648"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","5,548","6,894",.,.,"5,353","10,748","4,679","3,748",.,.,.,"4,692","13,111",.,.,"5,715","2,839",.,"63,326"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","34,874","5,087",.,.,"35,392","40,344","2,687",811,.,"40,604",.,"1,772","21,547",597,.,"8,041","75,299","5,450","272,503"
CA20Z,Complex Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,.,"2,060",.,.,.,"1,202",.,"3,262"
CA21Z,Very Major Nose Procedures,.,"3,072",.,.,.,"17,704",.,.,.,"1,939",.,"2,153","5,054",.,.,.,"2,811",.,"32,734"
CA22Z,Major Nose Procedures,"1,328","31,742",.,.,"14,313","15,097","17,202","5,474",.,.,.,"16,341","24,725","3,590",.,"9,505","68,632",.,"207,949"
CA23Z,Intermediate Nose Procedures,"6,294","8,129",.,.,.,"3,603","2,076",956,.,"4,809",.,.,"9,517","1,176",.,"1,337","12,214",.,"50,111"
CA24A,"Minor Nose Procedures, 19 years and over","8,167","63,652",.,.,408,"12,977","10,860",956,.,.,.,"2,818","12,971","4,427",.,"5,899","2,016",.,"125,151"
CA24B,"Minor Nose Procedures, 18 years and under","7,095","5,588",.,.,"1,086",.,"4,768",.,.,.,.,"3,072","24,750",.,.,.,"2,442",.,"48,801"
CA25A,"Minimal Nose Procedures, 19 years and over","3,326","35,321",.,.,"3,553","2,988",.,"2,413",.,.,.,"3,989","10,479","2,697",.,"1,521",.,.,"66,286"
CA25B,"Minimal Nose Procedures, 18 years and under",730,"23,025",.,.,"6,452","4,318","4,455","1,849",.,.,.,"2,830","9,336","2,845",.,.,"13,252",.,"69,093"
CA26Z,Complex Sinus Procedures,.,.,.,.,.,.,"2,148",.,.,942,.,"2,305","8,758",.,.,.,.,.,"14,153"
CA27Z,Major Sinus Procedures,.,"2,358",.,.,.,"1,312","19,698","1,045",.,"12,249",.,.,"8,785",.,.,.,.,.,"45,446"
CA28Z,Intermediate Sinus Procedures,.,"40,176",.,.,.,"32,889","5,270","1,183",.,"5,653",.,"11,516","15,005",.,.,.,.,.,"111,693"
CA29Z,Minor Sinus Procedures,730,"9,547",.,.,"1,001","3,112","8,625",.,.,.,.,"4,270","11,627",.,.,.,.,.,"38,914"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,"1,932",.,.,.,"6,743",.,.,.,942,.,.,585,.,.,.,.,.,"10,202"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,882",.,"2,882"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"1,692",.,.,.,.,.,.,.,942,.,.,.,.,.,.,"5,135",.,"7,769"
CA32A,"Tympanoplasty, 19 years and over","1,708","20,436",.,.,.,"21,610",.,.,.,"2,310",.,"3,975","26,636",.,.,"5,442","1,539",.,"83,656"
