HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","4,000","4,437","2,304",454,"3,012",703,528,.,"1,127",.,.,.,"19,916",.,"2,511",.,"10,675","49,666"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","10,998","20,881","1,805","4,176","16,969","3,478","1,756",.,"4,114",.,"3,389",.,"59,370",407,"16,497",.,"37,840","181,679"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","56,028","71,724","8,890","16,648","48,353","13,463","4,220",.,"12,015",.,"26,648",.,"136,708",.,"42,023","8,281","71,751","516,752"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","80,419","155,810","11,428","36,512","62,096","26,074","9,495",.,"11,833",.,"61,389",.,"251,390",.,"58,271","22,634","80,952","868,304"
AA27Z,Medical Care of Patients with Alzheimer's Disease,"2,191","1,677",808,.,.,.,"1,055",.,"1,503",.,"1,161",.,"2,970",.,.,.,"5,067","16,432"
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,979,.,772,.,.,.,.,"1,751"
AA28E,Motor Neuron Disease with CC Score 2-4,.,407,.,454,.,.,.,.,.,.,.,.,.,.,.,.,.,860
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,"1,001",.,.,.,.,.,.,.,.,"1,931",.,.,.,.,"2,931"
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,.,.,.,.,.,376,.,387,.,"1,812",.,.,.,"1,330","3,905"
AA29D,Transient Ischaemic Attack with CC Score 8-10,"4,313","5,991",.,907,"2,273",352,528,.,.,.,387,.,"11,525",.,"1,648",.,"4,862","32,784"
AA29E,Transient Ischaemic Attack with CC Score 5-7,"9,613","22,773",404,"3,629","3,048","1,909",.,.,"2,245",.,"4,089",.,"32,600",.,"7,236",.,"12,956","100,502"
AA29F,Transient Ischaemic Attack with CC Score 0-4,"14,692","64,880","2,115","12,700","10,737","6,290",528,.,"2,159",.,"20,341",.,"33,218",.,"24,155",.,"30,612","222,426"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367,367
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,958",.,.,.,"1,100","3,058"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",877,.,.,454,.,.,.,.,.,.,.,.,"1,572",.,502,.,"3,301","6,705"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","3,506","1,626",.,907,327,.,.,.,.,.,.,.,"8,298",.,"3,657",.,"2,201","20,522"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",555,.,404,.,"1,016",.,"1,402",.,376,.,.,.,"3,651",.,.,.,"2,201","9,604"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10","2,210","2,403",.,.,"1,016",352,.,.,"1,127",.,"1,078",.,"5,287",.,"1,004",.,"6,627","21,105"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","118,437","155,316","11,319","21,132","74,032","20,916","9,141",.,"10,812",.,"60,123",.,"251,195",.,"61,568","4,416","108,416","906,823"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,"5,699",.,"17,556",.,.,.,.,"23,255"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,690",.,.,.,.,"2,690"
AA35A,Stroke with CC Score 16+,.,.,.,.,327,.,.,.,.,.,.,.,"1,931",.,.,.,"1,032","3,289"
AA35B,Stroke with CC Score 13-15,.,370,499,.,.,.,.,.,.,.,305,.,"6,008",407,"1,004",.,"1,100","9,694"
AA35C,Stroke with CC Score 10-12,.,"7,204",.,.,"1,016",653,.,.,376,.,721,.,"18,571",.,"3,798",.,"10,799","43,137"
AA35D,Stroke with CC Score 7-9,"3,297","17,420","1,303","2,268","6,968",904,528,.,752,"1,079","1,092",.,"47,486",.,"8,382",.,"28,974","120,452"
AA35E,Stroke with CC Score 4-6,"15,819","51,534",708,"7,084","16,364","7,956","1,228",.,"6,378",.,"7,556",.,"79,184",.,"14,550",.,"56,171","264,533"
AA35F,Stroke with CC Score 0-3,"20,659","69,341","3,771","12,073","13,556","6,841",528,.,"7,120",.,"13,413",.,"56,334",.,"16,431",.,"37,307","257,374"
AA37Z,"Intermediate Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,"12,696",.,.,.,.,"12,696"
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,"5,774",.,.,.,.,"5,774"
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,"2,062",.,.,.,.,.,.,.,"2,130",.,.,.,.,"4,191"
AA42Z,Complex Sleep Studies,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,541,541
AB03Z,Complex Pain Procedures,.,.,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689
AB04Z,Major Pain Procedures,"1,983",.,.,.,.,"3,038",.,.,.,.,.,.,583,.,.,.,766,"6,370"
AB05Z,Intermediate Pain Procedures,438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,438
AB06Z,Minor Pain Procedures,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,327
AB10Z,Unspecified Pain Procedures,.,.,.,.,654,.,.,.,.,.,.,.,.,.,.,.,.,654
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4","2,464",.,.,.,.,.,.,.,.,.,"1,479",.,.,.,.,.,.,"3,943"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","2,464",.,.,.,.,.,.,.,.,.,.,.,"1,547",.,.,.,.,"4,010"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under","2,464",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,464"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,464",.,.,.,.,.,.,.,.,.,.,.,"1,956",.,.,.,.,"4,420"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"9,339",.,.,.,"10,856","20,195"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","3,251",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,251"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","8,836",913,.,.,.,.,.,.,.,.,.,.,"8,646",.,.,.,"1,395","19,791"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,546","1,546"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,296","5,296"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,351",.,.,.,.,"1,351"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"7,884",.,.,.,.,"7,884"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,"1,424",.,.,.,.,.,.,"1,424"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","2,070",.,.,.,.,.,.,.,.,.,.,.,"4,931",.,.,.,.,"7,001"
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"2,163",.,.,.,.,"2,163"
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,"1,677",.,.,.,.,.,.,.,.,.,.,.,"1,405",.,.,.,.,"3,081"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"7,839",.,.,.,.,"7,839"
BZ19A,Minor Glaucoma Procedures with CC Score 1+,"3,354",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,354"
BZ19B,Minor Glaucoma Procedures with CC Score 0,"3,792",.,.,.,.,.,.,.,.,.,.,.,"6,857",.,.,.,.,"10,649"
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,"1,619",.,.,.,.,"1,619"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"20,011",.,.,.,.,"20,011"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"10,156",.,.,.,.,"10,156"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,890,.,.,.,.,.,.,.,.,.,.,.,"21,680",.,.,.,.,"22,570"
BZ23Z,Minor Vitreous Retinal Procedures,"1,780",.,.,.,.,.,.,.,.,.,.,.,"13,568",.,.,.,.,"15,347"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,407,.,.,.,.,.,.,.,.,.,.,"1,238",.,.,.,.,"1,645"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",877,"4,328",.,"1,001","3,131","1,595",.,.,752,.,"3,638",.,"12,886",.,.,.,"6,030","34,238"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","15,888","12,550","1,212","2,387","7,800","5,176",528,.,"1,503",.,"7,819",.,"34,476",.,"6,457","1,104","4,700","101,600"
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"7,323",.,.,.,.,"7,323"
CA05A,"Minor Neck Procedures, 19 years and over","33,662",813,.,"1,227","1,586","1,268",.,.,.,.,"6,832",.,"5,707",.,"2,977",.,"4,643","58,715"
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,299","2,299"
CA11A,"Septoplasty, 19 years and over","2,787","1,394",.,.,"2,257",.,.,.,.,.,.,.,.,.,.,.,.,"6,439"
CA12Z,Major Treatment of Epistaxis,"8,045","5,396",.,.,"4,330",.,.,.,.,.,.,.,"1,598",.,.,.,.,"19,369"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","31,296","10,799",.,.,"31,313",.,.,.,.,.,.,.,"16,065",.,.,.,987,"90,460"
CA13B,"Minor Treatment of Epistaxis, 18 years and under",.,450,.,.,"1,145",.,.,.,.,.,.,.,.,.,.,.,.,"1,595"
CA14Z,Nasal Polypectomy,.,.,.,.,934,.,.,.,.,.,.,.,.,.,.,.,.,934
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,252","1,252"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","2,464",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,464"
CA20Z,Complex Nose Procedures,"2,678",.,.,.,.,.,.,.,.,.,.,.,"1,953",.,.,.,.,"4,631"
CA22Z,Major Nose Procedures,.,.,.,.,"2,161",.,.,.,.,.,.,.,.,.,.,.,"1,998","4,159"
CA23Z,Intermediate Nose Procedures,.,"1,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,067"
CA24A,"Minor Nose Procedures, 19 years and over","4,816",450,727,.,"1,797",.,.,.,.,.,.,.,.,.,.,.,"5,352","13,142"
CA24B,"Minor Nose Procedures, 18 years and under","6,313",450,.,.,"1,695",.,.,.,.,.,.,.,"3,442",.,.,.,"10,552","22,453"
CA25A,"Minimal Nose Procedures, 19 years and over","1,609",.,.,.,.,.,.,.,.,.,.,.,898,.,.,.,.,"2,507"
CA25B,"Minimal Nose Procedures, 18 years and under","3,758","5,383",.,.,"8,953",.,.,.,.,.,.,.,"8,019",.,.,.,"4,766","30,879"
CA28Z,Intermediate Sinus Procedures,.,450,.,.,.,.,.,.,.,.,.,.,"5,861",.,.,.,.,"6,311"
CA32B,"Tympanoplasty, 18 years and under",.,"1,308",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,308"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,355",.,.,.,.,"1,355"
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,608,.,.,.,.,.,.,.,.,.,.,.,.,608
CA35B,"Insertion of Grommets, between 2 and 18 years",.,847,.,.,"4,960",.,.,.,.,.,.,.,"1,084",.,.,.,"1,116","8,007"
CA35C,"Insertion of Grommets, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,304",.,.,.,.,"2,304"
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,"1,772",.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,"2,475"
CA36B,"Clearance of External Auditory Canal, 18 years and under","2,862","1,256",.,.,"2,112",.,.,.,.,.,.,.,.,.,.,.,.,"6,230"
CA38A,"Evoked Potential Recording, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"2,684",.,.,.,.,"2,684"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"2,873",.,.,.,.,"2,873"
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,526","2,526"
CA52A,"Major Ear Procedures, 19 years and over","1,340",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,051","6,392"
CA54A,"Minor Ear Procedures, 19 years and over",.,"4,291",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"18,993","23,284"
CA54B,"Minor Ear Procedures, 18 years and under",.,"1,815",.,.,"4,292","1,487",.,.,.,.,.,.,"6,246",.,.,.,"5,930","19,769"
CA60A,"Tonsillectomy, 19 years and over","1,609",450,.,.,"2,314",.,.,.,.,.,.,.,"3,073",.,.,.,.,"7,446"
CA60B,"Tonsillectomy, 18 years and under","1,609",450,.,.,"1,183",.,.,.,.,.,.,.,"7,825",.,.,.,"1,343","12,410"
CA61Z,Adenotonsillectomy,.,.,.,.,"2,314","2,458",.,.,.,.,.,.,"3,449",.,.,.,.,"8,221"
CA62Z,Adenoidectomy,.,.,.,.,"1,222",.,.,.,.,.,.,.,.,.,.,.,.,"1,222"
CA63Z,Tracheostomy,.,"5,581",.,.,"1,260",.,.,.,.,.,.,.,577,.,.,.,"2,652","10,071"
CA65Z,Frenotomy or Frenectomy,"3,095",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,095"
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over","3,095",.,.,.,"1,011",.,.,.,.,.,.,.,"1,411",.,.,.,.,"5,517"
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,169","1,169"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,009",.,.,.,.,"2,009"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over","2,678",.,.,.,"1,619",.,.,.,.,.,.,.,.,.,.,.,.,"4,297"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,918",.,.,.,"1,252","3,171"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","4,827","1,756",590,.,"13,385","1,677",.,.,.,.,"3,162",.,"1,158",.,.,.,.,"26,554"
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,996,.,.,"1,068",.,.,.,.,.,.,.,.,.,.,.,"1,116","3,180"
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"6,135",.,.,.,.,"6,135"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,"3,603",.,.,.,.,"3,603"
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over","13,311","4,671",.,.,"3,920",.,.,.,.,.,.,.,.,.,.,.,.,"21,901"
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under","3,218",899,.,.,"1,254",.,.,.,.,.,.,.,.,.,.,.,.,"5,372"
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"3,032",.,.,.,.,"3,032"
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,932",.,.,.,.,"2,932"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","1,253",.,.,.,"1,720",.,.,.,.,.,.,.,.,.,.,.,.,"2,973"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,609",899,.,.,"2,514",.,.,.,.,.,.,.,"2,672",.,.,.,"1,343","9,037"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","3,218","1,349",.,.,"11,306",.,.,.,.,.,.,.,"6,613",.,.,.,"6,714","29,201"
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,962","1,962"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,218",450,.,.,"2,366",.,.,.,.,.,.,.,.,.,.,.,.,"6,034"
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over","35,495","6,296",.,.,"36,087",.,.,.,.,.,703,.,"19,980",.,.,.,"1,395","99,955"
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years","8,970","1,349",.,.,"3,492","1,466",.,.,.,.,.,.,"4,581",.,.,.,"4,626","24,484"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,063",.,.,.,.,"1,063"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over","4,469",.,.,.,"1,202",.,.,.,.,.,.,.,884,.,.,.,"22,847","29,402"
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years","22,480",450,.,.,.,.,.,.,.,.,.,.,"2,939",.,.,.,"64,576","90,446"
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under","1,548",.,.,.,.,.,.,.,.,.,.,.,"2,087",.,.,.,"14,514","18,148"
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","8,437",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,925","12,362"
