"INSPECT_ID","SR_NUM","BEG_DATE","END_DATE","STATUS"
"148698","HCE-20141204-7002","07-JAN-15","09-JAN-15",""
"147552","HCE-20140714-4219","13-NOV-14","14-NOV-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"147451","HCE-20141104-6704","07-NOV-14","10-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"153270","HCE-20150609-4117","03-SEP-15","10-SEP-15",""
"153000","HCE-20150721-4796","28-AUG-15","31-AUG-15",""
"149407","HCE-20150108-2299","25-FEB-15","02-MAR-15",""
"148697","HCE-20140905-5885","08-JAN-15","09-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"152995","HCE-20150709-4521","28-AUG-15","31-AUG-15",""
"151802","HCE-20150414-3160","10-JUL-15","17-JUL-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148415","HCE-20141014-6439","22-DEC-14","23-DEC-14",""
"148149","HCE-20140618-4034","12-DEC-14","15-DEC-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"147371","HCE-20141104-6676","30-OCT-14","04-NOV-14",""
"153124","HCE-20150729-4928","02-SEP-15","03-SEP-15",""
"153107","HCE-20150612-4171","22-JUL-15","02-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153052","HCE-20150521-3530","31-AUG-15","01-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"152987","HCE-20150828-5416","28-AUG-15","31-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152984","HCE-20150722-4813","28-AUG-15","31-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152942","HCE-20150716-4666","25-AUG-15","27-AUG-15",""
"147596","HCE-20141009-6379","14-NOV-14","18-NOV-14",""
"147307","HCE-20140728-4591","20-OCT-14","30-OCT-14",""
"147178","HCE-20140922-6172","20-OCT-14","24-OCT-14","NO CAUSE FOR ACTION INSPECTION"
"152859","HCE-20150716-4643","25-AUG-15","26-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"148194","HCE-20141020-6477","04-DEC-14","16-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"148193","HCE-20140808-5024","01-DEC-14","16-DEC-14",""
"147994","HCE-20140924-6149","18-NOV-14","08-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"147835","HCE-20140926-6184","24-NOV-14","01-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"152823","HCE-20150623-4311","21-JUL-15","25-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152717","HCE-20150713-4553","18-AUG-15","20-AUG-15",""
"149769","HCE-20150210-2597","23-MAR-15","24-MAR-15",""
"149767","HCE-20141222-7109","19-MAR-15","24-MAR-15",""
"149759","HCE-20140729-4656","18-MAR-15","24-MAR-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"149074","HCE-20141215-7068","30-JAN-15","05-FEB-15",""
"148942","HCE-20141113-6782","28-JAN-15","29-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"152595","HCE-20150624-4334","14-AUG-15","17-AUG-15",""
"152384","HCE-20140407-3917","06-AUG-15","07-AUG-15",""
"149288","HCE-20150114-2358","19-FEB-15","23-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"148878","HCE-20141008-6355","23-JAN-15","23-JAN-15",""
"148834","HCE-20141009-6379","15-JAN-15","21-JAN-15",""
"147296","HCE-20140701-4549","29-OCT-14","30-OCT-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"152330","HCE-20150617-4241","03-AUG-15","05-AUG-15",""
"149608","HCE-20140820-5252","11-MAR-15","12-MAR-15",""
"148930","HCE-20141121-6902","28-JAN-15","28-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"148648","HCE-20140917-6040","05-JAN-15","07-JAN-15",""
"147796","HCE-20140916-6059","25-NOV-14","26-NOV-14",""
"152211","HCE-20150617-4243","29-JUL-15","31-JUL-15",""
"152095","HCE-20150505-3377","28-JUL-15","28-JUL-15",""
"152064","HCE-20150421-3209","27-JUL-15","28-JUL-15",""
"152048","HCE-20150521-3537","24-JUL-15","27-JUL-15",""
"152020","HCE-20140320-4704","22-JUL-15","27-JUL-15",""
"151265","HCE-20150416-3183","18-JUN-15","22-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"147398","HCE-20140902-6002","05-NOV-14","06-NOV-14",""
"152253","HCE-20150423-3250","03-AUG-15","03-AUG-15",""
"152236","HCE-20150622-4298","03-AUG-15","03-AUG-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"152212","HCE-20150728-4902","31-JUL-15","31-JUL-15","NO CAUSE FOR ACTION INSPECTION"
"152144","HCE-20150227-2761","28-JUL-15","29-JUL-15",""
"150626","HCE-20140320-4704","14-MAY-15","18-MAY-15",""
"151923","HCE-20150224-2721","21-JUL-15","22-JUL-15",""
"151747","HCE-20150626-4363","14-JUL-15","15-JUL-15",""
"151743","HCE-20150428-3284","14-JUL-15","15-JUL-15",""
"149949","HCE-20150213-2623","03-APR-15","06-APR-15",""
"151987","HCE-20150526-3913","09-JUL-15","24-JUL-15",""
"151964","HCE-20150602-4020","22-JUL-15","24-JUL-15",""
"151638","HCE-20150316-2885","16-JUN-15","10-JUL-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"151634","HCE-20150526-3907","19-JUN-15","10-JUL-15","NO CAUSE FOR ACTION INSPECTION"
"151327","HCE-20150413-3137","22-JUN-15","23-JUN-15",""
"149091","HCE-20140603-3573","20-JAN-15","06-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"148526","HCE-20140408-4347","30-DEC-14","31-DEC-14",""
"147532","HCE-20140718-4442","13-NOV-14","14-NOV-14",""
"147462","HCE-20140905-6091","31-OCT-14","10-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"151204","HCE-20150429-3318","15-JUN-15","18-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151200","HCE-20150429-3309","08-JUN-15","18-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151197","HCE-20150616-4232","12-JUN-15","18-JUN-15",""
"151151","HCE-20150225-2744","29-MAY-15","15-JUN-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148755","HCE-20141002-6282","13-JAN-15","14-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"147953","HCE-20140624-3665","04-DEC-14","05-DEC-14",""
"151324","HCE-20150428-3287","19-JUN-15","23-JUN-15",""
"151280","HCE-20130717-4956","02-JUN-15","22-JUN-15",""
"147865","HCE-20140812-5078","19-NOV-14","02-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"147402","HCE-20140904-5919","03-NOV-14","06-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"147359","HCE-20140828-5291","10-OCT-14","04-NOV-14",""
"147297","HCE-20140723-4484","29-OCT-14","30-OCT-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150812","HCE-20150414-3150","27-MAY-15","29-MAY-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150744","HCE-20150410-3132","26-MAY-15","27-MAY-15",""
"150821","HCE-20150420-3195","28-MAY-15","29-MAY-15",""
"148914","HCE-20140902-5948","26-JAN-15","28-JAN-15",""
"147696","HCE-20140904-5922","20-NOV-14","21-NOV-14",""
"151106","HCE-20150430-3329","12-JUN-15","15-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151054","HCE-20150429-3310","10-JUN-15","11-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151051","HCE-20150430-3320","10-JUN-15","11-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"150984","HCE-20150521-3534","04-JUN-15","08-JUN-15",""
"150930","HCE-20140527-3496","06-MAY-15","04-JUN-15",""
"149597","HCE-20140929-6245","11-MAR-15","12-MAR-15",""
"149475","HCE-20150127-2496","04-MAR-15","05-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"147723","HCE-20140716-4326","19-NOV-14","21-NOV-14",""
"150808","HCE-20150320-2953","27-MAY-15","29-MAY-15",""
"150692","HCE-20150224-2732","21-MAY-15","22-MAY-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"147747","HCE-20140728-4608","20-NOV-14","24-NOV-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"147361","HCE-20140919-6113","31-OCT-14","04-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"147113","HCE-20140709-4116","16-OCT-14","22-OCT-14","NO CAUSE FOR ACTION INSPECTION"
"150396","HCE-20150327-3016","01-MAY-15","05-MAY-15",""
"150379","HCE-20140917-6001","30-APR-15","04-MAY-15",""
"150285","HCE-20150325-2995","28-APR-15","29-APR-15","NO CAUSE FOR ACTION INSPECTION"
"150521","HCE-20150401-3063","08-MAY-15","11-MAY-15",""
"150316","HCE-20150303-2785","24-APR-15","30-APR-15","NO CAUSE FOR ACTION INSPECTION"
"150248","HCE-20150324-2983","24-APR-15","27-APR-15","NO CAUSE FOR ACTION INSPECTION"
"148805","HCE-20140924-6131","01-DEC-14","20-JAN-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150315","HCE-20150317-2915","28-APR-15","30-APR-15",""
"150274","HCE-20140121-2616","27-APR-15","28-APR-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150273","HCE-20150120-2415","27-APR-15","28-APR-15",""
"150197","HCE-20150209-2590","15-APR-15","22-APR-15",""
"150113","HCE-20150226-2753","10-APR-15","15-APR-15",""
"148626","HCE-20141007-6316","06-JAN-15","07-JAN-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"154089","HCE-20150729-4928","08-OCT-15","13-OCT-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"154062","HCE-20150625-4355","08-OCT-15","09-OCT-15",""
"153849","HCE-20151001-5847","01-OCT-15","02-OCT-15","NO CAUSE FOR ACTION INSPECTION"
"149058","HCE-20140808-5043","23-JAN-15","04-FEB-15",""
"148665","HCE-20141014-6415","06-JAN-15","07-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"148652","HCE-20140919-6115","06-JAN-15","07-JAN-15",""
"153824","HCE-20150331-3056","28-SEP-15","01-OCT-15",""
"153790","HCE-20150710-4536","29-SEP-15","30-SEP-15",""
"153751","HCE-20150824-5362","28-SEP-15","29-SEP-15",""
"153733","HCE-20150817-5236","25-SEP-15","28-SEP-15",""
"153683","HCE-20150806-5064","22-SEP-15","24-SEP-15",""
"153642","HCE-20150521-3534","18-SEP-15","23-SEP-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"153614","HCE-20150710-4529","21-SEP-15","22-SEP-15",""
"153604","HCE-20150612-4173","17-SEP-15","22-SEP-15",""
"149844","HCE-20150210-2597","27-MAR-15","30-MAR-15",""
"149590","HCE-20141208-7026","11-MAR-15","11-MAR-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148741","HCE-20141007-6351","08-JAN-15","13-JAN-15",""
"154158","HCE-20150730-4964","14-OCT-15","15-OCT-15",""
"154137","HCE-20150812-5141","30-SEP-15","15-OCT-15","NO CAUSE FOR ACTION INSPECTION"
"154134","HCE-20150729-4947","05-OCT-15","15-OCT-15",""
"154133","HCE-20150729-4945","05-OCT-15","15-OCT-15","NO CAUSE FOR ACTION INSPECTION"
"154004","HCE-20150414-3153","06-OCT-15","07-OCT-15",""
"149865","HCE-20150121-2441","30-MAR-15","31-MAR-15",""
"149215","HCE-20150210-2601","29-JAN-15","13-FEB-15",""
"153566","HCE-20150615-4200","18-SEP-15","21-SEP-15",""
"153454","HCE-20150615-4190","15-SEP-15","16-SEP-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"153372","HCE-20150723-4845","14-SEP-15","14-SEP-15",""
"153289","HCE-20150730-4964","09-SEP-15","10-SEP-15",""
"153189","HCE-20150605-4085","04-SEP-15","04-SEP-15",""
"153891","HCE-20150615-4201","28-SEP-15","05-OCT-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"153888","HCE-20150814-5210","30-SEP-15","05-OCT-15","NO CAUSE FOR ACTION INSPECTION"
"153884","HCE-20150821-5325","05-OCT-15","05-OCT-15",""
"153879","HCE-20150410-3125","29-SEP-15","05-OCT-15",""
"153794","HCE-20150812-5156","25-SEP-15","30-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"149524","HCE-20150122-2450","09-MAR-15","10-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"148943","HCE-20140828-5291","05-JAN-15","29-JAN-15",""
"148845","HCE-20141125-6946","02-JAN-15","21-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"153149","HCE-20150723-4834","02-SEP-15","03-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153034","HCE-20150112-2334","28-AUG-15","31-AUG-15",""
"152952","HCE-20150716-4640","27-AUG-15","28-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152945","HCE-20150608-4087","26-AUG-15","28-AUG-15",""
"148646","HCE-20141118-6830","05-JAN-15","07-JAN-15",""
"148625","HCE-20141105-6710","06-JAN-15","07-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"148361","HCE-20140714-4617","15-DEC-14","19-DEC-14",""
"148358","HCE-20140815-5077","24-NOV-14","19-DEC-14",""
"148301","HCE-20140527-3496","24-NOV-14","18-DEC-14",""
"147347","HCE-20140701-4451","31-OCT-14","03-NOV-14",""
"147246","HCE-20140905-6252","23-OCT-14","29-OCT-14","NO CAUSE FOR ACTION INSPECTION"
"153753","HCE-20150615-4186","07-AUG-15","29-SEP-15",""
"153679","HCE-20150729-4929","23-SEP-15","24-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153670","HCE-20150812-5154","22-SEP-15","24-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153629","HCE-20150810-5091","21-SEP-15","23-SEP-15",""
"153624","HCE-20150608-4094","21-SEP-15","23-SEP-15",""
"149386","HCE-20140930-6233","20-FEB-15","02-MAR-15",""
"149239","HCE-20140509-4224","17-FEB-15","18-FEB-15",""
"148273","HCE-20140516-3993","05-DEC-14","17-DEC-14",""
"147317","HCE-20140925-6165","29-OCT-14","30-OCT-14",""
"152815","HCE-20150102-1011","24-AUG-15","25-AUG-15",""
"152811","HCE-20150713-4564","24-AUG-15","25-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152805","HCE-20150619-4271","20-AUG-15","25-AUG-15",""
"152767","HCE-20150715-4626","21-AUG-15","24-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152726","HCE-20150429-3317","18-AUG-15","20-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152682","HCE-20150624-4318","17-AUG-15","19-AUG-15",""
"152676","HCE-20150702-4460","17-AUG-15","19-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"149526","HCE-20141003-6283","09-FEB-15","10-MAR-15","NO CAUSE FOR ACTION INSPECTION"
"153218","HCE-20150723-4830","04-SEP-15","08-SEP-15",""
"147991","HCE-20140918-6073","14-NOV-14","08-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"147294","HCE-20140729-4628","29-OCT-14","30-OCT-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148960","HCE-20150113-2348","29-JAN-15","30-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"147549","HCE-20140616-3666","12-NOV-14","14-NOV-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"152910","HCE-20150526-3917","26-AUG-15","27-AUG-15",""
"148136","HCE-20140804-4810","11-DEC-14","15-DEC-14",""
"147922","HCE-20140905-5846","02-DEC-14","04-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"147488","HCE-20140929-6278","04-NOV-14","12-NOV-14",""
"147478","HCE-20140908-5938","27-OCT-14","12-NOV-14",""
"147434","HCE-20140807-4993","06-NOV-14","07-NOV-14",""
"152135","HCE-20150727-4868","27-JUL-15","29-JUL-15",""
"152130","HCE-20150727-4872","27-JUL-15","29-JUL-15",""
"152128","HCE-20150727-4873","27-JUL-15","29-JUL-15",""
"152127","HCE-20150727-4869","27-JUL-15","29-JUL-15",""
"152111","HCE-20150527-3945","28-JUL-15","29-JUL-15","NO CAUSE FOR ACTION INSPECTION"
"149230","HCE-20150113-2346","12-FEB-15","18-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"149164","HCE-20140711-4692","09-FEB-15","12-FEB-15",""
"148738","HCE-20140407-3917","12-JAN-15","13-JAN-15",""
"152866","HCE-20150427-3272","25-AUG-15","26-AUG-15",""
"152820","HCE-20150713-4546","24-AUG-15","25-AUG-15",""
"152663","HCE-20150410-3125","18-AUG-15","19-AUG-15",""
"152652","HCE-20150623-4310","12-AUG-15","19-AUG-15",""
"152581","HCE-20150811-5139","14-AUG-15","17-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152545","HCE-20150612-4174","31-JUL-15","14-AUG-15",""
"148789","HCE-20141015-6429","15-JAN-15","16-JAN-15",""
"151972","HCE-20150724-4852","21-JUL-15","24-JUL-15",""
"149300","HCE-20141003-6317","03-FEB-15","23-FEB-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"148710","HCE-20140714-4194","08-DEC-14","12-JAN-15",""
"147866","HCE-20141014-6417","25-NOV-14","02-DEC-14",""
"152518","HCE-20150715-4610","07-AUG-15","12-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152491","HCE-20150615-4190","10-AUG-15","11-AUG-15",""
"152445","HCE-20150807-5082","05-AUG-15","10-AUG-15",""
"152407","HCE-20150701-4425","06-AUG-15","07-AUG-15","NO CAUSE FOR ACTION INSPECTION"
"152167","HCE-20150526-3914","08-JUL-15","30-JUL-15",""
"151511","HCE-20140613-3858","26-SEP-14","06-JUL-15",""
"147778","HCE-20140809-5055","21-NOV-14","25-NOV-14",""
"147772","HCE-20140925-6328","14-NOV-14","25-NOV-14",""
"147771","HCE-20141007-6351","14-NOV-14","25-NOV-14",""
"147665","HCE-20140902-5949","17-NOV-14","20-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"147664","HCE-20141009-6369","14-NOV-14","20-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"151855","HCE-20150609-4116","14-JUL-15","20-JUL-15",""
"149800","HCE-20140725-4584","17-MAR-15","26-MAR-15",""
"148583","HCE-20100526-4395","05-JAN-15","06-JAN-15",""
"147525","HCE-20140923-6135","12-NOV-14","13-NOV-14",""
"147524","HCE-20140923-6136","12-NOV-14","13-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"147523","HCE-20140707-4616","12-NOV-14","13-NOV-14",""
"147521","HCE-20140929-6223","12-NOV-14","13-NOV-14","NO CAUSE FOR ACTION INSPECTION"
"151411","HCE-20150619-4272","23-JUN-15","29-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151395","HCE-20140828-5291","16-JUN-15","26-JUN-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"151347","HCE-20150217-2644","23-JUN-15","24-JUN-15",""
"151239","HCE-20150504-3368","12-JUN-15","19-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"151794","HCE-20140804-4931","16-JUL-15","17-JUL-15",""
"150266","HCE-20150311-2844","21-APR-15","27-APR-15","NO CAUSE FOR ACTION INSPECTION"
"151598","HCE-20150414-3152","08-JUL-15","09-JUL-15","NO CAUSE FOR ACTION INSPECTION"
"151583","HCE-20150327-3037","07-JUL-15","08-JUL-15",""
"151577","HCE-20150529-3978","07-JUL-15","08-JUL-15","NO CAUSE FOR ACTION INSPECTION"
"151445","HCE-20150508-3427","23-JUN-15","01-JUL-15",""
"150204","HCE-20140307-3005","22-APR-15","23-APR-15",""
"148247","HCE-20140909-5965","15-DEC-14","17-DEC-14",""
"151137","HCE-20150317-2903","11-JUN-15","15-JUN-15",""
"151128","HCE-20150430-3332","15-JUN-15","15-JUN-15",""
"151125","HCE-20150401-3068","11-JUN-15","15-JUN-15",""
"150936","HCE-20150416-3187","01-JUN-15","04-JUN-15","NO CAUSE FOR ACTION INSPECTION"
"147410","HCE-20130820-5419","04-NOV-14","07-NOV-14",""
"151438","HCE-20150127-2497","30-JUN-15","01-JUL-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"151309","HCE-20150423-3250","18-JUN-15","23-JUN-15",""
"151306","HCE-20150618-4256","12-JUN-15","23-JUN-15",""
"151305","HCE-20150622-4289","12-JUN-15","23-JUN-15",""
"151286","HCE-20150511-3435","22-JUN-15","22-JUN-15",""
"150691","HCE-20150420-3197","21-MAY-15","22-MAY-15",""
"149007","HCE-20141023-6545","08-JAN-15","02-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"149005","HCE-20141106-6722","08-JAN-15","02-FEB-15","NO CAUSE FOR ACTION INSPECTION"
"150625","HCE-20150212-2612","14-MAY-15","18-MAY-15","NO CAUSE FOR ACTION INSPECTION"
"153356","HCE-20150813-5192","11-SEP-15","14-SEP-15",""
"153355","HCE-20150814-5209","11-SEP-15","14-SEP-15",""
"153353","HCE-20150730-4957","11-SEP-15","14-SEP-15","NO CAUSE FOR ACTION INSPECTION"
"153272","HCE-20150409-3123","09-SEP-15","10-SEP-15","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"150220","HCE-20150309-2832","17-APR-15","24-APR-15",""
"148592","HCE-20141030-6629","18-DEC-14","06-JAN-15",""
"148581","HCE-20140819-5184","18-DEC-14","06-JAN-15","NO CAUSE FOR ACTION INSPECTION"
"148039","HCE-20140908-5865","09-DEC-14","10-DEC-14","NO CAUSE FOR ACTION INSPECTION"
"147688","HCE-20140804-4912","17-NOV-14","20-NOV-14","ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED"
"151012","HCE-20150309-2825","01-MAY-15","08-JUN-15","NO CAUSE FOR ACTION INSPECTION"
