SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
Combined Domiciliary Care (Including Direct Payments),"2,586,766","3,123,492","3,611,587","3,058,716","2,437,799",,,,,,,,,,,,,"14,818,360",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Number of meals,Number of meals,Number of meals,Number of meals,Number of meals,,,,,,,,,,,,,Number of meals,,,,,,,,,,,,,,,,,,,,,,
Meals delivered to Client Homes,"312,548","88,923","84,771","8,002","236,312",,,,,,,,,,,,,"730,556",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Number of attendances,Number of attendances,Number of attendances,Number of attendances,Number of attendances,,,,,,,,,,,,,Number of attendances,,,,,,,,,,,,,,,,,,,,,,
Community Addiction Teams,"16,493","7,917","8,009","7,032","14,890",,,,,,,,,,,,,"54,341",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Occupied weeks,Occupied weeks,Occupied weeks,Occupied weeks,Occupied weeks,,,,,,,,,,,,,Occupied weeks,,,,,,,,,,,,,,,,,,,,,,
Nursing Care POC 5,"5,785","3,975","1,263","6,265","2,043",,,,,,,,,,,,,"19,331",,,,,,,,,,,,,,,,,,,,,,
Nursing Care POC 6,"9,319","11,568","5,440","10,249","4,579",,,,,,,,,,,,,"41,155",,,,,,,,,,,,,,,,,,,,,,
Nursing Care POC 7,"5,151","4,211","2,448","2,514","2,689",,,,,,,,,,,,,"17,013",,,,,,,,,,,,,,,,,,,,,,
Nursing Care POC 4 Total,"83,222","88,498","64,087","71,964","50,293",,,,,,,,,,,,,"358,064",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Occupied weeks,Occupied weeks,Occupied weeks,Occupied weeks,Occupied weeks,,,,,,,,,,,,,Occupied weeks,,,,,,,,,,,,,,,,,,,,,,
Residential Care POC 3,"1,747","1,712","1,356",958,"2,382",,,,,,,,,,,,,"8,155",,,,,,,,,,,,,,,,,,,,,,
Residential Care POC 5,"3,925","5,146",620,"2,509","1,664",,,,,,,,,,,,,"13,864",,,,,,,,,,,,,,,,,,,,,,
Residential Care POC 6,"8,005","6,110","12,217","6,464","10,589",,,,,,,,,,,,,"43,385",,,,,,,,,,,,,,,,,,,,,,
Residential Care POC 7 ,"1,261",903,862,213,415,,,,,,,,,,,,,"3,654",,,,,,,,,,,,,,,,,,,,,,
Residential Care POC 4 Total,"34,551","49,326","34,699","20,624","20,224",,,,,,,,,,,,,"159,424",,,,,,,,,,,,,,,,,,,,,,
SERVICE,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,Number of attendances,Number of attendances,Number of attendances,Number of attendances,Number of attendances,,,,,,,,,,,,,Number of attendances,,,,,,,,,,,,,,,,,,,,,,
Statutory Day Care POC 5,"17,876","22,462","17,135","4,764","18,985",,,,,,,,,,,,,"81,222",,,,,,,,,,,,,,,,,,,,,,
Statutory Day Care POC 6,"122,463","156,295","100,616","93,831","118,929",,,,,,,,,,,,,"592,134",,,,,,,,,,,,,,,,,,,,,,
Statutory Day Care POC 7,"21,473","15,490","10,212","9,905","11,864",,,,,,,,,,,,,"68,944",,,,,,,,,,,,,,,,,,,,,,
Statutory Day Care POC 4 Total,"84,383","37,104","8,695","32,384","27,074",,,,,,,,,,,,,"189,640",,,,,,,,,,,,,,,,,,,,,,
Service,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Downshire,Gransha,Holywell,Knockbracken Healthcare Park,Mater,Musgrave Park,North & West Belfast,Royal,St Luke's,Tyrone & Fermanagh,Ulster ,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,,
Mental Health Inpatient ,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,,,,,,,,,,,,,,,,,,,,,,
Addictions,,,,,,448,,362,,,,,,102,273,,,"1,185",,,,,,,,,,,,,,,,,,,,,,
Rehab,,,,,,381,672,162,"2,065",,,,,147,627,,,"4,055",,,,,,,,,,,,,,,,,,,,,,
ITU,,,,450,,766,61,632,382,,,,,,236,,,"2,527",,,,,,,,,,,,,,,,,,,,,,
Secure Units,,,,,,,,,"2,536",,,,,,,,,"2,536",,,,,,,,,,,,,,,,,,,,,,
Acute Care,,,872,"2,671",,"2,075","1,114","2,435","1,360","2,216",,,,,"1,292","1,272",,"15,305",,,,,,,,,,,,,,,,,,,,,,
Child & Adolescent Psychiatry,,,,16,,,,,"1,391",,,,,,,,,"1,408",,,,,,,,,,,,,,,,,,,,,,
Forensic Psychiatry,,,,,,,,,,,,,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,
Old Age Psychiatry,,,208,916,,"1,210",944,"1,965",643,327,,,,975,"1,220",,,"8,408",,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,532,,645,,,,,,,,,,"1,177",,,,,,,,,,,,,,,,,,,,,,
Psychotherapy,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Service,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Downshire,Gransha,Mater,Musgrave Park Hospital,North & West Belfast,Northern,Royal,South Tyrone,St Luke's,Tyrone & Fermanagh,Ulster,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,,
Mental Health Daycare,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,,,,,,,,,,,,,,,,,,,,,,
Addictions,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Rehab,,,,,"1,401","1,464",,,,,,,,72,"6,630",,,"9,567",,,,,,,,,,,,,,,,,,,,,,
Acute Care,,,,"3,128","2,102","3,416",817,,,,,,"3,713",,,"1,742","5,369","20,287",,,,,,,,,,,,,,,,,,,,,,
Old age psychiatry,,,,,,,,,,,,,,,618,,,618,,,,,,,,,,,,,,,,,,,,,,
Service,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,,
Learning Disability Inpatient,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,,,,,,,,,,,,,,,,,,,,,,
Children Short Stay,,,,,,,,,383,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,
Children Long Stay,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Adult Short Stay,,,,439,,317,,,"4,393",,,,,,,,,"5,149",,,,,,,,,,,,,,,,,,,,,,
Adult Long stay,,,,,,336,,,"1,600",,,,,,,,,"1,936",,,,,,,,,,,,,,,,,,,,,,
Service,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,,
Learning Disability Hospital Daycare,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,,,,,,,,,,,,,,,,,,,,,,
Daycare,,,,,,"2,335",,,"19,428",,,,,,,,,"21,763",,,,,,,,,,,,,,,,,,,,,,
Service,Altnagelvin,Belfast City Hospital,Braid Valley,Causeway,Bluestone Unit,Daisy Hill,Erne,Foyle,Lagan Valley,Lurgan,Muckamore Abbey Hospital,Mullinure,Musgrave Park Hospital,Royal,South Tyrone,Tyrone County,Ulster,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,
Geriatric Medicine Daycare,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,Number of day attendances,,,,,,,,,,,,,,,,,,,,,
Daycare,,,,,,,,,657,"1,264",,"1,666","1,988",,"1,377",,341,692,"7,985",,,,,,,,,,,,,,,,,,,,, -   
Service,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Dalriada,Foyle,Mater,Musgrave Park Hospital,North & West Belfast,Royal,South & East Belfast,Southern,Sperrin Lakeland,Thompson House,Ulster,Whiteabbey,Total,,,,,,,,,,,,,,,,,,,,,,
Physical Disability Inpatient,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,Number of occupied patient weeks,,,,,,,,,,,,,,,,,,,,,,
Children,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Adults,610,,,,,202,,,"1,805",,,,,,"1,538",,,"4,155",,,,,,,,,,,,,,,,,,,,,,
Elderly,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
