HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Average
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,205,.,527,.,.,.,.,.,.,.,.,.,.,.,.,366
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",667,.,.,.,.,.,376,.,.,.,.,.,241,.,.,.,.,.,296
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",544,.,.,240,.,527,376,.,.,.,.,246,241,.,.,.,594,.,251
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",205,.,.,.,.,527,376,.,.,552,.,.,241,.,.,.,383,.,515
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
AB02Z,Complex Major Pain Procedures,.,.,.,"1,561","3,489",.,.,.,.,.,635,.,.,406,.,.,.,.,957
AB03Z,Complex Pain Procedures,915,.,.,"1,320","2,918",527,.,.,687,.,682,"1,056",717,452,.,542,383,.,"1,116"
AB04Z,Major Pain Procedures,757,.,.,984,580,527,.,.,699,867,843,"1,272",748,362,.,542,385,.,664
AB05Z,Intermediate Pain Procedures,720,.,365,"1,943",589,305,688,.,701,.,672,"1,379",230,517,.,646,420,.,468
AB06Z,Minor Pain Procedures,626,.,365,523,529,518,.,"1,595",640,.,443,"1,167",472,294,.,388,452,.,591
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"12,765",926,.,.,.,.,.,.,.,"11,048","5,056",.,.,.,.,"5,082"
AB08Z,Pain Radiofrequency Treatments,794,.,.,"1,388",.,.,.,.,610,.,807,"1,205",.,.,.,.,.,.,852
AB09Z,Other Specified Pain Procedures,712,.,.,870,419,.,.,.,723,863,597,.,324,500,.,542,408,.,551
AB10Z,Unspecified Pain Procedures,794,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,794
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,852,.,.,.,.,.,.,662,.,.,879,.,688,.,.,.,.,.,809
BZ02A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+",903,.,.,.,.,.,.,662,.,736,.,.,.,"1,112",.,.,.,.,771
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",903,.,.,.,.,.,.,662,.,736,871,.,742,999,.,966,.,.,778
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",903,240,.,.,.,.,.,662,.,736,871,.,745,"1,003",.,966,.,.,849
BZ03A,Non-Phacoemulsification Cataract Surgery with CC Score 1+,903,.,.,.,.,.,.,.,.,736,.,.,"1,304","1,368",.,.,.,.,"1,097"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,887,233,.,.,.,.,.,662,.,736,848,.,775,960,.,966,.,.,813
BZ04A,Lens Capsulotomy with CC Score 1+,677,.,.,.,.,.,.,.,.,.,.,.,705,.,.,.,.,.,690
BZ04B,Lens Capsulotomy with CC Score 0,677,.,.,.,.,.,.,.,.,747,.,.,711,.,294,.,.,.,682
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,818,.,.,.,.,.,.,.,818
BZ05B,Major Oculoplastics Procedures with CC Score 0,"1,091",.,.,.,.,.,.,.,.,"1,269",828,.,923,.,.,.,"1,526",.,"1,023"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under","1,241",.,.,.,.,.,.,.,.,.,819,.,"1,599",390,.,.,.,.,"1,466"
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,353",.,.,.,.,.,.,.,.,.,.,.,.,743,.,.,"1,412",159,"1,016"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,301",.,.,.,627,655,382,.,.,"1,111",830,"1,478",786,821,.,904,"1,306",159,923
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","1,067",.,.,.,420,.,.,.,.,"1,006",.,.,"1,140",474,.,.,"1,285",.,"1,058"
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+","1,353",.,.,.,.,.,.,.,.,.,.,.,652,443,.,.,"1,298",.,"1,115"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","1,184",.,.,.,860,.,.,.,.,"1,064",817,.,676,595,.,"1,292","1,160",.,901
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","1,109",.,.,.,533,485,221,995,.,990,816,"1,310",649,474,485,988,"1,255",159,749
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",827,.,.,.,.,.,.,.,.,.,.,.,"1,153",.,.,.,.,.,"1,045"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,.,.,.,815
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","1,353",.,.,.,.,.,.,.,.,.,837,.,926,.,.,.,.,.,949
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,280",.,.,.,.,.,"1,280"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","1,118",.,.,.,.,.,.,.,.,781,834,.,847,"1,030",.,.,.,.,924
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under","1,113",.,.,.,.,.,.,.,.,.,.,.,972,.,.,.,.,.,"1,015"
BZ10C,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,725,.,.,.,.,725
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","1,100",.,.,.,.,.,.,.,.,747,811,.,683,460,479,767,.,.,729
BZ11A,"Major Cornea or Sclera Procedures, with CC Score 1+",602,.,.,.,.,.,.,.,.,747,859,.,.,.,.,.,.,.,736
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0",602,.,.,.,.,.,.,.,.,.,898,.,703,.,.,.,.,.,728
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",994,.,.,.,.,.,.,.,.,.,809,.,497,.,.,.,.,.,858
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",969,.,.,.,.,.,.,.,.,.,840,.,818,.,.,.,.,.,854
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+",903,.,.,.,.,.,.,662,.,.,827,.,"1,226",285,.,.,.,.,838
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0",903,.,.,.,.,.,.,.,.,.,824,.,706,.,.,.,.,.,785
BZ14A,"Major Ocular Motility Procedures, 19 years and over","1,353",.,.,.,.,.,.,.,.,.,.,.,"1,304",.,.,.,.,.,"1,341"
BZ14B,"Major Ocular Motility Procedures, 18 years and under","1,353",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,353"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under","1,132",.,.,.,.,.,.,.,.,863,840,.,"1,520",.,.,.,.,.,"1,328"
BZ15C,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,944,.,.,.,.,.,.,.,.,944
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0","1,128",.,.,.,.,.,.,.,.,944,839,.,829,.,.,.,.,.,996
BZ16A,"Minor Ocular Motility Procedures, 19 years and over","1,128",.,.,.,.,.,.,.,.,.,827,.,718,.,.,.,.,.,904
BZ16B,"Minor Ocular Motility Procedures, 18 years and under","1,128",.,.,.,.,.,.,.,.,743,.,.,"1,376",.,.,.,.,.,"1,254"
BZ17B,Major Glaucoma Procedures with CC Score 0,752,.,.,.,.,.,.,.,.,.,829,.,702,.,.,633,.,.,712
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,752,.,.,.,.,.,.,.,.,.,.,.,674,.,.,.,.,.,691
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,752,.,.,.,.,.,.,.,.,.,829,.,739,.,.,633,.,.,747
BZ19A,Minor Glaucoma Procedures with CC Score 1+,752,.,.,.,.,.,.,.,.,.,.,.,685,.,.,.,.,.,712
BZ19B,Minor Glaucoma Procedures with CC Score 0,752,.,.,.,.,.,.,.,.,.,809,.,691,.,325,966,.,.,702
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,898,.,.,.,.,.,898
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,986,.,.,.,.,.,986
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,.,884,.,.,.,.,.,884
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,677,.,.,.,.,.,.,662,.,.,893,.,810,.,.,.,.,.,771
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,677,.,.,.,.,.,.,.,.,.,.,.,.,.,263,.,.,.,470
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,613,.,.,823,.,.,.,.,.,747,.,.,796,.,350,.,.,.,722
BZ23Z,Minor Vitreous Retinal Procedures,674,.,.,814,.,.,.,.,.,.,815,.,739,637,272,.,.,.,711
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,314,.,.,.,.,.,314
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",435,.,.,116,.,.,.,.,.,571,243,.,332,126,.,.,.,.,334
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"1,263",.,.,.,"1,147",.,"1,205"
CA03B,Major Neck Procedures with CC Score 0-1,"1,409","3,040",.,.,.,.,.,.,.,.,514,.,"1,150",.,.,.,.,.,"1,528"
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,825",.,.,.,.,.,"1,825"
CA04B,"Intermediate Neck Procedures, 18 years and under",.,"1,607",.,.,.,873,763,.,.,.,.,.,"1,782",.,.,.,.,.,"1,519"
CA05A,"Minor Neck Procedures, 19 years and over","1,171","1,555",.,.,751,861,834,851,.,913,"1,105","1,291","1,311",878,"1,232",743,"1,034",.,"1,115"
CA05B,"Minor Neck Procedures, 18 years and under","1,311","1,355",.,.,618,"1,154",758,.,.,.,.,"1,418","2,117","1,040",.,.,"1,116",.,"1,365"
CA10A,"Septorhinoplasty, 19 years and over","1,989","2,043",.,.,.,999,"1,219",930,.,.,.,"2,223",.,.,.,.,.,.,"1,716"
CA10B,"Septorhinoplasty, 18 years and under",.,331,.,.,.,.,"1,190",.,.,.,.,.,.,.,.,.,.,.,760
CA11A,"Septoplasty, 19 years and over","1,872",994,.,.,"1,501","1,169",959,971,.,864,.,"2,016","1,276","1,158",.,"2,085",.,.,"1,394"
CA11B,"Septoplasty, 18 years and under",.,.,.,.,"1,408","1,285",862,971,.,.,.,"2,085","1,182","1,110",.,"2,085",.,.,"1,325"
CA12Z,Major Treatment of Epistaxis,.,"1,303",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,303"
CA13A,"Minor Treatment of Epistaxis, 19 years and over",970,.,.,.,.,.,.,.,.,.,.,.,685,.,.,.,.,.,756
CA13B,"Minor Treatment of Epistaxis, 18 years and under",970,"1,529",.,.,.,.,452,702,.,.,.,452,910,602,.,.,737,.,900
CA14Z,Nasal Polypectomy,970,"1,263",.,.,"1,227","1,262",763,971,.,.,.,"1,951","1,107",783,.,"1,608","1,040",.,"1,217"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","1,052",767,.,.,.,646,481,.,.,.,.,"1,279",666,.,.,"1,342",847,.,864
CA16Z,"Excision or Biopsy, of Lesion of External Nose",488,991,.,.,537,543,386,898,.,869,927,"1,031","1,115",546,.,"1,093",980,159,691
CA20Z,Complex Nose Procedures,"1,069",.,.,.,.,.,.,.,.,.,.,.,"1,353",.,.,.,"3,645",.,"1,991"
CA21Z,Very Major Nose Procedures,.,.,.,.,908,"1,777",.,.,.,781,.,.,.,.,.,.,478,.,804
CA22Z,Major Nose Procedures,"1,520","1,098",.,.,"1,035","1,494","1,239",.,.,.,.,"2,332","1,275","1,093",.,"2,011",159,.,386
CA23Z,Intermediate Nose Procedures,537,"1,251",.,.,888,514,660,.,.,924,.,.,"1,278","1,093",.,"1,301","1,060",.,887
CA24A,"Minor Nose Procedures, 19 years and over","1,561","1,082",.,.,181,918,871,.,.,839,.,"1,391","1,004",720,.,"1,573","1,079",.,981
CA24B,"Minor Nose Procedures, 18 years and under","1,030",331,.,.,"1,185",740,539,.,.,781,.,"1,478",985,677,.,.,889,.,955
CA25A,"Minimal Nose Procedures, 19 years and over",857,907,.,.,969,501,646,923,.,.,.,"1,627",847,602,.,"1,485",.,.,957
CA25B,"Minimal Nose Procedures, 18 years and under",789,"1,300",.,.,"1,279",524,549,930,.,.,.,"1,544",896,795,.,.,"1,005",.,989
CA26Z,Complex Sinus Procedures,517,"1,929",.,.,.,"1,737",.,.,.,629,.,.,"1,915",.,.,.,.,.,"1,141"
CA27Z,Major Sinus Procedures,.,.,.,.,.,"1,943","1,624",.,.,730,.,.,885,.,.,.,.,.,976
CA28Z,Intermediate Sinus Procedures,637,"1,864",.,.,.,"1,453","1,192","1,307",.,781,.,"2,224","1,068",.,.,.,"2,132",.,"1,537"
CA29Z,Minor Sinus Procedures,970,636,.,.,.,"1,368","1,115",.,.,.,.,"2,370","1,094",.,.,.,.,.,"1,059"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"2,814",.,.,.,.,.,.,.,999,.,.,"1,395",.,.,"3,326",.,.,"2,133"
CA32A,"Tympanoplasty, 19 years and over","2,329","2,522",.,.,.,"1,386",.,.,.,.,.,"1,933","1,898",.,.,"2,147",.,.,"1,928"
CA32B,"Tympanoplasty, 18 years and under","1,649","1,784",.,.,"1,963","1,691","1,350",.,.,"1,174",.,.,"2,359",.,.,.,"1,494",.,"1,802"
CA33Z,Pinnaplasty,"2,329","2,424",.,.,.,"1,250",.,.,.,.,.,"1,889","2,803","1,478",.,.,"1,537",.,"2,603"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",798,800,.,.,580,764,423,779,.,810,890,"1,094",810,480,.,"1,284",865,159,755
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",970,"1,303",.,.,.,"1,048",572,.,.,.,.,"1,514","1,316",.,.,"1,362",969,.,"1,108"
CA35A,"Insertion of Grommets, 19 years and over",970,725,.,.,993,687,559,836,.,760,.,"1,446",810,521,.,"1,117",889,.,883
CA35B,"Insertion of Grommets, between 2 and 18 years",970,"1,490",.,.,"1,100",586,570,836,.,760,.,655,852,657,.,"1,117",889,.,928
CA35C,"Insertion of Grommets, 1 year and under",970,"1,571",.,.,"1,089",528,461,.,.,.,.,.,982,.,.,.,889,.,876
CA36A,"Clearance of External Auditory Canal, 19 years and over",857,997,.,.,"1,273",.,.,.,.,.,.,"1,174",913,.,.,.,.,.,998
CA36B,"Clearance of External Auditory Canal, 18 years and under",913,"1,187",.,.,949,502,573,.,.,.,.,443,734,585,.,.,737,.,803
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
CA37C,"Audiometry or Hearing Assessment, 4 years and under",.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
CA38B,"Evoked Potential Recording, 18 years and under",630,"2,246",.,.,.,782,.,.,.,.,.,.,.,.,.,.,995,.,"1,068"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"2,269",.,.,.,.,.,"2,269"
CA40Z,Fitting of Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"7,720",.,.,.,.,.,"7,720"
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,.,"17,077",.,.,.,.,.,"17,077"
CA50Z,Complex Ear Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,399",.,"1,399"
CA51A,"Very Major Ear Procedures, 19 years and over",852,.,.,.,927,"1,312",.,.,.,.,.,.,"1,610",.,.,.,"1,564",.,"1,340"
CA51B,"Very Major Ear Procedures, 18 years and under",.,.,.,.,.,"3,147",.,.,.,916,.,.,"3,522",.,.,.,.,.,"2,528"
CA52A,"Major Ear Procedures, 19 years and over","1,736","1,182",.,.,988,759,403,.,.,.,.,977,"1,746",848,.,"1,853","1,516",.,"1,357"
CA52B,"Major Ear Procedures, 18 years and under","1,649","3,127",.,.,.,.,615,.,.,.,.,.,"1,709","2,635",.,.,995,.,"1,379"
CA53A,"Intermediate Ear Procedures, 19 years and over",888,"2,074",.,.,472,867,356,.,.,"1,009",.,"1,276","1,328",.,.,.,"1,038",.,"1,022"
CA53B,"Intermediate Ear Procedures, 18 years and under","1,310",860,.,.,.,"1,015",.,.,.,.,.,.,"1,369",585,.,.,952,.,"1,273"
CA54A,"Minor Ear Procedures, 19 years and over",964,"1,250",.,.,"1,075","1,070",656,"1,239",.,.,.,"1,515","1,286",747,.,"1,454","1,014",.,"1,182"
CA54B,"Minor Ear Procedures, 18 years and under",945,"1,621",.,.,"1,063",502,461,.,.,709,.,.,"1,006",567,.,"1,485",969,.,989
CA55A,"Minimal Ear Procedures, 19 years and over",744,"1,043",.,.,.,.,529,769,.,781,.,"1,311",894,339,.,.,904,.,977
CA55B,"Minimal Ear Procedures, 18 years and under",800,"1,345",.,.,617,552,.,850,.,.,.,"1,317",737,725,.,.,987,.,893
CA60A,"Tonsillectomy, 19 years and over",696,"1,651",.,.,.,873,733,.,.,.,.,"2,313",754,681,.,.,.,.,"1,101"
CA60B,"Tonsillectomy, 18 years and under",.,"1,863",.,.,.,808,661,.,.,.,.,.,"1,044",883,.,.,"1,115",.,"1,019"
CA61Z,Adenotonsillectomy,.,"1,626",.,.,.,790,714,.,.,.,.,.,"1,145",.,.,.,"1,116",.,958
CA62Z,Adenoidectomy,"1,649","2,147",.,.,"1,777",729,679,971,.,864,.,584,"1,097",982,.,.,"1,040",.,"1,068"
CA63Z,Tracheostomy,.,"1,260",.,.,.,.,.,.,.,.,.,.,435,.,.,.,.,.,848
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,040",.,.,.,.,"1,040"
CA65Z,Frenotomy or Frenectomy,621,885,.,.,726,586,359,901,.,.,.,.,843,590,.,"1,117","1,043",.,788
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",472,849,.,.,601,755,702,"1,010",.,766,813,995,800,602,.,"1,094",909,159,609
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",639,"2,055",.,.,181,.,.,"1,085",.,.,.,.,"1,427",.,.,.,777,.,938
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+",970,.,.,.,.,"1,065",.,.,.,.,.,.,"1,278",.,.,.,.,.,"1,104"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",970,"1,467",.,.,.,"1,046",617,.,.,.,.,.,"1,250",.,.,.,.,.,"1,227"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",970,"1,182",.,.,.,854,.,.,.,.,.,.,"1,147","1,365",.,.,.,.,"1,097"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,594,.,.,.,.,.,.,"1,162",.,.,.,.,.,973
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",958,"1,256",.,238,.,859,567,903,.,.,433,920,936,725,.,"1,362",853,.,951
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",970,808,.,.,.,514,457,836,.,.,.,.,974,.,.,.,889,.,827
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",970,.,.,.,.,.,.,.,.,.,.,.,871,.,.,.,889,.,884
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,970,"1,299",.,.,.,716,724,.,.,.,.,"1,795",951,.,.,"1,117",.,.,987
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",970,976,.,.,886,728,704,930,.,781,.,"1,736",842,742,.,"1,117",.,.,918
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under",970,"1,346",.,.,.,616,.,.,.,.,.,.,873,.,.,.,.,.,990
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,184",.,.,.,.,.,"1,184"
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,186",.,.,.,.,966,.,.,.,.,.,.,.,.,.,.,.,.,"1,076"
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",529,.,.,.,.,.,.,.,.,.,.,.,"1,328",.,.,.,.,.,"1,129"
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,390",.,.,.,.,.,"1,390"
CA82D,"Very Major, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"3,609",.,.,.,.,.,"3,609"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","1,409",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,330",.,"1,370"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",936,"2,041",.,.,.,886,597,.,.,.,.,.,833,.,.,.,"1,147",.,939
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","1,193",.,.,.,.,.,617,.,.,.,.,.,"1,263",935,.,.,995,.,937
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",970,331,.,"2,610",.,.,743,923,.,749,.,.,.,.,.,.,.,.,"1,011"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",557,.,.,"2,610",766,658,908,915,.,749,.,.,939,602,.,"1,239","1,049",.,743
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",637,.,.,.,.,767,701,.,.,.,.,.,"1,180",979,.,.,.,.,994
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",867,926,.,"2,610",.,736,730,.,.,.,.,"1,076",815,.,.,.,"1,412",.,"1,100"
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",734,.,.,.,.,840,.,"1,170",.,.,.,.,"1,254",.,.,.,"1,336",.,"1,109"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,"1,329",.,.,.,740,.,.,.,.,.,.,.,.,.,.,.,.,"1,035"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",421,.,.,.,.,.,675,.,.,.,.,.,791,.,.,.,920,.,602
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",421,.,.,.,.,"1,081",591,.,.,.,.,544,920,.,.,.,928,.,870
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,835,.,.,.,.,.,835
