Place,Name,Number,Year
89,Madeleine,50,1999
90,Summer,50,1999
91,Kaitlyn,48,1999
92,Kelsey,48,1999
93,Tessa,48,1999
94,Alicia,47,1999
95,Jennifer,47,1999
96,Katelyn,47,1999
97,Crystal,46,1999
98,Tamara,46,1999
99,Tara,46,1999
100,Zara,46,1999
1,Jessica,381,2000
2,Olivia,377,2000
3,Hannah,357,2000
4,Georgia,351,2000
5,Grace,297,2000
6,Sophie,287,2000
7,Emma,276,2000
8,Emily,260,2000
9,Sarah,247,2000
10,Samantha,216,2000
11,Caitlin,204,2000
12,Ella,164,2000
13,Amy,162,2000
14,Kate,161,2000
15,Charlotte,149,2000
16,Rebecca,149,2000
17,Courtney,147,2000
18,Holly,144,2000
19,Madison,144,2000
20,Paige,140,2000
21,Brooke,138,2000
22,Jade,134,2000
23,Lucy,134,2000
24,Anna,126,2000
25,Laura,126,2000
26,Isabella,122,2000
27,Danielle,121,2000
28,Zoe,119,2000
29,Jasmine,117,2000
30,Chloe,116,2000
31,Ruby,115,2000
32,Tayla,110,2000
33,Ashleigh,108,2000
34,Lauren,104,2000
35,Lily,98,2000
36,Alexandra,93,2000
37,Kayla,91,2000
38,Amber,89,2000
39,Nicole,89,2000
40,Shania,88,2000
41,Katie,86,2000
42,Amelia,85,2000
43,Rachel,85,2000
44,Elizabeth,84,2000
45,Mikayla,84,2000
46,Taylor,83,2000
47,Victoria,83,2000
48,Brittany,82,2000
49,Molly,82,2000
50,Hayley,80,2000
51,Maddison,80,2000
52,Megan,80,2000
53,Brianna,79,2000
54,Natasha,77,2000
55,Chelsea,74,2000
56,Nikita,73,2000
57,Rose,73,2000
58,Aimee,72,2000
59,Paris,72,2000
60,Angel,70,2000
61,Ashley,70,2000
62,Shannon,70,2000
63,Claudia,68,2000
64,Sophia,67,2000
65,Eden,66,2000
66,Britney,64,2000
67,Gabrielle,64,2000
68,Abigail,61,2000
69,Leah,60,2000
70,Monique,60,2000
71,Phoebe,60,2000
72,Summer,59,2000
73,Maria,57,2000
74,Renee,57,2000
75,Alyssa,56,2000
76,Destiny,56,2000
77,Tessa,56,2000
78,Michaela,55,2000
79,Stephanie,55,2000
80,Jenna,54,2000
81,Maia,54,2000
82,Alice,53,2000
83,Melissa,53,2000
84,Tiana,53,2000
85,Tyla,53,2000
86,Casey,52,2000
87,Gemma,52,2000
88,Hope,52,2000
89,Brooklyn,51,2000
90,Katelyn,51,2000
91,Cheyenne,50,2000
92,Faith,50,2000
93,Briana,49,2000
94,Niamh,49,2000
95,Julia,47,2000
96,Natalie,46,2000
97,Caitlyn,45,2000
98,Crystal,45,2000
99,Kaitlin,45,2000
100,Madeleine,44,2000
1,Jessica,337,2001
2,Hannah,318,2001
3,Emma,303,2001
4,Olivia,303,2001
5,Grace,296,2001
6,Georgia,291,2001
7,Sophie,285,2001
8,Samantha,280,2001
9,Sarah,267,2001
10,Emily,231,2001
11,Caitlin,220,2001
12,Ella,195,2001
13,Brooke,168,2001
14,Madison,166,2001
15,Isabella,159,2001
16,Charlotte,152,2001
17,Kate,152,2001
18,Amy,149,2001
19,Anna,139,2001
20,Jade,139,2001
21,Lucy,139,2001
22,Holly,137,2001
23,Rebecca,136,2001
24,Jasmine,129,2001
25,Paige,128,2001
26,Ruby,124,2001
27,Lily,123,2001
28,Zoe,123,2001
29,Amber,119,2001
30,Danielle,115,2001
31,Alexandra,113,2001
32,Kayla,113,2001
33,Tayla,110,2001
34,Chloe,109,2001
35,Courtney,107,2001
36,Molly,101,2001
37,Laura,97,2001
38,Nicole,97,2001
39,Maddison,89,2001
40,Ashleigh,88,2001
41,Alice,84,2001
42,Amelia,84,2001
43,Nikita,84,2001
44,Destiny,81,2001
45,Natasha,81,2001
46,Brianna,79,2001
47,Hayley,79,2001
48,Alyssa,77,2001
49,Katie,77,2001
50,Lauren,75,2001
51,Megan,75,2001
52,Claudia,74,2001
53,Taylor,74,2001
54,Elizabeth,73,2001
55,Mikayla,71,2001
56,Sophia,71,2001
57,Victoria,70,2001
58,Leah,68,2001
59,Abby,67,2001
60,Ashley,66,2001
61,Stella,66,2001
62,Abigail,65,2001
63,Aimee,63,2001
64,Mia,63,2001
65,Phoebe,63,2001
66,Rachel,63,2001
67,Zara,63,2001
68,Maia,62,2001
69,Angel,61,2001
70,Summer,61,2001
71,Gemma,60,2001
72,Jordan,60,2001
73,Katelyn,57,2001
74,Paris,57,2001
75,Kaitlyn,55,2001
76,Katherine,55,2001
77,Aaliyah,54,2001
78,Chelsea,54,2001
79,Eden,54,2001
80,Melissa,53,2001
81,Julia,51,2001
82,Natalie,51,2001
83,Shannon,51,2001
84,Gabrielle,50,2001
85,Rose,50,2001
86,Trinity,50,2001
87,Brooklyn,49,2001
88,Jennifer,49,2001
89,Lydia,49,2001
90,Morgan,49,2001
91,Rebekah,49,2001
92,Renee,49,2001
93,Jemma,48,2001
94,Caitlyn,47,2001
95,Faith,47,2001
96,Jessie,46,2001
97,Piper,46,2001
98,Ariana,44,2001
99,Catherine,44,2001
100,Jenna,44,2001
1,Jessica,327,2002
2,Olivia,327,2002
3,Hannah,316,2002
4,Emma,310,2002
5,Sophie,308,2002
6,Grace,276,2002
7,Ella,262,2002
8,Emily,254,2002
9,Sarah,237,2002
10,Georgia,226,2002
11,Charlotte,201,2002
12,Caitlin,197,2002
13,Samantha,188,2002
14,Paige,173,2002
15,Lucy,160,2002
16,Isabella,156,2002
17,Holly,150,2002
18,Madison,149,2002
19,Chloe,140,2002
20,Ruby,140,2002
21,Lily,137,2002
22,Brooke,136,2002
23,Anna,133,2002
24,Amy,130,2002
25,Jade,128,2002
26,Kate,128,2002
27,Rebecca,123,2002
28,Zoe,111,2002
29,Jasmine,109,2002
30,Amelia,103,2002
31,Danielle,101,2002
32,Tayla,94,2002
33,Elizabeth,93,2002
34,Nikita,93,2002
35,Kayla,89,2002
36,Abigail,86,2002
37,Lauren,86,2002
38,Molly,86,2002
39,Ashleigh,83,2002
40,Mia,83,2002
41,Aaliyah,82,2002
42,Amber,82,2002
43,Katie,82,2002
44,Maddison,81,2002
45,Sophia,79,2002
46,Laura,78,2002
47,Victoria,78,2002
48,Alyssa,76,2002
49,Alexandra,75,2002
50,Nicole,72,2002
51,Hayley,71,2002
52,Courtney,69,2002
53,Phoebe,68,2002
54,Mikayla,66,2002
55,Brianna,65,2002
56,Alice,64,2002
57,Gemma,64,2002
58,Paris,64,2002
59,Megan,63,2002
60,Rachel,62,2002
61,Eden,61,2002
62,Angel,60,2002
63,Taylor,60,2002
64,Aimee,57,2002
65,Ashley,57,2002
66,Kaitlyn,57,2002
67,Maia,56,2002
68,Jamie,54,2002
69,Melissa,54,2002
70,Mya,54,2002
71,Stella,54,2002
72,Destiny,53,2002
73,Jemma,53,2002
74,Trinity,53,2002
75,Abby,52,2002
76,Leah,52,2002
77,Shakira,52,2002
78,Caitlyn,51,2002
79,Claudia,51,2002
80,Faith,51,2002
81,Jessie,51,2002
82,Eva,50,2002
83,Maria,50,2002
84,Natasha,50,2002
85,Ariana,49,2002
86,Brooklyn,49,2002
87,Renee,49,2002
88,Katelyn,48,2002
89,Tiana,48,2002
90,Monique,47,2002
91,Jennifer,46,2002
92,Tessa,46,2002
93,Jenna,45,2002
94,Madeleine,45,2002
95,Rose,45,2002
96,Tyla,45,2002
97,Christina,44,2002
98,Isabelle,44,2002
99,Rebekah,44,2002
100,Zara,44,2002
1,Emma,379,2003
2,Sophie,307,2003
3,Ella,302,2003
4,Emily,292,2003
5,Jessica,291,2003
6,Hannah,283,2003
7,Olivia,278,2003
8,Grace,248,2003
9,Charlotte,243,2003
10,Georgia,221,2003
11,Sarah,192,2003
12,Paige,190,2003
13,Isabella,186,2003
14,Caitlin,184,2003
15,Lucy,179,2003
16,Holly,168,2003
17,Samantha,160,2003
18,Brooke,154,2003
19,Kate,146,2003
20,Lily,141,2003
21,Madison,140,2003
22,Ruby,136,2003
23,Chloe,133,2003
24,Jade,132,2003
25,Amy,128,2003
26,Anna,120,2003
27,Amelia,118,2003
28,Mia,113,2003
29,Jasmine,112,2003
30,Hayley,109,2003
31,Molly,103,2003
32,Laura,99,2003
33,Rebecca,97,2003
34,Amber,96,2003
35,Jorja,96,2003
36,Zoe,95,2003
37,Alyssa,94,2003
38,Katie,93,2003
39,Kayla,92,2003
40,Danielle,91,2003
41,Tayla,88,2003
42,Elizabeth,87,2003
43,Maia,87,2003
44,Abigail,86,2003
45,Paris,86,2003
46,Nicole,78,2003
47,Phoebe,78,2003
48,Victoria,77,2003
49,Sophia,76,2003
50,Brianna,75,2003
51,Ashleigh,74,2003
52,Alexandra,73,2003
53,Rachel,71,2003
54,Courtney,69,2003
55,Lauren,69,2003
56,Maddison,69,2003
57,Leah,67,2003
58,Alice,66,2003
59,Ashley,66,2003
60,Mikayla,64,2003
61,Nikita,64,2003
62,Aaliyah,63,2003
63,Abby,60,2003
64,Angel,60,2003
65,Megan,59,2003
66,Rose,59,2003
67,Faith,58,2003
68,Gemma,58,2003
69,Summer,58,2003
70,Trinity,57,2003
71,Eva,55,2003
72,Stella,55,2003
73,Gabrielle,54,2003
74,Aimee,52,2003
75,Jordan,52,2003
76,Madeline,52,2003
77,Ariana,51,2003
78,Natasha,51,2003
79,Zara,50,2003
80,Mackenzie,49,2003
81,Rebekah,49,2003
82,Brooklyn,48,2003
83,Bella,47,2003
84,Jennifer,47,2003
85,Chelsea,46,2003
86,Claudia,46,2003
87,Maria,44,2003
88,Taylor,44,2003
89,Harmony,43,2003
90,Hope,43,2003
91,Renee,43,2003
92,Tiana,43,2003
93,Ava,42,2003
94,Eden,42,2003
95,Isabelle,42,2003
96,Lydia,42,2003
97,Piper,42,2003
98,Kyla,41,2003
99,Abbey,40,2003
100,Maya,40,2003
1,Emma,352,2004
2,Charlotte,330,2004
3,Ella,306,2004
4,Sophie,299,2004
5,Hannah,286,2004
6,Emily,282,2004
7,Jessica,282,2004
8,Olivia,275,2004
9,Grace,261,2004
10,Isabella,206,2004
11,Georgia,201,2004
12,Samantha,196,2004
13,Brooke,192,2004
14,Lucy,190,2004
15,Paige,187,2004
16,Lily,181,2004
17,Sarah,161,2004
18,Holly,160,2004
19,Chloe,154,2004
20,Ruby,143,2004
21,Madison,142,2004
22,Amelia,140,2004
23,Zoe,132,2004
24,Mia,131,2004
25,Caitlin,124,2004
26,Kate,123,2004
27,Jade,118,2004
28,Maia,118,2004
29,Amy,116,2004
30,Jasmine,114,2004
31,Amber,106,2004
32,Hayley,102,2004
33,Molly,102,2004
34,Sophia,101,2004
35,Paris,100,2004
36,Danielle,99,2004
37,Jorja,94,2004
38,Mackenzie,90,2004
39,Tayla,90,2004
40,Anna,87,2004
41,Elizabeth,87,2004
42,Kayla,86,2004
43,Alexandra,84,2004
44,Ashley,83,2004
45,Phoebe,83,2004
46,Katie,82,2004
47,Summer,82,2004
48,Rebecca,81,2004
49,Abigail,80,2004
50,Ava,80,2004
51,Maddison,75,2004
52,Brianna,73,2004
53,Laura,73,2004
54,Alice,71,2004
55,Alyssa,71,2004
56,Leah,70,2004
57,Mikayla,69,2004
58,Stella,68,2004
59,Trinity,65,2004
60,Angel,63,2004
61,Brooklyn,62,2004
62,Nicole,62,2004
63,Rachel,62,2004
64,Lauren,61,2004
65,Nikita,61,2004
66,Eva,59,2004
67,Mya,59,2004
68,Maya,58,2004
69,Courtney,57,2004
70,Eden,57,2004
71,Riley,57,2004
72,Rose,57,2004
73,Tessa,57,2004
74,Abby,55,2004
75,Aimee,54,2004
76,Jessie,54,2004
77,Gemma,53,2004
78,Zara,53,2004
79,Bella,52,2004
80,Isabelle,52,2004
81,Jordan,52,2004
82,Caitlyn,51,2004
83,Faith,51,2004
84,Megan,51,2004
85,Natasha,51,2004
86,Taylor,50,2004
87,Victoria,50,2004
88,Lydia,49,2004
89,Ashleigh,48,2004
90,Chelsea,47,2004
91,Claudia,46,2004
92,Isla,46,2004
93,Jenna,46,2004
94,Natalie,46,2004
95,Tiana,46,2004
96,Erin,45,2004
97,Ariana,44,2004
98,Gabrielle,44,2004
99,Angelina,43,2004
100,Isabel,43,2004
1,Emma,315,2005
2,Ella,292,2005
3,Charlotte,278,2005
4,Olivia,274,2005
5,Jessica,257,2005
6,Sophie,254,2005
7,Grace,248,2005
8,Hannah,223,2005
9,Emily,216,2005
10,Isabella,180,2005
11,Paige,180,2005
12,Ruby,180,2005
13,Lucy,174,2005
14,Lily,169,2005
15,Maia,168,2005
16,Brooke,162,2005
17,Georgia,162,2005
18,Holly,160,2005
19,Chloe,150,2005
20,Amelia,146,2005
21,Samantha,141,2005
22,Jade,137,2005
23,Sarah,135,2005
24,Kate,134,2005
25,Caitlin,130,2005
26,Zoe,122,2005
27,Madison,121,2005
28,Amy,119,2005
29,Mia,119,2005
30,Jasmine,118,2005
31,Hayley,114,2005
32,Amber,99,2005
33,Anna,95,2005
34,Katie,92,2005
35,Sophia,91,2005
36,Molly,89,2005
37,Summer,88,2005
38,Elizabeth,87,2005
39,Stella,79,2005
40,Danielle,77,2005
41,Rebecca,76,2005
42,Kayla,75,2005
43,Alexandra,73,2005
44,Jorja,72,2005
45,Abigail,70,2005
46,Maddison,69,2005
47,Trinity,69,2005
48,Tayla,68,2005
49,Ashley,67,2005
50,Paris,66,2005
51,Ava,62,2005
52,Mikayla,62,2005
53,Mya,62,2005
54,Aimee,60,2005
55,Alyssa,60,2005
56,Eva,60,2005
57,Victoria,60,2005
58,Aaliyah,58,2005
59,Alice,57,2005
60,Leah,57,2005
61,Zara,57,2005
62,Abby,56,2005
63,Nicole,56,2005
64,Mackenzie,55,2005
65,Phoebe,55,2005
66,Riley,55,2005
67,Brianna,52,2005
68,Isabelle,50,2005
69,Laura,50,2005
70,Rose,50,2005
71,Angel,49,2005
72,Ashleigh,48,2005
73,Maya,48,2005
74,Bella,47,2005
75,Caitlyn,47,2005
76,Lauren,47,2005
77,Rachel,47,2005
78,Gemma,46,2005
79,Brooklyn,45,2005
80,Keira,45,2005
81,Madeline,45,2005
82,Natasha,45,2005
83,Nikita,45,2005
84,Faith,44,2005
85,Ashlee,43,2005
86,Jemma,43,2005
87,Eden,42,2005
88,Isla,42,2005
89,Lilly,42,2005
90,Madeleine,42,2005
91,Poppy,42,2005
92,Sienna,42,2005
93,Taylor,42,2005
94,Harmony,41,2005
95,Jordan,41,2005
96,Kaitlyn,41,2005
97,Megan,41,2005
98,Scarlett,40,2005
99,Stephanie,40,2005
100,Imogen,39,2005
1,Charlotte,324,2006
2,Ella,320,2006
3,Sophie,295,2006
4,Emma,286,2006
5,Olivia,278,2006
6,Emily,277,2006
7,Grace,262,2006
8,Jessica,261,2006
9,Hannah,254,2006
10,Lily,234,2006
11,Isabella,224,2006
12,Lucy,194,2006
13,Chloe,190,2006
14,Ruby,174,2006
15,Georgia,168,2006
16,Paige,167,2006
17,Amelia,164,2006
18,Maia,161,2006
19,Zoe,161,2006
20,Madison,157,2006
21,Brooke,154,2006
22,Holly,150,2006
23,Samantha,150,2006
24,Sarah,149,2006
25,Mia,143,2006
26,Ava,142,2006
27,Jasmine,132,2006
28,Kate,123,2006
29,Hayley,122,2006
30,Caitlin,121,2006
31,Jade,114,2006
32,Sophia,105,2006
33,Amber,103,2006
34,Eva,102,2006
35,Molly,100,2006
36,Amy,96,2006
37,Katie,92,2006
38,Keira,91,2006
39,Anna,89,2006
40,Sienna,89,2006
41,Summer,88,2006
42,Zara,87,2006
43,Maddison,86,2006
44,Kayla,84,2006
45,Elizabeth,83,2006
46,Abigail,82,2006
47,Isla,82,2006
48,Brianna,80,2006
49,Danielle,78,2006
50,Rebecca,77,2006
51,Alyssa,76,2006
52,Jorja,74,2006
53,Leah,72,2006
54,Aaliyah,70,2006
55,Alexandra,68,2006
56,Tayla,68,2006
57,Ashley,67,2006
58,MacKenzie,67,2006
59,Phoebe,67,2006
60,Riley,67,2006
61,Lauren,65,2006
62,Alice,63,2006
63,Mya,63,2006
64,Stella,63,2006
65,Angel,58,2006
66,Eden,58,2006
67,Laura,57,2006
68,Kaitlyn,56,2006
69,Mikayla,56,2006
70,Poppy,56,2006
71,Abby,55,2006
72,Isabelle,55,2006
73,Nikita,55,2006
74,Caitlyn,54,2006
75,Harmony,54,2006
76,Trinity,54,2006
77,Lilly,53,2006
78,Ashlee,52,2006
79,Gabrielle,51,2006
80,Brooklyn,50,2006
81,Chelsea,50,2006
82,Bella,49,2006
83,Nevaeh,49,2006
84,Nicole,49,2006
85,Scarlett,49,2006
86,Libby,48,2006
87,Rose,48,2006
88,Taylor,48,2006
89,Isabel,47,2006
90,Maya,46,2006
91,Tessa,46,2006
92,Aimee,45,2006
93,Anahera,45,2006
94,Faith,45,2006
95,Jessie,45,2006
96,Courtney,44,2006
97,Maria,44,2006
98,Rachel,44,2006
99,Skye,44,2006
100,Alexis,43,2006
1,Ella,418,2007
2,Sophie,351,2007
3,Olivia,285,2007
4,Emma,280,2007
5,Charlotte,263,2007
6,Emily,258,2007
7,Lily,255,2007
8,Grace,254,2007
9,Hannah,241,2007
10,Isabella,241,2007
11,Jessica,228,2007
12,Ruby,219,2007
13,Amelia,198,2007
14,Lucy,196,2007
15,Madison,196,2007
16,Chloe,187,2007
17,Brooke,173,2007
18,Ava,170,2007
19,Mia,169,2007
20,Paige,163,2007
21,Zoe,162,2007
22,Holly,152,2007
23,Kate,151,2007
24,Caitlin,146,2007
25,Maia,143,2007
26,Georgia,142,2007
27,Samantha,140,2007
28,Sophia,137,2007
29,Sienna,131,2007
30,Jade,128,2007
31,Amber,116,2007
32,Maddison,116,2007
33,Sarah,114,2007
34,Hayley,111,2007
35,Amy,109,2007
36,Summer,108,2007
37,Jasmine,107,2007
38,Nevaeh,107,2007
39,Abigail,104,2007
40,Eden,102,2007
41,Eva,101,2007
42,Katie,94,2007
43,Keira,91,2007
44,Mikayla,90,2007
45,Isabelle,88,2007
46,Anna,86,2007
47,Bella,83,2007
48,Leah,83,2007
49,Poppy,83,2007
50,Isla,82,2007
51,Kayla,80,2007
52,Elizabeth,79,2007
53,Molly,79,2007
54,Tayla,78,2007
55,Alyssa,77,2007
56,Danielle,74,2007
57,Stella,72,2007
58,Zara,71,2007
59,Mackenzie,69,2007
60,Jorja,67,2007
61,Alice,65,2007
62,Faith,65,2007
63,Chelsea,63,2007
64,Rebecca,63,2007
65,Savannah,63,2007
66,Caitlyn,62,2007
67,Taylor,60,2007
68,Lilly,59,2007
69,Madeleine,59,2007
70,Rose,59,2007
71,Aaliyah,58,2007
72,Angel,58,2007
73,Lauren,58,2007
74,Aria,57,2007
75,Riley,57,2007
76,Abby,54,2007
77,Maria,54,2007
78,Scarlett,54,2007
79,Victoria,54,2007
80,Alexis,53,2007
81,Skye,53,2007
82,Trinity,53,2007
83,Alexandra,52,2007
84,Ashley,52,2007
85,Gemma,52,2007
86,Brianna,50,2007
87,Maya,50,2007
88,Mya,50,2007
89,Gabriella,49,2007
90,Harmony,49,2007
91,Tessa,49,2007
92,Anahera,48,2007
93,Isabel,48,2007
94,Kaitlyn,48,2007
95,Manaia,48,2007
96,Millie,48,2007
97,Nikita,48,2007
98,Phoebe,48,2007
99,Ashlee,47,2007
100,Nicole,47,2007
1,Sophie,356,2008
2,Olivia,308,2008
3,Ella,297,2008
4,Isabella,288,2008
5,Charlotte,269,2008
6,Lily,254,2008
7,Emma,253,2008
8,Emily,245,2008
9,Jessica,245,2008
10,Grace,237,2008
11,Hannah,232,2008
12,Chloe,227,2008
13,Ruby,213,2008
14,Lucy,202,2008
15,Ava,196,2008
16,Amelia,194,2008
17,Madison,184,2008
18,Maia,177,2008
19,Mia,170,2008
20,Holly,161,2008
21,Sophia,149,2008
22,Zoe,147,2008
23,Paige,146,2008
24,Georgia,144,2008
25,Kate,143,2008
26,Brooke,142,2008
27,Maddison,137,2008
28,Samantha,136,2008
29,Sienna,118,2008
30,Isla,111,2008
31,Jade,107,2008
32,Sarah,105,2008
33,Katie,104,2008
34,Stella,104,2008
35,Eva,99,2008
36,Caitlin,97,2008
37,Hayley,96,2008
38,Jasmine,95,2008
39,Elizabeth,93,2008
40,Tayla,93,2008
41,Anna,92,2008
42,Summer,91,2008
43,Bella,90,2008
44,Amy,89,2008
45,Isabelle,85,2008
46,Mikayla,84,2008
47,Molly,84,2008
48,Keira,83,2008
49,Kayla,81,2008
50,Abigail,80,2008
51,Amber,80,2008
52,Zara,80,2008
53,Alexis,76,2008
54,Millie,76,2008
55,Alyssa,74,2008
56,Aaliyah,72,2008
57,Eden,72,2008
58,Taylor,72,2008
59,Nevaeh,71,2008
60,Gemma,67,2008
61,Rebecca,67,2008
62,Phoebe,66,2008
63,Danielle,64,2008
64,Mya,64,2008
65,Aria,62,2008
66,Leah,61,2008
67,Ashley,60,2008
68,Brooklyn,60,2008
69,Poppy,60,2008
70,Harmony,59,2008
71,Laura,59,2008
72,Manaia,57,2008
73,Scarlett,57,2008
74,Angel,56,2008
75,Abby,55,2008
76,Maya,55,2008
77,Rose,55,2008
78,Lilly,54,2008
79,Riley,54,2008
80,Victoria,54,2008
81,Jorja,53,2008
82,Hazel,52,2008
83,Savannah,51,2008
84,Tessa,51,2008
85,Alexandra,50,2008
86,Natalie,50,2008
87,Peyton,50,2008
88,Sofia,50,2008
89,Maria,49,2008
90,Lauren,48,2008
91,Alice,47,2008
92,Lucia,47,2008
93,Anika,46,2008
94,Caitlyn,46,2008
95,Gabrielle,46,2008
96,Mackenzie,46,2008
97,Ayla,45,2008
98,Chelsea,45,2008
99,Gabriella,45,2008
100,Madeleine,45,2008
1,Sophie,386,2009
2,Ruby,305,2009
3,Olivia,304,2009
4,Isabella,288,2009
5,Ella,283,2009
6,Emily,266,2009
7,Charlotte,257,2009
8,Lily,236,2009
9,Emma,235,2009
10,Amelia,222,2009
11,Chloe,216,2009
12,Grace,213,2009
13,Zoe,201,2009
14,Paige,195,2009
15,Ava,191,2009
16,Lucy,186,2009
17,Jessica,175,2009
18,Isla,169,2009
19,Hannah,168,2009
20,Madison,168,2009
21,Samantha,148,2009
22,Georgia,146,2009
23,Sienna,143,2009
24,Mia,134,2009
25,Holly,134,2009
26,Sophia,132,2009
27,Bella,125,2009
28,Brooke,123,2009
29,Maia,118,2009
30,Maddison,111,2009
31,Jasmine,106,2009
32,Eva,101,2009
33,Molly,100,2009
34,Elizabeth,100,2009
35,Hayley,96,2009
36,Sarah,94,2009
37,Amber,92,2009
38,Kate,88,2009
39,Caitlin,88,2009
40,Isabelle,88,2009
41,Tayla,87,2009
42,Jade,87,2009
43,Abigail,87,2009
44,Amy,80,2009
45,Kayla,80,2009
46,Taylor,79,2009
47,Keira,79,2009
48,Zara,78,2009
49,Stella,77,2009
50,Eden,75,2009
51,Anna,75,2009
52,Summer,73,2009
53,Nevaeh,72,2009
54,Addison,72,2009
55,Alice,70,2009
56,Imogen,68,2009
57,Katie,68,2009
58,Peyton,66,2009
59,Alyssa,65,2009
60,Aaliyah,63,2009
61,Rose,61,2009
62,Leah,61,2009
63,Matilda,61,2009
64,Isabel,60,2009
65,Poppy,60,2009
66,Millie,59,2009
67,Mackenzie,59,2009
68,Phoebe,58,2009
69,Alexis,58,2009
70,Lilly,57,2009
71,Mikayla,55,2009
72,Scarlett,53,2009
73,Savannah,53,2009
74,Sofia,53,2009
75,Riley,51,2009
76,Hazel,50,2009
77,Bailey,50,2009
78,Brooklyn,49,2009
79,Abby,49,2009
80,Daisy,49,2009
81,Lauren,49,2009
82,Tessa,48,2009
83,Rebecca,48,2009
84,Alexandra,48,2009
85,Ashley,47,2009
86,Anahera,47,2009
87,Manaia,47,2009
88,Katelyn,46,2009
89,Piper,46,2009
90,Lola,46,2009
91,Madeline,46,2009
92,Faith,45,2009
93,Annabelle,45,2009
94,Violet,45,2009
95,Aria,45,2009
96,Maria,45,2009
97,Natalie,44,2009
98,Madeleine,44,2009
99,Ariana,44,2009
100,Ayla,44,2009
1,Sophie,377,2010
2,Olivia,335,2010
3,Ruby,322,2010
4,Charlotte,305,2010
5,Isabella,286,2010
6,Lily,281,2010
7,Ella,277,2010
8,Chloe,262,2010
9,Emily,232,2010
10,Emma,228,2010
11,Zoe,219,2010
12,Ava,217,2010
13,Amelia,216,2010
14,Lucy,205,2010
15,Grace,192,2010
16,Mia,187,2010
17,Jessica,179,2010
18,Paige,176,2010
19,Hannah,175,2010
20,Madison,172,2010
21,Isla,166,2010
22,Sophia,163,2010
23,Georgia,149,2010
24,Eva,142,2010
25,Sienna,127,2010
26,Holly,124,2010
27,Bella,117,2010
28,Brooke,114,2010
29,Samantha,113,2010
30,Abigail,113,2010
31,Jasmine,111,2010
32,Maddison,104,2010
33,Maia,97,2010
34,Summer,90,2010
35,Amber,90,2010
36,Jade,89,2010
37,Elizabeth,88,2010
38,Molly,88,2010
39,Stella,85,2010
40,Hayley,85,2010
41,Sarah,84,2010
42,Taylor,83,2010
43,Scarlett,82,2010
44,Keira,78,2010
45,Nevaeh,78,2010
46,Eden,78,2010
47,Addison,76,2010
48,Peyton,75,2010
49,Tayla,75,2010
50,Alexis,75,2010
51,Annabelle,75,2010
52,Isabelle,74,2010
53,Kate,74,2010
54,Katie,73,2010
55,Aaliyah,73,2010
56,Alice,72,2010
57,Phoebe,72,2010
58,Kayla,71,2010
59,Zara,71,2010
60,Lilly,68,2010
61,Riley,67,2010
62,Caitlin,65,2010
63,Leah,64,2010
64,Rose,61,2010
65,Ashley,61,2010
66,Amy,61,2010
67,Sofia,60,2010
68,Alyssa,60,2010
69,Anna,59,2010
70,Poppy,58,2010
71,Isabel,58,2010
72,Mikayla,57,2010
73,Victoria,57,2010
74,Millie,56,2010
75,Danielle,55,2010
