DCA / Ownership / Year,Support œm,Investment œm,Jobs Promoted,No of Businesses,Offers
Lisburn and Castlereagh -External - Total,1.74,9.99,58,20,89
Lisburn and Castlereagh -External - 2011-12,0.02,0.02,,4,8
Lisburn and Castlereagh -External - 2012-13,0.39,4.03,34,8,20
Lisburn and Castlereagh -External - 2013-14,0.74,3.56,6,13,31
Lisburn and Castlereagh -External - 2014-15,0.18,0.44,3,10,17
Lisburn and Castlereagh -External - 2015-16,0.42,1.94,15,7,13
Lisburn and Castlereagh -Local - Total,28.43,125.63,"1,868",482,"1,750"
Lisburn and Castlereagh -Local - 2011-12,4.97,21.55,371,172,361
Lisburn and Castlereagh -Local - 2012-13,3.97,13.8,232,172,364
Lisburn and Castlereagh -Local - 2013-14,5.2,18.05,299,197,409
Lisburn and Castlereagh -Local - 2014-15,4.13,20.49,424,174,340
Lisburn and Castlereagh -Local - 2015-16,10.16,51.74,541,143,276
Mid and East Antrim - All -Total,29.43,174.41,"1,808",353,"1,193"
Mid and East Antrim - External - Total,9.17,75.93,640,13,88
Mid and East Antrim - External - 2011-12,0.68,1.56,,4,12
Mid and East Antrim - External - 2012-13,2.64,18.74,416,5,25
Mid and East Antrim - External - 2013-14,3.68,42.9,224,7,23
Mid and East Antrim - External - 2014-15,1.31,7.37,,10,22
Mid and East Antrim - External - 2015-16,0.88,5.36,,6,6
Mid and East Antrim - Local - Total,20.25,98.48,"1,168",340,"1,105"
Mid and East Antrim - Local - 2011-12,1.93,6.87,207,112,254
Mid and East Antrim - Local - 2012-13,7.01,28.5,183,124,248
Mid and East Antrim - Local - 2013-14,4.14,25.96,381,128,233
Mid and East Antrim - Local - 2014-15,4.41,22.87,321,125,235
Mid and East Antrim - Local - 2015-16,2.77,14.28,75,82,135
Mid Ulster - All -Total,59.56,412.53,"4,857",784,"3,081"
Mid Ulster - External - Total,7.9,66.19,526,20,142
Mid Ulster - External - 2011-12,1.34,16.48,201,10,25
Mid Ulster - External - 2012-13,2.3,14.92,128,13,27
Mid Ulster - External - 2013-14,0.6,9.87,3,9,23
Mid Ulster - External - 2014-15,2.94,22.12,192,12,39
Mid Ulster - External - 2015-16,0.71,2.81,2,9,28
Mid Ulster - Local - Total,51.65,346.33,"4,331",766,"2,939"
Mid Ulster - Local - 2011-12,6.65,37.53,598,235,555
Mid Ulster - Local - 2012-13,10.54,50.95,983,282,623
Mid Ulster - Local - 2013-14,9.9,45.24,780,319,647
Mid Ulster - Local - 2014-15,15.68,158.58,"1,417",314,623
Mid Ulster - Local - 2015-16,8.88,54.03,553,240,491
"Newry, Mourne and Down - All -Total",27.19,181.25,"2,460",674,"1,884"
"Newry, Mourne and Down - External - Total",2.36,31.38,171,23,65
"Newry, Mourne and Down - External - 2011-12",0.63,3.34,31,12,18
"Newry, Mourne and Down - External - 2012-13",0.13,0.65,12,9,12
"Newry, Mourne and Down - External - 2013-14",0.13,0.7,8,7,12
"Newry, Mourne and Down - External - 2014-15",1.41,26.54,120,9,17
"Newry, Mourne and Down - External - 2015-16",0.06,0.15,,4,6
"Newry, Mourne and Down - Local - Total",24.84,149.87,"2,289",653,"1,819"
"Newry, Mourne and Down - Local - 2011-12",2.91,13.28,360,208,377
"Newry, Mourne and Down - Local - 2012-13",3.94,12.03,210,212,355
"Newry, Mourne and Down - Local - 2013-14",4.71,19.47,557,237,433
"Newry, Mourne and Down - Local - 2014-15",9.66,78.41,833,219,382
"Newry, Mourne and Down - Local - 2015-16",3.61,26.67,329,169,272
Northern Ireland - All - Total,527.88,"3,466.91","42,439","8,082","22,432"
Northern Ireland - External - Total,211.82,"1,724.27","17,292",398,"1,563"
Northern Ireland - External - 2011-12,22.3,163.55,"1,664",134,280
Northern Ireland - External - 2012-13,34.09,247.42,"2,593",167,367
Northern Ireland - External - 2013-14,51.86,458.69,"4,750",154,332
Northern Ireland - External - 2014-15,82.75,683.64,"5,659",174,356
Northern Ireland - External - 2015-16,20.83,170.97,"2,626",133,228
Northern Ireland - Local - Total,316.06,"1,742.64","25,147","7,708","20,869"
Northern Ireland - Local - 2011-12,45.18,206.95,"3,975","2,050","3,840"
Northern Ireland - Local - 2012-13,66.34,276.47,"4,317","2,351","4,335"
Northern Ireland - Local - 2013-14,67.39,324.32,"5,839","2,788","4,857"
Northern Ireland - Local - 2014-15,84.62,648.3,"8,092","2,761","4,538"
Northern Ireland - Local - 2015-16,52.53,286.6,"2,924","1,979","3,299"
