Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Hazelwood,9,"4,317",3.61,29.88,18.9,18,"1,373",None,"1,729",60.6%,9.1%,25.9%,0.0%,0.0%,0.4%,3.3%,0.0%,0.8%
Highland Park,12,"6,395",5.73,27.15,23.3,3,66,None,"3,699",53.6%,12.1%,24.0%,0.0%,0.0%,1.9%,5.1%,1.0%,2.4%
Homewood North,11,"3,280",1.76,16.79,38.7,8,565,None,"1,174",47.6%,4.0%,35.8%,0.0%,0.0%,0.0%,7.8%,0.0%,4.9%
Homewood South,11,"2,344",1.76,16.69,41.9,0,0,O,598,45.5%,12.5%,34.1%,0.0%,0.0%,0.0%,4.3%,0.0%,3.5%
Homewood West,11,818,1.58,6.43,32.3,0,0,None,285,28.4%,27.7%,30.5%,0.0%,0.0%,0.0%,10.9%,0.0%,2.5%
Knoxville,6,"3,747",1.20,14.42,47.7,5,151,None,"1,493",48.4%,12.4%,30.4%,0.0%,0.0%,0.0%,7.5%,1.3%,0.0%
Larimer,12,"1,728",2.93,15.79,35.5,2,93,None,462,51.5%,6.1%,31.0%,0.0%,0.0%,0.0%,9.3%,0.0%,2.2%
Lincoln Place,8,"3,227",2.95,21.96,22.3,5,248,None,"1,881",83.9%,5.0%,8.9%,0.0%,0.0%,0.0%,0.3%,1.0%,0.9%
Lincoln-Lemington-Belmar,11,"4,883",6.31,30.38,16.8,8,585,None,"1,607",51.4%,10.4%,27.9%,0.0%,0.0%,0.0%,4.3%,0.0%,6.0%
Lower Lawrenceville,13,"2,341",2.15,12.73,29.6,0,0,None,"1,182",44.5%,10.8%,18.2%,0.0%,1.2%,7.5%,13.7%,0.0%,4.1%
Manchester,3,"2,130",2.16,11.14,39.9,0,0,None,749,35.9%,1.1%,41.7%,0.0%,0.0%,0.0%,11.6%,4.8%,4.9%
Marshall-Shadeland,2,"6,043",7.06,24.54,19.6,27,"1,295",None,"2,006",48.9%,9.3%,34.3%,0.0%,0.0%,0.0%,5.3%,0.5%,1.6%
Middle Hill,15,"1,707",0.94,13.26,43.5,9,441,None,606,40.8%,6.8%,48.3%,0.0%,0.0%,0.0%,4.1%,0.0%,0.0%
Morningside,12,"3,346",1.94,15.24,39.9,6,327,None,"1,921",59.6%,16.0%,15.1%,0.0%,0.0%,1.2%,5.3%,1.2%,1.5%
Mount Washington,6,"8,799",4.63,34.25,30.0,32,"1,367","BB, N","5,247",65.0%,8.6%,16.5%,0.0%,0.3%,0.5%,5.9%,0.2%,3.0%
Mt. Oliver,7,509,0.74,3.53,35.3,5,155,None,196,52.0%,11.2%,23.5%,0.0%,0.0%,0.0%,13.3%,0.0%,0.0%
New Homestead,8,990,0.62,12.11,15.2,0,0,None,737,88.9%,3.7%,1.9%,0.0%,0.0%,0.0%,1.8%,0.0%,3.8%
North Oakland,14,"10,551",2.45,15.00,30.1,4,72,"S, Q","3,436",20.6%,7.2%,11.5%,0.4%,0.0%,2.9%,52.6%,0.4%,4.4%
North Shore,16,303,6.81,13.60,44.9,0,0,G,161,72.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.0%,0.0%,0.0%
Northview Heights,1,"1,214",3.16,5.79,18.5,0,0,None,296,8.4%,0.0%,77.4%,0.0%,0.0%,0.0%,5.7%,0.0%,8.4%
Oakwood,4,"1,027",1.77,5.72,22.7,3,57,None,431,78.4%,2.6%,12.3%,0.0%,0.0%,0.0%,4.6%,0.0%,2.1%
Overbrook,5,"3,644",2.66,20.92,24.9,14,820,None,"2,015",68.1%,13.8%,15.5%,0.0%,0.0%,0.0%,2.6%,0.0%,0.0%
Perry North,2,"4,050",5.56,27.11,22.4,18,997,None,"2,056",67.4%,14.1%,13.1%,0.0%,0.0%,0.0%,3.7%,0.0%,1.7%
Perry South,2,"4,145",3.45,23.12,25.5,29,"1,783",None,"1,485",52.7%,10.2%,32.8%,0.0%,0.0%,0.0%,3.6%,0.0%,0.7%
Point Breeze,10,"5,315",5.13,21.33,21.2,4,129,None,"3,177",64.6%,7.6%,15.8%,0.0%,0.0%,1.2%,3.9%,1.1%,5.8%
Point Breeze North,11,"2,054",1.63,6.74,23.6,0,0,None,969,39.9%,16.3%,35.7%,0.0%,0.0%,0.0%,1.5%,1.2%,5.3%
Polish Hill,13,"1,274",1.46,8.02,31.4,16,988,None,921,73.0%,9.7%,11.3%,0.0%,0.0%,0.0%,1.2%,0.0%,4.9%
Regent Square,10,928,0.46,4.51,23.5,0,0,None,614,60.6%,9.3%,23.5%,0.0%,0.0%,0.0%,3.1%,0.0%,3.6%
Ridgemont,4,483,3.31,6.77,18.4,2,76,None,276,80.4%,4.7%,0.0%,0.0%,0.0%,0.0%,14.9%,0.0%,0.0%
Shadyside,12,"13,915",4.29,27.24,29.6,0,0,"J, U, V, X, Y","8,223",44.8%,7.3%,26.9%,0.0%,0.4%,1.2%,17.3%,0.4%,1.7%
Sheraden,4,"5,299",1.84,31.11,35.0,20,"1,189",None,"2,438",53.7%,20.8%,20.9%,0.0%,0.0%,0.0%,1.7%,2.3%,0.6%
South Oakland,14,"2,969",8.07,19.22,37.8,11,689,"E, M","1,132",46.6%,2.8%,14.0%,0.7%,0.0%,0.0%,30.2%,1.0%,4.8%
South Shore,16,19,3.64,7.98,37.7,0,0,None,38,76.3%,0.0%,23.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
South Side Flats,7,"6,597",4.09,25.94,27.7,2,83,DD,"4,328",53.0%,8.0%,15.6%,0.0%,0.3%,1.4%,19.3%,0.3%,2.0%
South Side Slopes,7,"4,423",2.53,22.24,31.1,66,"5,402",None,"2,586",62.9%,13.5%,11.3%,0.0%,0.0%,0.0%,9.9%,0.2%,2.1%
Spring Garden,1,884,1.93,6.55,23.8,14,"1,053",None,638,41.4%,30.4%,6.7%,0.0%,0.0%,5.2%,12.5%,0.0%,3.8%
Spring Hill-City View,1,"2,648",1.92,15.18,24.1,16,"1,393",None,899,53.1%,18.2%,14.8%,0.0%,0.0%,6.3%,4.4%,0.0%,3.1%
Squirrel Hill North,10,"11,363",8.19,26.46,21.7,4,252,"J, K, Z","5,962",47.5%,4.5%,11.1%,0.0%,0.2%,1.6%,26.1%,0.0%,9.0%
Squirrel Hill South,10,"15,110",7.99,46.67,17.5,5,112,None,"7,779",54.0%,8.7%,22.7%,0.0%,0.2%,2.5%,6.8%,0.3%,4.8%
St. Clair,7,209,1.37,4.36,14.1,1,26,None,289,30.8%,0.0%,55.0%,0.0%,0.0%,0.0%,10.0%,0.0%,4.2%
Stanton Heights,13,"4,601",2.16,20.53,27.9,11,762,None,"2,468",71.5%,11.9%,12.6%,0.3%,0.8%,1.9%,0.9%,0.0%,0.2%
Strip District,13,616,5.16,17.34,28.5,1,65,None,277,53.8%,19.1%,18.1%,0.0%,0.0%,0.0%,0.0%,0.0%,9.0%
Summer Hill,1,"1,051",4.94,12.68,28.9,0,0,None,643,94.6%,2.8%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Swisshelm Park,10,"1,361",2.04,8.54,17.8,0,0,None,710,69.6%,16.9%,6.5%,0.0%,0.0%,3.1%,3.0%,0.0%,1.0%
Terrace Village,15,"3,228",0.74,7.41,21.7,3,157,None,"1,031",16.3%,6.4%,45.2%,0.0%,0.0%,0.0%,31.2%,0.0%,0.9%
Troy Hill,1,"2,714",2.40,13.63,29.6,10,598,None,"1,370",65.0%,13.8%,9.9%,0.0%,0.0%,0.0%,8.5%,1.2%,1.6%
Upper Hill,15,"2,057",0.77,9.57,30.6,15,695,None,633,49.0%,13.1%,31.3%,0.0%,0.0%,0.0%,4.3%,2.4%,0.0%
Upper Lawrenceville,13,"2,669",1.83,12.09,29.9,9,"1,121",None,"1,163",56.7%,5.4%,25.0%,0.0%,0.0%,1.0%,5.2%,0.0%,6.5%
West End,4,254,4.17,7.04,35.2,5,311,None,64,48.4%,17.2%,15.6%,0.0%,18.8%,0.0%,0.0%,0.0%,0.0%
West Oakland,14,"2,604",1.26,6.49,30.2,6,376,"B, C",834,35.5%,1.0%,22.1%,0.0%,0.0%,0.0%,40.8%,0.7%,0.0%
Westwood,4,"3,066",2.41,16.64,24.0,8,375,None,"1,563",63.0%,11.4%,12.9%,0.0%,1.2%,0.0%,8.7%,0.0%,2.9%
Windgap,4,"1,369",1.10,8.92,21.5,1,16,None,567,60.0%,16.9%,18.0%,0.0%,0.0%,0.0%,0.0%,5.1%,0.0%
