Neighborhood,Sector #,Population (2010),Total Age 16+ N'hood Residents Employed (2010 Est.),Resident Jobs: Construction,Resident Jobs: Manufacturing,Resident Jobs: Retail Trade,"Resident Jobs: Transportation, warehousing, utilities",Resident Jobs: Information,"Resident Jobs: Finance, insurance, real estate","Resident Jobs: Prof, scientific, admin, and waste mgmt","Resident Jobs: Educ, health and social svc","Resident Jobs: Arts, ent, recreation, accommodation and food services",Resident Jobs: Public admin,Resident Jobs: Other,Total # Jobs Located in N'hood (2000 - latest yr. avail.),Jobs in 'Hood: Construction,Jobs in 'Hood: Manufacturing,Jobs in 'Hood: Retail trade,"Jobs in 'Hood: Transport, warehousing, utilities",Jobs in 'Hood: Information,"Jobs in 'Hood: Finance, insurance, real estate","Jobs in 'Hood: Prof, scientific, admin, and waste mgmt","Jobs in 'Hood: Educ, health, and social svc","Jobs in 'Hood: Arts, ent, recreation, accommodation and food services",Jobs in 'Hood: Public admin,Jobs in 'Hood: Other
Central Business District,16,"3,629","1,610",2.2%,6.6%,6.3%,2.9%,6.6%,12.4%,12.4%,27.5%,13.2%,0.0%,9.8%,"95,545",3.8%,5.9%,6.7%,3.9%,6.0%,23.0%,23.4%,7.5%,5.9%,8.2%,5.8%
Central Lawrenceville,13,"4,482","2,180",3.9%,5.5%,7.3%,8.0%,3.4%,2.3%,11.4%,28.4%,9.3%,2.1%,18.3%,"3,357",7.6%,6.4%,6.4%,2.2%,0.0%,1.8%,1.5%,62.6%,7.0%,1.3%,3.2%
Central Northside,3,"2,923","1,522",1.3%,8.1%,15.2%,3.8%,4.6%,10.2%,9.9%,28.4%,10.1%,1.8%,6.5%,"5,483",5.4%,2.7%,2.0%,0.7%,0.2%,2.6%,4.0%,77.9%,0.7%,0.2%,3.5%
Central Oakland,14,"6,086","2,652",2.4%,1.0%,14.3%,1.5%,6.1%,3.1%,4.2%,40.8%,23.0%,2.7%,0.9%,"3,862",0.8%,1.3%,11.7%,1.3%,1.4%,4.4%,6.0%,47.5%,18.5%,1.4%,5.8%
Chartiers City,4,477,188,7.4%,5.3%,12.8%,6.9%,0.0%,10.6%,0.0%,38.8%,6.9%,5.9%,5.3%,74,0.0%,27.0%,13.5%,13.5%,0.0%,0.0%,5.4%,27.0%,0.0%,0.0%,13.5%
Chateau,3,11,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,870",9.2%,12.5%,4.3%,43.7%,1.8%,3.1%,4.3%,5.2%,2.0%,1.2%,12.7%
Crafton Heights,4,"3,814","1,838",3.8%,6.5%,10.9%,4.4%,2.9%,9.9%,9.7%,21.1%,9.4%,6.5%,14.8%,367,16.3%,17.4%,3.8%,8.2%,2.7%,0.0%,6.8%,32.7%,8.2%,0.0%,3.8%
Crawford-Roberts,15,"2,256",645,0.0%,4.7%,13.3%,9.0%,5.0%,6.8%,1.7%,43.3%,10.5%,4.2%,1.6%,884,1.1%,2.3%,2.8%,0.5%,2.3%,5.1%,4.0%,42.4%,0.0%,20.4%,19.2%
Duquesne Heights,6,"2,425","1,284",0.5%,11.1%,9.9%,8.6%,3.7%,7.2%,25.8%,13.9%,3.9%,9.2%,6.2%,764,30.1%,21.6%,7.9%,0.0%,0.5%,6.5%,5.9%,6.5%,13.1%,0.0%,7.9%
East Allegheny,3,"2,136","1,236",3.6%,5.6%,9.5%,0.0%,2.6%,13.6%,18.1%,22.8%,13.2%,3.2%,7.8%,915,1.6%,4.4%,19.7%,1.6%,0.0%,8.7%,14.2%,21.3%,10.4%,0.0%,18.0%
East Carnegie,4,570,109,19.3%,21.1%,0.0%,0.0%,0.0%,0.0%,11.9%,37.6%,0.0%,0.0%,10.1%,554,7.2%,45.1%,7.2%,1.8%,10.8%,9.0%,4.5%,2.7%,3.6%,0.0%,7.9%
East Hills,11,"3,169",823,3.3%,4.1%,9.4%,4.6%,1.7%,10.6%,8.5%,30.5%,10.9%,7.5%,8.9%,288,0.0%,6.9%,5.2%,0.0%,0.0%,10.4%,15.6%,41.7%,1.4%,10.4%,8.3%
East Liberty,12,"5,869","2,400",0.5%,8.5%,9.0%,3.3%,1.8%,12.7%,6.5%,40.6%,7.6%,2.2%,7.4%,"5,553",1.6%,5.1%,10.7%,4.4%,3.1%,7.4%,15.8%,21.8%,10.1%,8.1%,11.9%
Elliott,4,"2,381",958,4.1%,17.0%,2.2%,4.5%,0.0%,10.6%,15.6%,19.1%,9.9%,4.2%,12.8%,924,7.6%,0.0%,7.0%,1.1%,65.5%,0.4%,1.6%,7.6%,0.0%,6.0%,3.2%
Esplen,4,301,80,0.0%,0.0%,22.5%,0.0%,0.0%,0.0%,12.5%,37.5%,15.0%,0.0%,12.5%,129,7.8%,15.5%,15.5%,0.0%,0.0%,0.0%,0.0%,11.6%,0.0%,15.5%,34.1%
Fairywood,4,"1,002",117,11.1%,0.0%,0.0%,0.0%,23.9%,0.0%,24.8%,27.4%,6.8%,0.0%,6.0%,"1,249",2.0%,1.2%,17.6%,30.0%,0.0%,1.2%,0.3%,2.0%,0.8%,0.0%,44.8%
Fineview,3,"1,285",547,1.8%,2.4%,14.8%,5.7%,3.3%,6.2%,8.4%,37.3%,4.8%,2.4%,13.0%,262,0.0%,7.6%,3.8%,0.0%,84.0%,0.0%,1.5%,1.5%,0.0%,0.0%,1.5%
Friendship,12,"1,785",936,3.4%,4.9%,13.8%,0.7%,2.6%,4.9%,3.8%,38.9%,14.5%,4.0%,8.4%,464,5.4%,0.0%,10.8%,2.2%,4.3%,18.3%,10.8%,29.1%,4.3%,0.0%,14.9%
Garfield,12,"3,675","1,489",5.2%,5.4%,9.4%,5.3%,0.0%,8.8%,5.0%,35.8%,8.0%,8.0%,9.1%,600,7.5%,3.3%,8.3%,0.7%,0.7%,10.0%,0.0%,30.0%,11.7%,8.8%,19.0%
Glen Hazel,9,716,89,0.0%,0.0%,0.0%,27.0%,0.0%,25.8%,38.2%,9.0%,0.0%,0.0%,0.0%,370,9.5%,0.0%,0.0%,0.0%,0.0%,6.8%,0.0%,75.7%,0.0%,8.1%,0.0%
Greenfield,9,"7,294","4,407",5.2%,3.9%,7.8%,5.5%,2.5%,4.9%,16.1%,31.1%,6.5%,5.0%,11.6%,795,10.1%,2.5%,11.9%,3.8%,4.4%,6.9%,10.7%,17.0%,10.1%,7.5%,15.1%
Hays,8,362,176,10.2%,13.6%,17.0%,8.5%,0.0%,6.8%,12.5%,0.0%,25.6%,0.0%,5.7%,384,14.3%,41.7%,5.2%,0.0%,1.0%,6.5%,22.1%,0.0%,0.0%,0.0%,9.1%
Hazelwood,9,"4,317","1,804",6.5%,3.3%,15.3%,6.1%,1.4%,10.0%,11.2%,20.0%,16.5%,3.9%,5.8%,"1,219",8.6%,15.6%,4.5%,11.1%,1.6%,0.8%,1.6%,14.8%,3.3%,27.9%,10.2%
Highland Park,12,"6,395","3,874",0.7%,3.2%,9.2%,0.0%,2.1%,9.0%,10.9%,46.9%,6.8%,2.9%,8.2%,447,0.9%,2.2%,5.6%,0.9%,0.0%,3.1%,24.6%,19.0%,15.7%,15.7%,12.3%
Homewood North,11,"3,280","1,200",0.0%,10.2%,20.3%,5.4%,5.7%,7.3%,1.4%,33.3%,9.8%,2.9%,3.8%,"2,820",3.5%,0.0%,0.7%,1.2%,0.5%,1.4%,0.7%,81.6%,0.7%,6.7%,2.8%
Homewood South,11,"2,344",648,1.4%,4.2%,16.0%,8.3%,0.0%,9.0%,1.9%,43.5%,3.9%,2.3%,9.6%,689,0.6%,7.8%,0.6%,4.4%,4.4%,11.6%,4.4%,37.6%,12.3%,10.7%,5.7%
Homewood West,11,818,285,0.0%,5.3%,11.9%,0.0%,0.0%,8.8%,0.0%,46.3%,5.3%,4.6%,17.9%,379,23.7%,0.0%,4.0%,2.6%,5.3%,0.0%,33.0%,6.6%,11.9%,0.0%,12.9%
Knoxville,6,"3,747","1,536",2.0%,8.7%,8.7%,2.1%,4.6%,6.5%,10.4%,32.3%,10.4%,5.8%,8.4%,534,4.7%,0.0%,18.7%,0.0%,0.0%,2.8%,7.5%,35.6%,18.7%,0.7%,11.2%
Larimer,12,"1,728",478,5.4%,0.0%,14.0%,6.1%,1.5%,6.7%,7.1%,34.7%,13.8%,6.9%,3.8%,"2,644",5.7%,17.8%,4.5%,5.9%,17.2%,1.5%,14.6%,15.3%,0.4%,0.2%,17.0%
Lincoln Place,8,"3,227","1,907",7.2%,4.1%,16.6%,4.4%,0.4%,9.4%,12.3%,22.4%,5.5%,7.3%,10.3%,178,0.0%,2.2%,8.4%,2.2%,0.0%,0.0%,0.0%,14.0%,19.7%,16.9%,36.5%
Lincoln-Lemington-Belmar,11,"4,883","1,653",2.7%,4.0%,10.3%,1.3%,5.0%,6.6%,10.0%,36.3%,5.2%,9.7%,8.9%,"2,908",4.0%,0.0%,0.7%,1.2%,0.5%,1.7%,0.8%,79.4%,0.7%,7.4%,3.6%
Lower Lawrenceville,13,"2,341","1,281",3.5%,4.2%,9.6%,7.3%,5.3%,6.6%,8.0%,29.3%,9.1%,3.6%,13.5%,"1,840",12.0%,20.9%,6.8%,2.2%,0.8%,4.9%,3.8%,12.5%,3.3%,7.6%,25.3%
Manchester,3,"2,130",749,7.6%,4.5%,2.3%,10.3%,5.3%,7.1%,15.5%,27.2%,8.3%,2.7%,9.2%,714,3.5%,9.8%,8.4%,11.9%,0.6%,9.8%,8.4%,25.9%,0.0%,7.0%,14.7%
Marshall-Shadeland,2,"6,043","2,059",6.4%,5.4%,14.5%,3.5%,1.7%,7.1%,3.3%,31.0%,16.4%,1.9%,8.6%,"2,784",9.2%,14.7%,5.9%,23.0%,0.1%,0.5%,2.9%,10.2%,1.3%,14.9%,17.2%
Middle Hill,15,"1,707",608,0.0%,3.0%,0.5%,0.0%,4.1%,9.9%,8.4%,50.8%,3.9%,1.5%,17.9%,475,0.0%,0.0%,7.4%,0.0%,0.0%,7.4%,9.5%,40.0%,10.5%,5.3%,20.0%
Morningside,12,"3,346","1,988",3.0%,1.8%,9.7%,3.1%,0.5%,8.1%,8.1%,34.0%,13.4%,5.1%,13.1%,354,12.7%,1.1%,11.3%,0.0%,0.0%,0.0%,15.5%,26.8%,2.8%,1.1%,28.5%
Mount Washington,6,"8,799","5,378",2.4%,5.8%,12.9%,3.9%,3.2%,9.2%,14.1%,26.6%,13.9%,3.0%,5.0%,"1,326",4.1%,2.2%,10.2%,0.8%,1.8%,7.8%,12.8%,26.4%,23.4%,0.8%,9.7%
Mt. Oliver,7,509,206,0.0%,8.3%,25.7%,5.3%,0.0%,5.3%,4.9%,15.5%,4.9%,5.3%,24.8%,98,0.0%,0.0%,4.1%,0.0%,0.0%,0.0%,0.0%,91.8%,0.0%,4.1%,0.0%
New Homestead,8,990,737,1.9%,3.5%,25.0%,11.4%,0.0%,5.6%,5.8%,22.9%,1.9%,8.0%,14.0%,12,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,0.0%,0.0%,0.0%
North Oakland,14,"10,551","3,512",0.6%,2.1%,10.1%,2.0%,0.3%,2.0%,9.0%,52.2%,16.7%,3.2%,1.8%,"18,174",0.9%,1.9%,3.3%,0.8%,3.1%,2.4%,5.7%,69.5%,8.8%,1.0%,2.5%
North Shore,16,303,162,14.8%,14.2%,0.0%,0.0%,0.0%,0.0%,21.0%,29.0%,0.0%,0.0%,21.0%,"3,400",13.1%,17.6%,1.8%,0.6%,7.1%,5.1%,20.3%,10.9%,13.2%,1.2%,9.1%
Northview Heights,1,"1,214",296,0.0%,8.4%,15.5%,0.0%,0.0%,15.2%,13.5%,20.6%,7.1%,14.9%,4.7%,210,0.0%,0.0%,59.5%,0.0%,0.0%,0.0%,0.0%,35.7%,0.0%,0.0%,4.8%
Oakwood,4,"1,027",418,9.8%,3.8%,9.6%,2.9%,4.5%,4.3%,9.3%,28.5%,10.3%,10.5%,6.5%,414,8.5%,2.4%,2.4%,1.0%,0.0%,4.8%,21.7%,19.3%,16.9%,3.6%,19.3%
Overbrook,5,"3,644","2,050",9.2%,8.1%,5.7%,6.4%,2.2%,7.6%,12.6%,25.5%,6.7%,5.9%,10.0%,843,12.5%,4.7%,23.1%,3.4%,0.5%,1.2%,22.5%,10.7%,7.1%,1.2%,13.0%
Perry North,2,"4,050","2,200",9.7%,6.0%,9.8%,4.7%,3.7%,6.0%,9.8%,31.1%,7.6%,2.5%,9.0%,629,1.6%,4.8%,0.0%,1.6%,2.2%,3.2%,6.4%,66.0%,1.6%,6.4%,6.4%
Perry South,2,"4,145","1,533",3.0%,2.9%,4.7%,4.8%,1.9%,9.8%,12.5%,34.1%,8.6%,8.9%,8.8%,987,5.6%,5.6%,4.1%,0.4%,0.0%,1.4%,4.6%,61.8%,3.0%,1.0%,12.6%
Point Breeze,10,"5,315","3,237",6.9%,7.2%,3.2%,1.2%,1.8%,7.4%,16.0%,42.7%,5.7%,2.4%,5.6%,"1,459",3.8%,2.0%,5.8%,1.4%,2.7%,1.7%,15.8%,27.1%,19.5%,1.7%,18.5%
Point Breeze North,11,"2,054","1,028",1.3%,2.9%,3.0%,1.1%,5.6%,4.0%,5.8%,46.0%,17.8%,5.9%,6.5%,"1,970",4.8%,14.7%,10.2%,1.0%,1.8%,5.6%,7.9%,37.1%,0.5%,2.3%,14.2%
Polish Hill,13,"1,274",941,5.8%,8.7%,23.8%,7.7%,0.0%,3.1%,6.0%,30.5%,10.6%,3.4%,0.4%,318,3.1%,4.7%,6.3%,4.7%,1.3%,0.0%,15.7%,1.3%,45.6%,0.0%,17.3%
Regent Square,10,928,657,0.0%,13.2%,3.7%,4.0%,4.4%,10.2%,11.4%,45.5%,1.5%,1.5%,4.6%,159,0.0%,15.7%,25.2%,0.0%,0.0%,0.0%,18.9%,22.0%,15.7%,0.0%,2.5%
Ridgemont,4,483,276,0.0%,49.6%,4.0%,4.0%,0.0%,12.3%,3.6%,18.5%,0.0%,4.0%,4.0%,30,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Shadyside,12,"13,915","8,397",0.9%,4.9%,6.4%,2.3%,3.0%,7.6%,17.7%,45.6%,7.1%,1.7%,2.8%,"9,027",2.4%,1.9%,10.9%,4.1%,1.3%,4.6%,6.2%,52.6%,7.4%,0.6%,8.0%
Sheraden,4,"5,299","2,524",8.9%,5.6%,13.6%,6.2%,1.7%,11.3%,11.1%,17.2%,14.9%,3.6%,5.9%,707,24.0%,7.6%,6.4%,6.9%,4.2%,4.2%,2.8%,25.5%,6.4%,2.7%,9.2%
South Oakland,14,"2,969","1,124",0.7%,3.8%,11.8%,4.2%,0.6%,6.3%,9.8%,25.6%,29.2%,3.0%,4.9%,"3,830",6.3%,6.0%,1.8%,2.2%,1.7%,0.3%,6.5%,60.4%,1.7%,8.5%,4.6%
South Shore,16,19,38,0.0%,28.9%,0.0%,0.0%,0.0%,0.0%,0.0%,26.3%,44.7%,0.0%,0.0%,"2,815",3.2%,6.0%,6.7%,1.1%,15.8%,18.7%,16.7%,1.4%,21.7%,1.2%,7.5%
South Side Flats,7,"6,597","4,425",3.6%,4.6%,9.4%,3.2%,2.4%,11.3%,17.9%,25.8%,15.0%,2.1%,4.7%,"10,170",6.4%,11.1%,10.1%,8.1%,3.6%,5.5%,9.4%,23.4%,8.3%,2.7%,11.5%
South Side Slopes,7,"4,423","2,679",8.2%,5.5%,13.8%,3.3%,1.6%,5.2%,9.9%,19.2%,22.5%,3.8%,7.0%,387,9.0%,25.8%,9.0%,15.5%,2.6%,5.2%,1.0%,9.0%,6.5%,1.0%,15.2%
Spring Garden,1,884,668,6.7%,12.9%,1.9%,7.8%,3.3%,10.0%,6.4%,23.8%,10.6%,9.1%,7.3%,549,16.4%,29.1%,10.0%,3.6%,1.8%,0.7%,10.9%,7.3%,5.5%,9.1%,5.5%
Spring Hill-City View,1,"2,648",907,2.8%,6.1%,13.0%,2.2%,0.0%,9.4%,13.0%,34.1%,9.7%,2.8%,7.1%,270,9.3%,0.0%,0.0%,40.7%,0.0%,11.1%,0.0%,38.9%,0.0%,0.0%,0.0%
Squirrel Hill North,10,"11,363","6,095",1.1%,5.0%,5.0%,2.3%,1.1%,5.9%,14.8%,51.3%,5.9%,1.3%,6.5%,"8,671",2.1%,0.5%,3.9%,0.3%,3.3%,2.5%,5.8%,71.5%,5.0%,1.6%,3.4%
Squirrel Hill South,10,"15,110","8,064",0.3%,4.4%,8.2%,0.6%,1.0%,3.9%,16.1%,49.1%,6.7%,4.8%,4.9%,"3,854",2.9%,1.4%,16.5%,0.8%,1.9%,9.2%,6.5%,40.5%,11.8%,0.5%,8.0%
St. Clair,7,209,289,0.0%,4.5%,21.8%,2.4%,0.0%,9.3%,0.0%,41.9%,13.8%,0.0%,6.2%,59,0.0%,25.4%,0.0%,0.0%,0.0%,6.8%,0.0%,25.4%,25.4%,0.0%,16.9%
Stanton Heights,13,"4,601","2,513",3.9%,5.5%,11.4%,3.5%,2.2%,12.7%,10.1%,32.0%,5.3%,5.4%,8.0%,124,3.2%,0.0%,0.0%,3.2%,3.2%,12.1%,11.3%,52.4%,0.0%,3.2%,11.3%
Strip District,13,616,277,0.0%,14.8%,6.9%,3.6%,3.2%,15.5%,21.7%,15.9%,5.1%,7.9%,5.4%,"11,228",12.1%,6.8%,6.1%,9.3%,10.4%,10.9%,13.6%,6.1%,7.9%,3.8%,13.1%
Summer Hill,1,"1,051",646,12.7%,0.0%,12.2%,9.8%,7.3%,7.3%,0.0%,17.8%,4.0%,25.4%,3.6%,157,0.0%,2.5%,0.0%,2.5%,66.9%,0.0%,2.5%,9.6%,0.0%,0.0%,15.9%
Swisshelm Park,10,"1,361",717,5.6%,1.1%,9.3%,5.3%,2.1%,7.1%,10.7%,38.9%,12.0%,3.3%,4.5%,77,0.0%,5.2%,0.0%,13.0%,5.2%,0.0%,32.5%,5.2%,0.0%,13.0%,26.0%
Terrace Village,15,"3,228","1,067",2.1%,0.0%,5.5%,4.8%,0.0%,2.0%,13.0%,34.1%,30.5%,3.5%,4.6%,887,2.3%,1.7%,1.1%,1.1%,0.5%,1.1%,0.5%,84.6%,0.0%,2.7%,4.5%
Troy Hill,1,"2,714","1,370",9.1%,11.4%,12.5%,0.5%,0.7%,17.8%,5.0%,16.1%,14.0%,1.8%,11.2%,"2,114",1.4%,64.3%,5.0%,1.9%,0.9%,5.0%,5.7%,6.4%,4.3%,0.2%,5.0%
Upper Hill,15,"2,057",681,1.8%,1.9%,7.6%,2.8%,4.3%,4.1%,11.3%,46.1%,7.6%,7.8%,4.7%,297,1.3%,47.1%,0.0%,0.0%,0.0%,1.3%,5.1%,26.9%,8.4%,0.0%,9.8%
Upper Lawrenceville,13,"2,669","1,191",0.8%,7.5%,14.9%,6.7%,0.0%,13.0%,6.0%,21.3%,16.0%,3.3%,10.4%,984,22.4%,11.2%,20.8%,17.8%,1.5%,3.0%,0.4%,2.0%,4.1%,2.5%,14.2%
West End,4,254,64,0.0%,17.2%,0.0%,0.0%,0.0%,17.2%,18.8%,29.7%,17.2%,0.0%,0.0%,900,16.7%,19.4%,14.4%,0.0%,2.8%,6.1%,10.6%,2.2%,7.2%,10.6%,10.0%
West Oakland,14,"2,604",834,4.3%,0.5%,5.9%,3.4%,0.0%,2.5%,10.7%,45.7%,10.9%,8.2%,8.0%,"12,895",1.6%,1.3%,1.0%,0.5%,0.3%,0.8%,3.1%,88.3%,1.3%,0.6%,1.3%
Westwood,4,"3,066","1,623",2.7%,16.8%,10.2%,2.1%,0.9%,9.2%,9.2%,27.3%,5.8%,6.4%,9.5%,"1,105",7.7%,5.0%,24.4%,2.3%,1.8%,2.7%,19.0%,16.3%,6.3%,2.7%,11.8%
Windgap,4,"1,369",577,6.4%,12.1%,22.7%,4.7%,8.3%,7.3%,10.9%,19.1%,5.9%,1.7%,0.9%,74,0.0%,20.3%,0.0%,0.0%,0.0%,0.0%,13.5%,5.4%,20.3%,0.0%,40.5%
