HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,RoyalVictoria,South Tyrone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total FCEs
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,38,.,.,.,.,38
AA19E,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA20C,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA20C,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA20D,100,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA20D,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA20D,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA21D,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
AA21F,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA21F,110,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21F,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,41
AA21F,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21G,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA21G,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,2,.,.,.,.,.,.,1,.,.,.,.,3
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22G,172,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",4,.,1,.,.,1,.,.,.,.,.,.,.,.,.,2,8
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24D,150,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,150,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,350,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,5
AA24E,400,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,3
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,13
AA24G,400,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA24H,172,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA25D,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1,5,.,.,.,.,.,.,.,.,.,1,.,.,.,.,7
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,101,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",2,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,9
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,54,.,.,.,.,54
AA26D,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,.,.,.,.,.,.,2,.,.,.,.,.,.,.,3
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,1,.,.,.,.,1,.,.,2
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA26F,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,1,.,.,.,1,.,.,.,.,.,.,.,2
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26G,172,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
AA26G,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,1,3
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,27
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,1,.,.,.,.,.,.,1,.,.,.,.,1,.,.,3
AA26H,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,1,.,.,.,1,.,.,1,.,2,.,1,6
AA26H,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,62,.,.,.,.,62
AA26H,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA28D,300,Motor Neuron Disease with CC Score 5-7,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA28D,400,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA28E,340,Motor Neuron Disease with CC Score 2-4,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA28E,400,Motor Neuron Disease with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA28F,300,Motor Neuron Disease with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA28F,400,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,6
AA29E,430,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AA29F,100,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA29F,150,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA29F,300,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,2
AA29F,430,Transient Ischaemic Attack with CC Score 0-4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30C,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30C,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30D,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA30E,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA30E,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA30F,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA30F,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,2
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,16
AA31E,150,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
