HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA08D,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"33,896",.,.,.,.,"33,896"
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,"8,740",.,.,.,"3,995",.,.,.,.,"12,734"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"96,831",.,.,.,.,"96,831"
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"5,772",.,.,.,.,"5,772"
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"4,373",.,.,.,.,"4,373"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"163,657",.,.,.,.,"163,657"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"544,292",.,.,.,.,"544,292"
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"65,459",.,.,.,.,"65,459"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"104,715",.,.,.,.,"104,715"
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,.,.,.,.,.,.,.,"19,023",.,.,.,.,"19,023"
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"18,310",.,.,.,.,"18,310"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"38,807",.,.,.,.,"38,807"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,"7,159",.,.,.,.,.,.,"38,976",.,.,.,.,"46,135"
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"12,140",.,.,.,.,"12,140"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"41,737",.,.,.,.,"41,737"
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"42,976",.,.,.,.,"42,976"
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"125,248",.,.,.,.,"125,248"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"36,515",.,.,.,.,"36,515"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"57,068",.,.,.,.,"57,068"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"222,544",.,.,.,.,"222,544"
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"8,812",.,.,.,"2,410","11,222"
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1","1,155",.,.,.,.,.,.,.,.,.,.,"108,780",.,.,.,.,"109,935"
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"11,812",.,.,.,.,"11,812"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"83,637",.,.,.,.,"83,637"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,"4,220",.,.,.,.,.,.,.,.,"223,748",.,.,.,"3,945","231,913"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,"2,582",.,991,.,.,.,.,.,.,"38,410",.,.,.,.,"41,983"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"1,326","4,782",.,.,.,.,.,.,.,.,"2,857",.,.,.,.,"8,965"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","6,136",.,.,.,.,.,.,"8,080",.,.,.,.,.,.,.,.,"14,216"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","9,643",.,559,.,876,603,.,588,.,.,.,"50,214",.,.,.,"5,502","67,985"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,"2,561",.,.,"9,869",.,.,.,.,"12,430"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"3,387",.,.,.,.,"3,387"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"12,510",.,.,.,.,"12,510"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,"3,506",.,.,.,.,.,.,.,.,"23,689",.,.,.,.,"27,195"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"22,663",.,.,.,.,.,.,.,.,"13,363",.,.,.,.,"36,026"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","7,451",.,"6,079",.,.,.,.,.,.,.,.,"13,081",.,"1,004",.,.,"27,615"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",877,.,"77,773",.,.,.,.,.,.,.,.,"41,398",.,.,.,.,"120,048"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,578",.,.,.,"1,885","15,463"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,"5,484",.,.,.,.,.,.,.,.,"10,126",.,.,.,367,"15,976"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"9,328",.,.,.,.,"9,328"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,315","9,917",.,.,.,.,.,.,"2,927",.,.,"14,478",.,.,.,.,"28,637"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","3,474","3,977","6,351",573,.,.,.,.,.,.,.,"202,869",.,.,.,"1,664","218,907"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,"3,048",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,048"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,"2,223",.,"4,082",.,.,.,.,"4,024",.,.,.,.,.,.,.,"10,329"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,363,.,.,"1,790","2,571",.,.,"20,730",.,502,.,.,"25,956"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","2,630","2,665","2,475",.,.,.,.,.,"2,195",.,.,"101,198",.,"4,662",.,"1,484","117,308"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",519,.,438,.,"2,637",.,.,.,"1,636",.,.,"150,262",.,"2,876",.,"1,467","159,835"
AA28D,Motor Neuron Disease with CC Score 5-7,"3,068",.,.,.,.,.,.,.,.,.,.,"15,679",.,.,.,.,"18,747"
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,438,.,.,.,.,.,.,.,.,"57,955",.,.,.,.,"58,393"
AA28F,Motor Neuron Disease with CC Score 0-1,.,813,.,.,.,.,.,.,.,.,.,"34,462",.,.,.,.,"35,275"
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,"4,749",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,749"
AA29E,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,"2,538",.,.,.,.,.,.,.,.,.,.,.,"2,538"
AA29F,Transient Ischaemic Attack with CC Score 0-4,737,.,.,.,.,.,.,.,376,.,.,"5,325",.,.,.,.,"6,438"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+","2,204",.,.,.,.,.,.,.,.,.,.,"8,704",.,.,.,.,"10,909"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,"6,350",.,.,.,.,.,.,.,"7,801",.,.,.,.,"14,151"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"1,562",.,.,.,.,.,.,"17,446",.,.,.,.,"19,007"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,904,"1,639",.,.,.,.,.,.,.,.,"36,896",.,502,.,"1,073","41,014"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","1,432",.,577,.,"2,032",.,.,.,.,.,.,"9,820",.,502,.,"1,834","16,196"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"1,540"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"9,399",.,.,.,.,"9,399"
AA35A,Stroke with CC Score 16+,.,.,.,"14,221",.,.,.,.,.,.,.,.,.,.,.,"5,968","20,189"
AA35B,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"30,443","30,443"
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,"14,537",.,.,.,"1,194","15,731"
AA35D,Stroke with CC Score 7-9,"5,260",.,.,"3,282",.,.,.,.,.,.,.,869,.,.,.,.,"9,410"
AA35E,Stroke with CC Score 4-6,"9,433",.,.,.,"8,323",.,.,.,.,.,.,"10,239",.,.,.,"4,476","32,471"
AA35F,Stroke with CC Score 0-3,.,"1,220",.,.,"2,502","2,110",.,.,.,.,.,599,.,.,.,"9,549","15,981"
AA39Z,Long Term EEG Monitoring,.,.,.,.,.,.,.,.,.,.,.,"1,670",.,.,.,.,"1,670"
AA40Z,Complex Long Term EEG Monitoring,.,"2,437","4,691",.,.,.,.,.,.,.,.,"597,719",.,.,.,.,"604,847"
AA41Z,Sleep Studies,.,.,"3,546",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,546"
AA42Z,Complex Sleep Studies,.,.,.,.,"7,807",.,.,.,.,.,.,"2,548",.,.,.,.,"10,356"
AB03Z,Complex Pain Procedures,.,.,347,.,.,.,.,.,.,.,.,.,.,.,.,.,347
AB04Z,Major Pain Procedures,.,.,"3,103",.,.,.,.,"55,279",.,.,.,"26,313",.,.,.,.,"84,695"
AB05Z,Intermediate Pain Procedures,"1,330",.,.,.,.,.,.,"7,064",.,.,.,"161,918",.,.,.,"6,821","177,133"
AB06Z,Minor Pain Procedures,"1,938","1,186",.,.,"1,834",.,.,"10,132",.,.,.,.,.,.,.,.,"15,089"
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,"30,558",.,.,.,.,.,.,.,.,"177,839",.,.,.,.,"208,397"
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,"13,116",.,.,.,.,.,.,.,.,"13,116"
AB09Z,Other Specified Pain Procedures,"2,660",.,.,.,.,.,.,.,.,.,.,"1,237",.,.,.,.,"3,897"
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,"4,928",.,.,.,.,.,.,.,.,.,.,"1,742",.,.,.,.,"6,670"
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"4,092",.,.,.,.,"4,092"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","19,710",.,.,.,.,.,.,.,.,"6,863",.,"146,596",.,.,.,.,"173,170"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,"1,677",.,.,.,.,.,.,.,.,.,.,"31,995",.,.,.,.,"33,672"
BZ04B,Lens Capsulotomy with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,525",.,.,.,.,"1,525"
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"8,309",.,.,.,"10,745","19,054"
BZ05B,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,"1,661",.,"4,122",.,.,.,"10,556","16,339"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,896",.,.,.,.,"2,896"
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,280","3,280"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","8,469",.,.,.,.,.,.,.,.,.,.,"31,314",.,.,.,"13,157","52,940"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","1,155",.,.,.,.,.,.,.,.,.,.,"7,365",.,.,.,.,"8,521"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","2,567",.,.,.,.,.,.,.,.,.,.,"2,937",.,.,.,.,"5,504"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","12,874",.,.,.,.,.,.,.,.,.,.,"33,783",.,.,.,.,"46,657"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under","4,153",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,518","11,671"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+","6,327",.,.,.,.,.,.,.,.,.,.,"1,851",.,.,.,"2,410","10,588"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","13,137",.,.,.,.,.,.,.,.,.,.,"27,110",.,.,.,"47,408","87,655"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"3,395",.,.,.,.,"3,395"
BZ09C,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+","2,173",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,173"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","31,887",.,.,.,.,.,.,.,.,"1,661",.,"81,096",.,.,.,"1,862","116,506"
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"4,832",.,.,.,.,"4,832"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"7,141",.,.,.,.,"7,141"
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"17,449",.,.,.,.,"17,449"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+","2,664",.,.,.,.,.,.,.,.,.,.,"3,115",.,.,.,.,"5,779"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0","6,388",.,.,.,.,.,.,.,.,.,.,"42,943",.,.,.,.,"49,331"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+","4,928",.,.,.,.,.,.,.,.,.,.,"5,194",.,.,.,.,"10,122"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","5,030",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,030"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"5,344",.,.,.,.,"5,344"
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0","3,644",.,.,.,.,.,.,.,.,.,.,"11,094",.,.,.,.,"14,739"
BZ16A,"Minor Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"4,392",.,.,.,.,"4,392"
BZ17A,Major Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"4,243",.,.,.,.,"4,243"
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"2,296",.,.,.,.,"2,296"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"5,383",.,.,.,.,"5,383"
BZ19B,Minor Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"2,265",.,.,.,.,"2,265"
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"4,059",.,.,.,.,"4,059"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"124,523",.,.,.,.,"124,523"
BZ21A,Major Vitreous Retinal Procedures with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,"2,410",.,.,.,.,"2,410"
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,"6,298",.,.,.,.,"6,298"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,"1,283",.,.,.,.,.,.,.,.,.,.,"131,635",.,.,.,.,"132,918"
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"1,455",.,.,.,.,"1,455"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"183,120",.,.,.,.,"183,120"
BZ23Z,Minor Vitreous Retinal Procedures,.,.,.,.,.,.,.,.,.,.,.,"103,405",.,.,.,.,"103,405"
BZ24D,Non-Surgical Ophthalmology with Interventions,"3,595",.,"2,877",.,.,.,.,.,.,.,.,"25,163",.,.,.,.,"31,634"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,725,.,.,.,.,.,.,.,.,.,.,.,725
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",979,.,"7,136",.,438,.,.,.,.,593,.,"16,722",.,.,.,.,"25,869"
CA01Z,Complex Neck Procedures,"5,035",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"42,680","47,715"
CA02A,Very Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"38,949",.,.,.,"44,877","83,826"
CA02B,Very Major Neck Procedures with CC Score 0-1,"20,831",.,.,.,"29,875",.,.,.,.,.,.,"117,030",.,.,.,"23,338","191,075"
CA03A,Major Neck Procedures with CC Score 2+,"35,445",.,.,.,.,.,.,.,.,.,.,"17,103",.,.,.,"59,150","111,698"
CA03B,Major Neck Procedures with CC Score 0-1,"140,965","26,211","5,254",.,"67,664",.,.,.,.,.,.,"292,794",.,.,.,"31,068","563,956"
CA04A,"Intermediate Neck Procedures, 19 years and over","23,041","4,490",.,.,"5,658",.,.,.,.,.,.,"65,558",.,.,.,"2,639","101,387"
CA04B,"Intermediate Neck Procedures, 18 years and under","10,215",.,.,.,"2,372",.,.,.,.,.,.,"16,918",.,.,.,.,"29,504"
CA05A,"Minor Neck Procedures, 19 years and over","28,445","7,382","2,666",.,"10,761",301,.,.,.,.,.,"26,709",.,"11,468",.,"2,508","90,240"
CA05B,"Minor Neck Procedures, 18 years and under","3,558",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,558"
CA10A,"Septorhinoplasty, 19 years and over","96,272","61,115",.,.,"164,498",.,.,.,.,.,.,"34,225",.,.,.,"12,129","368,239"
CA10B,"Septorhinoplasty, 18 years and under","6,542",.,.,.,"15,842",.,.,.,.,.,.,"2,566",.,.,.,"8,987","33,937"
CA11A,"Septoplasty, 19 years and over","222,249","64,593",.,.,"217,493","5,347",.,.,.,.,.,"196,777",.,.,.,"4,524","710,983"
CA11B,"Septoplasty, 18 years and under","22,225","1,200",.,.,"10,903","2,036",.,.,.,.,.,"13,507",.,.,.,"6,279","56,150"
CA12Z,Major Treatment of Epistaxis,"1,450",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,450"
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,.,.,.,"2,922",.,.,.,.,.,.,.,.,.,.,.,"2,922"
CA14Z,Nasal Polypectomy,"18,850","25,658",.,.,"49,258",.,.,.,.,.,.,"64,325",.,.,.,.,"158,091"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","1,450","1,457",.,.,"7,403",.,.,.,.,.,.,"5,092",.,.,.,.,"15,403"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","8,382",689,.,.,"2,525",.,.,.,.,.,.,"4,849",.,.,.,"4,373","20,818"
CA20Z,Complex Nose Procedures,.,.,.,.,"3,388",.,.,.,.,.,.,"51,358",.,.,.,"21,453","76,200"
CA21Z,Very Major Nose Procedures,"9,878","4,811",.,.,"26,233",.,.,.,.,.,.,"19,415",.,.,.,"17,668","78,005"
CA22Z,Major Nose Procedures,"63,606","36,118",.,.,"81,139",.,.,.,.,.,.,"86,725",.,.,.,"27,904","295,491"
CA23Z,Intermediate Nose Procedures,"2,852",.,.,.,.,.,.,.,.,.,.,"13,180",.,.,.,"15,127","31,159"
CA24A,"Minor Nose Procedures, 19 years and over","2,876","6,354",.,.,"21,410",.,.,.,.,.,.,"23,770",.,.,.,"3,370","57,779"
CA24B,"Minor Nose Procedures, 18 years and under",.,"1,100",.,.,"1,931",.,.,.,.,.,.,"1,570",.,.,.,965,"5,566"
CA25A,"Minimal Nose Procedures, 19 years and over","2,293","2,827",.,.,"3,210",.,.,.,.,.,.,"2,910",.,.,.,.,"11,240"
CA25B,"Minimal Nose Procedures, 18 years and under","2,293",.,.,.,"1,638","2,065",.,.,.,.,.,.,.,.,.,.,"5,996"
CA26Z,Complex Sinus Procedures,843,"4,191",.,.,"8,285",.,.,.,.,.,.,"124,352",.,.,.,.,"137,671"
CA27Z,Major Sinus Procedures,"17,400","1,977",.,.,"27,117",.,.,.,.,.,.,"14,191",.,.,.,.,"60,686"
CA28Z,Intermediate Sinus Procedures,"22,492","44,919",.,.,"87,594",.,.,.,.,.,.,"127,693",.,.,.,.,"282,698"
CA29Z,Minor Sinus Procedures,"9,981","7,841",.,.,"13,963","1,571",.,.,.,.,.,"23,307",.,.,.,"1,281","57,944"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over","33,450","9,149",.,.,"90,128",.,.,.,.,.,.,"91,648",.,.,.,.,"224,375"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under","16,725","2,099",.,.,"12,599",.,.,.,.,.,.,"21,557",.,.,.,"2,932","55,912"
CA31Z,"Simple or Cortical, Mastoid Procedures","8,363","8,290",.,.,"9,282",.,.,.,.,.,.,"48,563",.,.,.,"2,478","76,975"
CA32A,"Tympanoplasty, 19 years and over","79,782","35,376",.,.,"44,405",.,.,.,.,.,.,"140,013",.,.,.,.,"299,576"
CA32B,"Tympanoplasty, 18 years and under","9,813","16,665",.,.,"36,383","2,775",.,.,.,.,.,"69,569",.,.,.,"19,991","155,195"
CA33Z,Pinnaplasty,"19,625","8,114",.,.,"45,095",.,.,.,.,.,.,"10,535",.,.,.,"8,255","91,625"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over","5,800","1,647",.,.,"2,161",.,.,.,.,.,.,"8,281",.,.,.,.,"17,890"
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under","2,900","1,227",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,127"
CA35A,"Insertion of Grommets, 19 years and over","4,350","4,723",.,.,838,.,.,.,.,.,.,"5,341",.,.,.,.,"15,252"
CA35B,"Insertion of Grommets, between 2 and 18 years","11,600","6,460",.,.,"9,652",.,.,.,.,.,.,"7,016",.,.,.,"1,116","35,844"
CA35C,"Insertion of Grommets, 1 year and under",.,644,.,.,723,.,.,.,.,.,.,.,.,.,.,.,"1,367"
