Neighborhood,Sector #,Population (2010),Land Area (acres),Landslide Prone (% land area),Undermined (% land area),Flood Plain (% land area),# Street Trees,Park Space (acres),Park Space (% of land area),Park Space (acres/1000 pers.),Greenway (% of land area),Woodland (% of land area),Cemetery (% of land area)
Lincoln-Lemington-Belmar,11,"4,883","1,159.7",20.8%,3.8%,0.9%,303,24.0,2.1%,4.9,0.0%,26.5%,2.6%
Lower Lawrenceville,13,"2,341",275.2,4.7%,0.0%,29.9%,316,13.2,4.8%,5.7,0.0%,3.3%,0.0%
Manchester,3,"2,130",178.6,0.0%,0.0%,0.1%,610,7.0,3.9%,3.3,0.0%,0.0%,0.0%
Marshall-Shadeland,2,"6,043",802.6,27.6%,0.0%,33.1%,296,6.6,0.8%,1.1,0.0%,7.8%,10.8%
Middle Hill,15,"1,707",195.2,0.0%,44.6%,0.0%,221,1.7,0.9%,1.0,0.0%,1.5%,0.0%
Morningside,12,"3,346",244.5,26.0%,0.0%,1.4%,263,22.0,9.0%,6.6,1.0%,8.2%,0.0%
Mount Washington,6,"8,799",729.6,23.8%,62.4%,1.6%,724,111.4,15.3%,12.7,0.4%,13.3%,0.0%
Mt. Oliver,7,509,64.0,9.2%,94.7%,0.0%,7,17.7,27.7%,34.8,0.0%,11.5%,0.0%
New Homestead,8,990,508.2,30.9%,58.9%,0.0%,215,2.1,0.4%,2.1,0.0%,62.0%,0.0%
North Oakland,14,"10,551",319.4,17.9%,7.3%,0.0%,635,14.6,4.6%,1.4,0.0%,2.1%,0.0%
North Shore,16,303,193.9,0.0%,0.0%,82.0%,400,10.7,5.5%,35.4,0.0%,0.0%,0.0%
Northview Heights,1,"1,214",200.3,38.0%,9.7%,0.0%,7,0.0,0.0%,0.0,0.0%,28.8%,0.0%
Oakwood,4,"1,027",161.3,0.0%,46.6%,0.0%,101,4.9,3.0%,4.8,0.0%,33.8%,0.0%
Overbrook,5,"3,644",537.0,0.0%,77.5%,3.9%,270,17.2,3.2%,4.7,0.0%,18.3%,0.0%
Perry North,2,"4,050",775.7,59.0%,3.3%,0.0%,402,258.6,33.3%,63.9,0.0%,37.6%,0.0%
Perry South,2,"4,145",579.2,31.9%,5.5%,0.0%,303,13.0,2.2%,3.1,2.2%,13.7%,13.5%
Point Breeze,10,"5,315",642.6,3.8%,0.0%,0.0%,1092,54.8,8.5%,10.3,0.0%,7.6%,27.4%
Point Breeze North,11,"2,054",183.0,0.0%,0.0%,0.0%,442,12.0,6.6%,5.9,0.0%,0.0%,0.0%
Polish Hill,13,"1,274",163.2,75.0%,0.1%,0.4%,156,24.5,15.0%,19.3,0.0%,9.5%,0.0%
Regent Square,10,928,122.9,32.8%,0.0%,2.7%,240,63.5,51.6%,68.4,0.0%,33.3%,0.0%
Ridgemont,4,483,236.2,29.7%,70.6%,0.0%,63,0.0,0.0%,0.0,0.0%,38.6%,0.0%
Shadyside,12,"13,915",589.4,1.1%,0.0%,0.0%,1601,17.1,2.9%,1.2,0.0%,0.0%,0.0%
Sheraden,4,"5,299",569.6,38.2%,0.0%,0.1%,365,60.0,10.5%,11.3,0.0%,17.1%,0.0%
South Oakland,14,"2,969",325.1,23.2%,0.0%,9.8%,180,5.4,1.7%,1.8,0.0%,6.7%,0.0%
South Shore,16,19,135.7,7.6%,0.0%,52.4%,12,3.8,2.8%,198.1,0.0%,1.4%,0.0%
South Side Flats,7,"6,597",599.0,0.0%,0.0%,21.3%,1337,21.0,3.5%,3.2,0.0%,0.2%,0.0%
South Side Slopes,7,"4,423",458.2,66.4%,39.8%,0.0%,246,63.6,13.9%,14.4,0.0%,12.2%,4.1%
Spring Garden,1,884,176.0,54.3%,0.0%,0.2%,48,14.2,8.1%,16.1,9.8%,36.6%,0.0%
Spring Hill-City View,1,"2,648",403.2,57.2%,15.8%,0.0%,115,20.0,5.0%,7.5,9.1%,26.2%,2.7%
Squirrel Hill North,10,"11,363",782.1,0.4%,4.9%,0.0%,1846,26.2,3.4%,2.3,0.0%,2.1%,2.1%
Squirrel Hill South,10,"15,110","1,709.4",21.9%,8.8%,1.3%,2263,684.6,40.0%,45.3,0.0%,28.9%,0.0%
St. Clair,7,209,198.4,47.1%,61.9%,0.1%,85,0.0,0.0%,0.0,0.0%,49.3%,0.0%
Stanton Heights,13,"4,601",470.4,18.0%,15.5%,0.0%,730,13.9,3.0%,3.0,6.8%,20.4%,0.0%
Strip District,13,616,389.1,10.9%,0.0%,54.2%,173,6.6,1.7%,10.6,0.0%,3.1%,0.0%
Summer Hill,1,"1,051",281.0,52.8%,2.7%,0.0%,137,0.0,0.0%,0.0,0.0%,18.8%,0.0%
Swisshelm Park,10,"1,361",307.2,47.3%,0.0%,4.8%,109,36.5,11.9%,26.9,0.0%,31.2%,0.0%
Terrace Village,15,"3,228",218.9,14.7%,44.9%,0.0%,264,15.9,7.3%,4.9,0.0%,8.3%,0.0%
Troy Hill,1,"2,714",294.4,23.9%,0.0%,29.1%,75,8.4,2.8%,3.1,0.0%,7.5%,2.4%
Upper Hill,15,"2,057",200.3,38.5%,83.4%,0.0%,235,12.8,6.4%,6.2,0.0%,9.2%,0.0%
Upper Lawrenceville,13,"2,669",259.2,13.9%,0.0%,11.9%,246,3.3,1.3%,1.2,0.2%,6.4%,0.0%
West End,4,254,128.0,16.8%,0.0%,25.4%,108,7.8,6.1%,30.7,0.4%,13.2%,0.0%
West Oakland,14,"2,604",137.6,64.5%,19.2%,0.0%,73,1.1,0.8%,0.4,0.0%,13.4%,0.0%
Westwood,4,"3,066",442.9,15.2%,79.6%,0.0%,306,14.4,3.3%,4.7,0.0%,23.2%,0.0%
Windgap,4,"1,369",265.6,11.0%,0.0%,2.1%,104,11.6,4.4%,8.5,0.0%,23.2%,0.0%
