HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,3
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,1,5,.,.,.,.,.,.,4,.,4,.,.,14
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,5,1,.,1,.,.,.,2,.,2,.,31,.,.,.,4,47
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,12,3,.,4,2,1,.,2,.,1,.,44,.,2,.,13,85
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",15,31,5,2,17,1,1,.,7,.,7,.,72,.,16,.,37,211
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,1,.,.,2,.,.,.,2,.,1,.,.,.,.,.,.,6
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,1,6,2,2,3,.,.,.,4,.,1,.,3,.,4,.,3,29
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,5,20,.,2,5,1,1,.,5,.,.,.,16,.,8,.,11,74
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,5,15,8,2,6,2,.,.,.,.,10,.,24,.,6,.,6,84
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",7,5,.,.,.,.,.,.,1,.,.,.,5,.,.,.,4,22
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",4,16,2,.,.,.,.,.,1,.,3,.,17,.,2,.,14,59
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",11,9,3,2,2,.,.,.,2,.,4,.,17,.,2,.,12,64
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",6,6,4,.,7,.,.,.,1,.,.,.,25,.,4,.,11,64
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,1,.,3,2,.,.,.,1,.,.,4,.,2,.,4,17
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",4,9,5,1,18,1,.,.,.,.,1,.,28,.,2,.,10,79
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",32,34,3,3,33,4,.,.,8,.,6,.,64,.,7,.,39,233
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",83,78,5,10,60,16,4,.,13,.,31,.,198,.,17,1,107,623
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,3,5
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,3,4,1,7,2,.,.,1,.,.,.,3,.,4,.,7,32
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",9,11,5,1,9,2,1,.,3,.,.,.,44,.,5,.,29,119
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",25,52,4,9,46,11,3,.,11,.,9,.,138,1,32,.,103,444
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",125,178,18,35,128,42,8,.,32,.,70,.,323,.,79,15,195,"1,248"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",183,373,25,73,147,83,18,.,30,.,166,.,619,.,112,41,206,"2,076"
AA27Z,Medical Care of Patients with Alzheimer's Disease,5,4,2,.,.,.,2,.,4,.,3,.,7,.,.,.,14,41
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,2,.,2,.,.,.,.,4
AA28E,Motor Neuron Disease with CC Score 2-4,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,2,.,.,.,.,.,.,.,.,5,.,.,.,.,7
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,.,.,.,.,.,1,.,1,.,4,.,.,.,4,10
AA29D,Transient Ischaemic Attack with CC Score 8-10,10,15,.,2,5,1,1,.,.,.,1,.,25,.,3,.,14,77
AA29E,Transient Ischaemic Attack with CC Score 5-7,22,58,1,8,9,6,.,.,6,.,11,.,71,.,13,.,37,242
AA29F,Transient Ischaemic Attack with CC Score 0-4,34,166,5,28,31,18,1,.,5,.,55,.,80,.,43,.,87,553
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,3,7
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",2,.,.,1,.,.,.,.,.,.,.,.,3,.,1,.,9,16
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",8,4,.,2,1,.,.,.,.,.,.,.,19,.,7,.,6,47
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",1,.,1,.,3,.,2,.,1,.,.,.,7,.,.,.,6,21
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",5,6,.,.,3,1,.,.,3,.,3,.,13,.,2,.,19,55
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",268,376,25,43,170,53,17,.,26,.,166,.,610,.,118,8,287,"2,167"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,9,.,38,.,.,.,.,47
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA35A,Stroke with CC Score 16+,.,.,.,.,1,.,.,.,.,.,.,.,5,.,.,.,3,9
AA35B,Stroke with CC Score 13-15,.,1,1,.,.,.,.,.,.,.,1,.,12,1,2,.,3,21
AA35C,Stroke with CC Score 10-12,.,18,.,.,3,2,.,.,1,.,2,.,39,.,7,.,30,102
AA35D,Stroke with CC Score 7-9,8,44,3,5,20,3,1,.,2,3,3,.,100,.,15,.,79,286
AA35E,Stroke with CC Score 4-6,36,132,1,15,48,23,2,.,17,.,20,.,165,.,25,.,157,641
AA35F,Stroke with CC Score 0-3,47,177,7,26,38,20,1,.,19,.,36,.,119,.,29,.,106,625
AA37Z,"Intermediate Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,3,.,.,.,.,.,.,.,1,.,.,.,.,4
AA42Z,Complex Sleep Studies,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AB03Z,Complex Pain Procedures,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB04Z,Major Pain Procedures,3,.,.,.,.,3,.,.,.,.,.,.,1,.,.,.,1,8
AB05Z,Intermediate Pain Procedures,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB06Z,Minor Pain Procedures,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB10Z,Unspecified Pain Procedures,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,9,13
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",3,2,.,.,.,.,.,.,.,.,.,.,5,.,.,.,1,11
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,4
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
BZ19A,Minor Glaucoma Procedures with CC Score 1+,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
BZ19B,Minor Glaucoma Procedures with CC Score 0,3,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,8
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,1,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,12
BZ23Z,Minor Vitreous Retinal Procedures,2,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,11
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,1,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,4
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",2,11,.,2,6,4,.,.,2,.,10,.,29,.,.,.,17,83
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",44,30,3,5,13,13,1,.,4,.,22,.,80,.,12,2,13,242
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA05A,"Minor Neck Procedures, 19 years and over",4,2,.,2,1,1,.,.,.,.,4,.,3,.,1,.,4,22
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA11A,"Septoplasty, 19 years and over",1,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
CA12Z,Major Treatment of Epistaxis,5,12,.,.,4,.,.,.,.,.,.,.,1,.,.,.,.,22
CA13A,"Minor Treatment of Epistaxis, 19 years and over",22,24,.,.,27,.,.,.,.,.,.,.,10,.,.,.,1,84
CA13B,"Minor Treatment of Epistaxis, 18 years and under",.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
CA14Z,Nasal Polypectomy,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA16Z,"Excision or Biopsy, of Lesion of External Nose",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA20Z,Complex Nose Procedures,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
CA22Z,Major Nose Procedures,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2
CA23Z,Intermediate Nose Procedures,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA24A,"Minor Nose Procedures, 19 years and over",3,1,1,.,2,.,.,.,.,.,.,.,.,.,.,.,4,11
CA24B,"Minor Nose Procedures, 18 years and under",4,1,.,.,2,.,.,.,.,.,.,.,1,.,.,.,8,16
CA25A,"Minimal Nose Procedures, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
CA25B,"Minimal Nose Procedures, 18 years and under",3,8,.,.,7,.,.,.,.,.,.,.,5,.,.,.,4,27
CA28Z,Intermediate Sinus Procedures,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
CA32B,"Tympanoplasty, 18 years and under",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA35B,"Insertion of Grommets, between 2 and 18 years",.,1,.,.,1,.,.,.,.,.,.,.,1,.,.,.,1,4
CA35C,"Insertion of Grommets, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
CA36B,"Clearance of External Auditory Canal, 18 years and under",2,2,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,7
CA38A,"Evoked Potential Recording, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA52A,"Major Ear Procedures, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
CA54A,"Minor Ear Procedures, 19 years and over",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,16
CA54B,"Minor Ear Procedures, 18 years and under",.,3,.,.,4,1,.,.,.,.,.,.,2,.,.,.,4,14
CA60A,"Tonsillectomy, 19 years and over",1,1,.,.,1,.,.,.,.,.,.,.,2,.,.,.,.,5
CA60B,"Tonsillectomy, 18 years and under",1,1,.,.,1,.,.,.,.,.,.,.,4,.,.,.,1,8
CA61Z,Adenotonsillectomy,.,.,.,.,1,1,.,.,.,.,.,.,2,.,.,.,.,4
CA62Z,Adenoidectomy,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA63Z,Tracheostomy,.,1,.,.,1,.,.,.,.,.,.,.,1,.,.,.,2,5
CA65Z,Frenotomy or Frenectomy,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",2,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,4
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,3
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",3,4,1,.,3,1,.,.,.,.,2,.,1,.,.,.,.,15
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,4
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",9,9,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,21
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under",2,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,6
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1,2,.,.,3,.,.,.,.,.,.,.,2,.,.,.,1,9
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",2,3,.,.,8,.,.,.,.,.,.,.,3,.,.,.,5,21
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,5
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",20,14,.,.,27,.,.,.,.,.,1,.,25,.,.,.,1,88
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",6,3,.,.,3,1,.,.,.,.,.,.,4,.,.,.,4,21
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",3,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,16,21
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",15,1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,45,63
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,10,12
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,4
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,8
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA94Z,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA95Z,Minor Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
CA96Z,"Reduction or Fixation, of Jaw",33,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,24,58
CA97Z,"Reduction or Fixation, of Cheekbone",8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,29
CA98Z,Reduction of Fracture of Nasal Bone,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2,6
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,3,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,5
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,1,.,4,.,.,.,2,7
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",2,3,12,.,1,.,.,.,.,.,.,.,7,.,.,.,3,28
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",1,1,.,.,.,.,.,.,1,.,.,.,3,.,.,.,.,6
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",4,2,.,.,.,2,.,.,1,.,.,.,1,.,.,.,4,14
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",5,2,.,.,2,1,.,.,.,.,.,.,1,.,1,.,15,27
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",23,61,9,4,31,7,.,.,6,.,5,.,87,.,13,.,92,338
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",99,164,11,18,99,43,5,.,10,.,69,.,203,.,62,10,82,875
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",93,175,6,23,153,41,3,.,5,.,91,.,467,.,44,8,46,"1,155"
CD02A,"Intermediate Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CD02B,"Intermediate Dental Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4
CD03A,"Minor Dental Procedures, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2
CD03B,"Minor Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CD04A,"Major Surgical Removal of Tooth, 19 years and over",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CD05A,"Surgical Removal of Tooth, 19 years and over",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,6
CD05B,"Surgical Removal of Tooth, 18 years and under",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,4
CD06A,"Extraction of Multiple Teeth, 19 years and over",4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,7
CD06B,"Extraction of Multiple Teeth, 18 years and under",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,10
