HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total Cost,
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,"10,446",.,.,.,.,"10,446",
AA23E,303,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"14,447",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,447",
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"14,607",.,.,.,.,"14,607",
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"17,070",.,.,.,.,"17,070",
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"7,322",.,.,.,.,"7,322",
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"2,808",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,808",
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"1,540",
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,"19,491",.,.,.,.,"19,491",
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,496,.,.,.,.,496,
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"7,497",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,497",
AA24G,101,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,"1,660",.,.,.,.,.,.,.,.,.,.,.,.,"1,660",
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"11,493",.,.,.,.,"11,493",
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,633,.,.,.,.,633,
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"5,153",.,.,.,.,"5,153",
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,149",.,.,.,.,"1,149",
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"12,994",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,994",
AA24H,100,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,498","2,498",
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,408,.,.,.,.,.,.,.,"7,083",.,.,.,.,"7,491",
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"19,632",.,.,.,.,"19,632",
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,314","4,314",
AA24H,172,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,310",.,.,.,.,"4,310",
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"2,349",.,.,.,.,.,.,.,.,.,.,.,514,.,.,"2,863",
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"3,468",.,.,.,.,"3,468",
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854,
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"38,573",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"38,573",
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,"13,105",.,.,.,.,.,.,.,.,.,.,.,.,.,"13,105",
AA25C,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,728,.,.,.,.,.,.,.,.,.,.,.,.,.,.,728,
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","4,013",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,567","5,580",
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422,422,
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"6,514",.,.,.,.,"6,514",
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"1,187",.,.,.,.,.,.,.,.,.,"1,034",.,.,.,.,"2,222",
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"4,897",.,.,.,.,.,.,.,.,.,.,.,.,"4,897",
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"1,238",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,238",
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"34,259",.,.,.,.,"34,259",
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,035",.,.,.,.,"1,035",
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,592,.,.,.,.,.,.,.,.,.,592,
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"33,513",.,.,.,.,"33,513",
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,915","1,915",
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,338",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,338",
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,731",.,.,.,.,"2,731",
AA25G,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,031",.,.,.,.,"5,031",
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"98,839",.,.,.,.,"98,839",
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,"2,257",.,.,.,.,.,.,.,463,.,"3,938",.,.,"6,659",
AA26D,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,"3,902",.,.,.,.,.,.,.,.,.,"3,902",
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,443,443,
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA26F,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,"2,751",.,.,.,.,.,.,.,.,.,"2,751",
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,733,.,.,.,.,733,
AA26F,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","1,693",.,"4,624",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,317",
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,981,.,.,.,.,981,
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,"1,688",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,688",
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"28,328",.,.,.,.,"28,328",
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","2,303",.,.,.,.,.,.,.,.,.,.,.,"3,178",.,.,.,.,"5,481",
AA26G,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,"1,056",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,056",
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,860","2,860",
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,784","4,410","6,696",.,.,.,.,.,.,.,.,.,"2,033",.,514,.,.,"15,436",
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,120",
AA26G,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,399,
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"62,776",.,.,.,.,"62,776",
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,"1,290",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,290",
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","5,310",.,.,.,"3,754",.,.,"6,790",.,.,.,.,.,.,.,.,.,"15,854",
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"4,399",.,.,.,.,"4,399",
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,915","1,915",
AA26H,172,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,881,.,.,.,.,881,
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","3,121","2,405",478,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,004",
AA26H,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,120",
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,129",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,129",
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,"1,587",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,587",
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"126,987",.,.,.,.,"126,987",
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,"2,066",.,.,.,.,.,.,.,.,.,"2,066",
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,855,.,.,.,.,855,
AA28C,400,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,"15,957",.,.,.,.,"15,957",
AA28D,300,Motor Neuron Disease with CC Score 5-7,"11,147",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,147",
AA28D,340,Motor Neuron Disease with CC Score 5-7,.,.,841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,841,
AA28D,400,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,"9,661",.,.,.,.,"9,661",
AA28E,300,Motor Neuron Disease with CC Score 2-4,.,.,"1,948",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,948",
AA28E,340,Motor Neuron Disease with CC Score 2-4,.,.,"3,433",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,433",
AA28E,400,Motor Neuron Disease with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,"65,200",.,.,.,.,"65,200",
AA28F,340,Motor Neuron Disease with CC Score 0-1,.,.,"1,231",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,231",
AA28F,400,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"110,858",.,.,.,.,"110,858",
AA29D,430,Transient Ischaemic Attack with CC Score 8-10,.,345,.,.,.,.,.,.,.,.,.,.,"2,318",.,.,.,.,"2,663",
AA29E,100,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,"1,491",.,.,.,.,"1,491",
AA29E,160,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,485,485,
AA29E,300,Transient Ischaemic Attack with CC Score 5-7,446,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,847,
AA29F,300,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,514,.,.,514,
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",.,.,.,.,"1,350",
AA30D,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"15,953",.,.,.,.,.,.,.,.,.,.,.,.,"15,953",
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,"1,479",.,.,.,"2,111",.,.,.,.,"3,590",
AA30D,302,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,845,.,.,.,.,845,
AA30D,430,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"1,881",.,.,.,.,.,.,.,.,.,"2,625",.,.,"4,506",
AA30E,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"3,496",.,.,.,.,.,.,.,.,.,.,.,.,"3,496",
AA30E,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"2,521",.,.,.,.,.,.,.,.,.,.,.,"1,865","4,386",
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"7,082",.,.,.,.,"7,082",
AA30F,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,"2,675",.,.,.,.,.,.,.,.,.,.,.,.,"2,675",
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",892,.,.,.,.,291,.,.,.,.,.,.,"1,467",.,.,.,.,"2,649",
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"6,014",.,.,.,.,"6,014",
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"57,529",.,.,.,.,"57,529",
AA31D,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,401,
AA31E,101,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"3,019",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,019",
AA31E,110,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"1,578",.,.,.,.,"1,578",
AA31E,150,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"55,538",.,.,.,.,"55,538",
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","4,905",.,.,468,.,291,.,.,.,.,.,.,"1,116",.,"1,028",.,.,"7,807",
AA31E,303,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"1,677",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,677",
AA31E,350,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"2,940",.,.,.,.,"2,940",
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"8,453",.,.,.,.,"8,453",
AA31E,800,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"1,818",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,818",
AA33C,400,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"2,288",.,.,.,.,"2,288",
AA33D,420,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,303",
AA33D,421,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"6,507",.,.,.,.,"6,507",
AA35B,100,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,997,
AA35B,430,Stroke with CC Score 13-15,.,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689,
AA35C,400,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"8,665",.,.,.,.,"8,665",
AA35C,430,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"29,866",.,.,.,.,"29,866",
AA35D,100,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,997,
AA35D,300,Stroke with CC Score 7-9,.,"2,405",.,"3,744",.,.,.,.,.,.,.,.,"17,971",.,.,.,.,"24,121",
AA35D,361,Stroke with CC Score 7-9,.,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,338,
AA35D,430,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,"7,079",.,.,.,.,"7,079",
AA35E,300,Stroke with CC Score 4-6,446,.,.,.,.,"1,162",.,.,.,.,.,.,739,.,.,.,.,"2,347",
AA35E,430,Stroke with CC Score 4-6,357,.,.,.,"3,010",.,.,.,.,.,.,.,"16,336",.,.,.,.,"19,702",
AA35F,100,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,656,
AA35F,300,Stroke with CC Score 0-3,446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA35F,303,Stroke with CC Score 0-3,.,.,"4,624",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,624",
AA35F,430,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,929,.,.,.,.,929,
AA50B,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"54,188",.,.,.,.,"54,188",
AA50C,100,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,120",.,.,.,.,"8,120",
AA50C,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"103,575",.,.,.,.,"103,575",
AA50E,370,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"86,864",.,.,.,.,"86,864",
AA51B,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"15,415",.,.,.,.,"15,415",
AA51C,100,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"4,278",.,.,.,.,"4,278",
AA51C,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"63,706",.,.,.,.,"63,706",
AA51D,110,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,342",.,.,.,.,.,.,.,.,.,"3,342",
AA51D,120,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"8,194",.,.,.,.,"8,194",
AA51D,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"120,564",.,.,.,.,"120,564",
AA51D,172,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"3,704",.,.,.,.,"3,704",
AA51F,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"20,454",.,.,.,.,"20,454",
AA51G,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"42,067",.,.,.,.,"42,067",
AA52C,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,"14,219",.,.,.,.,.,.,.,.,.,"14,219",
AA52C,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"222,056",.,.,.,.,"222,056",
AA52C,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"8,156",.,.,.,"1,890","10,046",
AA52D,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"23,018",.,.,.,.,.,.,.,.,.,"23,018",
AA52D,120,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"22,775",.,.,.,.,"22,775",
AA52D,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"650,222",.,.,.,.,"650,222",
AA52D,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,890","1,890",
AA52D,320,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"3,871",.,.,.,.,"3,871",
AA52E,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"38,797",.,.,.,.,"38,797",
AA52F,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"46,609",.,.,.,.,"46,609",
AA52G,110,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"6,393",.,.,.,.,"6,393",
