Field Name,Data Type and Length,Field Description,Example 1,Example 2,Additional Data Details
LOCALBUILDING,number,Local  Assessed Value for Building ,"81,700","307,300",The assessed property value of the building for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
LOCALLAND,number,Local Assessed Value for Land,"53,000","114,700",The assessed property value of the land for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
LOCALTOTAL,number,Local Assessed Value Total,"134,700","422,000",The assessed property value (land and building together) for local tax purposes (for schools and municipalities).   This amount reflects the remaining assessment after preferential assessments (such as clean & green) have been deducted from the base year market values.   This value is often higher than the county assessed value since county-only incentives (such as homesteads) have not been deducted. 
FAIRMARKETBUILDING,number,Fair Market Building Value,"81,700","307,300","The base year appraised fair market value of the building.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
FAIRMARKETLAND,number,Fair Market Land Value,"53,000","316,200","The base year appraised fair market value of the land.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
FAIRMARKETTOTAL,number,Fair Market Total Value,"134,700","623,500","The base year appraised fair market value of land and building together.  This value has had no reductions, not even Clean and Green preferential assessment reduction.  Allegheny County currently uses a base year of 2012."
STYLE,A2,Dwelling - Architectural Style,9,M1,The building style.
STYLEDESC,A50,Dwelling - Architectural Style Description,TOWNHOUSE,MANUFACTURED,Description for building style.
STORIES,A3,Dwelling - Number of Stories,2,1,Refers to the story height of the main dwelling.  Attics are not included.  A fractional story height (e.g. 1.5) denotes an upper story where part of the living space is less than full height due to a sloped roof or dormers.
YEARBLT,number,Dwelling - Year Built,1980,1979,The original date of construction.
EXTERIORFINISH,A2,Dwelling - Exterior Wall code,1,1,The exterior wall type.
EXTFINISH_DESC,A50,Dwelling - Exterior Wall Description,Frame,Frame,Description of building material used for exterior walls.
ROOF,A20,Dwelling - Roof,1,3,The roofing material type.
ROOFDESC,A50,Dwelling - Roof Description,SHINGLE,METAL,Description of roofing material.
BASEMENT,A1,Dwelling - Basement,5,2,"This code describes the basement under the main part of the dwelling, and categorizes its size in relation to the main dwelling. 
1. NONE  - there is no basement.
2. SLAB/PIERS -indicates slab or pier construction.
3. CRAWL - indicates crawl space to 1/4 basement area.
4. PART - indicates basement is between 1/4 and 3/4 of the main dwelling area.
5. FULL - indicates 3/4 to full basement area."
BASEMENTDESC,A50,Dwelling - Basement Description,Full,Slab/Piers,"Description of basement type, if one exists."
GRADE,A3,Dwelling - Grade,C,D+,"Grade refers to quality of construction:

A, X, XX  - have superior materials and workmanship and are typically custom designed or historic homes.
B - construction has above average construction and may exceed code.
C - is the standard, construction meets code, and is typical of current materials and methods.
D - construction is adequate, but below average with minimal features.
E - construction lacks some basics and may be a ""camp"" or seasonal structure.

Pluses and minuses may be used.

"
GRADEDESC,A50,Dwelling - Grade Description,AVERAGE,BELOW AVERAGE +,"Grade refers to quality of construction:

A, X, XX  - Very Good and Excellent - have superior materials and workmanship and are typically custom designed or historic homes.
B - Good - construction has above average construction and may exceed code.
C - Average - is the standard, construction meets code, and is typical of current materials and methods.
D - Below Average - construction is adequate, but below average with minimal features.
E - Poor - construction lacks some basics and may be a ""camp"" or seasonal structure.

Pluses and minuses may be used.

"
CONDITION,A2,Dwelling - Condition,3,5,"Code for the overall physical condition or state of repair of a structure, relative to its age. Indicated by number and description:

1- Excellent - outstanding maintenance.
7- Very good - high degree of upkeep.
2- Good - above ordinary maintenance.
3- Average - ordinary maintenance, shows normal wear and tear.
4- Fair - sound but with noticeable deferred maintenance.
5- Poor - structural deterioration caused by significant and chronic deferred maintenance.
8- Very poor - barely livable.
6- Unsound - not suitable for habitation."
CONDITIONDESC,A50,Dwelling - Condition Description,AVERAGE,POOR,"Description for the overall physical condition or state of repair of a structure, relative to its age. Indicated by number and description:

1- Excellent - outstanding maintenance.
7- Very good - high degree of upkeep.
2- Good - above ordinary maintenance.
3- Average - ordinary maintenance, shows normal wear and tear.
4- Fair - sound but with noticeable deferred maintenance.
5- Poor - structural deterioration caused by significant and chronic deferred maintenance.
8- Very poor - barely livable.
6- Unsound - not suitable for habitation."
CDU,A2,Dwelling - CDU,AV,PR,"CDU is a composite rating for structures measuring: 
Condition (physical condition relative to age), 
Desirability (location, style), and 
Utility (functional obsolescence of layout or design).  
Proper neighborhood delineation compensates for most Desirability and Utility issues, leaving Physical Condition the most influential factor in CDU.  CDU will be null for vacant land.
 
Excellent - Perfect condition, very attractive and highly desirable.
Very good - Slight deterioration, but still quite attractive and desirable.
Good - Minor visible deterioration, slightly less attractive and desirable, but still useful.
Average - Normal wear and tear, average utility and desirability.
Fair - Usable but marked deterioration.  Somewhat unattractive and undesirable.
Poor - Obvious deterioration, definitely undesirable.
Very poor - Extremely undesirable and barely usable.
Unsound - Unfit for use."
CDUDESC,A50,Dwelling - CDU Description,AVERAGE,POOR,"CDU is a composite rating for structures measuring: 
Condition (physical condition relative to age), 
Desirability (location, style), and 
Utility (functional obsolescence of layout or design).  
Proper neighborhood delineation compensates for most Desirability and Utility issues, leaving Physical Condition the most influential factor in CDU.  CDU will be null for vacant land.
 
Excellent - Perfect condition, very attractive and highly desirable.
Very good - Slight deterioration, but still quite attractive and desirable.
Good - Minor visible deterioration, slightly less attractive and desirable, but still useful.
Average - Normal wear and tear, average utility and desirability.
Fair - Usable but marked deterioration.  Somewhat unattractive and undesirable.
Poor - Obvious deterioration, definitely undesirable.
Very poor - Extremely undesirable and barely usable.
Unsound - Unfit for use."
TOTALROOMS,number,Dwelling - Total Rooms,7,4,Total number of rooms in the main dwelling.  This includes Rec-rooms and FBLA (Finished Basement Living Area).  This count is for descriptive purposes only and does not affect assessed value.
BEDROOMS,number,Dwelling - Bedrooms,3,2,"The total number of separate rooms designed to be used as bedrooms.  If a room was designed to be a bedroom, but is being utilized for some other purpose - such as a den, it is to be included in this count.  This is for descriptive purposes only and does not affect value."
FULLBATHS,number,Dwelling - Full Baths,1,1,"A full bath has a toilet, sink and bathing facility (shower or tub)."
HALFBATHS,number,Dwelling - Half Baths,0,0,A half bath has a toilet and sink only.
HEATINGCOOLING,A1,Dwelling - Heating Cooling,2,2,Code for the type of Heating / Cooling system.
HEATINGCOOLINGDESC,A50,Dwelling - Heating Cooling Description,Central Heat,Central Heat,Description for the type Heating / Cooling system.
FIREPLACES,number,Dwelling - Number of Wood burning Fireplaces Stacks,0,0,"The number of wood-burning fireplace chimneys/vents.  This need not equal the number of working fireplaces in the dwelling.  This number excludes roof stacks built for bathroom venting, natural gas outlets, etc."
BSMTGARAGE,A1,Dwelling - Integral Basement Garage (Number of Cars),0,0,The number of vehicle spaces available in a garage that is basement level and comprises a portion of the main dwelling’s basement.  This does not include detached or attached above-grade garages.
FINISHEDLIVINGAREA,number,Dwelling - Total Square Feet of Living Area,766,660,"Finished living area, as measured from the outside of the structure."
CARDNUMBER,number,Dwelling - Building (card) Number,2,1,For parcels having more than one building only one building is shown. This field contains the number of the building being shown (which is usually the main dwelling).
ALT_ID,A30,Alternate Parcel Identification Number,,9910X00529000000,"In tax year 2007, parcel ID numbers within certain municipalities were converted to conform to  Allegheny County's standard naming convention for parcel ID's.   For affected parcels, this field shows the old parcel ID that was in use for tax years 2006 and prior."
TAXYEAR,number,The current certified tax year,2015,2015,"The  applicable year for which real estate taxes would apply for the parcel.  Allegheny County currently assesses value based on how the parcel stood as of Jan 1 of that year.   

This need not correspond to a calendar year."
ASOFDATE,date,The run date of this file,18-Jun-15,19-Jun-15,The run date of this file.
