HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total Cost
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,"1,985",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,985"
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,132,.,.,.,.,.,.,.,132
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,320,.,.,.,.,.,.,.,.,.,320
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,"16,994",.,.,.,.,.,.,.,.,.,"16,994"
AA25G,130,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,136,.,.,.,.,.,.,.,136
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,848,.,.,.,.,.,848
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,797,.,797
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",520,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,562",.,"2,082"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,537,.,.,.,.,.,.,"1,610",.,.,.,.,.,"2,147"
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,596",.,"12,596"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,"30,036",.,.,.,.,.,.,"7,815",.,.,.,.,.,"37,851"
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,712,.,712
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,624,.,.,.,.,.,.,.,.,.,.,.,.,624
AA26F,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,739,.,.,.,.,.,.,.,236,.,.,.,.,975
AA26G,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,349
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,429",.,"1,429"
AA26G,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391,.,391
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,170,.,.,909,.,.,.,.,.,.,.,.,.,.,.,"1,079"
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,"1,483",.,.,.,.,.,.,.,.,.,.,.,.,"1,483"
AA26G,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,"1,166",.,.,"1,361",.,.,.,.,.,.,.,.,.,.,.,.,"2,527"
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,346,"1,479",701,.,.,.,.,.,.,940,.,.,.,.,"3,466"
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,004",.,.,.,.,.,"1,004"
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,452
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"1,695",.,.,.,.,.,"1,695"
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,769",.,"4,769"
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,"6,024","1,769",.,.,.,.,.,"4,581",.,.,"5,170",.,.,.,.,"17,544"
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,096",.,.,.,.,537,"1,818",.,.,"1,161",.,.,.,.,.,.,"18,549",.,"23,162"
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,810,.,447,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,257"
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,"25,215",.,.,.,.,.,.,"20,062",.,.,.,.,.,"45,277"
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,"13,994",.,.,"9,528",.,.,.,.,.,.,.,"2,519",.,.,.,.,"26,041"
AA26H,823,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"2,423",.,.,.,.,.,"2,423"
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA29F,320,Transient Ischaemic Attack with CC Score 0-4,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,259
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,742,.,.,.,.,.,.,.,.,.,.,.,.,742
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,"3,181",.,.,.,.,.,.,.,.,.,266,.,"3,447"
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,312,.,.,.,.,.,312
AA30F,130,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,672,.,.,.,.,.,672
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"6,780",.,.,.,.,.,"6,780"
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","4,677",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,677"
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",399,.,.,.,.,.,"24,538",.,.,.,.,.,"9,117",.,.,.,.,.,"34,053"
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,298,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,"5,174",.,.,.,.,.,.,.,.,.,.,.,"5,174"
AA30F,340,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,"1,311",.,.,.,.,.,.,.,.,.,.,.,"1,311"
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,"19,282",.,.,.,.,.,115,"536,758",.,.,.,.,.,"556,155"
AA30F,823,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,938",.,.,.,.,.,"1,938"
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,145,"1,959",.,.,.,.,.,.,.,.,.,.,.,"6,639",.,"8,744"
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,537,909,.,.,.,.,.,.,.,.,.,266,.,"1,713"
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,"73,050",.,.,.,.,.,.,"1,564",.,.,.,.,.,"74,613"
AA35B,361,Stroke with CC Score 13-15,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA35D,301,Stroke with CC Score 7-9,.,276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276
AA35E,300,Stroke with CC Score 4-6,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA35F,300,Stroke with CC Score 0-3,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA53D,191,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,"8,145",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,145"
AA53D,502,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,"1,864",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,864"
AA54B,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,710,.,.,.,.,710
AA54C,140,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",352,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,553",.,"1,905"
AA54C,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,"3,710","2,261",.,.,.,.,.,.,.,.,946,.,.,.,.,"6,916"
AA55A,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,591",.,.,.,.,"2,591"
AA55B,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",289,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,289
AA55B,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,878",.,.,391,.,"6,268"
AA55B,300,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,201
AA55C,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",579,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,579
AA55C,150,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,451",.,.,.,.,.,"2,451"
AA55C,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,"41,319",.,.,.,.,.,.,.,.,"12,603",.,.,"1,562",.,"55,484"
AA56B,120,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,521",.,"5,521"
AA57A,150,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"9,701",.,.,.,.,.,"9,701"
AA57A,191,"Minimal Intracranial Procedures, 19 years and over",520,.,.,"51,289","43,614",.,.,.,.,.,.,.,.,"31,792",.,.,781,.,"127,996"
AA57A,400,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"22,583",.,.,.,.,.,"22,583"
AA57B,110,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,"3,067",.,.,.,.,.,.,.,.,.,"3,067"
AA60A,100,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"10,321",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"10,321"
AA60A,191,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"17,597","14,555",.,.,.,.,.,.,.,.,.,.,.,.,.,"32,153"
AA80Z,420,Complex Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AA81Z,420,Standard Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AB12Z,150,Insertion of Neurostimulator for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,"10,031",.,.,.,.,.,"10,031"
AB12Z,191,Insertion of Neurostimulator for Pain Management,.,.,.,"140,829","50,951",.,.,.,.,.,.,.,.,"9,408",.,.,.,.,"201,188"
AB13Z,191,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
AB14Z,191,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,"49,906",.,.,.,.,.,.,.,.,.,"13,629",.,.,.,.,"63,535"
AB15Z,191,"Radiofrequency Ablation or Cryoablation, for Pain Management","28,596",.,.,"128,829","60,727",.,.,.,.,.,"12,534","26,898",.,"38,472",.,"5,394","4,296",.,"305,746"
AB16Z,110,"Denervation or Injection Around Spinal Facet, for Pain Management",.,.,.,.,.,.,.,.,"161,845",.,.,.,"1,015",.,.,.,.,.,"162,860"
AB16Z,191,"Denervation or Injection Around Spinal Facet, for Pain Management","100,390",.,.,"384,541","20,119",.,.,.,.,.,"16,651","93,466",.,"138,290",.,"129,447","4,296",.,"887,201"
AB17Z,110,"Nerve Block or Destruction of Nerve, for Pain Management","1,984",.,.,.,.,.,.,.,"4,481",.,.,.,.,.,.,.,.,.,"6,464"
AB17Z,120,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,634,.,.,.,.,634
AB17Z,140,"Nerve Block or Destruction of Nerve, for Pain Management",368,.,.,.,.,.,.,"4,644",.,.,.,.,.,.,.,.,.,.,"5,013"
AB17Z,150,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,"3,893",.,.,.,.,.,"3,893"
AB17Z,160,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,715,.,715
AB17Z,191,"Nerve Block or Destruction of Nerve, for Pain Management","10,673",.,.,"37,287","13,491",.,.,.,.,.,"6,030","38,509",.,"10,833",.,"14,903","37,883",.,"169,610"
AB17Z,400,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,"25,957",.,.,.,.,.,.,.,.,.,.,.,.,"25,957"
AB17Z,410,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,340,.,.,.,.,.,.,.,.,.,.,.,.,340
AB17Z,502,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,145",.,"2,145"
AB18Z,110,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,"9,473",.,.,.,.,.,.,.,.,.,"9,473"
AB18Z,191,Continuous Infusion of Therapeutic Substance for Pain Management,"17,746",.,.,872,.,.,.,.,.,.,.,"32,253",.,"44,457",.,"4,045","56,630",.,"156,003"
AB18Z,300,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,537,.,.,.,.,.,.,.,.,.,.,266,.,804
AB18Z,400,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,"2,966",.,.,.,.,.,.,"69,202",.,.,.,.,.,"72,168"
AB18Z,410,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,681,.,.,.,.,.,.,.,.,.,.,.,.,681
AB18Z,501,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,380,.,.,.,.,.,380
AB19Z,110,Injection of Therapeutic Substance into Joint for Pain Management,"16,294",.,.,.,.,"71,568",.,"3,571","148,007",.,.,.,"4,653","5,624",.,.,"2,033",.,"251,750"
AB19Z,191,Injection of Therapeutic Substance into Joint for Pain Management,"2,890",.,.,"3,487",.,.,.,.,.,.,.,"40,876",.,"2,559",.,"7,287","1,953",.,"59,051"
AB19Z,300,Injection of Therapeutic Substance into Joint for Pain Management,.,.,.,.,.,.,.,.,.,743,.,.,.,.,.,.,.,.,743
AB19Z,410,Injection of Therapeutic Substance into Joint for Pain Management,.,.,"15,744",.,.,"19,057",.,.,.,.,.,.,.,"1,799",.,.,.,.,"36,599"
AB20Z,110,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,"99,788",.,.,.,"1,233",.,.,.,.,.,"101,021"
AB20Z,150,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,"2,951",.,.,.,.,.,"2,951"
AB20Z,191,Epidural Under Image Control for Pain Management,"1,077",.,.,"48,901",.,.,.,.,.,.,.,"20,693",.,"67,096",.,.,391,.,"138,158"
AB21Z,110,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,.,.,.,"24,294",.,.,.,.,.,.,.,.,.,"24,294"
AB21Z,191,"Epidural or Therapeutic Spinal Puncture, for Pain Management","21,421",.,.,"265,871","2,638",.,.,.,.,.,"2,720","59,422",.,"2,238",.,"51,914","118,337",.,"524,561"
AB21Z,400,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,"1,112",.,.,.,.,.,.,"2,513",.,.,.,.,.,"3,625"
AB22Z,110,Trigger Point Injection for Pain Management,"4,181",.,.,.,.,"12,734",.,.,"13,912",.,.,.,.,283,.,.,386,.,"31,496"
AB22Z,160,Trigger Point Injection for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,776,.,.,.,.,.,776
AB22Z,191,Trigger Point Injection for Pain Management,"2,041",.,.,"5,863","2,018",.,.,.,.,.,"1,369","9,949",.,861,.,"1,715","46,085",.,"69,900"
AB22Z,400,Trigger Point Injection for Pain Management,.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AB22Z,410,Trigger Point Injection for Pain Management,.,.,"6,706",.,.,"7,827",.,.,.,.,.,.,.,"2,878",.,.,.,.,"17,411"
BZ24E,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",396,.,.,.,.,.,.,.,.,.,.,.,"1,338",.,.,.,.,.,"1,734"
BZ24F,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",792,.,.,.,.,.,.,.,.,.,.,.,"34,119",.,.,.,.,.,"34,911"
BZ24G,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","2,903",.,.,.,.,.,.,.,.,.,408,.,"183,568",209,.,.,.,.,"187,088"
BZ24G,300,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,909,.,.,.,.,.,439,.,.,.,.,.,"1,348"
BZ24G,303,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,405,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,405
BZ24G,320,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,542,.,.,.,.,.,.,.,542
BZ24G,361,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
BZ24G,400,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,684",.,.,.,.,.,"4,684"
BZ24G,800,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67
BZ30A,130,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"4,556",.,.,.,.,.,"4,556"
BZ30B,130,"Complex, Cataract or Lens Procedures, with CC Score 0-1","1,583",.,.,.,.,.,.,.,.,811,715,.,"40,401",.,.,.,.,.,"43,509"
BZ31A,130,"Very Major, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,758,.,"9,262",.,.,.,.,.,"10,811"
BZ31B,130,"Very Major, Cataract or Lens Procedures, with CC Score 0-1","27,697",.,.,.,.,.,.,"2,014",.,"1,621","6,770",.,"57,811",.,.,790,.,.,"96,703"
BZ32A,130,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,.,.,"1,075",.,.,.,.,.,"1,866"
BZ32B,130,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1","6,067",.,.,.,.,.,.,.,.,"1,621","13,085",.,"30,951","1,885",353,"1,580",.,.,"55,543"
BZ32B,800,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,"1,042",.,.,.,.,.,.,.,.,.,.,.,.,652,.,"1,694"
BZ33Z,120,"Minor, Cataract or Lens Procedures",.,.,.,.,.,.,.,.,.,.,.,.,135,.,.,.,.,.,135
BZ33Z,130,"Minor, Cataract or Lens Procedures","171,570",.,.,.,.,.,.,.,.,.,"82,711",.,"252,445",.,"15,536",.,.,.,"522,262"
BZ34A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,"6,043",.,"16,210",.,.,"2,134","1,024",.,790,.,.,"26,201"
BZ34B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3","3,165",.,.,.,.,.,.,"42,969",.,"121,577","3,824",.,"16,940","14,488",.,"18,965",.,.,"221,928"
BZ34C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,031,898",.,.,.,.,.,.,"279,298",.,"514,674","2,290,580",.,"1,291,098","361,288",.,"411,703",.,.,"6,180,540"
BZ40Z,130,Very Complex Oculoplastics Procedures,"5,537",.,.,.,.,.,.,.,.,.,"7,335",.,"7,480",.,.,"4,173",.,.,"24,526"
BZ41B,130,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1","17,009",.,.,.,.,.,.,.,.,.,"24,356",.,"31,671",.,.,"1,847",.,.,"74,883"
BZ41B,160,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,069",.,.,.,"4,755",.,"5,824"
BZ42A,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,654,.,.,891,.,.,.,.,"1,545"
BZ42A,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,"1,402",.,.,.,.,.,.,"1,585",.,"2,987"
BZ42B,120,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,814",.,.,"1,814"
BZ42B,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","46,521",.,.,.,.,.,.,.,.,.,"45,308",.,"133,901","2,033",.,"3,517",.,.,"231,280"
BZ42B,140,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",368,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,368
BZ42B,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,"19,365",.,.,.,.,.,.,"13,785",.,"33,150"
BZ43Z,130,"Complex or Very Major, Oculoplastics Procedures, 18 years and under","2,373",.,.,.,.,.,.,.,.,.,.,.,"7,444",.,.,.,.,.,"9,817"
