HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total FCEs,
AA23D,361,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA23E,303,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4,
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6,
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6,
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,
AA24G,101,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4,
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,
AA24H,100,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2,
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7,
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,
AA24H,172,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,2,
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA25C,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2,
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8,
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12,
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA25G,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,35,
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,1,.,.,.,.,.,.,.,1,.,1,.,.,3,
AA26D,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26F,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA26F,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7,
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3,
AA26G,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",3,2,8,.,.,.,.,.,.,.,.,.,1,.,1,.,.,15,
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26G,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,23,
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",3,.,.,.,1,.,.,3,.,.,.,.,.,.,.,.,.,7,
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA26H,172,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",5,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,
AA26H,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,56,.,.,.,.,56,
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA28C,400,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA28D,300,Motor Neuron Disease with CC Score 5-7,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,
AA28D,340,Motor Neuron Disease with CC Score 5-7,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA28D,400,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA28E,300,Motor Neuron Disease with CC Score 2-4,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA28E,340,Motor Neuron Disease with CC Score 2-4,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA28E,400,Motor Neuron Disease with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10,
AA28F,340,Motor Neuron Disease with CC Score 0-1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA28F,400,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,.,19,
AA29D,430,Transient Ischaemic Attack with CC Score 8-10,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2,
AA29E,100,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA29E,160,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA29E,300,Transient Ischaemic Attack with CC Score 5-7,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA29F,300,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1,
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA30D,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,1,.,.,.,1,.,.,.,.,2,
AA30D,302,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA30D,430,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,.,.,2,
AA30E,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA30E,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2,
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5,
AA30F,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",2,.,.,.,.,1,.,.,.,.,.,.,4,.,.,.,.,7,
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9,
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,22,
AA31D,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA31E,101,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA31E,110,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA31E,150,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,18,
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",11,.,.,1,.,1,.,.,.,.,.,.,3,.,1,.,.,17,
AA31E,303,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA31E,350,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5,
AA31E,800,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA33C,400,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA33D,420,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA33D,421,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4,
AA35B,100,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA35B,430,Stroke with CC Score 13-15,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA35C,400,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA35C,430,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA35D,100,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA35D,300,Stroke with CC Score 7-9,.,3,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,6,
AA35D,361,Stroke with CC Score 7-9,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA35D,430,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3,
AA35E,300,Stroke with CC Score 4-6,1,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,4,
AA35E,430,Stroke with CC Score 4-6,1,.,.,.,1,.,.,.,.,.,.,.,4,.,.,.,.,6,
AA35F,100,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1,
AA35F,300,Stroke with CC Score 0-3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA35F,303,Stroke with CC Score 0-3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,
AA35F,430,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA50B,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA50C,100,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA50C,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6,
AA50E,370,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA51B,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA51C,100,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA51C,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7,
AA51D,110,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1,
AA51D,120,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA51D,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,13,
AA51D,172,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA51F,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA51G,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3,
AA52C,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,2,
AA52C,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,24,
AA52C,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2,
AA52D,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,6,.,.,.,.,.,.,.,.,.,6,
AA52D,120,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2,
AA52D,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,63,.,.,.,.,63,
AA52D,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
AA52D,320,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA52E,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4,
AA52F,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5,
AA52G,110,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA52G,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10,
AA53B,150,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA53C,150,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,34,.,.,.,.,34,
AA53C,160,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2,
AA53C,300,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA53C,400,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA53D,110,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,
AA53D,120,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2,
AA53D,140,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,
AA53D,150,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,143,.,.,.,.,143,
AA53D,160,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,
