HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA17D,400,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19C,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19D,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA19E,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21F,140,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,1,.,.,.,.,.,.,.,3,.,4,.,.,8
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,5
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22E,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,5,1,.,1,.,.,.,2,.,1,.,19,.,.,.,2,32
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,1,.,9,.,.,.,2,12
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,2
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,8,.,.,4,.,1,.,2,.,1,.,26,.,1,.,12,56
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,4
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,3,1,.,.,.,.,.,.,.,.,.,15,.,.,.,1,20
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,1,1,.,.,.,.,.,.,.,.,4,.,1,.,.,7
AA22G,180,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,2,.,.,2,.,.,.,.,.,.,.,2,.,.,.,.,6
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",15,26,2,1,13,1,1,.,7,.,7,.,51,.,13,.,36,173
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,2,1,.,1,.,.,.,.,.,.,.,13,.,2,.,1,20
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,1,.,.,.,2,.,1,.,.,.,.,.,.,4
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,2
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,1,2,2,3,.,.,.,4,.,1,.,.,.,1,.,1,15
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2,8
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23F,180,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,3
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,5,12,.,2,3,.,1,.,4,.,.,.,11,.,7,.,10,55
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA23F,400,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,3,.,.,.,1,.,.,1,.,.,.,3,.,.,.,1,9
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA23G,180,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,4,13,4,1,5,1,.,.,.,.,9,.,19,.,6,.,6,68
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,1,2,3,.,.,1,.,.,.,.,1,.,1,.,.,.,.,9
AA24C,361,"Brain Tumours or Cerebral Cysts, with CC Score 11+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",7,2,.,.,.,.,.,.,1,.,.,.,5,.,.,.,4,19
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",4,13,1,.,.,.,.,.,1,.,3,.,11,.,2,.,14,49
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,3,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,6
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24G,180,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",11,9,1,2,2,.,.,.,2,.,4,.,12,.,2,.,10,55
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2,3
AA24H,110,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,130,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",6,5,1,.,2,.,.,.,1,.,.,.,20,.,4,.,10,49
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,4
AA24H,823,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,4
AA25C,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,3,1,.,.,.,.,.,.,2,.,2,.,3,11
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,1,.,.,2,.,.,.,1,4
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",4,9,4,1,16,1,.,.,.,.,1,.,23,.,1,.,8,68
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25E,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,2,.,.,.,.,.,.,.,4,.,.,.,2,8
AA25F,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",29,24,1,3,23,2,.,.,8,.,5,.,52,.,4,.,35,186
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,3
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",2,10,2,.,8,1,.,.,.,.,1,.,11,.,3,.,4,42
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA25G,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,5,.,.,5,.,.,.,.,.,.,.,5,.,.,.,.,15
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",79,54,4,10,46,13,4,.,13,.,26,.,149,.,15,.,88,501
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,1,1,.,1,.,.,.,.,.,.,.,2,.,.,1,.,6
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",3,14,.,.,8,3,.,.,.,.,5,.,32,.,2,.,19,86
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,3,5
AA26D,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,3,1,1,4,.,.,.,.,.,.,.,3,.,4,.,7,23
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,3,.,3,.,.,.,1,.,.,.,.,.,.,.,.,7
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,5
AA26E,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26E,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",6,10,2,1,7,.,1,.,3,.,.,.,33,.,5,.,26,94
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,3,.,2,2,.,.,.,.,.,.,7,.,.,.,1,16
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,1,.,.,4,.,.,.,.,.,.,.,8,.,1,.,1,15
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26F,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,2,.,.,2,.,.,.,.,.,.,.,1,.,.,.,.,5
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",21,36,2,8,30,8,2,.,9,.,7,.,109,.,29,.,97,358
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA26F,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1,1,.,1,.,2,1,.,.,.,1,.,1,.,.,.,2,10
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",3,9,2,.,10,1,.,.,2,.,1,.,16,1,2,.,3,50
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",5,2,.,1,14,2,.,.,.,.,2,.,14,.,1,.,5,46
AA26G,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,7,.,.,7,.,.,.,.,.,1,.,12,.,.,.,.,27
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",110,117,10,27,81,35,8,.,31,.,56,.,248,.,69,.,180,972
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",5,15,1,7,3,1,.,.,.,.,3,.,.,.,6,15,3,59
AA26G,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,1,.,.,1,.,.,.,.,.,.,3,.,.,.,.,5
AA26G,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA26G,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",4,34,2,.,23,3,.,.,1,.,8,.,41,.,3,.,7,126
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",7,6,.,2,7,7,.,.,.,.,3,.,28,.,6,.,5,71
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,3,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,4
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9
AA26H,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,62,.,.,22,.,.,.,.,.,10,.,76,.,.,.,.,170
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",175,251,21,62,98,68,18,.,28,.,127,.,457,.,100,.,186,"1,591"
AA26H,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26H,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,7,.,5,3,1,.,.,2,.,4,.,1,.,2,41,.,66
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
