HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,221","1,333","2,189","6,758",15,"43,732","3,517",388,"1,917",.,"9,372",.,"13,607","3,957",.,.,"31,261",.,"119,269"
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,964,.,.,.,.,.,964
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,205,.,527,.,.,.,.,.,.,.,.,.,.,.,.,732
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4","1,334",.,.,.,.,.,"2,253",.,.,.,.,.,"5,303",.,.,.,.,.,"8,890"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","2,718",.,.,240,.,"21,076","12,018",.,.,.,.,738,"395,723",.,.,.,"2,375",.,"434,888"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",205,.,.,.,.,"120,745",376,.,.,552,.,.,482,.,.,.,"5,751",.,"128,112"
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
AB02Z,Complex Major Pain Procedures,.,.,.,"6,245","69,789",.,.,.,.,.,"2,540",.,.,"38,207",.,.,.,.,"116,780"
AB03Z,Complex Pain Procedures,"38,434",.,.,"85,813","417,269","8,430",.,.,"4,125",.,"66,200","3,168",717,"122,135",.,"4,336","12,653",.,"763,279"
AB04Z,Major Pain Procedures,"147,710",.,.,"300,230","28,438","2,634",.,.,"281,604","4,336","28,675","131,063","23,946","97,748",.,"170,202","108,673",.,"1,325,260"
AB05Z,Intermediate Pain Procedures,"36,020",.,"39,033","40,794","7,066","28,052","1,377",.,"14,720",.,"21,488","26,204","45,995","29,455",.,"18,095","76,003",.,"384,303"
AB06Z,Minor Pain Procedures,"10,012",.,"8,025","4,708","2,117","60,136",.,"4,784","151,156",.,443,"14,006","1,416","4,120",.,"3,496","4,516",.,"268,936"
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"114,886","16,663",.,.,.,.,.,.,.,"11,048","55,613",.,.,.,.,"198,210"
AB08Z,Pain Radiofrequency Treatments,794,.,.,"43,036",.,.,.,.,"150,141",.,807,"147,045",.,.,.,.,.,.,"341,823"
AB09Z,Other Specified Pain Procedures,"4,986",.,.,"12,186",419,.,.,.,"6,506",863,597,.,649,"17,494",.,"1,084","14,680",.,"59,465"
AB10Z,Unspecified Pain Procedures,"5,558",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,558"
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,"2,557",.,.,.,.,.,.,662,.,.,"1,758",.,688,.,.,.,.,.,"5,665"
BZ02A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+","1,805",.,.,.,.,.,.,"5,294",.,"1,473",.,.,.,"2,225",.,.,.,.,"10,796"
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4","35,198",.,.,.,.,.,.,"57,571",.,"100,131","3,484",.,"2,969","30,963",.,"19,324",.,.,"249,640"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,106,492",240,.,.,.,.,.,"230,944",.,"555,168","2,248,858",.,"861,687","523,404",.,"535,282",.,.,"6,062,075"
BZ03A,Non-Phacoemulsification Cataract Surgery with CC Score 1+,"1,805",.,.,.,.,.,.,.,.,736,.,.,"1,304","2,735",.,.,.,.,"6,581"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,"8,875",233,.,.,.,.,.,662,.,"2,209","13,570",.,"40,295","8,638",.,"1,932",.,.,"76,415"
BZ04A,Lens Capsulotomy with CC Score 1+,"7,449",.,.,.,.,.,.,.,.,.,.,.,"6,345",.,.,.,.,.,"13,794"
BZ04B,Lens Capsulotomy with CC Score 0,"169,292",.,.,.,.,.,.,.,.,747,.,.,"441,730",.,"13,240",.,.,.,"625,008"
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,"1,635",.,.,.,.,.,.,.,"1,635"
BZ05B,Major Oculoplastics Procedures with CC Score 0,"6,544",.,.,.,.,.,.,.,.,"1,269","7,448",.,"3,692",.,.,.,"4,577",.,"23,530"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under","7,443",.,.,.,.,.,.,.,.,.,819,.,"36,786",390,.,.,.,.,"45,439"
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,353",.,.,.,.,.,.,.,.,.,.,.,.,743,.,.,"2,824",159,"5,079"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","89,788",.,.,.,"8,154","7,201","1,147",.,.,"7,777","92,931","1,478","66,849","11,489",.,"13,561","22,210",477,"323,062"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","27,747",.,.,.,420,.,.,.,.,"2,013",.,.,"91,202","5,689",.,.,"5,141",.,"132,212"
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+","5,413",.,.,.,.,.,.,.,.,.,.,.,652,443,.,.,"1,298",.,"7,807"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","18,947",.,.,.,"1,720",.,.,.,.,"5,318","4,084",.,"7,437","8,921",.,"1,292","8,118",.,"55,837"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","290,676",.,.,.,"5,862","5,333",221,"2,986",.,"14,846","98,681","1,310","510,429","56,362","7,762","32,593","28,872","1,431","1,057,365"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",827,.,.,.,.,.,.,.,.,.,.,.,"2,307",.,.,.,.,.,"3,134"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,.,.,.,815
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","1,353",.,.,.,.,.,.,.,.,.,"2,511",.,"2,777",.,.,.,.,.,"6,641"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"14,084",.,.,.,.,.,"14,084"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","32,408",.,.,.,.,.,.,.,.,781,"3,337",.,"60,170","3,091",.,.,.,.,"99,787"
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under","28,949",.,.,.,.,.,.,.,.,.,.,.,"58,335",.,.,.,.,.,"87,284"
BZ10C,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,450",.,.,.,.,"1,450"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","24,205",.,.,.,.,.,.,.,.,"1,493",811,.,"60,125","5,974","1,917","3,833",.,.,"98,358"
BZ11A,"Major Cornea or Sclera Procedures, with CC Score 1+",602,.,.,.,.,.,.,.,.,747,859,.,.,.,.,.,.,.,"2,208"
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0","3,010",.,.,.,.,.,.,.,.,.,"3,592",.,"1,406",.,.,.,.,.,"8,008"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+","2,983",.,.,.,.,.,.,.,.,.,809,.,497,.,.,.,.,.,"4,288"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0","2,908",.,.,.,.,.,.,.,.,.,"8,400",.,"4,911",.,.,.,.,.,"16,218"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+",903,.,.,.,.,.,.,662,.,.,"9,101",.,"2,452",285,.,.,.,.,"13,402"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","3,610",.,.,.,.,.,.,.,.,.,"32,976",.,"18,349",.,.,.,.,.,"54,935"
BZ14A,"Major Ocular Motility Procedures, 19 years and over","4,060",.,.,.,.,.,.,.,.,.,.,.,"1,304",.,.,.,.,.,"5,363"
BZ14B,"Major Ocular Motility Procedures, 18 years and under","1,353",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,353"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under","66,770",.,.,.,.,.,.,.,.,"12,945","3,362",.,"162,645",.,.,.,.,.,"245,723"
BZ15C,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,944,.,.,.,.,.,.,.,.,944
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0","30,453",.,.,.,.,.,.,.,.,"1,888","3,355",.,"14,091",.,.,.,.,.,"49,786"
BZ16A,"Minor Ocular Motility Procedures, 19 years and over","5,639",.,.,.,.,.,.,.,.,.,"4,137",.,"2,873",.,.,.,.,.,"12,649"
BZ16B,"Minor Ocular Motility Procedures, 18 years and under","1,128",.,.,.,.,.,.,.,.,"4,459",.,.,"35,781",.,.,.,.,.,"41,368"
BZ17B,Major Glaucoma Procedures with CC Score 0,752,.,.,.,.,.,.,.,.,.,"1,659",.,"2,807",.,.,"1,900",.,.,"7,118"
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,"2,257",.,.,.,.,.,.,.,.,.,.,.,"7,414",.,.,.,.,.,"9,671"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,"11,284",.,.,.,.,.,.,.,.,.,"9,122",.,"82,793",.,.,633,.,.,"103,832"
BZ19A,Minor Glaucoma Procedures with CC Score 1+,"1,505",.,.,.,.,.,.,.,.,.,.,.,"2,055",.,.,.,.,.,"3,560"
BZ19B,Minor Glaucoma Procedures with CC Score 0,"42,128",.,.,.,.,.,.,.,.,.,809,.,"125,753",.,"1,950","4,831",.,.,"175,471"
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,898,.,.,.,.,.,898
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"19,716",.,.,.,.,.,"19,716"
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,.,"3,535",.,.,.,.,.,"3,535"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,"8,803",.,.,.,.,.,.,662,.,.,893,.,"25,099",.,.,.,.,.,"35,457"
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,677,.,.,.,.,.,.,.,.,.,.,.,.,.,263,.,.,.,941
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,"12,868",.,.,823,.,.,.,.,.,747,.,.,"62,920",.,"3,498",.,.,.,"80,856"
BZ23Z,Minor Vitreous Retinal Procedures,"407,379",.,.,814,.,.,.,.,.,.,"8,968",.,"1,316,003",637,"18,758",.,.,.,"1,752,560"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,197",.,.,.,.,.,"2,197"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","7,402",.,.,116,.,.,.,.,.,"1,143","1,216",.,"207,244",253,.,.,.,.,"217,372"
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"1,263",.,.,.,"1,147",.,"2,410"
CA03B,Major Neck Procedures with CC Score 0-1,"1,409","9,121",.,.,.,.,.,.,.,.,514,.,"10,350",.,.,.,.,.,"21,394"
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,825",.,.,.,.,.,"1,825"
CA04B,"Intermediate Neck Procedures, 18 years and under",.,"1,607",.,.,.,873,763,.,.,.,.,.,"8,909",.,.,.,.,.,"12,152"
CA05A,"Minor Neck Procedures, 19 years and over","15,219","13,996",.,.,"6,759","17,210","3,337","4,253",.,913,"14,365","6,454","60,298","4,390","2,464","2,971","12,410",.,"165,037"
CA05B,"Minor Neck Procedures, 18 years and under","5,244","1,355",.,.,618,"5,769","1,515",.,.,.,.,"1,418","10,586","1,040",.,.,"1,116",.,"28,663"
CA10A,"Septorhinoplasty, 19 years and over","3,978","10,216",.,.,.,"1,999","3,657",930,.,.,.,"6,670",.,.,.,.,.,.,"27,450"
CA10B,"Septorhinoplasty, 18 years and under",.,331,.,.,.,.,"1,190",.,.,.,.,.,.,.,.,.,.,.,"1,521"
CA11A,"Septoplasty, 19 years and over","3,743","29,808",.,.,"24,010","28,065","37,385","15,528",.,864,.,"50,401","103,333","47,490",.,"129,250",.,.,"469,877"
CA11B,"Septoplasty, 18 years and under",.,.,.,.,"2,815","1,285","3,449",971,.,.,.,"6,254","7,094","4,442",.,"4,169",.,.,"30,479"
CA12Z,Major Treatment of Epistaxis,.,"1,303",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,303"
CA13A,"Minor Treatment of Epistaxis, 19 years and over",970,.,.,.,.,.,.,.,.,.,.,.,"2,054",.,.,.,.,.,"3,024"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","3,880","3,058",.,.,.,.,452,702,.,.,.,452,"30,028",602,.,.,"2,212",.,"41,386"
CA14Z,Nasal Polypectomy,970,"27,796",.,.,"8,587","16,402",763,"3,882",.,.,.,"21,464","57,589","4,699",.,"1,608","1,040",.,"144,800"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","4,207","3,833",.,.,.,"5,810",962,.,.,.,.,"6,397","11,324",.,.,"10,733","3,389",.,"46,654"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","29,296","2,972",.,.,"29,022","31,486","3,860","3,590",.,"27,817",927,"4,126","22,299",546,.,"7,653","78,408","3,338","245,342"
CA20Z,Complex Nose Procedures,"4,276",.,.,.,.,.,.,.,.,.,.,.,"2,706",.,.,.,"10,934",.,"17,916"
CA21Z,Very Major Nose Procedures,.,.,.,.,908,"7,109",.,.,.,"3,124",.,.,.,.,.,.,"5,740",.,"16,881"
CA22Z,Major Nose Procedures,"7,598","15,372",.,.,"2,071","13,442","9,908",.,.,.,.,"9,328","7,647","1,093",.,"10,055","38,870",.,"115,384"
CA23Z,Intermediate Nose Procedures,"10,196","2,502",.,.,"1,776",514,"3,298",.,.,"5,545",.,.,"7,666","2,186",.,"2,601","22,250",.,"58,534"
CA24A,"Minor Nose Procedures, 19 years and over","6,245","37,870",.,.,"1,627","7,343","6,096",.,.,"4,195",.,"8,349","22,098","7,196",.,"6,294","6,471",.,"113,782"
CA24B,"Minor Nose Procedures, 18 years and under","4,119",331,.,.,"1,185","2,220",539,.,.,781,.,"5,912","13,788","2,706",.,.,889,.,"32,469"
CA25A,"Minimal Nose Procedures, 19 years and over","1,714","17,234",.,.,"4,846",501,"2,584","3,694",.,.,.,"13,017","20,332",602,.,"1,485",.,.,"66,008"
CA25B,"Minimal Nose Procedures, 18 years and under","3,944","22,096",.,.,"8,956","2,095","2,744","1,860",.,.,.,"3,088","22,395","4,770",.,.,"14,077",.,"86,026"
CA26Z,Complex Sinus Procedures,517,"1,929",.,.,.,"1,737",.,.,.,"1,888",.,.,"1,915",.,.,.,.,.,"7,986"
CA27Z,Major Sinus Procedures,.,.,.,.,.,"3,887","4,871",.,.,"10,950",.,.,"1,769",.,.,.,.,.,"21,477"
CA28Z,Intermediate Sinus Procedures,637,"13,049",.,.,.,"7,266","9,539","2,613",.,"1,562",.,"17,790","5,341",.,.,.,"2,132",.,"59,928"
CA29Z,Minor Sinus Procedures,970,"8,268",.,.,.,"10,946","3,346",.,.,.,.,"4,740","9,847",.,.,.,.,.,"38,117"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"2,814",.,.,.,.,.,.,.,999,.,.,"1,395",.,.,"3,326",.,.,"8,533"
CA32A,"Tympanoplasty, 19 years and over","9,315","15,132",.,.,.,"15,241",.,.,.,.,.,"3,866","18,978",.,.,"10,737",.,.,"73,269"
CA32B,"Tympanoplasty, 18 years and under","3,299","10,703",.,.,"3,925","3,382","2,700",.,.,"2,348",.,.,"11,795",.,.,.,"1,494",.,"39,647"
CA33Z,Pinnaplasty,"4,657","2,424",.,.,.,"3,749",.,.,.,.,.,"1,889","168,193","2,957",.,.,"6,147",.,"190,016"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over","45,503","12,803",.,.,"26,095","39,749","11,009","3,115",.,"16,190","3,562","10,941","17,820","1,922",.,"44,941","39,798","4,292","277,740"
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",970,"1,303",.,.,.,"2,096","1,715",.,.,.,.,"3,028","9,215",.,.,"2,724","7,749",.,"28,800"
CA35A,"Insertion of Grommets, 19 years and over","17,460","38,439",.,.,"11,918","5,494","4,469","6,688",.,"3,041",.,"39,031","66,425","2,607",.,"14,516","11,553",.,"221,642"
CA35B,"Insertion of Grommets, between 2 and 18 years","118,340","216,113",.,.,"72,625","43,373","29,629","12,541",.,"3,041",.,"20,294","216,283","47,951",.,"6,700","125,305",.,"912,195"
CA35C,"Insertion of Grommets, 1 year and under","6,790","12,572",.,.,"1,089","13,193","1,846",.,.,.,.,.,"34,355",.,.,.,"15,996",.,"85,840"
CA36A,"Clearance of External Auditory Canal, 19 years and over","1,714","3,989",.,.,"1,273",.,.,.,.,.,.,"1,174","1,825",.,.,.,.,.,"9,975"
CA36B,"Clearance of External Auditory Canal, 18 years and under","7,307","22,558",.,.,"4,747","6,531","2,293",.,.,.,.,"1,330","10,278","4,092",.,.,"5,898",.,"65,033"
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"1,097",.,.,.,.,.,"1,097"
CA37C,"Audiometry or Hearing Assessment, 4 years and under",.,.,.,.,.,.,.,.,.,.,.,.,548,.,.,.,.,.,548
CA38B,"Evoked Potential Recording, 18 years and under","3,782","8,982",.,.,.,"4,692",.,.,.,.,.,.,.,.,.,.,"4,973",.,"22,430"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"9,077",.,.,.,.,.,"9,077"
CA40Z,Fitting of Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"46,319",.,.,.,.,.,"46,319"
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,.,"34,155",.,.,.,.,.,"34,155"
CA50Z,Complex Ear Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,198",.,"4,198"
CA51A,"Very Major Ear Procedures, 19 years and over",852,.,.,.,927,"3,935",.,.,.,.,.,.,"3,221",.,.,.,"3,127",.,"12,063"
CA51B,"Very Major Ear Procedures, 18 years and under",.,.,.,.,.,"3,147",.,.,.,916,.,.,"3,522",.,.,.,.,.,"7,585"
CA52A,"Major Ear Procedures, 19 years and over","6,943","1,182",.,.,"2,965","1,518",403,.,.,.,.,977,"1,746",848,.,"3,706","13,641",.,"33,929"
CA52B,"Major Ear Procedures, 18 years and under","3,299","3,127",.,.,.,.,"3,075",.,.,.,.,.,"3,417","2,635",.,.,995,.,"16,548"
CA53A,"Intermediate Ear Procedures, 19 years and over","8,876","8,296",.,.,"1,417","13,008",356,.,.,"2,018",.,"3,828","3,984",.,.,.,"6,229",.,"48,011"
CA53B,"Intermediate Ear Procedures, 18 years and under","2,619","2,581",.,.,.,"3,044",.,.,.,.,.,.,"60,246",585,.,.,"4,761",.,"73,837"
CA54A,"Minor Ear Procedures, 19 years and over","4,820","8,750",.,.,"2,151","5,352",656,"1,239",.,.,.,"9,092","14,150","1,493",.,"5,816","9,123",.,"62,642"
CA54B,"Minor Ear Procedures, 18 years and under","17,007","12,971",.,.,"1,063","4,518",461,.,.,709,.,.,"84,483","1,134",.,"1,485","6,782",.,"130,613"
CA55A,"Minimal Ear Procedures, 19 years and over",744,"8,342",.,.,.,.,529,769,.,781,.,"6,557","3,576",339,.,.,"1,808",.,"23,445"
CA55B,"Minimal Ear Procedures, 18 years and under","6,401","16,144",.,.,"1,233","4,971",.,"1,699",.,.,.,"1,317","5,156","2,899",.,.,"3,949",.,"43,770"
CA60A,"Tonsillectomy, 19 years and over","1,391","52,844",.,.,.,"44,506","10,268",.,.,.,.,"2,313",754,"1,362",.,.,.,.,"113,438"
CA60B,"Tonsillectomy, 18 years and under",.,"39,120",.,.,.,"53,318","36,365",.,.,.,.,.,"185,871",883,.,.,"132,660",.,"448,217"
CA61Z,Adenotonsillectomy,.,"13,006",.,.,.,"23,714","73,551",.,.,.,.,.,"91,609",.,.,.,"69,180",.,"271,061"
CA62Z,Adenoidectomy,"6,597","94,472",.,.,"10,659","51,052","29,177","17,469",.,"3,455",.,"7,598","131,607","55,949",.,.,"117,486",.,"525,521"
CA63Z,Tracheostomy,.,"1,260",.,.,.,.,.,.,.,.,.,.,435,.,.,.,.,.,"1,695"
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,121",.,.,.,.,"3,121"
CA65Z,Frenotomy or Frenectomy,"13,655","15,922",.,.,"9,435","14,074","3,227",901,.,.,.,.,"32,037","1,771",.,"1,117","38,605",.,"130,744"
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over","218,456","12,741",.,.,"9,608","22,653","2,105","67,639",.,"13,017",813,"3,978","54,418",602,.,"3,281","45,439","1,749","456,500"
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under","15,344","4,109",.,.,181,.,.,"3,254",.,.,.,.,"19,975",.,.,.,"7,773",.,"50,636"
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+","1,940",.,.,.,.,"2,131",.,.,.,.,.,.,"2,556",.,.,.,.,.,"6,627"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1","3,880","7,333",.,.,.,"2,092",617,.,.,.,.,.,"44,983",.,.,.,.,.,"58,905"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over","1,940","1,182",.,.,.,"4,272",.,.,.,.,.,.,"19,505","2,729",.,.,.,.,"29,628"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,594,.,.,.,.,.,.,"2,324",.,.,.,.,.,"2,918"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","75,709","48,967",.,238,.,"44,648","3,968","3,613",.,.,433,"31,267","186,183",725,.,"2,724","1,705",.,"400,181"
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years","1,940","1,617",.,.,.,"1,542","1,826",836,.,.,.,.,"12,662",.,.,.,"3,555",.,"23,978"
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",970,.,.,.,.,.,.,.,.,.,.,.,"6,096",.,.,.,"1,777",.,"8,843"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,"17,460","19,481",.,.,.,"14,320","1,447",.,.,.,.,"5,384","30,433",.,.,"2,233",.,.,"90,759"
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over","10,670","8,786",.,.,886,"8,733","2,113",930,.,781,.,"6,945","21,904","1,485",.,"5,583",.,.,"68,816"
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under","3,880","10,765",.,.,.,"1,847",.,.,.,.,.,.,"12,216",.,.,.,.,.,"28,709"
