HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",438,400,556,.,.,.,.,.,376,.,369,.,470,.,502,.,367,421
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",438,407,606,454,327,.,.,.,376,.,373,.,497,.,502,.,355,435
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",438,401,632,.,598,.,.,.,376,.,.,.,442,.,502,.,361,456
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,"1,827",.,.,.,.,.,.,"1,827"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,704,.,327,355,.,.,.,360,.,.,520,.,502,.,350,426
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",438,407,464,454,331,301,.,.,.,.,"1,854",.,428,.,651,.,353,419
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",442,396,467,454,354,328,.,.,376,.,346,.,433,.,563,.,360,404
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",437,403,437,454,380,311,528,.,376,.,380,.,448,.,519,552,367,415
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,327,.,.,.,.,.,.,.,386,.,.,.,367,363
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,407,475,454,342,395,.,.,366,.,.,.,381,.,502,.,367,401
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",444,403,461,454,335,352,528,.,376,.,.,.,453,.,502,.,368,417
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",440,402,451,464,369,316,585,.,374,.,377,.,430,407,516,.,367,409
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",448,403,494,476,378,321,528,.,375,.,381,.,423,.,532,552,368,414
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",439,418,457,500,422,314,528,.,394,.,370,.,406,.,520,552,393,418
AA27Z,Medical Care of Patients with Alzheimer's Disease,438,419,404,.,.,.,528,.,376,.,387,.,424,.,.,.,362,401
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,489,.,386,.,.,.,.,438
AA28E,Motor Neuron Disease with CC Score 2-4,.,407,.,454,.,.,.,.,.,.,.,.,.,.,.,.,.,430
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,500,.,.,.,.,.,.,.,.,386,.,.,.,.,419
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,.,.,.,.,.,376,.,387,.,453,.,.,.,333,390
AA29D,Transient Ischaemic Attack with CC Score 8-10,431,399,.,454,455,352,528,.,.,.,387,.,461,.,549,.,347,426
AA29E,Transient Ischaemic Attack with CC Score 5-7,437,393,404,454,339,318,.,.,374,.,372,.,459,.,557,.,350,415
AA29F,Transient Ischaemic Attack with CC Score 0-4,432,391,423,454,346,349,528,.,432,.,370,.,415,.,562,.,352,402
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367,367
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,489,.,.,.,367,437
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",438,.,.,454,.,.,.,.,.,.,.,.,524,.,502,.,367,419
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",438,407,.,454,327,.,.,.,.,.,.,.,437,.,522,.,367,437
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",555,.,404,.,339,.,701,.,376,.,.,.,522,.,.,.,367,457
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",442,401,.,.,339,352,.,.,376,.,359,.,407,.,502,.,349,384
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",442,413,453,491,435,395,538,.,416,.,362,.,412,.,522,552,378,418
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,633,.,462,.,.,.,.,495
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,538,.,.,.,.,538
AA35A,Stroke with CC Score 16+,.,.,.,.,327,.,.,.,.,.,.,.,386,.,.,.,344,365
AA35B,Stroke with CC Score 13-15,.,370,499,.,.,.,.,.,.,.,305,.,501,407,502,.,367,462
AA35C,Stroke with CC Score 10-12,.,400,.,.,339,326,.,.,376,.,360,.,476,.,543,.,360,423
AA35D,Stroke with CC Score 7-9,412,396,434,454,348,301,528,.,376,360,364,.,475,.,559,.,367,421
AA35E,Stroke with CC Score 4-6,439,390,708,472,341,346,614,.,375,.,378,.,480,.,582,.,358,413
AA35F,Stroke with CC Score 0-3,440,392,539,464,357,342,528,.,375,.,373,.,473,.,567,.,352,412
AA37Z,"Intermediate Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,"6,348",.,.,.,.,"6,348"
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,.,"5,774",.,.,.,.,"5,774"
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,687,.,.,.,.,.,.,.,"2,130",.,.,.,.,"1,048"
AA42Z,Complex Sleep Studies,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,541,541
AB03Z,Complex Pain Procedures,.,.,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689
AB04Z,Major Pain Procedures,661,.,.,.,.,"1,013",.,.,.,.,.,.,583,.,.,.,766,796
AB05Z,Intermediate Pain Procedures,438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,438
AB06Z,Minor Pain Procedures,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,327
AB10Z,Unspecified Pain Procedures,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,.,327
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4","2,464",.,.,.,.,.,.,.,.,.,"1,479",.,.,.,.,.,.,"1,972"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","2,464",.,.,.,.,.,.,.,.,.,.,.,"1,547",.,.,.,.,"2,005"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under","2,464",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,464"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,464",.,.,.,.,.,.,.,.,.,.,.,"1,956",.,.,.,.,"2,210"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,335",.,.,.,"1,206","1,553"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","3,251",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,251"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","2,945",457,.,.,.,.,.,.,.,.,.,.,"1,729",.,.,.,"1,395","1,799"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,546","1,546"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,765","1,765"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,351",.,.,.,.,"1,351"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,577",.,.,.,.,"1,577"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,"1,424",.,.,.,.,.,.,"1,424"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","2,070",.,.,.,.,.,.,.,.,.,.,.,"1,644",.,.,.,.,"1,750"
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"2,163",.,.,.,.,"2,163"
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,"1,677",.,.,.,.,.,.,.,.,.,.,.,"1,405",.,.,.,.,"1,541"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"1,306",.,.,.,.,"1,306"
BZ19A,Minor Glaucoma Procedures with CC Score 1+,"1,677",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,677"
BZ19B,Minor Glaucoma Procedures with CC Score 0,"1,264",.,.,.,.,.,.,.,.,.,.,.,"1,371",.,.,.,.,"1,331"
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,"1,619",.,.,.,.,"1,619"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"1,819",.,.,.,.,"1,819"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,"1,693",.,.,.,.,"1,693"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,890,.,.,.,.,.,.,.,.,.,.,.,"1,971",.,.,.,.,"1,881"
BZ23Z,Minor Vitreous Retinal Procedures,890,.,.,.,.,.,.,.,.,.,.,.,"1,508",.,.,.,.,"1,395"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,407,.,.,.,.,.,.,.,.,.,.,413,.,.,.,.,411
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",438,393,.,500,522,399,.,.,376,.,364,.,444,.,.,.,355,413
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",361,418,404,477,600,398,528,.,376,.,355,.,431,.,538,552,362,420
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"7,323",.,.,.,.,"7,323"
CA05A,"Minor Neck Procedures, 19 years and over","8,415",407,.,614,"1,586","1,268",.,.,.,.,"1,708",.,"1,902",.,"2,977",.,"1,161","2,669"
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,299","2,299"
CA11A,"Septoplasty, 19 years and over","2,787","1,394",.,.,"2,257",.,.,.,.,.,.,.,.,.,.,.,.,"2,146"
CA12Z,Major Treatment of Epistaxis,"1,609",450,.,.,"1,083",.,.,.,.,.,.,.,"1,598",.,.,.,.,880
CA13A,"Minor Treatment of Epistaxis, 19 years and over","1,423",450,.,.,"1,160",.,.,.,.,.,.,.,"1,606",.,.,.,987,"1,077"
CA13B,"Minor Treatment of Epistaxis, 18 years and under",.,450,.,.,"1,145",.,.,.,.,.,.,.,.,.,.,.,.,797
CA14Z,Nasal Polypectomy,.,.,.,.,934,.,.,.,.,.,.,.,.,.,.,.,.,934
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,252","1,252"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","2,464",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,464"
CA20Z,Complex Nose Procedures,"2,678",.,.,.,.,.,.,.,.,.,.,.,"1,953",.,.,.,.,"2,316"
CA22Z,Major Nose Procedures,.,.,.,.,"2,161",.,.,.,.,.,.,.,.,.,.,.,"1,998","2,079"
CA23Z,Intermediate Nose Procedures,.,"1,067",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,067"
CA24A,"Minor Nose Procedures, 19 years and over","1,605",450,727,.,898,.,.,.,.,.,.,.,.,.,.,.,"1,338","1,195"
CA24B,"Minor Nose Procedures, 18 years and under","1,578",450,.,.,848,.,.,.,.,.,.,.,"3,442",.,.,.,"1,319","1,403"
CA25A,"Minimal Nose Procedures, 19 years and over","1,609",.,.,.,.,.,.,.,.,.,.,.,898,.,.,.,.,"1,254"
CA25B,"Minimal Nose Procedures, 18 years and under","1,253",673,.,.,"1,279",.,.,.,.,.,.,.,"1,604",.,.,.,"1,192","1,144"
CA28Z,Intermediate Sinus Procedures,.,450,.,.,.,.,.,.,.,.,.,.,"5,861",.,.,.,.,"3,156"
CA32B,"Tympanoplasty, 18 years and under",.,"1,308",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,308"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,355",.,.,.,.,"1,355"
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,608,.,.,.,.,.,.,.,.,.,.,.,.,608
CA35B,"Insertion of Grommets, between 2 and 18 years",.,847,.,.,"4,960",.,.,.,.,.,.,.,"1,084",.,.,.,"1,116","2,002"
CA35C,"Insertion of Grommets, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,304",.,.,.,.,"2,304"
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,886,.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,825
CA36B,"Clearance of External Auditory Canal, 18 years and under","1,431",628,.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,890
CA38A,"Evoked Potential Recording, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,342",.,.,.,.,"1,342"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"1,436",.,.,.,.,"1,436"
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,526","2,526"
CA52A,"Major Ear Procedures, 19 years and over","1,340",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,526","2,131"
CA54A,"Minor Ear Procedures, 19 years and over",.,"1,430",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,461","1,455"
CA54B,"Minor Ear Procedures, 18 years and under",.,605,.,.,"1,073","1,487",.,.,.,.,.,.,"3,123",.,.,.,"1,482","1,412"
CA60A,"Tonsillectomy, 19 years and over","1,609",450,.,.,"2,314",.,.,.,.,.,.,.,"1,537",.,.,.,.,"1,489"
CA60B,"Tonsillectomy, 18 years and under","1,609",450,.,.,"1,183",.,.,.,.,.,.,.,"1,956",.,.,.,"1,343","1,551"
CA61Z,Adenotonsillectomy,.,.,.,.,"2,314","2,458",.,.,.,.,.,.,"1,725",.,.,.,.,"2,055"
CA62Z,Adenoidectomy,.,.,.,.,"1,222",.,.,.,.,.,.,.,.,.,.,.,.,"1,222"
CA63Z,Tracheostomy,.,"5,581",.,.,"1,260",.,.,.,.,.,.,.,577,.,.,.,"1,326","2,014"
CA65Z,Frenotomy or Frenectomy,"1,548",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,548"
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over","1,548",.,.,.,"1,011",.,.,.,.,.,.,.,"1,411",.,.,.,.,"1,379"
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,169","1,169"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,009",.,.,.,.,"2,009"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over","2,678",.,.,.,809,.,.,.,.,.,.,.,.,.,.,.,.,"1,432"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,918",.,.,.,"1,252","1,585"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","1,609",439,590,.,"4,462","1,677",.,.,.,.,"1,581",.,"1,158",.,.,.,.,"1,770"
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,498,.,.,"1,068",.,.,.,.,.,.,.,.,.,.,.,"1,116",795
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,045",.,.,.,.,"2,045"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,"3,603",.,.,.,.,"3,603"
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over","1,479",519,.,.,"1,307",.,.,.,.,.,.,.,.,.,.,.,.,"1,043"
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under","1,609",450,.,.,627,.,.,.,.,.,.,.,.,.,.,.,.,895
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"3,032",.,.,.,.,"3,032"
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,932",.,.,.,.,"2,932"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","1,253",.,.,.,"1,720",.,.,.,.,.,.,.,.,.,.,.,.,"1,486"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,609",450,.,.,838,.,.,.,.,.,.,.,"1,336",.,.,.,"1,343","1,004"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","1,609",450,.,.,"1,413",.,.,.,.,.,.,.,"2,204",.,.,.,"1,343","1,391"
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,962","1,962"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,609",450,.,.,"1,183",.,.,.,.,.,.,.,.,.,.,.,.,"1,207"
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over","1,775",450,.,.,"1,337",.,.,.,.,.,703,.,799,.,.,.,"1,395","1,136"
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years","1,495",450,.,.,"1,164","1,466",.,.,.,.,.,.,"1,145",.,.,.,"1,157","1,166"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,063",.,.,.,.,"1,063"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over","1,490",.,.,.,"1,202",.,.,.,.,.,.,.,884,.,.,.,"1,428","1,400"
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years","1,499",450,.,.,.,.,.,.,.,.,.,.,"1,470",.,.,.,"1,435","1,436"
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under","1,548",.,.,.,.,.,.,.,.,.,.,.,"2,087",.,.,.,"1,451","1,512"
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","4,218",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,962","3,090"
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,962","1,962"
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,962","1,962"
CA94Z,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,599","1,599"
CA95Z,Minor Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,622","1,622"
CA96Z,"Reduction or Fixation, of Jaw","3,288",.,.,.,894,.,.,.,.,.,.,.,.,.,.,.,"1,897","2,671"
CA97Z,"Reduction or Fixation, of Cheekbone","4,349",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,497","2,284"
CA98Z,Reduction of Fracture of Nasal Bone,"1,074",.,.,.,761,.,.,.,.,.,.,.,.,.,.,.,"1,053",963
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,509,.,.,.,.,509
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,407,.,.,.,.,.,.,.,.,.,.,386,.,.,.,.,398
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,.,.,.,.,.,.,.,.,.,387,.,386,.,.,.,367,381
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",540,407,657,.,378,.,.,.,.,.,.,.,386,.,.,.,367,513
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",438,407,.,.,.,.,.,.,843,.,.,.,965,.,.,.,.,764
