HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
AA03D,400,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"10,496",.,.,.,.,"10,496"
AA04D,150,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,"83,549",.,.,.,.,"83,549"
AA05C,150,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"8,023",.,.,.,.,"8,023"
AA05D,150,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"20,154",.,.,.,.,"20,154"
AA06D,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"37,302",.,.,.,.,"37,302"
AA06E,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"70,399",.,.,.,.,"70,399"
AA06E,400,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"5,698",.,.,.,.,"5,698"
AA06F,150,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"95,479",.,.,.,.,"95,479"
AA06F,420,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"18,500",.,.,.,.,"18,500"
AA07C,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"70,978",.,.,.,.,"70,978"
AA07C,420,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"16,449",.,.,.,.,"16,449"
AA07D,150,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"79,542",.,.,.,.,"79,542"
AA09D,100,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"11,228",.,.,.,.,"11,228"
AA09D,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"73,530",.,.,.,.,"73,530"
AA09E,150,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,380",.,.,.,.,"6,380"
AA11Z,150,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"57,156",.,.,.,.,"57,156"
AA12C,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"7,459",.,.,.,.,"7,459"
AA12D,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"110,081",.,.,.,.,"110,081"
AA12E,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"254,403",.,.,.,.,"254,403"
AA12E,302,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,517",.,.,.,.,"6,517"
AA12E,400,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"15,819",.,.,.,.,"15,819"
AA13C,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"59,706",.,.,.,.,"59,706"
AA13C,420,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"13,533",.,.,.,.,"13,533"
AA13D,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"99,721",.,.,.,.,"99,721"
AA13D,400,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,455",.,.,.,.,"8,455"
AA15C,140,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+","8,006",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,006"
AA15D,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"107,433",.,.,.,.,"107,433"
AA15E,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,833",.,.,.,.,"13,833"
AA16Z,150,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,"32,354",.,.,.,.,"32,354"
AA17D,150,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"39,918",.,.,.,.,"39,918"
AA18C,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"20,140",.,.,.,.,"20,140"
AA18C,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"9,645",.,.,.,.,"9,645"
AA18D,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"34,507",.,.,.,.,"34,507"
AA18D,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"11,395",.,.,.,.,"11,395"
AA19C,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"25,769",.,.,.,.,"25,769"
AA19C,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"5,240",.,.,.,.,"5,240"
AA19C,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"13,619",.,.,.,.,"13,619"
AA19D,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"144,879",.,.,.,.,"144,879"
AA19D,300,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"11,586",.,.,.,.,"11,586"
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"274,540",.,.,.,.,"274,540"
AA19E,400,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"19,289",.,.,.,.,"19,289"
AA19E,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"8,862",.,.,.,.,"8,862"
AA19E,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"16,949",.,.,.,.,"16,949"
AA20C,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"7,929",.,.,.,.,"7,929"
AA20C,300,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,624","11,624"
AA20C,400,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"6,039",.,.,.,.,"6,039"
AA21C,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"41,105",.,.,.,.,"41,105"
AA21C,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"38,976",.,.,.,.,"38,976"
AA21D,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"40,285",.,.,.,.,"40,285"
AA21D,171,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"29,850",.,.,.,.,"29,850"
AA21D,300,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"3,477",.,.,.,.,"3,477"
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"68,420",.,.,.,.,"68,420"
AA21E,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"3,622",.,.,.,.,"3,622"
AA21E,823,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,"5,931",.,.,.,.,.,.,.,.,.,.,.,"5,931"
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"90,353",.,.,.,.,"90,353"
AA21F,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,334","6,334"
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"4,446",.,.,.,.,"4,446"
AA21F,421,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"20,014",.,.,.,.,"20,014"
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"6,529",.,.,.,.,"6,529"
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+","15,779",.,.,.,.,.,.,.,.,.,.,"39,516",.,.,.,.,"55,295"
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,"2,900",.,.,.,.,.,.,.,.,.,.,.,"2,900"
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,"4,901",.,.,.,"4,509",.,.,"9,747",.,"28,120",.,.,"47,278"
AA22D,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"4,080",.,.,.,.,"4,080"
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,"4,913",.,.,.,.,.,.,.,.,.,.,"4,913"
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"40,384",.,.,.,.,"40,384"
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,"17,232",.,.,.,"11,149",.,"18,350",.,"54,076",.,.,"100,807"
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"4,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,068"
AA22E,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"2,352",.,.,.,.,"2,352"
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",877,"4,879",.,.,"5,882",.,"3,693",.,"7,607",.,.,"62,141",.,"3,013",.,.,"88,091"
AA22E,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"5,607",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,607"
AA22E,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,815
AA22E,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","9,990",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"9,990"
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"19,283",.,.,.,.,"19,283"
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,105",.,.,.,"29,363","4,923",.,.,.,"6,833",.,"11,430",.,.,.,"1,194","54,848"
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"1,323",.,.,.,.,"1,323"
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"5,772",.,.,.,.,"5,772"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","11,834","2,440",.,"14,968","17,645","7,833","15,825",.,"7,891",.,"4,631","65,372",.,"8,536",.,"14,566","171,542"
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"1,267",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,267"
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,911",.,.,.,.,"6,911"
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,"6,733",.,.,"2,047",.,.,.,.,.,.,.,.,.,.,"8,780"
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"19,224",.,.,.,.,"19,224"
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","11,050","7,779","9,842",.,"1,088",.,.,.,.,"1,439","3,174","9,667","11,400","18,025",.,"5,670","79,134"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,971",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,364","6,335"
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,581",.,.,.,.,"4,581"
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"46,319",.,.,.,.,"46,319"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","42,953","34,359","6,941","29,483","31,695","9,340","7,015",.,"4,225",.,"15,698","61,324",.,"22,094",.,"64,378","329,506"
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,112"
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","4,822",.,.,"4,376",.,.,.,.,"1,311",.,.,.,.,"1,599",.,.,"12,107"
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"38,529",.,.,.,.,"38,529"
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"9,757",.,.,.,.,"9,757"
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"87,601",.,.,.,.,"87,601"
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","6,630","12,965","3,284",.,"24,288","7,034",.,.,"1,098",.,"2,489","53,513",.,"8,369",.,"2,387","122,056"
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"4,473",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,473"
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,"39,145",.,.,.,"44,787",.,.,.,"83,932"
AA23D,100,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"20,989",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,989"
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,"6,691",.,.,.,.,"6,691"
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"9,759",.,.,.,.,"7,385",.,.,.,.,.,.,.,.,"5,135","22,279"
AA23D,303,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,"12,210",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"12,210"
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"8,149",.,.,"3,625",.,.,.,"1,829",.,.,.,.,.,.,.,"13,604"
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"17,816",.,.,.,.,.,.,.,.,.,.,.,.,"16,178",.,.,"33,994"
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"7,081",.,.,.,.,"7,081"
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"9,638",.,.,.,.,"9,638"
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"10,519","11,792",.,"31,751","1,634",.,.,.,"5,261",.,"7,244","20,932",.,"1,506",.,"2,201","92,839"
AA23E,370,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"4,009",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,009"
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,"32,227","22,691",.,"9,063","1,407",.,.,"13,902","14,745","22,365",.,"16,693","27,038",.,"13,429","173,560"
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"6,396",.,.,"9,733","4,381",.,.,.,.,.,.,"1,696",.,"5,177",.,.,"27,382"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"40,702",.,.,.,.,"40,702"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"12,272","14,638",786,"5,897","6,862","6,026","1,583",.,"4,885",.,"2,955","13,644",.,"7,030",.,"16,506","93,082"
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,"1,121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,121"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"9,209","23,043",.,.,"17,038","10,902",.,.,"1,098","3,237","13,202","4,767",.,"20,600",.,"12,534","115,629"
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,"2,290",.,"1,186",.,.,.,.,.,.,.,.,.,.,"3,476"
AA23G,130,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,308
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"63,794",.,.,.,.,"63,794"
AA23G,180,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,"5,366",.,.,.,.,.,.,.,.,.,.,.,"5,366"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"12,711","2,440","1,955","4,536","8,822","6,930",.,.,"1,219",.,"9,570","5,290",.,"1,004",.,"1,834","56,309"
AA23G,302,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"2,774",.,.,.,.,"2,774"
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,"3,521",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,521"
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,"2,963","9,499",.,"2,175",.,.,.,.,.,"6,989","8,425",.,"5,794",.,"3,581","39,426"
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",877,"9,759",.,.,"2,614",.,.,.,"4,509",.,"14,274",.,.,.,.,.,"32,032"
AA24C,361,"Brain Tumours or Cerebral Cysts, with CC Score 11+","11,462",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,462"
AA24C,370,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,"15,038",.,.,.,.,.,.,.,.,.,.,.,.,.,"15,038"
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+","18,785",.,.,.,.,.,.,.,"16,097",.,.,.,"11,400",.,.,"4,178","50,460"
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,"12,198",.,"13,607",.,"13,257","17,812",.,"7,891",.,.,"4,020",.,.,.,"6,235","75,021"
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"1,141",.,.,.,.,"1,141"
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,"19,807",.,.,.,.,.,.,.,.,.,.,.,.,.,"19,807"
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","13,260",.,.,.,.,.,.,.,"4,390",.,.,"1,829","17,915",.,.,.,"37,394"
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,"2,712",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,712"
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","22,353","10,572","5,373",.,"5,555","5,724","8,440",.,"4,885",.,"12,407","12,519",.,.,.,"2,201","90,029"
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"5,060",.,.,.,.,"5,060"
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"36,260",.,.,.,.,.,.,.,.,.,.,.,.,.,"36,260"
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","6,998","2,593",.,.,.,.,.,.,.,.,.,.,"6,107",.,.,"14,774","30,473"
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,"2,628",.,.,.,.,.,.,.,.,.,.,.,"2,628"
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"4,143",.,.,.,.,"4,143"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","39,885","29,682",.,"20,865","13,070","3,917","1,055",.,"4,509",.,"13,612","28,084",.,"3,013",.,"6,969","164,662"
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"2,609",.,.,.,.,"2,609"
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"102,808",.,.,.,.,.,.,.,.,.,.,.,.,.,"102,808"
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","7,367","9,261",.,.,"1,813",.,.,.,.,.,.,"5,421",.,"25,751",.,"17,905","67,517"
AA24G,130,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,753",.,.,.,.,"2,753"
