HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,409,.,.,.,.,.,.,.,.,.,.,.,409
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,654,.,.,.,.,654
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,388
AA22E,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",438,407,404,.,327,.,.,.,376,.,387,.,386,.,.,.,367,388
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,388,.,654,.,.,.,298,572
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,388,.,647,.,.,518
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",438,407,.,.,327,.,528,.,376,.,334,.,386,.,502,.,367,385
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,704,.,.,409,.,.,.,.,.,.,.,.,.,.,.,557
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,370,499,.,.,.,.,.,.,.,.,.,654,.,.,.,298,586
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,532,573,.,.,.,.,.,.,.,.,822,.,647,.,.,720
AA22G,180,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,457,.,.,894,.,.,.,.,.,.,.,306,.,.,.,.,552
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",438,407,404,454,327,301,528,.,376,.,379,.,386,.,502,.,367,394
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,385,.,.,.,.,.,.,.,611,.,.,.,.,498
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,035",.,.,.,.,"1,035"
AA22G,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,370,499,.,363,.,.,.,.,.,.,.,696,.,644,.,298,611
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,327,.,.,.,376,.,"1,854",.,.,.,.,.,.,733
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,370,.,.,363,.,.,.,.,.,.,.,.,.,.,.,.,366
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,457,.,.,.,.,.,.,.,.,.,.,.,.,.,647,.,.,552
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,407,404,454,327,.,.,.,376,.,"1,986",.,.,.,502,.,367,497
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,799
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,370,.,.,.,.,.,.,.,.,.,.,.,.,644,.,298,387
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,647,.,.,647
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA23F,180,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,457,.,.,894,.,.,.,.,.,.,.,.,.,.,.,.,748
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,438,407,.,454,327,.,528,.,376,.,.,.,386,.,502,.,367,408
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
AA23F,400,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,370,.,.,.,352,.,.,366,.,.,.,654,.,.,.,298,454
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,532,573,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA23G,180,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,894,.,.,.,.,.,.,.,.,.,.,.,.,894
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,438,407,423,454,327,301,.,.,.,.,363,.,386,.,502,.,367,396
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,368,370,499,.,.,352,.,.,.,.,388,.,654,.,.,.,.,444
AA24C,361,"Brain Tumours or Cerebral Cysts, with CC Score 11+",521,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,521
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,386,.,.,.,.,386
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,654,.,.,.,.,654
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",438,407,.,.,.,.,.,.,376,.,.,.,386,.,.,.,367,403
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,370
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",438,407,404,.,.,.,.,.,376,.,369,.,386,.,502,.,367,394
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,370,.,.,.,.,.,.,.,.,.,.,654,.,.,.,.,512
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA24G,180,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,306
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",438,407,404,454,327,.,.,.,376,.,373,.,386,.,502,.,367,400
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,654,.,.,.,298,417
AA24H,110,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,612,.,.,.,.,612
AA24H,130,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,468,.,.,.,.,468
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,894,.,.,.,.,.,.,.,.,.,.,.,.,894
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",438,407,404,.,327,.,.,.,376,.,.,.,386,.,502,.,367,398
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,370,.,.,.,.,.,.,.,.,.,.,654,.,.,.,298,494
AA24H,823,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,659,.,.,.,.,.,.,.,.,.,.,.,.,659
AA25C,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,"1,827",.,.,.,.,.,.,"1,827"
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,327,301,.,.,.,.,.,.,386,.,502,.,367,378
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,704,.,.,409,.,.,.,.,.,.,.,.,.,.,.,557
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,360,.,.,654,.,.,.,298,491
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",438,407,404,454,327,301,.,.,.,.,"1,854",.,386,.,502,.,367,400
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
AA25E,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,799
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,363,.,.,.,.,.,.,.,654,.,.,.,298,492
AA25F,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,894,.,.,.,.,.,.,.,.,.,.,.,.,894
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",438,407,404,454,327,301,.,.,376,.,338,.,386,.,502,.,367,387
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",689,.,.,.,385,358,.,.,.,.,.,.,.,.,.,.,.,477
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",368,370,499,.,363,352,.,.,.,.,388,.,654,.,644,.,298,462
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,452,.,.,.,.,.,.,.,.,.,.,388,.,.,.,.,420
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",519,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,519
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA25G,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,457,.,.,894,.,.,.,.,.,.,.,306,.,.,.,.,552
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",438,407,404,454,327,301,528,.,376,.,378,.,386,.,502,.,367,391
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,422,568,.,385,.,.,.,.,.,.,.,611,.,.,552,.,525
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",368,370,.,.,363,352,.,.,.,.,388,.,654,.,644,.,366,481
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,327,.,.,.,.,.,.,.,386,.,.,.,367,363
AA26D,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,395,.,.,.,.,.,.,.,.,.,.,.,395
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,407,404,454,327,.,.,.,.,.,.,.,381,.,502,.,367,396
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,499,.,363,.,.,.,366,.,.,.,.,.,.,.,.,421
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",457,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,455,443
AA26E,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,385,385
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA26E,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,306,.,.,.,.,306
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",438,407,404,454,327,.,528,.,376,.,.,.,386,.,502,.,367,390
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,370,499,.,363,352,.,.,.,.,.,.,654,.,.,.,298,511
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,452,.,.,438,.,.,.,.,.,.,.,442,.,647,.,455,456
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA26F,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,457,.,.,894,.,.,.,.,.,.,.,306,.,.,.,.,602
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",438,407,404,454,327,301,528,.,376,.,364,.,386,.,502,.,367,390
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
AA26F,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",689,422,.,547,.,358,701,.,.,.,453,.,611,.,.,.,456,505
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,466,.,.,.,.,466
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",368,370,499,.,363,352,.,.,366,.,388,.,654,407,644,.,298,472
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",457,452,.,573,438,395,.,.,.,.,525,.,388,.,647,.,455,437
AA26G,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,612,.,.,.,.,612
AA26G,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",614,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,614
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA26G,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,495
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",438,407,404,454,327,301,528,.,376,.,368,.,386,.,502,.,367,393
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",689,422,568,547,385,358,.,.,.,.,453,.,.,.,799,552,456,534
AA26G,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,465,.,.,714,.,.,.,.,.,.,466,.,.,.,.,515
AA26G,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,704,.,.,.,.,.,.,.,.,.,.,.,.,.,.,704
AA26G,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,708,.,.,.,.,.,.,.,.,.,.,.,.,.,.,708
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,.,.,799
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",368,370,499,.,363,352,.,.,366,.,423,.,654,.,644,.,298,468
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",457,452,.,573,438,395,.,.,.,.,525,.,404,.,647,.,455,450
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",519,.,.,.,.,.,.,.,.,.,.,.,612,.,.,.,.,566
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,"1,155",.,.,378,.,.,.,.,.,.,.,.,.,.,.,.,960
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,953,.,.,.,.,953
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,830,830
AA26H,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,457,.,.,894,.,.,.,.,.,225,.,306,.,.,.,.,432
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",438,407,441,454,327,301,528,.,376,.,372,.,386,.,502,.,367,396
AA26H,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,374,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,374
