HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA12D,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA12E,150,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,24
AA12E,302,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA12E,400,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA13C,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA13C,420,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA13D,150,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA13D,400,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA15C,140,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA15D,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA15E,150,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA16Z,150,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA17D,150,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA18C,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA18C,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA18D,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA18D,400,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19C,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA19C,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19C,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19D,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,16
AA19D,300,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,34,.,.,.,.,34
AA19E,400,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA19E,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA19E,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA20C,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA20C,300,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA20C,400,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21C,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA21C,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA21D,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA21D,171,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21D,300,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
AA21E,420,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21E,823,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12
AA21F,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21F,421,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,2,.,.,.,1,.,.,3,.,2,.,.,8
AA22D,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,5
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,1,.,.,.,1,.,2,.,2,.,.,6
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22E,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,2,.,.,2,.,1,.,1,.,.,21,.,1,.,.,29
AA22E,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22E,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,.,.,.,9,1,.,.,.,1,.,4,.,.,.,2,18
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",5,2,.,3,8,3,3,.,3,.,3,27,.,3,.,8,68
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,5,.,.,2,.,.,.,.,.,.,.,.,.,.,7
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",4,4,2,.,1,.,.,.,.,1,2,4,2,2,.,2,24
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,10
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",20,17,3,12,18,7,3,.,3,.,6,42,.,13,.,33,177
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",2,.,.,2,.,.,.,.,1,.,.,.,.,1,.,.,6
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,18
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",3,5,2,.,9,2,.,.,1,.,2,19,.,2,.,2,47
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,6
AA23D,100,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,2,.,.,.,.,1,.,.,.,.,.,.,.,.,2,5
AA23D,303,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,2,.,.,2,.,.,.,1,.,.,.,.,.,.,.,5
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,3,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,6
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,4,4,.,4,2,.,.,.,3,.,1,5,.,1,.,2,26
AA23E,370,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,6,5,.,3,1,.,.,3,1,2,.,1,3,.,3,28
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,3,.,.,2,2,.,.,.,.,.,.,1,.,1,.,.,9
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,13
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,5,6,1,2,5,3,1,.,3,.,3,8,.,3,.,8,48
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,2,7,.,.,6,3,.,.,1,1,4,1,.,3,.,3,31
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,2,.,1,.,.,.,.,.,.,.,.,.,.,3
AA23G,130,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,.,19
AA23G,180,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,6,2,2,2,6,4,.,.,1,.,5,6,.,1,.,2,37
AA23G,302,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,3,3,.,1,.,.,.,.,.,3,3,.,1,.,2,16
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",1,2,.,.,1,.,.,.,1,.,1,.,.,.,.,.,6
AA24C,361,"Brain Tumours or Cerebral Cysts, with CC Score 11+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24C,370,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+",1,.,.,.,.,.,.,.,2,.,.,.,1,.,.,1,5
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,4,.,1,.,2,2,.,1,.,.,1,.,.,.,1,12
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",1,.,.,.,.,.,.,.,1,.,.,1,1,.,.,.,4
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",6,2,1,.,1,1,2,.,1,.,4,5,.,.,.,2,25
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,8
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",1,2,.,.,.,.,.,.,.,.,.,.,1,.,.,6,10
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",14,9,.,6,5,2,1,.,1,.,4,12,.,1,.,3,58
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,20,.,.,.,.,.,.,.,.,.,.,.,.,.,20
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",1,4,.,.,1,.,.,.,.,.,.,2,.,2,.,4,14
AA24G,130,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",12,13,1,5,8,3,4,.,.,.,1,8,.,1,.,12,68
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24G,320,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,18
AA24G,400,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,4,.,.,3,.,.,.,.,.,.,2,.,1,.,1,11
AA24G,823,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,100,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",16,2,.,7,9,.,.,.,2,.,1,18,.,3,.,5,63
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,12
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,1,.,.,1,.,.,.,.,.,.,3,1,1,.,2,9
AA24H,823,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,1,1,.,.,.,1,.,.,1,.,1,.,1,6
AA25C,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
