Learning Disability Inpatient Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster,Whiteabbey,,,Average
Cost per Occupied Week,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Children short stay,,,,,,,,,"6,318",,,,,,,,,,,"6,318.11"
Children long stay,,,,,,,,,,,,,,,,,,,,
Adult short stay,,,,,,"4,757","3,406",,"2,835",,,,,,,,,,,"3,050.20"
Adult long stay,,,,,,"3,787","4,999",,"2,746",,,,,,,,,,,"3,017.31"
Learning Disability Hospital Daycare Cost,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster ,Whiteabbey,,,Average
,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Daycare,,,,,,85,326,,75,,,,,,,,,,,93.67
Geriatric Medicine Daycare,Altnagelvin,Belfast City Hospital,Braid Valley,Causeway,Bluestone Unit,Daisy Hill,Erne,Foyle,Lagan Valley,Lurgan,Muckamore Abbey Hospital,Mullinure,Musgrave Park Hospital,Royal,South Tyrone,Tyrone County,Ulster,Whiteabbey,,Average
,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,£
Daycare,,,,,,,,,188,259,,175,580,,152,,661,264,,301.66
Physical Disability Inpatient Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Dalriada,Foyle,Mater,Musgrave Park Hospital,North & West Belfast,Royal,South & East Belfast,Southern,Sperrin Lakeland,Thompson House,Ulster,Whiteabbey,,,Average
Cost per Occupied Week,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Children ,,,,,,,,,,,,,,,,,,,,0
Adults,"5,375",,,,,"1,941",,,,,,,,,"1,713",,,,,"2,411.95"
Elderly,,,,,,,,,,,,,,,,,,,,
