Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,,
30-Jun-2007,Belfast,Nephrology,Acute Services,34,18,3,0,0,,,--,--,--,--,--,55,,
30-Jun-2007,Belfast,Rheumatology,Acute Services,6,6,11,2,0,,,--,--,--,--,--,25,,
30-Jun-2007,Belfast,Gynaecology,Acute Services,213,134,53,6,0,,,--,--,--,--,--,406,,
30-Jun-2007,Belfast,GP Other,Acute Services,9,0,0,0,0,,,--,--,--,--,--,9,,
30-Jun-2007,Belfast,Radiology,Acute Services,1,3,1,0,0,,,--,--,--,--,--,5,,
30-Jun-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,0,0,1,0,0,,,--,--,--,--,--,1,,
30-Jun-2007,Northern,General Surgery,Acute Services,"1,023",721,389,23,0,,,--,--,--,--,--,"2,156",,
30-Jun-2007,Northern,Urology,Acute Services,52,78,81,0,0,,,--,--,--,--,--,211,,
30-Jun-2007,Northern,ENT,Acute Services,43,29,2,0,0,,,--,--,--,--,--,74,,
30-Jun-2007,Northern,Oral Surgery,Acute Services,4,6,1,0,0,,,--,--,--,--,--,11,,
30-Jun-2007,Northern,Pain Management,Acute Services,62,73,43,3,0,,,--,--,--,--,--,181,,
30-Jun-2007,Northern,General Medicine,Acute Services,201,64,13,0,0,,,--,--,--,--,--,278,,
30-Jun-2007,Northern,Gastroenterology,Acute Services,368,351,144,23,0,,,--,--,--,--,--,886,,
30-Jun-2007,Northern,Cardiology,Acute Services,20,11,19,0,0,,,--,--,--,--,--,50,,
30-Jun-2007,Northern,Dermatology,Acute Services,25,19,8,6,0,,,--,--,--,--,--,58,,
30-Jun-2007,Northern,Gynaecology,Acute Services,201,166,149,13,0,,,--,--,--,--,--,529,,
30-Jun-2007,Northern,GP Other,Acute Services,53,7,2,2,0,,,--,--,--,--,--,64,,
30-Jun-2007,South Eastern,General Surgery,Acute Services,817,561,282,37,0,,,--,--,--,--,--,"1,697",,
30-Jun-2007,South Eastern,Urology,Acute Services,72,47,22,3,0,,,--,--,--,--,--,144,,
30-Jun-2007,South Eastern,T & O Surgery,Acute Services,11,2,0,0,0,,,--,--,--,--,--,13,,
30-Jun-2007,South Eastern,ENT,Acute Services,55,47,22,0,0,,,--,--,--,--,--,124,,
30-Jun-2007,South Eastern,Ophthalmology,Acute Services,80,84,93,6,0,,,--,--,--,--,--,263,,
30-Jun-2007,South Eastern,Oral Surgery,Acute Services,11,9,5,0,0,,,--,--,--,--,--,25,,
30-Jun-2007,South Eastern,Plastic Surgery,Acute Services,165,41,18,0,0,,,--,--,--,--,--,224,,
30-Jun-2007,South Eastern,Paediatric Surgery,Acute Services,42,46,57,9,0,,,--,--,--,--,--,154,,
30-Jun-2007,South Eastern,Pain Management,Acute Services,20,10,9,0,0,,,--,--,--,--,--,39,,
30-Jun-2007,South Eastern,General Medicine,Acute Services,295,96,23,1,0,,,--,--,--,--,--,415,,
30-Jun-2007,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,,
30-Jun-2007,South Eastern,Cardiology,Acute Services,30,17,10,2,0,,,--,--,--,--,--,59,,
30-Jun-2007,South Eastern,Dermatology,Acute Services,66,66,23,3,0,,,--,--,--,--,--,158,,
30-Jun-2007,South Eastern,Neurology,Acute Services,0,1,1,0,0,,,--,--,--,--,--,2,,
30-Jun-2007,South Eastern,Paediatrics,Acute Services,15,0,0,0,0,,,--,--,--,--,--,15,,
30-Jun-2007,South Eastern,Gynaecology,Acute Services,164,84,8,0,0,,,--,--,--,--,--,256,,
30-Jun-2007,South Eastern,GP Other,Acute Services,18,5,0,0,0,,,--,--,--,--,--,23,,
30-Jun-2007,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
30-Jun-2007,South Eastern,Geriatric Medicine,Elderly Care,58,1,0,0,0,,,--,--,--,--,--,59,,
30-Jun-2007,Southern,General Surgery,Acute Services,594,345,234,10,0,,,--,--,--,--,--,"1,183",,
30-Jun-2007,Southern,Urology,Acute Services,106,97,63,9,0,,,--,--,--,--,--,275,,
30-Jun-2007,Southern,T & O Surgery,Acute Services,7,3,3,0,0,,,--,--,--,--,--,13,,
30-Jun-2007,Southern,ENT,Acute Services,84,93,73,3,0,,,--,--,--,--,--,253,,
30-Jun-2007,Southern,Ophthalmology,Acute Services,68,63,68,0,0,,,--,--,--,--,--,199,,
30-Jun-2007,Southern,Oral Surgery,Acute Services,25,22,16,0,0,,,--,--,--,--,--,63,,
30-Jun-2007,Southern,Paediatric Dentistry,Acute Services,16,3,2,0,0,,,--,--,--,--,--,21,,
30-Jun-2007,Southern,Pain Management,Acute Services,21,20,22,0,0,,,--,--,--,--,--,63,,
30-Jun-2007,Southern,General Medicine,Acute Services,36,23,0,0,0,,,--,--,--,--,--,59,,
30-Jun-2007,Southern,Gastroenterology,Acute Services,169,160,125,0,0,,,--,--,--,--,--,454,,
30-Jun-2007,Southern,Haematology (Clinical),Acute Services,22,7,1,0,0,,,--,--,--,--,--,30,,
30-Jun-2007,Southern,Palliative Medicine,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
30-Jun-2007,Southern,Cardiology,Acute Services,108,120,129,46,0,,,--,--,--,--,--,403,,
30-Jun-2007,Southern,Dermatology,Acute Services,25,11,19,2,0,,,--,--,--,--,--,57,,
30-Jun-2007,Southern,Thoracic Medicine,Acute Services,16,1,0,0,0,,,--,--,--,--,--,17,,
30-Jun-2007,Southern,Neurology,Acute Services,0,2,0,0,0,,,--,--,--,--,--,2,,
30-Jun-2007,Southern,Rheumatology,Acute Services,156,135,106,0,0,,,--,--,--,--,--,397,,
30-Jun-2007,Southern,Paediatrics,Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,,
30-Jun-2007,Southern,Gynaecology,Acute Services,211,120,73,3,0,,,--,--,--,--,--,407,,
30-Jun-2007,Southern,GP Other,Acute Services,62,27,1,0,0,,,--,--,--,--,--,90,,
30-Jun-2007,Southern,Clinical Oncology,Acute Services,12,0,0,0,0,,,--,--,--,--,--,12,,
30-Jun-2007,Western,General Surgery,Acute Services,599,307,105,5,0,,,--,--,--,--,--,"1,016",,
30-Jun-2007,Western,Urology,Acute Services,105,48,22,3,0,,,--,--,--,--,--,178,,
30-Jun-2007,Western,T & O Surgery,Acute Services,43,36,51,12,0,,,--,--,--,--,--,142,,
30-Jun-2007,Western,ENT,Acute Services,103,77,83,17,0,,,--,--,--,--,--,280,,
30-Jun-2007,Western,Ophthalmology,Acute Services,241,195,167,35,0,,,--,--,--,--,--,638,,
30-Jun-2007,Western,Oral Surgery,Acute Services,75,20,9,0,0,,,--,--,--,--,--,104,,
30-Jun-2007,Western,Pain Management,Acute Services,34,30,30,17,0,,,--,--,--,--,--,111,,
30-Jun-2007,Western,General Medicine,Acute Services,437,225,89,9,0,,,--,--,--,--,--,760,,
30-Jun-2007,Western,Cardiology,Acute Services,20,9,3,0,0,,,--,--,--,--,--,32,,
30-Jun-2007,Western,Paediatrics,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,,
30-Jun-2007,Western,Gynaecology,Acute Services,164,127,54,13,0,,,--,--,--,--,--,358,,
30-Jun-2007,Western,GP Other,Acute Services,56,14,3,0,0,,,--,--,--,--,--,73,,
30-Sep-2007,Belfast,General Surgery,Acute Services,343,210,141,1,0,,,--,--,--,--,--,695,,
30-Sep-2007,Belfast,Urology,Acute Services,480,242,120,0,0,,,--,--,--,--,--,842,,
30-Sep-2007,Belfast,T & O Surgery,Acute Services,228,339,156,0,99,,,--,--,--,--,--,822,,
30-Sep-2007,Belfast,ENT,Acute Services,112,91,94,0,0,,,--,--,--,--,--,297,,
30-Sep-2007,Belfast,Ophthalmology,Acute Services,870,836,745,13,0,,,--,--,--,--,--,"2,464",,
30-Sep-2007,Belfast,Oral Surgery,Acute Services,42,34,32,0,0,,,--,--,--,--,--,108,,
30-Sep-2007,Belfast,Paediatric Dentistry,Acute Services,23,19,9,0,0,,,--,--,--,--,--,51,,
30-Sep-2007,Belfast,Neurosurgery,Acute Services,27,5,0,0,0,,,--,--,--,--,--,32,,
30-Sep-2007,Belfast,Plastic Surgery,Acute Services,37,27,50,0,0,,,--,--,--,--,--,114,,
30-Sep-2007,Belfast,Paediatric Surgery,Acute Services,81,74,68,0,0,,,--,--,--,--,--,223,,
30-Sep-2007,Belfast,Thoracic Surgery,Acute Services,11,8,3,0,0,,,--,--,--,--,--,22,,
30-Sep-2007,Belfast,Accident & Emergency,Acute Services,25,1,0,0,0,,,--,--,--,--,--,26,,
30-Sep-2007,Belfast,Anaesthetics,Acute Services,14,16,1,0,0,,,--,--,--,--,--,31,,
30-Sep-2007,Belfast,Pain Management,Acute Services,118,86,72,0,0,,,--,--,--,--,--,276,,
30-Sep-2007,Belfast,General Medicine,Acute Services,195,91,33,0,0,,,--,--,--,--,--,319,,
30-Sep-2007,Belfast,Gastroenterology,Acute Services,378,257,86,1,0,,,--,--,--,--,--,722,,
30-Sep-2007,Belfast,Endocrinology,Acute Services,13,5,0,0,0,,,--,--,--,--,--,18,,
30-Sep-2007,Belfast,Cardiology,Acute Services,205,119,62,0,0,,,--,--,--,--,--,386,,
30-Sep-2007,Belfast,Dermatology,Acute Services,20,20,22,0,0,,,--,--,--,--,--,62,,
30-Sep-2007,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,,
30-Sep-2007,Belfast,Nephrology,Acute Services,8,19,10,0,0,,,--,--,--,--,--,37,,
30-Sep-2007,Belfast,Neurology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
30-Sep-2007,Belfast,Rheumatology,Acute Services,44,42,2,0,0,,,--,--,--,--,--,88,,
30-Sep-2007,Belfast,Gynaecology,Acute Services,167,89,65,0,0,,,--,--,--,--,--,321,,
30-Sep-2007,Belfast,Radiology,Acute Services,2,1,0,0,0,,,--,--,--,--,--,3,,
30-Sep-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,0,0,1,0,0,,,--,--,--,--,--,1,,
30-Sep-2007,Northern,General Surgery,Acute Services,907,805,342,0,0,,,--,--,--,--,--,"2,054",,
30-Sep-2007,Northern,Urology,Acute Services,89,7,0,0,0,,,--,--,--,--,--,96,,
30-Sep-2007,Northern,ENT,Acute Services,71,17,8,0,0,,,--,--,--,--,--,96,,
30-Sep-2007,Northern,Oral Surgery,Acute Services,0,3,2,0,0,,,--,--,--,--,--,5,,
30-Sep-2007,Northern,Pain Management,Acute Services,94,63,31,0,0,,,--,--,--,--,--,188,,
30-Sep-2007,Northern,General Medicine,Acute Services,151,42,42,0,0,,,--,--,--,--,--,235,,
30-Sep-2007,Northern,Gastroenterology,Acute Services,376,328,122,0,0,,,--,--,--,--,--,826,,
30-Sep-2007,Northern,Cardiology,Acute Services,2,3,0,0,0,,,--,--,--,--,--,5,,
30-Sep-2007,Northern,Dermatology,Acute Services,19,18,7,0,0,,,--,--,--,--,--,44,,
30-Sep-2007,Northern,Gynaecology,Acute Services,182,160,80,0,0,,,--,--,--,--,--,422,,
30-Sep-2007,Northern,GP Other,Acute Services,82,16,2,0,0,,,--,--,--,--,--,100,,
30-Sep-2007,South Eastern,General Surgery,Acute Services,765,522,375,0,0,,,--,--,--,--,--,"1,662",,
30-Sep-2007,South Eastern,Urology,Acute Services,64,41,15,0,0,,,--,--,--,--,--,120,,
30-Sep-2007,South Eastern,T & O Surgery,Acute Services,8,0,0,0,0,,,--,--,--,--,--,8,,
30-Sep-2007,South Eastern,ENT,Acute Services,44,46,17,0,0,,,--,--,--,--,--,107,,
30-Sep-2007,South Eastern,Ophthalmology,Acute Services,70,93,43,0,0,,,--,--,--,--,--,206,,
30-Sep-2007,South Eastern,Oral Surgery,Acute Services,10,22,6,0,0,,,--,--,--,--,--,38,,
30-Sep-2007,South Eastern,Paediatric Dentistry,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
30-Sep-2007,South Eastern,Plastic Surgery,Acute Services,124,66,33,0,0,,,--,--,--,--,--,223,,
30-Sep-2007,South Eastern,Paediatric Surgery,Acute Services,42,47,37,0,0,,,--,--,--,--,--,126,,
30-Sep-2007,South Eastern,Pain Management,Acute Services,17,18,1,0,0,,,--,--,--,--,--,36,,
30-Sep-2007,South Eastern,General Medicine,Acute Services,235,101,51,0,0,,,--,--,--,--,--,387,,
30-Sep-2007,South Eastern,Haematology (Clinical),Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
30-Sep-2007,South Eastern,Cardiology,Acute Services,23,19,7,0,0,,,--,--,--,--,--,49,,
30-Sep-2007,South Eastern,Dermatology,Acute Services,70,71,16,0,0,,,--,--,--,--,--,157,,
30-Sep-2007,South Eastern,Paediatrics,Acute Services,16,0,0,0,0,,,--,--,--,--,--,16,,
30-Sep-2007,South Eastern,Gynaecology,Acute Services,145,112,11,0,0,,,--,--,--,--,--,268,,
30-Sep-2007,South Eastern,GP Other,Acute Services,6,0,0,0,0,,,--,--,--,--,--,6,,
30-Sep-2007,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
30-Sep-2007,South Eastern,Geriatric Medicine,Elderly Care,33,0,0,0,0,,,--,--,--,--,--,33,,
30-Sep-2007,Southern,General Surgery,Acute Services,644,452,380,0,0,,,--,--,--,--,--,"1,476",,
30-Sep-2007,Southern,Urology,Acute Services,136,106,70,0,0,,,--,--,--,--,--,312,,
30-Sep-2007,Southern,T & O Surgery,Acute Services,3,11,3,0,0,,,--,--,--,--,--,17,,
30-Sep-2007,Southern,ENT,Acute Services,68,69,77,0,0,,,--,--,--,--,--,214,,
30-Sep-2007,Southern,Ophthalmology,Acute Services,36,54,55,0,0,,,--,--,--,--,--,145,,
30-Sep-2007,Southern,Oral Surgery,Acute Services,24,18,14,0,0,,,--,--,--,--,--,56,,
30-Sep-2007,Southern,Paediatric Dentistry,Acute Services,10,16,1,0,0,,,--,--,--,--,--,27,,
30-Sep-2007,Southern,Pain Management,Acute Services,21,26,29,0,0,,,--,--,--,--,--,76,,
30-Sep-2007,Southern,General Medicine,Acute Services,41,19,0,0,0,,,--,--,--,--,--,60,,
30-Sep-2007,Southern,Gastroenterology,Acute Services,196,152,44,0,0,,,--,--,--,--,--,392,,
30-Sep-2007,Southern,Haematology (Clinical),Acute Services,36,1,0,0,0,,,--,--,--,--,--,37,,
30-Sep-2007,Southern,Palliative Medicine,Acute Services,2,1,0,0,0,,,--,--,--,--,--,3,,
30-Sep-2007,Southern,Cardiology,Acute Services,138,119,104,0,0,,,--,--,--,--,--,361,,
30-Sep-2007,Southern,Dermatology,Acute Services,34,15,17,0,0,,,--,--,--,--,--,66,,
30-Sep-2007,Southern,Thoracic Medicine,Acute Services,12,1,0,0,0,,,--,--,--,--,--,13,,
30-Sep-2007,Southern,Rheumatology,Acute Services,124,137,103,0,0,,,--,--,--,--,--,364,,
30-Sep-2007,Southern,Paediatrics,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
30-Sep-2007,Southern,Gynaecology,Acute Services,163,134,91,0,0,,,--,--,--,--,--,388,,
30-Sep-2007,Southern,GP Other,Acute Services,61,4,0,0,0,,,--,--,--,--,--,65,,
30-Sep-2007,Southern,Clinical Oncology,Acute Services,15,2,0,0,0,,,--,--,--,--,--,17,,
30-Sep-2007,Western,General Surgery,Acute Services,629,317,128,1,0,,,--,--,--,--,--,"1,075",,
30-Sep-2007,Western,Urology,Acute Services,138,52,33,0,0,,,--,--,--,--,--,223,,
30-Sep-2007,Western,T & O Surgery,Acute Services,62,48,27,0,0,,,--,--,--,--,--,137,,
30-Sep-2007,Western,ENT,Acute Services,54,40,44,5,0,,,--,--,--,--,--,143,,
30-Sep-2007,Western,Ophthalmology,Acute Services,324,224,208,0,0,,,--,--,--,--,--,756,,
30-Sep-2007,Western,Oral Surgery,Acute Services,69,15,8,0,0,,,--,--,--,--,--,92,,
30-Sep-2007,Western,Pain Management,Acute Services,53,15,29,0,0,,,--,--,--,--,--,97,,
30-Sep-2007,Western,General Medicine,Acute Services,492,308,129,0,0,,,--,--,--,--,--,929,,
30-Sep-2007,Western,Cardiology,Acute Services,26,4,1,0,0,,,--,--,--,--,--,31,,
30-Sep-2007,Western,Paediatrics,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
30-Sep-2007,Western,Gynaecology,Acute Services,179,121,54,0,0,,,--,--,--,--,--,354,,
30-Sep-2007,Western,GP Other,Acute Services,44,3,3,0,0,,,--,--,--,--,--,50,,
31-Dec-2007,Belfast,General Surgery,Acute Services,333,270,117,0,0,,,--,--,--,--,--,720,,
31-Dec-2007,Belfast,Urology,Acute Services,478,319,128,1,0,,,--,--,--,--,--,926,,
31-Dec-2007,Belfast,T & O Surgery,Acute Services,262,303,234,16,110,,,--,--,--,--,--,925,,
31-Dec-2007,Belfast,ENT,Acute Services,120,101,22,0,0,,,--,--,--,--,--,243,,
31-Dec-2007,Belfast,Ophthalmology,Acute Services,"1,012","1,028",395,0,0,,,--,--,--,--,--,"2,435",,
31-Dec-2007,Belfast,Oral Surgery,Acute Services,50,62,21,0,0,,,--,--,--,--,--,133,,
31-Dec-2007,Belfast,Paediatric Dentistry,Acute Services,57,19,6,0,0,,,--,--,--,--,--,82,,
31-Dec-2007,Belfast,Neurosurgery,Acute Services,20,33,8,0,0,,,--,--,--,--,--,61,,
31-Dec-2007,Belfast,Plastic Surgery,Acute Services,77,49,18,0,0,,,--,--,--,--,--,144,,
31-Dec-2007,Belfast,Paediatric Surgery,Acute Services,91,114,45,0,0,,,--,--,--,--,--,250,,
31-Dec-2007,Belfast,Thoracic Surgery,Acute Services,14,6,2,0,0,,,--,--,--,--,--,22,,
31-Dec-2007,Belfast,Accident & Emergency,Acute Services,7,12,0,0,0,,,--,--,--,--,--,19,,
31-Dec-2007,Belfast,Anaesthetics,Acute Services,17,19,2,0,0,,,--,--,--,--,--,38,,
31-Dec-2007,Belfast,Pain Management,Acute Services,139,115,68,0,0,,,--,--,--,--,--,322,,
31-Dec-2007,Belfast,General Medicine,Acute Services,262,102,5,0,0,,,--,--,--,--,--,369,,
31-Dec-2007,Belfast,Gastroenterology,Acute Services,397,376,139,0,0,,,--,--,--,--,--,912,,
31-Dec-2007,Belfast,Endocrinology,Acute Services,11,7,0,0,0,,,--,--,--,--,--,18,,
31-Dec-2007,Belfast,Cardiology,Acute Services,174,113,37,0,0,,,--,--,--,--,--,324,,
31-Dec-2007,Belfast,Dermatology,Acute Services,31,34,22,0,0,,,--,--,--,--,--,87,,
31-Dec-2007,Belfast,Thoracic Medicine,Acute Services,0,2,0,0,0,,,--,--,--,--,--,2,,
31-Dec-2007,Belfast,Nephrology,Acute Services,11,21,1,0,0,,,--,--,--,--,--,33,,
31-Dec-2007,Belfast,Neurology,Acute Services,16,0,0,0,0,,,--,--,--,--,--,16,,
31-Dec-2007,Belfast,Rheumatology,Acute Services,16,21,2,0,0,,,--,--,--,--,--,39,,
31-Dec-2007,Belfast,Gynaecology,Acute Services,210,115,37,0,0,,,--,--,--,--,--,362,,
31-Dec-2007,Belfast,Radiology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,,
31-Dec-2007,Belfast,Psychotherapy,Mental Health,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Dec-2007,Northern,General Surgery,Acute Services,850,762,327,0,0,,,--,--,--,--,--,"1,939",,
31-Dec-2007,Northern,Urology,Acute Services,78,13,0,0,0,,,--,--,--,--,--,91,,
31-Dec-2007,Northern,ENT,Acute Services,59,28,0,0,0,,,--,--,--,--,--,87,,
31-Dec-2007,Northern,Oral Surgery,Acute Services,1,5,3,0,0,,,--,--,--,--,--,9,,
31-Dec-2007,Northern,Pain Management,Acute Services,83,128,54,0,0,,,--,--,--,--,--,265,,
31-Dec-2007,Northern,General Medicine,Acute Services,166,80,10,0,0,,,--,--,--,--,--,256,,
31-Dec-2007,Northern,Gastroenterology,Acute Services,407,342,153,0,0,,,--,--,--,--,--,902,,
31-Dec-2007,Northern,Cardiology,Acute Services,1,4,0,0,0,,,--,--,--,--,--,5,,
31-Dec-2007,Northern,Dermatology,Acute Services,28,26,42,0,0,,,--,--,--,--,--,96,,
31-Dec-2007,Northern,Gynaecology,Acute Services,223,174,46,0,0,,,--,--,--,--,--,443,,
31-Dec-2007,Northern,GP Other,Acute Services,77,12,1,0,0,,,--,--,--,--,--,90,,
31-Dec-2007,South Eastern,General Surgery,Acute Services,803,604,153,0,0,,,--,--,--,--,--,"1,560",,
31-Dec-2007,South Eastern,Urology,Acute Services,28,34,2,0,0,,,--,--,--,--,--,64,,
31-Dec-2007,South Eastern,T & O Surgery,Acute Services,7,1,0,0,0,,,--,--,--,--,--,8,,
31-Dec-2007,South Eastern,ENT,Acute Services,46,31,11,0,0,,,--,--,--,--,--,88,,
31-Dec-2007,South Eastern,Ophthalmology,Acute Services,91,120,29,0,0,,,--,--,--,--,--,240,,
31-Dec-2007,South Eastern,Oral Surgery,Acute Services,20,15,0,0,0,,,--,--,--,--,--,35,,
31-Dec-2007,South Eastern,Neurosurgery,Acute Services,1,3,0,0,0,,,--,--,--,--,--,4,,
31-Dec-2007,South Eastern,Plastic Surgery,Acute Services,154,154,55,0,0,,,--,--,--,--,--,363,,
31-Dec-2007,South Eastern,Paediatric Surgery,Acute Services,58,46,1,0,0,,,--,--,--,--,--,105,,
31-Dec-2007,South Eastern,Pain Management,Acute Services,7,23,5,0,0,,,--,--,--,--,--,35,,
31-Dec-2007,South Eastern,General Medicine,Acute Services,350,301,41,0,0,,,--,--,--,--,--,692,,
31-Dec-2007,South Eastern,Haematology (Clinical),Acute Services,13,0,0,0,0,,,--,--,--,--,--,13,,
31-Dec-2007,South Eastern,Cardiology,Acute Services,29,5,1,0,0,,,--,--,--,--,--,35,,
31-Dec-2007,South Eastern,Dermatology,Acute Services,43,65,24,0,0,,,--,--,--,--,--,132,,
31-Dec-2007,South Eastern,Paediatrics,Acute Services,36,3,0,0,0,,,--,--,--,--,--,39,,
31-Dec-2007,South Eastern,Gynaecology,Acute Services,195,119,27,0,0,,,--,--,--,--,--,341,,
31-Dec-2007,South Eastern,GP Other,Acute Services,27,0,0,0,0,,,--,--,--,--,--,27,,
31-Dec-2007,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,,
31-Dec-2007,South Eastern,Geriatric Medicine,Elderly Care,39,0,1,0,0,,,--,--,--,--,--,40,,
31-Dec-2007,Southern,General Surgery,Acute Services,520,648,356,0,0,,,--,--,--,--,--,"1,524",,
31-Dec-2007,Southern,Urology,Acute Services,160,169,85,0,0,,,--,--,--,--,--,414,,
31-Dec-2007,Southern,T & O Surgery,Acute Services,8,10,5,0,0,,,--,--,--,--,--,23,,
31-Dec-2007,Southern,ENT,Acute Services,98,101,49,0,0,,,--,--,--,--,--,248,,
31-Dec-2007,Southern,Ophthalmology,Acute Services,54,62,13,0,0,,,--,--,--,--,--,129,,
31-Dec-2007,Southern,Oral Surgery,Acute Services,13,22,18,0,0,,,--,--,--,--,--,53,,
31-Dec-2007,Southern,Paediatric Dentistry,Acute Services,9,3,0,0,0,,,--,--,--,--,--,12,,
31-Dec-2007,Southern,Pain Management,Acute Services,31,51,32,0,0,,,--,--,--,--,--,114,,
31-Dec-2007,Southern,General Medicine,Acute Services,39,46,2,0,0,,,--,--,--,--,--,87,,
31-Dec-2007,Southern,Gastroenterology,Acute Services,187,170,50,0,0,,,--,--,--,--,--,407,,
31-Dec-2007,Southern,Haematology (Clinical),Acute Services,39,2,0,0,0,,,--,--,--,--,--,41,,
31-Dec-2007,Southern,Palliative Medicine,Acute Services,2,0,1,0,0,,,--,--,--,--,--,3,,
31-Dec-2007,Southern,Cardiology,Acute Services,142,109,117,0,0,,,--,--,--,--,--,368,,
31-Dec-2007,Southern,Dermatology,Acute Services,21,30,20,0,0,,,--,--,--,--,--,71,,
31-Dec-2007,Southern,Thoracic Medicine,Acute Services,9,2,0,0,0,,,--,--,--,--,--,11,,
31-Dec-2007,Southern,Rheumatology,Acute Services,124,172,123,0,0,,,--,--,--,--,--,419,,
31-Dec-2007,Southern,Paediatrics,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,,
31-Dec-2007,Southern,Gynaecology,Acute Services,184,170,52,0,0,,,--,--,--,--,--,406,,
31-Dec-2007,Southern,GP Other,Acute Services,40,15,3,0,0,,,--,--,--,--,--,58,,
31-Dec-2007,Southern,Clinical Oncology,Acute Services,7,1,0,0,0,,,--,--,--,--,--,8,,
31-Dec-2007,Western,General Surgery,Acute Services,532,374,161,0,0,,,--,--,--,--,--,"1,067",,
31-Dec-2007,Western,Urology,Acute Services,130,63,39,0,0,,,--,--,--,--,--,232,,
31-Dec-2007,Western,T & O Surgery,Acute Services,57,60,45,0,0,,,--,--,--,--,--,162,,
31-Dec-2007,Western,ENT,Acute Services,50,38,13,0,0,,,--,--,--,--,--,101,,
31-Dec-2007,Western,Ophthalmology,Acute Services,292,277,262,0,0,,,--,--,--,--,--,831,,
31-Dec-2007,Western,Oral Surgery,Acute Services,87,9,2,0,0,,,--,--,--,--,--,98,,
31-Dec-2007,Western,Pain Management,Acute Services,38,40,28,0,0,,,--,--,--,--,--,106,,
