FID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,SHAPE_Leng,SHAPE_Area
29,15112,EAST PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.406067,-79.838764,30584.659419,21799849.3891
30,15129,SOUTH PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.293788,-79.99504,85942.197482,236623988.489
31,15131,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.325138,-79.803374,95845.35787,198663264.542
32,15132,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.339233,-79.842405,77810.534722,172578970.565
33,15133,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.329245,-79.863961,48021.890954,71109743.3416
34,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.302166,-79.814693,65418.482458,109088321.94
35,15137,NORTH VERSAILLES,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.378074,-79.808766,111887.959435,222698878.046
36,15140,PITCAIRN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.405381,-79.775416,25500.849047,16776378.5131
37,15142,PRESTO,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.380401,-80.120993,45737.237155,63542396.731
38,15144,SPRINGDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.546582,-79.78535,45762.89928,59969295.2683
39,15146,MONROEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.426932,-79.759102,146815.364638,535774655.483
40,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.49689,-79.829862,132209.450607,300731708.908
41,15148,WILMERDING,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.399639,-79.810585,62446.323309,45256013.184
42,15201,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.475403,-79.953685,50776.914159,76212449.2999
43,15203,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.425858,-79.975132,52470.057397,48713176.956
44,15206,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.466877,-79.915524,74585.022196,141537043.748
45,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.398646,-79.933936,105096.174273,130685433.622
46,15208,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.453799,-79.899442,42380.145112,41849562.086
47,15209,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.500849,-79.974026,115472.571096,135214048.152
48,15210,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.406708,-79.985305,96786.136126,130502184.638
49,15211,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.430772,-80.015146,37224.136613,43196425.747
50,15212,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.467764,-80.053123,138558.932768,173108149.998
51,15213,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.443091,-79.955206,59806.432661,71337307.4679
52,15214,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.485711,-80.01329,89619.150254,129332709.928
53,15217,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.431358,-79.921399,66276.880875,116592007.552
54,15218,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.426168,-79.886698,45178.235325,70065762.9759
55,15219,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.442916,-79.988152,76224.510595,72582323.3057
56,15222,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.447799,-79.991543,42434.969784,31030028.7068
57,15224,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.464263,-79.945118,30782.609182,28628825.7525
58,15225,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.506887,-80.112209,58702.999222,65384475.5267
59,15226,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.395972,-80.014277,69956.666731,73402145.8601
60,15232,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.452942,-79.932248,33608.16499,23158339.2854
61,15233,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.457895,-80.029013,37955.844984,46012840.8101
62,15236,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.38282,-79.945023,194177.373805,286622223.775
63,15239,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.487435,-79.739462,134593.789795,496485870.604
64,15241,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.331863,-80.08284,103849.99055,278541118.191
65,15243,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.372206,-80.07521,52394.6103,81602791.7251
66,15261,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.446551,-79.95956,2970.282348,324741.463376
67,15275,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.452357,-80.181802,57715.784483,36876514.2151
68,15290,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.458669,-80.022043,1819.113688,135910.980981
69,15321,CECIL,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.323019,-80.1894,39085.405653,27839383.769
70,15332,FINLEYVILLE,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.236646,-79.988463,235652.813726,645114099.728
71,15642,IRWIN,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.302046,-79.703196,416706.564424,1291021350.03
72,15668,MURRYSVILLE,NON-UNIQUE,PA,42,42129,WESTMORELAND,156,40.465104,-79.666823,201100.738113,665763658.064
73,16055,SARVER,NON-UNIQUE,PA,42,42019,BUTLER,160,40.728564,-79.735375,307928.784472,1253025344.67
74,16056,SAXONBURG,NON-UNIQUE,PA,42,42019,BUTLER,160,40.723863,-79.839058,148151.472387,619957621.184
75,16059,VALENCIA,NON-UNIQUE,PA,42,42019,BUTLER,160,40.703519,-79.930651,187804.075915,762360008.342
76,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.407061,-80.176206,163635.626266,803538562.415
77,15089,WEST NEWTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.215908,-79.741859,274894.043406,796176400.758
78,15084,TARENTUM,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.614738,-79.804436,247591.193143,825563957.857
79,15006,BAIRDFORD,PO BOX,PA,42,42003,ALLEGHENY,150,40.636326,-79.946655,11953.478952,3355432.36636
80,15044,GIBSONIA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.636326,-79.946655,258738.628008,1093542844.8
81,15101,ALLISON PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.587644,-79.942592,200744.752904,587455153.961
82,15051,INDIANOLA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.579592,-79.866096,18193.864088,12095520.4421
83,15238,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.535026,-79.882431,175324.125559,491461950.346
84,15223,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.506111,-79.95117,56177.045785,56826425.0953
85,15227,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.381338,-79.969707,116813.491841,175080074.747
86,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806,80837.38662,116813552.288
87,16229,FREEPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.641746,-79.72652,9346.685456,3084298.62394
88,15282,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.442916,-79.988152,2301.323812,268656.100088
89,15276,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899,10043.105292,3090386.58022
90,15083,SUTERSVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.289408,-79.791237,19146.239385,7570672.32373
91,15088,WEST ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.250593,-79.863743,19796.333182,8989489.49358
92,15037,ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.250593,-79.863743,205658.926917,857841167.41
93,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899,128124.101957,218393786.671
94,15202,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.498773,-80.050954,80864.585708,133352137.936
95,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.548286,-80.052713,216827.903587,665898003.951
96,15235,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.442558,-80.105499,167853.62023,398305568.39
97,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.360621,-79.909272,154380.019822,388076491.902
98,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.454368,-80.059368,40435.827269,53690614.7401
99,15136,MC KEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.466254,-80.105297,136986.702332,305919697.766
100,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.401802,-80.034334,79346.941813,96941591.5311
101,15228,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.370729,-80.045104,62502.918457,84846241.4632
102,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.322211,-80.036422,88379.256058,293443525.911
103,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.369612,-80.01796,76801.679292,92082407.7395
104,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.396064,-79.906267,59764.240986,139298907.122
105,15057,MC DONALD,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.357313,-80.217497,341134.44103,1507474904.68
106,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.343166,-80.130091,137207.932743,299969896.842
107,15031,CUDDY,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.359621,-80.178499,50215.080024,29881810.1949
108,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.421916,-80.047501,114991.379495,127234884.29
109,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208,154758.15403,310574965.525
110,15143,SEWICKLEY,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.579965,-80.142969,200235.813449,1029770838.57
111,16046,MARS,NON-UNIQUE,PA,42,42019,BUTLER,160,40.697753,-80.028856,92935.599777,106132238.355
112,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.496166,-79.916648,68191.629393,170322982.618
113,15139,OAKMONT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.535026,-79.882431,45518.990413,79558507.3639
114,15028,COULTERS,PO BOX,PA,42,42003,ALLEGHENY,150,40.295303,-79.801633,15916.116531,6509781.8051
115,15145,TURTLE CREEK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.416455,-79.824078,58207.877272,56250492.5319
116,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.431743,-79.864879,90427.848648,167921213.891
117,15104,BRADDOCK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.401787,-79.856033,44041.337895,74804872.5202
118,15005,BADEN,NON-UNIQUE,PA,42,42007,BEAVER,150,40.643372,-80.166057,168477.79911,453621452.928
119,15106,CARNEGIE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.408877,-80.113774,222.380766,11.804138
120,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.421916,-80.047501,849.054686,3135.095818
121,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.380889,-80.213103,1.597302,0.035388
122,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.621659,-80.062186,132.785818,463.935492
123,15086,WARRENDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.647179,-80.09536,63982.505901,43964343.8761
124,15108,CORAOPOLIS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.48157,-80.191806,277899.701485,1082726673.83
125,15108,CORAOPOLIS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.48157,-80.191806,85.545117,292.842531
126,15071,OAKDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.407061,-80.176206,163980.057047,488658392.881
127,15208,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.453799,-79.899442,18.73368,0.040366
128,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.548286,-80.052713,52.440655,76.332785
129,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.548286,-80.052713,1357.556801,286.151572
130,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.548286,-80.052713,331.219752,1608.325095
