HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","45,481","1,203","2,021","10,614","4,511","3,196",.,.,740,.,"13,354","15,309",.,.,.,.,"96,428"
AA22E,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"7,685",.,.,.,.,"7,685"
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","6,556",.,"5,160",.,.,.,.,.,.,.,.,.,.,.,.,.,"11,716"
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"12,105",.,.,.,.,"12,105"
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","13,570",.,.,.,"8,653",.,.,.,.,.,.,"59,967","8,361","14,439",.,"5,311","110,302"
AA22E,823,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,"9,667",.,.,.,.,.,.,.,.,.,.,.,"9,667"
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"3,072",.,.,.,.,"3,072"
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"13,156",.,.,.,.,"13,156"
AA22F,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"35,014",.,.,.,.,"35,014"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","41,022","27,662",.,"6,084","6,766","9,298","7,725",.,740,.,"6,461","39,428",.,.,.,"11,274","156,459"
AA22F,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"6,389",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,389"
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,"1,288",.,.,.,.,.,.,.,.,.,.,.,"1,288"
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"8,432",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,432"
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"5,813",.,.,.,.,"5,813"
AA22F,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"9,092",.,.,.,.,"9,092"
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,732",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,732"
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"30,101",.,.,.,.,"30,101"
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","6,785",.,"6,626",.,"4,138",.,.,.,.,"12,086","2,806","67,718",.,"1,313",.,"10,833","112,305"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,086",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,086"
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","6,641",.,.,.,"7,059",.,.,.,.,.,.,.,.,.,.,.,"13,700"
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,"2,447",.,.,.,.,.,.,"6,469",.,.,.,.,"8,916"
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"35,486",.,.,.,.,"35,486"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","28,983","49,942",.,"11,859","42,476","10,460","3,772",.,"4,257",.,"9,579","24,374",.,"7,711",.,"55,940","249,353"
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"17,935",.,.,"1,048",.,.,.,.,.,.,.,.,.,.,.,"18,983"
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,"3,435",.,.,.,.,.,"3,435"
AA22G,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,258",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,258"
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","5,222","1,176",.,"5,215",859,.,.,.,"5,044",.,.,.,.,.,.,.,"17,517"
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"3,513",.,.,.,"2,471",.,.,.,.,617,.,.,.,.,.,"6,601"
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"13,282",.,.,.,.,"13,282"
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"12,059",.,.,.,.,"12,059"
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"103,453",.,.,.,.,"103,453"
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","5,714","4,479","3,352",.,"12,792","1,227",.,.,.,.,"6,216","37,987",.,"5,251",.,"3,068","80,084"
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"2,806",.,.,.,"1,743","3,605",.,.,.,.,.,.,.,.,.,"8,154"
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"3,790",.,.,.,.,.,.,"15,978",.,.,"7,082","1,320",.,.,.,"28,170"
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,"38,717",.,.,.,.,"38,717"
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"3,207",.,"20,593","1,504","3,196","3,605",.,"1,110",.,"2,580",.,.,.,.,.,"35,795"
AA23D,320,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,948,.,.,.,.,.,.,.,.,.,.,.,.,948
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"16,195","4,646",.,"5,643","25,359",.,.,.,.,.,"2,454","4,401",.,.,"25,157","83,856"
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,116","3,116"
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"6,231",.,.,.,.,"6,231"
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"88,442",.,.,.,.,"88,442"
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"44,143","9,622",.,"36,974","6,766","3,777",.,.,.,.,"4,448","11,325",.,"18,505",.,"15,297","150,857"
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,"1,961",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,961"
AA23E,400,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"6,145",.,.,.,.,"6,145"
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"4,642","17,918",.,.,"13,544","13,907",.,.,.,.,"8,932",.,"12,762",.,.,"26,691","98,396"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"151,548",.,.,.,.,"151,548"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"20,065","18,040",.,"8,425",.,581,.,.,"1,849",.,973,"2,059",.,"8,225",.,"2,185","62,402"
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,"1,054",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,054"
AA23F,400,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"1,379",.,.,.,.,"1,379"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"8,928","12,060",.,.,"10,534","7,362",.,.,.,.,.,"6,974",.,"6,563",.,"22,703","75,124"
AA23F,800,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,"1,408",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,408"
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,"5,268","2,334",.,.,.,.,.,.,.,.,.,.,"7,602"
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"109,360",.,.,.,.,"109,360"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"18,727",802,.,"9,829","6,766",.,.,.,.,.,"3,491","2,753",.,"1,028",.,"2,185","45,582"
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,"5,215",.,.,.,.,.,.,.,.,.,.,.,.,"5,215"
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"2,023",.,.,.,.,"2,023"
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"8,586",.,.,.,.,"8,586"
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,"3,101",.,.,"1,129",.,.,.,.,.,"3,398","11,084",.,.,.,"10,738","29,449"
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"22,049",.,"2,340","7,518",581,.,.,.,.,.,.,.,.,.,"4,735","37,224"
AA24C,302,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,"14,788",.,.,.,.,"14,788"
AA24C,340,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"22,134",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"22,134"
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"3,101",.,.,"5,643",.,.,.,.,.,.,"6,559","8,801",.,.,"10,124","34,229"
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","24,078","17,640",.,"14,509","5,638","2,906",.,.,.,.,"12,122",.,.,"12,337",.,.,"89,230"
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,673,"13,454",.,.,.,.,"14,127"
AA24D,400,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"3,367",.,.,.,.,"3,367"
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","6,785",.,"29,665",.,.,.,.,.,.,.,.,"1,924",.,"11,814",.,"6,749","56,938"
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"5,489",.,.,.,.,.,.,.,.,.,.,.,.,"5,489"
AA24E,110,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","2,626",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,626"
AA24E,150,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"4,231",.,.,.,.,"4,231"
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","11,894","12,428",.,"1,404","2,255","4,068",.,.,.,.,.,"5,843",.,"14,393",.,"7,284","59,569"
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"1,560",.,.,.,.,"1,560"
AA24E,320,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,"4,464",.,.,.,.,.,.,.,.,.,.,"4,464"
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,"4,567",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,567"
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"1,750",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,750"
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","5,714","4,135",.,.,"6,020",.,.,.,"5,326",.,"5,000",.,.,"19,034",.,"6,136","51,363"
AA24E,800,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"6,698",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,698"
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","2,678",.,.,.,.,.,.,.,.,.,.,.,.,"9,841",.,.,"12,519"
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"13,206",.,.,.,.,"13,206"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","8,918","10,824",.,"11,701","24,057","4,940",.,.,"11,095",.,"4,840","12,981",.,"7,711",.,"45,875","142,942"
AA24F,320,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,"6,139",.,.,.,.,.,.,.,.,.,.,"6,139"
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"11,800",.,.,.,.,.,.,.,.,.,.,.,.,.,"11,800"
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"5,773",.,.,.,.,"5,773"
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,"2,757","4,834",.,.,"11,453",.,.,.,.,.,.,.,"2,625",.,"8,897","30,565"
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"14,130",.,.,.,.,.,.,.,.,.,.,.,.,.,"14,130"
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"9,271",.,.,.,.,"9,271"
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","30,320","9,221",.,"16,863","21,050","12,494",.,.,"5,548",.,.,"22,142",.,"11,309",.,"21,853","150,800"
AA24G,320,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,"5,215",.,.,.,.,.,.,.,.,.,.,.,915,"6,130"
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,362",.,.,.,.,"2,362"
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"5,900",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,900"
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,"19,296","2,591",.,"1,505",.,.,.,.,.,.,.,"4,841","14,439",.,"6,136","48,808"
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"62,221",.,.,.,.,.,.,.,.,.,.,.,.,.,"62,221"
AA24H,130,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,860",.,.,.,.,"1,860"
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"25,989",.,.,.,.,"25,989"
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,619","3,619"
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","14,268","11,626",.,"7,020","12,029","1,743","1,545",.,.,.,"7,657","33,904",.,"12,337",.,"6,192","108,322"
AA24H,340,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,"1,757",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,757"
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"8,169",.,.,.,.,.,.,.,.,.,.,.,.,.,"8,169"
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"4,782",.,.,.,.,"4,782"
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,"2,412",.,.,.,.,.,.,.,"5,665",.,"4,958",.,"5,907",.,"1,534","20,476"
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"36,627",.,.,.,.,.,.,.,.,.,.,.,.,.,"36,627"
AA25C,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,"27,994",.,.,.,.,.,.,.,.,.,.,.,.,"27,994"
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+","12,485","4,410",.,.,.,"2,615","2,575",.,.,.,.,.,.,.,.,.,"22,085"
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+","1,786",.,.,.,"2,634",.,.,.,"39,650","7,931",.,"7,348",.,.,.,.,"59,348"
AA25D,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,"1,556",.,.,.,.,.,.,.,.,.,.,"1,556"
AA25D,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"14,270",.,.,.,.,"14,270"
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","37,455","2,806",.,"23,870","12,029",.,"12,874",.,"10,725",.,.,"11,835",.,"2,570",.,"4,006","118,170"
AA25D,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,747
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"2,459",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,459"
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","8,928",.,"10,704",.,"11,287",.,.,.,"27,077","6,420",.,"16,135","33,886",.,.,"19,328","133,765"
AA25E,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,"1,333",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,333"
AA25E,101,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,484","3,484"
AA25E,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,828,828
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","37,009","10,824",.,"11,233","19,547","2,906",.,.,"2,219",.,.,"14,362",.,"12,851",.,"20,396","131,346"
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,"2,625",.,.,.,.,.,"2,625"
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,"2,811",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,811"
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,675
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"14,422",.,.,.,.,"14,422"
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","17,141","3,446","20,463",.,"6,396",.,.,.,"5,992","6,798",.,"29,193","4,841","19,034",.,"22,089","135,392"
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"3,512",.,.,.,.,.,.,.,.,.,.,.,"3,512"
AA25F,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,907",.,.,.,.,"6,907"
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"16,135",.,.,.,.,"16,135"
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","56,776","22,049",.,"26,678","48,115","11,913","18,024",.,"11,284",.,"12,731","27,490",.,"10,795",.,"48,425","294,279"
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,"4,854",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,854"
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,"1,467",.,.,.,.,.,"1,467"
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,"9,431",.,.,.,.,.,"9,431"
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,"2,108","2,827",.,.,.,.,.,.,.,"6,241","1,216",.,.,.,.,"12,393"
AA25F,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"7,226",.,.,.,.,"7,226"
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"28,132",.,.,.,.,"28,132"
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","9,999","22,053","26,774",.,"30,474","8,999",.,.,"5,659","20,017","7,167","59,172","17,603","27,566",.,"38,656","274,138"
AA25F,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"1,812",.,.,.,.,.,.,.,.,.,.,.,"1,812"
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,889,.,.,.,"2,334",.,.,.,.,.,"1,088",.,.,.,.,"4,311"
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"10,410",.,.,.,.,"10,410"
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","3,461",.,.,.,.,.,.,.,.,.,.,"4,704",.,.,.,.,"8,165"
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"39,941",.,.,.,.,"39,941"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","51,277","26,860","1,186","18,253","36,462","19,758","11,844",.,"7,216",.,"8,546","54,533",.,"11,823",.,"62,563","310,321"
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"5,974",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,974"
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,"1,836",.,.,.,.,.,"1,836"
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"3,137",.,"2,845","2,147","1,674",.,.,.,.,.,.,.,.,.,.,"9,803"
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"1,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,405"
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,"2,120",.,.,"1,356",.,.,.,.,.,.,.,.,.,.,"3,476"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"137,721",.,.,.,.,"137,721"
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","11,428","16,540","10,343",.,"20,692","6,544",.,.,.,"4,154","9,372","38,710","5,281","3,938",.,"17,039","144,042"
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,"2,719",.,.,.,.,.,.,.,.,.,.,"1,459","4,177"
AA26C,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,"1,280",.,"3,293",.,"1,945",.,.,.,.,.,.,.,.,.,.,"6,519"
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,"22,049",807,"12,169","6,390",.,.,.,"9,616",.,.,"7,327",.,"2,056",.,.,"60,414"
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,"31,112",.,.,"15,819",.,.,.,.,.,.,.,.,.,.,"46,932"
