HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,"4,216",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,216"
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"5,813",.,.,.,.,"5,813"
AA22F,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"9,092",.,.,.,.,"9,092"
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,732",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,732"
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,020",.,.,.,.,"6,020"
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","3,393",.,"6,626",.,"4,138",.,.,.,.,"6,043","2,806","3,225",.,"1,313",.,"2,708","3,403"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"4,086",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,086"
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","6,641",.,.,.,"3,530",.,.,.,.,.,.,.,.,.,.,.,"4,567"
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,"2,447",.,.,.,.,.,.,"6,469",.,.,.,.,"4,458"
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,436",.,.,.,.,"4,436"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","1,932","1,850",.,"1,694","2,023","1,494","1,886",.,851,.,"1,597",937,.,"1,542",.,"1,929","1,662"
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"2,989",.,.,"1,048",.,.,.,.,.,.,.,.,.,.,.,"2,712"
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,"3,435",.,.,.,.,.,"3,435"
AA22G,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,258",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,258"
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","5,222","1,176",.,"5,215",859,.,.,.,"5,044",.,.,.,.,.,.,.,"3,503"
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"1,171",.,.,.,"2,471",.,.,.,.,617,.,.,.,.,.,"1,320"
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,321",.,.,.,.,"3,321"
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"6,029",.,.,.,.,"6,029"
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"4,702",.,.,.,.,"4,702"
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,857","1,493","3,352",.,"2,132","1,227",.,.,.,.,"2,072","2,374",.,"2,625",.,"1,534","2,225"
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"2,806",.,.,.,872,"3,605",.,.,.,.,.,.,.,.,.,"2,039"
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"3,790",.,.,.,.,.,.,"5,326",.,.,"7,082","1,320",.,.,.,"4,695"
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,"7,743",.,.,.,.,"7,743"
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"3,207",.,"10,297",752,"1,598","3,605",.,"1,110",.,"2,580",.,.,.,.,.,"3,579"
AA23D,320,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,948,.,.,.,.,.,.,.,.,.,.,.,.,948
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"4,049","4,646",.,"2,822","8,453",.,.,.,.,.,"2,454","4,401",.,.,"6,289","5,241"
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,116","3,116"
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"6,231",.,.,.,.,"6,231"
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"6,317",.,.,.,.,"6,317"
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"6,306","2,405",.,"9,244","1,692","1,259",.,.,.,.,"4,448","5,662",.,"9,253",.,"1,912","4,310"
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,"1,961",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,961"
AA23E,400,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"3,072",.,.,.,.,"3,072"
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"4,642","2,986",.,.,"2,257","6,953",.,.,.,.,"8,932",.,"4,254",.,.,"3,813","3,784"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"4,889",.,.,.,.,"4,889"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"3,344","3,007",.,"4,212",.,581,.,.,"1,849",.,973,"1,029",.,"8,225",.,"1,093","2,836"
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,"1,054",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,054"
AA23F,400,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"1,379",.,.,.,.,"1,379"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,976","2,010",.,.,"1,756","3,681",.,.,.,.,.,"1,743",.,"6,563",.,"2,838","2,504"
AA23F,800,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,"1,408",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,408"
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,"1,756","2,334",.,.,.,.,.,.,.,.,.,.,"1,900"
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"3,771",.,.,.,.,"3,771"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"2,675",802,.,"2,457","1,692",.,.,.,.,.,"3,491",918,.,"1,028",.,728,"1,899"
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,"5,215",.,.,.,.,.,.,.,.,.,.,.,.,"5,215"
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"2,023",.,.,.,.,"2,023"
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"4,293",.,.,.,.,"4,293"
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,"1,551",.,.,"1,129",.,.,.,.,.,"3,398","1,847",.,.,.,"2,148","1,963"
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"3,675",.,"2,340","1,879",581,.,.,.,.,.,.,.,.,.,"4,735","2,863"
AA24C,302,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,"14,788",.,.,.,.,"14,788"
AA24C,340,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"7,378",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,378"
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"3,101",.,.,"5,643",.,.,.,.,.,.,"6,559","8,801",.,.,"5,062","5,705"
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","8,026","2,940",.,"3,627","2,819","2,906",.,.,.,.,"3,031",.,.,"4,112",.,.,"3,880"
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,673,"4,485",.,.,.,.,"3,532"
AA24D,400,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"3,367",.,.,.,.,"3,367"
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","6,785",.,"4,238",.,.,.,.,.,.,.,.,"1,924",.,"11,814",.,"6,749","5,176"
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"5,489",.,.,.,.,.,.,.,.,.,.,.,.,"5,489"
AA24E,110,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","2,626",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,626"
AA24E,150,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"4,231",.,.,.,.,"4,231"
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","3,965","3,107",.,"1,404","1,128","4,068",.,.,.,.,.,974,.,"3,598",.,"1,821","2,383"
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"1,560",.,.,.,.,"1,560"
AA24E,320,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,"4,464",.,.,.,.,.,.,.,.,.,.,"4,464"
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,"2,284",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,284"
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"1,750",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,750"
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","5,714","1,034",.,.,"6,020",.,.,.,"5,326",.,"5,000",.,.,"6,345",.,"3,068","3,951"
AA24E,800,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"6,698",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,698"
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","2,678",.,.,.,.,.,.,.,.,.,.,.,.,"9,841",.,.,"6,259"
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"4,402",.,.,.,.,"4,402"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","1,784","3,608",.,"3,900","2,673","1,647",.,.,"5,548",.,"4,840","1,082",.,"2,570",.,"1,995","2,233"
AA24F,320,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,"6,139",.,.,.,.,.,.,.,.,.,.,"6,139"
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"5,900",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,900"
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"5,773",.,.,.,.,"5,773"
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,"2,757","2,417",.,.,"5,726",.,.,.,.,.,.,.,"2,625",.,"4,449","3,821"
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"2,826",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,826"
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,318",.,.,.,.,"2,318"
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","2,756","1,844",.,"2,811","2,631","2,082",.,.,"2,774",.,.,886,.,"2,262",.,"1,987","1,909"
AA24G,320,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,"5,215",.,.,.,.,.,.,.,.,.,.,.,915,"3,065"
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,362",.,.,.,.,"2,362"
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"5,900",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,900"
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,"1,930","2,591",.,"1,505",.,.,.,.,.,.,.,"4,841","7,220",.,"1,534","2,569"
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"3,275",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,275"
AA24H,130,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,860",.,.,.,.,"1,860"
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,888",.,.,.,.,"2,888"
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,619","3,619"
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","1,784","1,453",.,"3,510","1,504","1,743","1,545",.,.,.,"1,914","1,027",.,"3,084",.,"1,032","1,444"
AA24H,340,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,878,.,.,.,.,.,.,.,.,.,.,.,.,.,.,878
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"4,085",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,085"
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"4,782",.,.,.,.,"4,782"
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,"1,206",.,.,.,.,.,.,.,"2,833",.,"2,479",.,"5,907",.,"1,534","2,560"
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"2,817",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,817"
AA25C,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,"27,994",.,.,.,.,.,.,.,.,.,.,.,.,"27,994"
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+","4,162","2,205",.,.,.,"1,308","2,575",.,.,.,.,.,.,.,.,.,"2,761"
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+","1,786",.,.,.,"2,634",.,.,.,"7,930","7,931",.,"3,674",.,.,.,.,"5,935"
AA25D,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,"1,556",.,.,.,.,.,.,.,.,.,.,"1,556"
AA25D,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"14,270",.,.,.,.,"14,270"
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","6,242","1,403",.,"11,935","2,005",.,"3,219",.,"5,363",.,.,"2,367",.,"2,570",.,"1,002","3,693"
AA25D,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,747
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"2,459",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,459"
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","8,928",.,"10,704",.,"3,762",.,.,.,"5,415","3,210",.,"4,034","6,777",.,.,"3,866","5,145"
AA25E,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,"1,333",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,333"
AA25E,101,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,484","3,484"
AA25E,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,828,828
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","2,056","1,804",.,"2,247","1,504","1,453",.,.,"1,110",.,.,"1,306",.,"2,570",.,"1,457","1,728"
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,"2,625",.,.,.,.,.,"2,625"
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,"1,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,405"
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,675
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"3,606",.,.,.,.,"3,606"
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","2,449","1,723","3,410",.,"1,066",.,.,.,"2,996","3,399",.,"1,825","2,420","4,758",.,"1,473","2,184"
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"1,756",.,.,.,.,.,.,.,.,.,.,.,"1,756"
AA25F,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"6,907",.,.,.,.,"6,907"
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"4,034",.,.,.,.,"4,034"
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,958","2,004",.,"3,811","2,092","1,986","4,506",.,"1,612",.,"3,183","1,018",.,"3,598",.,"1,794","1,988"
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,"2,427",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,427"
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,"1,467",.,.,.,.,.,"1,467"
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,"4,715",.,.,.,.,.,"4,715"
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,"2,108",942,.,.,.,.,.,.,.,"2,080","1,216",.,.,.,.,"1,549"
AA25F,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"7,226",.,.,.,.,"7,226"
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"5,626",.,.,.,.,"5,626"
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","2,000","1,696","2,677",.,"2,032","3,000",.,.,"2,829","4,003","3,584","2,573","4,401","3,446",.,"1,681","2,426"
AA25F,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"1,812",.,.,.,.,.,.,.,.,.,.,.,"1,812"
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,889,.,.,.,"2,334",.,.,.,.,.,"1,088",.,.,.,.,"1,437"
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"2,082",.,.,.,.,"2,082"
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","3,461",.,.,.,.,.,.,.,.,.,.,"2,352",.,.,.,.,"2,722"
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,328",.,.,.,.,"3,328"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,465","1,414","1,186","2,028","1,350","1,162","2,961",.,"1,804",.,"1,424",992,.,"2,365",.,"1,227","1,332"
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"1,991",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,991"
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,918,.,.,.,.,.,918
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"1,568",.,"2,845","2,147","1,674",.,.,.,.,.,.,.,.,.,.,"1,961"
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"1,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,405"
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,"2,120",.,.,"1,356",.,.,.,.,.,.,.,.,.,.,"1,738"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,203",.,.,.,.,"3,203"
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,905","1,504","2,069",.,"1,293","2,181",.,.,.,"2,077","1,339","1,683","2,640","3,938",.,"1,136","1,583"
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,"2,719",.,.,.,.,.,.,.,.,.,.,"1,459","2,089"
AA26C,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,"1,280",.,"3,293",.,"1,945",.,.,.,.,.,.,.,.,.,.,"2,173"
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,"7,350",807,"12,169","2,130",.,.,.,"9,616",.,.,916,.,"2,056",.,.,"3,356"
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,"1,945",.,.,"1,318",.,.,.,.,.,.,.,.,.,.,"1,676"
