HRG,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal Victoria,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Unit Cost
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,129
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,233,.,137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,720,.,.,.,.,.,720
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,281,.,.,.,.,.,.,.,.,.,281
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",291,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,291
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,520,.,.,.,.,.,520
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",582,.,.,.,.,.,.,.,.,.,.,246,.,.,.,.,383,.,371
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,511,.,511
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,527,.,.,.,.,.,.,240,.,.,.,.,.,369
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,365,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,297
AA26F,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,.,383
AA26F,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,116,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,147",.,"1,147"
AA26G,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,636,.,636
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,473,.,.,.,176,.,.,332,.,.,.,.,370
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,639,.,.,.,.,.,.,.,.,.,639
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,452
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,016",.,"1,016"
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,523,15,.,.,.,.,.,920,.,.,410,.,.,383,.,611
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",359,.,.,.,.,.,376,388,.,.,.,.,.,.,.,.,310,.,315
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,220,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,226
AA26H,370,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,527,.,.,.,.,.,.,235,.,.,.,.,.,407
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,365,.,.,.,.,.,.,.,.,.,.,505,.,.,.,.,385
AA26H,502,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,220,.,.,.,.,.,.,.,.,.,.,.,220
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,241,.,.,.,.,.,241
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,.,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,518
AA29F,100,Transient Ischaemic Attack with CC Score 0-4,.,.,.,205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,527,.,.,.,.,.,.,.,.,.,.,.,.,527
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA30E,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",667,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,667
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,376
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,241,.,.,.,.,.,241
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,503,.,.,.,.,.,503
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",667,.,.,.,.,.,.,.,.,.,.,246,.,.,.,.,.,.,456
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",359,.,.,.,.,.,376,.,.,.,.,.,141,.,.,.,594,.,252
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,174",.,.,.,.,.,"1,174"
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,527,.,.,.,.,.,.,238,.,.,.,.,.,245
AA31E,140,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,383,.,383
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,614,376,.,.,552,.,.,.,.,.,.,.,.,514
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,527,.,.,.,.,.,.,241,.,.,.,.,.,524
AA35F,410,Stroke with CC Score 0-3,.,.,.,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,229
AB02Z,191,Complex Major Pain Procedures,.,.,.,"1,561","3,489",.,.,.,.,.,635,.,.,406,.,.,.,.,957
AB03Z,110,Complex Pain Procedures,.,.,.,.,.,.,.,.,687,.,.,.,.,.,.,.,.,.,687
AB03Z,191,Complex Pain Procedures,915,.,.,"1,444","2,918",.,.,.,.,.,682,"1,056",.,452,.,542,383,.,"1,144"
AB03Z,300,Complex Pain Procedures,.,.,.,298,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298
AB03Z,400,Complex Pain Procedures,.,.,.,.,.,527,.,.,.,.,.,.,.,.,.,.,.,.,527
AB03Z,810,Complex Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,717,.,.,.,.,.,717
AB04Z,100,Major Pain Procedures,.,.,.,.,.,.,.,.,.,867,.,.,"1,083",.,.,.,933,.,908
AB04Z,110,Major Pain Procedures,.,.,.,.,.,.,.,.,699,.,.,.,614,.,.,.,.,.,699
AB04Z,150,Major Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,759,.,.,.,.,.,759
AB04Z,191,Major Pain Procedures,757,.,.,984,580,.,.,.,.,.,843,"1,272",.,362,.,542,383,.,652
AB04Z,400,Major Pain Procedures,.,.,.,.,.,527,.,.,.,.,.,.,232,.,.,.,.,.,478
AB05Z,100,Intermediate Pain Procedures,.,.,.,.,.,553,.,.,.,.,.,.,.,284,.,.,.,.,337
AB05Z,101,Intermediate Pain Procedures,881,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,881
AB05Z,110,Intermediate Pain Procedures,.,.,.,.,.,475,.,.,701,.,.,.,.,367,.,.,.,.,668
AB05Z,150,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,499,.,.,.,.,.,499
AB05Z,160,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,692,.,692
AB05Z,191,Intermediate Pain Procedures,710,.,.,"2,027",589,.,.,.,.,.,672,"1,379",.,562,.,646,383,.,642
AB05Z,300,Intermediate Pain Procedures,.,.,.,.,.,614,.,.,.,.,.,.,136,.,.,.,.,.,205
AB05Z,303,Intermediate Pain Procedures,.,.,.,251,.,.,.,.,.,.,.,.,.,.,.,.,.,.,251
AB05Z,361,Intermediate Pain Procedures,.,.,.,.,.,.,688,.,.,.,.,.,.,.,.,.,.,.,688
AB05Z,400,Intermediate Pain Procedures,.,.,.,.,.,527,.,.,.,.,.,.,232,.,.,.,.,.,257
AB05Z,410,Intermediate Pain Procedures,.,.,365,.,.,229,.,.,.,.,.,.,.,505,.,.,.,.,315
AB05Z,502,Intermediate Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,122",.,"1,122"
AB06Z,110,Minor Pain Procedures,693,.,.,.,.,828,.,"1,595",640,.,.,.,417,432,.,.,"1,066",.,685
AB06Z,150,Minor Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,499,.,.,.,.,.,499
AB06Z,191,Minor Pain Procedures,540,.,.,523,529,.,.,.,.,.,443,"1,167",.,250,.,388,383,.,561
AB06Z,410,Minor Pain Procedures,.,.,365,.,.,229,.,.,.,.,.,.,.,505,.,.,.,.,268
AB07Z,100,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"8,986",.,.,.,.,.,.,.,.,"11,048",.,.,.,.,.,"9,674"
AB07Z,191,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,"13,845",926,.,.,.,.,.,.,.,.,"5,056",.,.,.,.,"4,700"
AB08Z,110,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,610,.,.,.,.,.,.,.,.,.,610
AB08Z,191,Pain Radiofrequency Treatments,794,.,.,"1,388",.,.,.,.,.,.,807,"1,205",.,.,.,.,.,.,"1,237"
AB08Z,410,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,.,622,.,.,.,.,.,.,.,.,.,622
AB09Z,100,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,863,.,.,.,.,.,.,.,.,863
AB09Z,110,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,723,.,.,.,417,.,.,.,"1,261",.,744
AB09Z,140,Other Specified Pain Procedures,349,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,349
AB09Z,191,Other Specified Pain Procedures,773,.,.,870,419,.,.,.,.,.,597,.,.,500,.,542,383,.,530
AB09Z,400,Other Specified Pain Procedures,.,.,.,.,.,.,.,.,.,.,.,.,232,.,.,.,.,.,232
AB10Z,191,Unspecified Pain Procedures,794,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,794
BZ01B,130,Enhanced Cataract Surgery with CC Score 0-1,852,.,.,.,.,.,.,662,.,.,879,.,688,.,.,.,.,.,809
BZ02A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+",903,.,.,.,.,.,.,662,.,736,.,.,.,"1,112",.,.,.,.,771
BZ02B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",903,.,.,.,.,.,.,662,.,736,871,.,742,999,.,966,.,.,778
BZ02C,100,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,765,.,.,.,.,.,.,.,.,765
BZ02C,101,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,517,.,.,.,.,.,.,.,517
BZ02C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",903,.,.,.,.,.,.,662,.,736,871,.,745,"1,003",.,966,.,.,849
BZ02C,361,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,240,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,240
BZ03A,130,Non-Phacoemulsification Cataract Surgery with CC Score 1+,903,.,.,.,.,.,.,.,.,736,.,.,"1,304","1,368",.,.,.,.,"1,097"
BZ03B,130,Non-Phacoemulsification Cataract Surgery with CC Score 0,887,.,.,.,.,.,.,662,.,736,848,.,775,960,.,966,.,.,819
BZ03B,370,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,233,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,233
BZ04A,130,Lens Capsulotomy with CC Score 1+,677,.,.,.,.,.,.,.,.,.,.,.,705,.,.,.,.,.,690
BZ04B,130,Lens Capsulotomy with CC Score 0,677,.,.,.,.,.,.,.,.,747,.,.,711,.,294,.,.,.,682
BZ05A,130,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,818,.,.,.,.,.,.,.,818
BZ05B,130,Major Oculoplastics Procedures with CC Score 0,"1,203",.,.,.,.,.,.,.,.,.,828,.,923,.,.,.,.,.,953
BZ05B,140,Major Oculoplastics Procedures with CC Score 0,529,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,529
BZ05B,160,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,"1,269",.,.,.,.,.,.,"1,526",.,"1,461"
BZ06B,130,"Intermediate Oculoplastics Procedures, 18 years and under","1,241",.,.,.,.,.,.,.,.,.,819,.,"1,599",390,.,.,.,.,"1,466"
BZ06C,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,353",.,.,.,.,.,.,.,.,.,.,.,.,743,.,.,.,.,"1,048"
BZ06C,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,412",.,"1,412"
BZ06C,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159,159
BZ06D,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,708,.,.,.,.,.,.,"1,478",.,.,.,.,.,.,773
BZ06D,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,364",.,.,.,.,.,.,.,.,"1,100",830,.,779,821,.,904,.,.,934
BZ06D,140,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",745,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,678",.,861
BZ06D,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,"1,113",.,.,"1,392",.,.,.,"1,283",.,"1,244"
BZ06D,320,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,620,.,.,.,.,.,.,.,.,.,.,.,.,620
BZ06D,330,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,181,658,382,.,.,.,.,.,.,.,.,.,.,159,476
BZ07B,100,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,420,.,.,.,.,913,.,.,.,.,.,.,.,.,666
BZ07B,130,"Minor Oculoplastics Procedures, 18 years and under","1,095",.,.,.,.,.,.,.,.,"1,100",.,.,943,474,.,.,.,.,923
BZ07B,140,"Minor Oculoplastics Procedures, 18 years and under",852,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,376",.,983
BZ07B,160,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,835",.,.,.,995,.,"1,789"
BZ07B,171,"Minor Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,515",.,.,.,"1,385",.,"1,428"
BZ07C,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+","1,353",.,.,.,.,.,.,.,.,.,.,.,652,443,.,.,.,.,"1,085"
BZ07C,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,298",.,"1,298"
BZ07D,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,860,.,.,.,.,.,.,.,.,.,.,"1,292",933,.,986
BZ07D,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","1,184",.,.,.,.,.,.,.,.,"1,100",817,.,676,595,.,.,.,.,854
BZ07D,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",.,.,.,.,.,.,.,.,.,"1,009",.,.,.,.,.,.,"1,197",.,"1,150"
BZ07E,100,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",754,.,.,.,826,.,.,995,.,.,594,"1,310",.,512,.,"1,069","1,064",.,905
BZ07E,120,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,941,.,.,.,.,.,941
BZ07E,130,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","1,141",.,.,.,.,.,.,.,.,897,817,.,647,473,485,980,.,.,747
BZ07E,140,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",475,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,678",.,647
BZ07E,160,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,"1,071",.,.,900,.,.,.,"1,223",.,"1,137"
BZ07E,330,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",.,.,.,.,181,485,221,.,.,.,.,.,519,.,.,.,.,159,319
BZ08B,130,"Major Orbits or Lacrimal Procedures, 18 years and under",827,.,.,.,.,.,.,.,.,.,.,.,"1,153",.,.,.,.,.,"1,045"
BZ08C,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,815,.,.,.,.,.,.,.,815
BZ08D,130,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","1,353",.,.,.,.,.,.,.,.,.,837,.,926,.,.,.,.,.,949
BZ09B,130,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,280",.,.,.,.,.,"1,280"
BZ09D,120,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,781,.,.,.,.,.,.,.,.,781
BZ09D,130,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","1,118",.,.,.,.,.,.,.,.,.,834,.,847,"1,030",.,.,.,.,925
BZ10B,130,"Minor Orbits or Lacrimal Procedures, 18 years and under","1,113",.,.,.,.,.,.,.,.,.,.,.,972,.,.,.,.,.,"1,015"
BZ10C,130,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,725,.,.,.,.,725
BZ10D,120,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",970,.,.,.,.,.,.,.,.,.,.,.,885,.,.,.,.,.,927
BZ10D,130,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","1,106",.,.,.,.,.,.,.,.,747,811,.,681,460,479,767,.,.,726
BZ11A,130,"Major Cornea or Sclera Procedures, with CC Score 1+",602,.,.,.,.,.,.,.,.,747,859,.,.,.,.,.,.,.,736
BZ11B,130,"Major Cornea or Sclera Procedures, with CC Score 0",602,.,.,.,.,.,.,.,.,.,898,.,703,.,.,.,.,.,728
BZ12A,130,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",994,.,.,.,.,.,.,.,.,.,809,.,497,.,.,.,.,.,858
BZ12B,130,"Intermediate Cornea or Sclera Procedures, with CC Score 0",969,.,.,.,.,.,.,.,.,.,840,.,818,.,.,.,.,.,854
BZ13A,130,"Minor Cornea or Sclera Procedures, with CC Score 1+",903,.,.,.,.,.,.,662,.,.,827,.,"1,226",285,.,.,.,.,838
BZ13B,130,"Minor Cornea or Sclera Procedures, with CC Score 0",903,.,.,.,.,.,.,.,.,.,824,.,706,.,.,.,.,.,785
