HRG,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,RoyalVictoria,South Tyrone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Total Cost
AA15E,370,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"5,855",.,.,.,.,"5,855"
AA17C,150,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"12,140",.,.,.,.,"12,140"
AA17D,150,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"41,737",.,.,.,.,"41,737"
AA18C,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"42,976",.,.,.,.,"42,976"
AA18D,150,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"125,248",.,.,.,.,"125,248"
AA19C,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"23,021",.,.,.,.,"23,021"
AA19C,420,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"13,494",.,.,.,.,"13,494"
AA19D,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"57,068",.,.,.,.,"57,068"
AA19E,120,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"5,079",.,.,.,.,"5,079"
AA19E,150,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"203,944",.,.,.,.,"203,944"
AA19E,421,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"13,521",.,.,.,.,"13,521"
AA20C,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,410","2,410"
AA20C,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"8,812",.,.,.,.,"8,812"
AA20D,100,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,442",.,.,.,.,"3,442"
AA20D,140,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1","1,155",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,155"
AA20D,150,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"105,338",.,.,.,.,"105,338"
AA21D,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"11,812",.,.,.,.,"11,812"
AA21E,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"83,637",.,.,.,.,"83,637"
AA21F,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,"4,220",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,220"
AA21F,110,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"7,446",.,.,.,.,"7,446"
AA21F,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,570","1,570"
AA21F,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"214,013",.,.,.,.,"214,013"
AA21F,160,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,375","2,375"
AA21F,400,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"2,289",.,.,.,.,"2,289"
AA21G,100,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,"2,582",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,582"
AA21G,120,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,991,.,.,.,.,.,.,.,.,.,.,.,991
AA21G,150,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"38,410",.,.,.,.,"38,410"
AA22E,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"2,857",.,.,.,.,"2,857"
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"1,326","4,782",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,108"
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,"8,080",.,.,.,.,.,.,.,.,"8,080"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","6,136",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,136"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,876,.,.,.,.,.,.,826,.,.,.,.,"1,702"
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,588,.,.,.,.,.,.,.,.,588
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"9,149",.,.,.,.,"9,149"
AA22G,172,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"1,667",.,.,.,.,"1,667"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","9,643",.,559,.,.,603,.,.,.,.,.,.,.,.,.,"5,502","16,306"
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"8,373",.,.,.,.,"8,373"
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"30,199",.,.,.,.,"30,199"
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,"9,869",.,.,.,.,"9,869"
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,"2,561",.,.,.,.,.,.,.,"2,561"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"3,387",.,.,.,.,"3,387"
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"11,703",.,.,.,.,"11,703"
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,806,.,.,.,.,806
AA24D,150,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"20,200",.,.,.,.,"20,200"
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"3,489",.,.,.,.,"3,489"
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,"3,506",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,506"
AA24E,150,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"3,792",.,.,.,.,"3,792"
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"1,141",.,.,.,.,"1,141"
AA24E,350,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"3,238",.,.,.,.,"3,238"
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"22,663",.,.,.,.,.,.,.,.,.,.,.,.,.,"22,663"
AA24E,400,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,"5,192",.,.,.,.,"5,192"
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,"12,592",.,.,.,.,"12,592"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","7,451",.,.,.,.,.,.,.,.,.,.,.,.,"1,004",.,.,"8,455"
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,488,.,.,.,.,488
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"6,079",.,.,.,.,.,.,.,.,.,.,.,.,.,"6,079"
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"35,346",.,.,.,.,"35,346"
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",877,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,877
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"3,601",.,.,.,.,"3,601"
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"77,773",.,.,.,.,.,.,.,.,.,.,.,.,.,"77,773"
AA24G,400,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"2,451",.,.,.,.,"2,451"
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,816",.,.,.,.,"3,816"
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,913",.,.,.,.,"1,913"
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,885","1,885"
AA24H,172,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,844",.,.,.,.,"1,844"
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,457",.,.,.,.,"2,457"
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,547",.,.,.,.,"3,547"
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367,367
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,"5,484",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,484"
AA25D,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,"10,126",.,.,.,.,"10,126"
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"9,328",.,.,.,.,"9,328"
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"3,387",.,.,.,.,"3,387"
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,315","2,846",.,.,.,.,.,.,.,.,.,"2,900",.,.,.,.,"7,061"
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,"7,071",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"7,071"
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"8,191",.,.,.,.,"8,191"
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,"2,927",.,.,.,.,.,.,.,"2,927"
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,573,.,.,.,.,.,.,.,.,.,.,.,.,573
AA25G,101,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,664","1,664"
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","2,597",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,597"
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"12,368",.,.,.,.,"12,368"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",877,.,"6,351",.,.,.,.,.,.,.,.,.,.,.,.,.,"7,227"
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"3,775",.,.,.,.,"3,775"
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"3,977",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,977"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"186,726",.,.,.,.,"186,726"
AA26D,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,"3,048",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,048"
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,"4,082",.,.,.,.,.,.,.,.,.,.,.,.,"4,082"
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,"2,223",.,.,.,.,.,.,"4,024",.,.,.,.,.,.,.,"6,247"
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"1,836",.,.,.,.,"1,836"
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"1,767",.,.,.,.,"1,767"
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,376,.,.,.,.,502,.,.,878
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"17,128",.,.,.,.,"17,128"
AA26F,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,"1,790",.,.,.,.,.,.,.,.,"1,790"
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,363,.,.,.,"2,195",.,.,.,.,.,.,.,"2,558"
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"2,846",.,.,.,.,"2,846"
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"4,344",.,.,.,.,"4,344"
AA26G,172,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"2,559",.,.,.,.,"2,559"
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","2,630",813,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,100","4,543"
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"1,480",.,.,.,.,"1,480"
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,799,.,.,799
AA26G,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,"2,475",.,.,.,.,.,.,.,.,.,.,.,.,383,"2,858"
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"89,970",.,.,.,.,"89,970"
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,"1,852",.,.,.,.,.,.,"2,195",.,.,.,.,"3,863",.,.,"7,910"
AA26H,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,"1,259",.,.,.,.,.,.,.,.,.,.,.,"1,259"
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",519,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,519
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"1,499",.,.,.,.,"1,499"
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,957,.,.,.,.,957
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,654,.,.,.,"1,636",.,.,463,.,"2,876",.,"1,467","7,095"
AA26H,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"1,630",.,.,.,.,"1,630"
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,.,438
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"145,714",.,.,.,.,"145,714"
AA26H,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,725,.,.,.,.,.,.,.,.,.,.,.,725
AA28D,300,Motor Neuron Disease with CC Score 5-7,"3,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,068"
AA28D,400,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,"15,679",.,.,.,.,"15,679"
AA28E,340,Motor Neuron Disease with CC Score 2-4,.,.,438,.,.,.,.,.,.,.,.,.,.,.,.,.,438
AA28E,400,Motor Neuron Disease with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,"57,955",.,.,.,.,"57,955"
AA28F,300,Motor Neuron Disease with CC Score 0-1,.,813,.,.,.,.,.,.,.,.,.,.,.,.,.,.,813
AA28F,400,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"34,462",.,.,.,.,"34,462"
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,.,"4,749",.,.,.,.,.,.,.,.,.,.,.,.,.,"4,749"
AA29E,430,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,"2,538",.,.,.,.,.,.,.,.,.,.,.,"2,538"
AA29F,100,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,"1,472",.,.,.,.,"1,472"
AA29F,150,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,"2,172",.,.,.,.,"2,172"
AA29F,300,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,376,.,.,"1,682",.,.,.,.,"2,057"
AA29F,430,Transient Ischaemic Attack with CC Score 0-4,737,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,737
