HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Unit Cost
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,549,.,.,.,.,.,.,.,.,451,.,.,.,.,500
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,446,401,.,468,376,291,.,.,370,.,.,.,369,.,.,.,364,382
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA23F,303,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,399
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA23F,361,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"1,251",.,.,.,.,"1,251"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,357,345,.,.,.,.,.,.,.,.,.,.,535,.,656,.,.,433
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,439,.,.,.,.,.,.,.,390,.,.,.,.,415
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,446,401,.,468,376,291,.,.,.,.,344,.,366,.,.,.,364,382
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,474,.,.,.,.,.,.,.,.,.,.,.,.,.,474
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,357,345,515,.,.,409,.,.,.,.,340,.,535,.,.,.,.,426
AA23G,502,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,549,.,.,.,.,.,.,.,.,.,.,.,.,.,.,549
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,392
AA24D,180,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,386
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,345,515,.,.,.,.,.,.,.,.,.,538,.,.,.,.,490
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",446,401,.,.,376,.,.,.,.,.,.,.,396,.,514,.,364,410
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,345,.,.,.,.,.,.,.,.,340,.,.,.,.,.,.,342
AA24F,180,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",446,401,.,.,376,291,.,.,.,.,345,.,371,.,514,.,364,375
AA24F,340,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,307,342
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,129",.,.,.,.,"1,129"
AA24G,180,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",446,401,.,468,376,291,.,.,370,.,344,.,369,.,514,.,364,386
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,328,.,509,.,.,.,.,418
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,345,521,.,.,.,.,.,.,.,340,.,535,.,.,.,.,447
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,594,.,.,.,.,.,.,.,.,.,.,.,.,.,.,594
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,605,.,.,.,.,605
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,144",.,.,.,.,"1,144"
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",446,401,.,.,376,.,.,.,370,.,351,.,372,.,514,.,364,383
AA24H,301,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,474,.,.,.,.,474
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,345,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,366
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",446,401,.,.,.,.,.,.,370,.,.,.,375,.,.,.,.,385
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,541,.,.,.,.,541
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",446,401,.,.,376,.,.,.,.,.,.,.,368,.,514,.,364,391
AA25D,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,471,.,.,.,.,.,.,471
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA25D,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,864,.,.,.,.,864
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",357,345,.,.,.,.,.,.,.,.,.,.,535,.,.,.,307,413
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",446,401,429,.,376,.,.,.,370,.,349,.,381,.,514,.,364,400
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,340,.,.,.,.,.,.,340
AA25E,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,392,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,392
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,351,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,339
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",357,345,515,.,376,.,.,.,.,.,.,.,545,.,.,.,307,452
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,631,.,.,.,.,631
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",446,401,.,468,376,291,515,.,370,.,348,.,373,.,514,.,364,390
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,330,.,476,.,.,.,.,379
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",580,392,.,.,.,.,.,.,.,.,.,.,613,.,.,.,457,511
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,351,445,.,.,.,.,.,.,.,345,.,.,.,.,.,.,368
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,852,.,.,.,.,852
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",357,345,515,.,376,409,.,.,.,378,343,.,540,440,656,.,307,416
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",446,.,.,.,.,.,.,.,.,.,.,.,390,.,.,.,.,418
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,664,.,.,.,.,664
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,577
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,211",.,.,.,.,"1,211"
AA25G,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,367,.,.,"1,000",.,.,.,.,.,.,.,299,.,.,.,.,544
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",446,401,447,468,376,291,515,.,370,.,360,.,370,.,514,.,364,391
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,356,.,.,.,.,.,.,356
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",564,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,564
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",580,.,586,.,.,558,.,.,721,.,471,.,653,.,.,498,457,565
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,351,455,.,.,.,.,.,.,.,329,.,.,.,.,.,.,360
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,682,.,.,452,.,.,.,.,.,.,.,.,.,.,.,567
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,880,.,.,.,.,880
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",357,345,618,.,376,409,.,.,.,.,344,.,546,.,.,.,307,411
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",593,.,.,"1,225",.,.,.,.,.,.,.,.,.,.,.,.,729,819
AA26C,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,408,.,.,.,.,.,.,.,.,.,.,.,.,408
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,401,429,.,376,291,.,.,.,.,.,.,373,.,.,.,364,376
AA26C,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,682,.,.,.,.,.,.,.,.,.,.,.,.,.,.,682
AA26C,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA26C,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,333,.,.,.,.,.,.,.,.,333
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",446,401,431,.,376,291,.,.,.,.,344,.,374,.,.,.,364,378
AA26D,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,721,.,.,.,.,.,.,.,.,721
AA26D,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,.,853,.,.,.,.,853
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,562,.,376,.,.,.,.,.,.,.,545,.,.,.,307,508
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,586
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,401,.,.,376,291,515,.,370,.,378,.,372,.,514,.,364,380
AA26E,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA26E,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
AA26E,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,392,619,.,.,.,.,.,.,.,.,.,.,.,.,.,457,489
AA26E,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",357,345,518,.,376,.,.,.,.,.,.,.,.,.,656,.,307,394
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",446,444,.,549,439,389,.,.,.,.,.,.,390,.,.,.,443,438
AA26F,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",503,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,503
AA26F,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,591,.,.,.,.,591
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"1,139",.,.,.,.,"1,139"
AA26F,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,"1,000",.,.,.,.,.,.,.,280,.,.,.,.,640
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",446,417,430,468,376,291,515,.,370,.,367,.,376,.,514,.,364,389
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA26F,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,548,.,474,.,.,.,.,523
AA26F,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",580,392,.,.,429,.,.,.,.,.,471,.,.,.,808,498,457,511
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,351,.,.,.,.,.,.,.,.,327,.,453,.,.,.,.,357
AA26F,350,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"1,132",.,.,.,.,"1,132"
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",546,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,483
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,905,.,.,.,.,905
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",357,345,563,.,376,409,.,.,.,.,352,.,543,440,656,.,307,474
AA26F,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,595,.,.,.,.,.,.,.,.,.,.,.,.,.,.,595
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",575,444,.,.,439,389,.,.,.,.,.,.,394,.,656,.,443,459
AA26G,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"1,136",.,.,.,.,"1,136"
AA26G,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,367,.,.,"1,000",.,.,.,.,.,223,.,288,.,.,.,.,361
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",446,401,429,468,376,291,515,.,370,.,380,.,378,.,514,.,364,390
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,342,.,474,.,.,.,.,359
AA26G,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,683,.,.,.,.,.,.,.,.,.,.,.,.,.,.,683
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",580,392,591,474,429,558,.,.,.,.,471,.,613,.,808,498,457,486
AA26G,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,351,.,.,.,.,.,.,.,.,337,.,.,.,.,.,.,343
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,863,.,.,.,.,863
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",357,345,516,.,376,409,.,.,.,.,346,.,539,.,656,.,307,409
