X,Y,FID,PERIMETER,DAMS_ID,DAM_NO,DAM_NAME,STREAM,PERMITTEE,ZONE,NORTHING,EASTING,NORTH,EAST,QUAD_NAME,TYPE,PURPOSE,DAM_HEIGHT,CREST,CLASS,DRAIN_AREA,STORAGE_NO,STORAGE_TO,SURFACE_NO,SURFACE_TO
-79.814776888196775,40.538410555809783,30,0,73,02-087,ALLEGHENY RIVER LOCK AND DAM 3,ALLEGHENY RIVER,U.S. ARMY COE,17,4487970,600360,6.6,8.3,NEW KENSINGTON WEST,GRAVITY,NAVIGATION,36,2114,B-3,0,16800,16800,0,0
-79.846165240528563,40.5361852188692,31,0,47,02-055,HARMAR STORAGE POND NO 4,TRIBUTARY GUYS RUN,MINERALS TECHNOLOGY INC,17,4487700,597700,6.55,4,NEW KENSINGTON WEST,EARTH,SLURRY IMPOUNDMENT,39,950,C-2,0.1,32.38,54.2,1.91,2.4
-79.886441727602175,40.528406074761122,32,0,33,02-024,GLADE LAKE,GLADE RUN,FOX CHAPEL GOLF CLUB,17,4486780,594300,4.85,15.9,GLENSHAW,EARTH,,14,0,C-3,2,0,10,2,0
-80.087840135002551,40.504798995992161,33,0,61,02-072,EMSWORTH LOCK AND DAM,OHIO RIVER,TOWNSHIP OF POTTER,17,4483960,577280,0.9,5.1,EMSWORTH,GRAVITY,HYDROELECTRIC,25,1928,C-3,0,42700,42700,0,3070
-80.190343461738436,40.500909799647403,34,0,62,02-073,MONTOUR HEIGHTS COUNTRY CLUB DAM,TRIBUTARY MEEKS RUN,MONTOUR HEIGHTS COUNTRY CLUB,17,4483460,568600,0.1,8.3,AMBRIDGE,EARTH,RECREATION/IRRIGATION,54,203,B-2,0.04,28,34,1,2
-80.212286167407697,40.498131455861603,35,0,49,02-059,GREATER PITTSBURGH AIRPORT DAM,TRIBUTARY MCCLARONS RUN CREEK,ALLEGHENY CO. DEPT OF AVIATION,17,4483120,566730,22.45,5.2,OAKDALE,,,13,145,C-3,0.3,0,1,0,0
-80.24478806578297,40.481187447701622,36,0,54,02-064,ALLEGHENY DEPT OF AVIATION,TRIBUTARY MONTOUR RUN,ALLEGHENY COUNTY DEPARTMENT OF AVIATION,17,4481220,564000,19.2,0.7,OAKDALE,EARTH,STORMWATER DETENTION,39.5,360,C-2,2.7,80,374.5,12,17.8
-79.914777608562332,40.486743994367281,37,0,72,02-086,ALLEGHENY RIVER LOCK AND DAM 2,ALLEGHENY RIVER,U.S. ARMY COE,17,4482130,591960,20.4,11.5,PITTSBURGH EAST,GRAVITY,NAVIGATION,58,1473,B-3,0,14500,14500,0,0
-80.315064450890617,40.454521989838526,38,0,59,02-070,BALD KNOB,TRIBUTARY POTATO GARDEN RUN,ALOE COAL COMPANY,17,4478210,558060,14.48,8.32,CLINTON,EARTH,SEDIMENT BASIN,65,900,B-2,0.26,31,625,4,24
-80.127002210814524,40.456744443861204,39,0,79,02-093,LAKE STEUBEN DAM,MOON RUN,WILLIS L. PETRIE,17,4478590,574000,14.8,17.05,OAKDALE,EARTH,RECREATION,14,150,C-2,0.3,8,20,2,4.4
-80.221448879998448,40.446184167452081,40,0,43,02-049,WALDENWOODS,TRIB MONTOUR RUN,"JOHN N. HALL, PARTNER",17,4477350,566000,12.95,3.95,OAKDALE,EARTH,STORMWATER DETENTION,22,140,C-2,0.4,0,6,0,0
-79.714767264557494,40.45563306955475,41,0,71,02-083,JOHNSTON POND,TRIBUTARY ABERS CREEK,MR. RAY P. JOHNSTON,17,4478900,608950,13.7,4.63,MURRYSVILLE,EARTH,RECREATION,25,0,C-1,0.18,0,8,0,0
-79.776993800162643,40.431744932034775,42,0,65,02-076,BELMONT RIDGE,TRIBUTARY TO TURTLE CREEK,BELMONT EQUITIES INC,17,4476180,603720,10.3,13.55,BRADDOCK,EARTH,STORMWATER DETENTION,16,160,C-3,0.3,0,6,0,1
-79.743934878805533,40.421740426750318,43,0,48,02-057,CARING 1 DAM,TRIBUTARY TURTTLE CREEK,"CARING 1, A LIMITED PARTNERSHI",17,4475120,606550,8.5,0.85,MURRYSVILLE,,,14,90,C-3,0.2,0,2,0,0
-79.858103834552296,40.391742547366981,44,0,75,02-089,MONONGAHELA RIVER LOCK AND DAM 2,MONONGAHELA RIVER,U.S. ARMY COE,17,4471640,596900,3.1,2.1,BRADDOCK,GRAVITY,NAVIGATION,33,960,B-3,0,13700,13700,0,0
-79.898104911632117,40.265077314885396,45,0,76,02-090,MONONGAHELA RIVER LOCK AND DAM 3,MONONGAHELA RIVER,U.S. ARMY COE,17,4457540,593680,2.6,14,GLASSPORT,GRAVITY,NAVIGATION,16,832,B-3,0,16300,16300,0,0
-79.821442263028047,40.265075243991468,46,0,36,02-029,BUTLER'S LAKE,TRIBUTARY TO BOYDS HOLLOW RUN,BUTLERS GOLF COURSE,17,4457630,600200,2.45,7.65,MCKEESPORT,EARTH,RECREATION/IRRIGATION,30,435,C-1,0.3,94,100,9,10
