HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","2,005","1,679","2,097","2,979","1,742","1,762","2,575",.,"1,547","2,864","2,193","1,845","3,961","2,979",.,"1,751","1,990"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,587","1,463","2,020","1,862","1,404","1,319","2,317",.,"1,147","2,266","1,385","1,775","2,640","2,316",.,"1,296","1,601"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,319","1,089","1,751","1,380","1,306","1,016","1,839",.,986,.,973,"1,383",.,"1,609",.,"1,157","1,279"
AA27Z,Medical Care of Patients with Alzheimer's Disease,"3,812","1,646","6,261","5,148","1,880","2,542","3,090",.,"6,539","10,575",.,"1,926",.,"20,561",.,"1,950","3,898"
AA28C,Motor Neuron Disease with CC Score 8+,.,.,"1,779",.,"2,578",.,.,.,.,"5,665","4,942",.,.,"14,393",.,"3,278","3,563"
AA28D,Motor Neuron Disease with CC Score 5-7,"3,897","4,479",.,.,.,"2,470",.,.,.,"1,511",.,"8,306",.,"18,377",.,.,"5,543"
AA28E,Motor Neuron Disease with CC Score 2-4,"1,338",.,.,.,"1,128",581,.,.,.,.,.,"5,751",.,.,.,.,"4,421"
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,"1,162",.,.,.,.,.,"3,910",.,.,.,.,"3,125"
AA29C,Transient Ischaemic Attack with CC Score 11+,"3,456","1,737",.,.,"3,762",.,"2,832",.,"9,653","10,953",.,"4,010","8,581","7,196",.,"4,602","4,666"
AA29D,Transient Ischaemic Attack with CC Score 8-10,"1,635","1,367",.,"3,108","2,106",845,"1,802",.,666,"3,399","1,304","1,596",.,"2,823",.,"1,663","1,888"
AA29E,Transient Ischaemic Attack with CC Score 5-7,"1,412","1,282","1,539","1,977","1,128","1,346","1,888",.,898,"2,266","1,420","1,895",.,"2,378",.,"1,018","1,504"
AA29F,Transient Ischaemic Attack with CC Score 0-4,"1,285","1,050","2,147","1,315","1,003","1,060","2,060",.,863,.,"1,007","1,292",.,"1,874",.,827,"1,194"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,"6,084","2,884",.,.,.,.,.,.,.,.,.,.,.,"3,684"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7","1,338",.,.,"2,808","1,879",.,.,.,"1,997",.,.,.,.,"2,570",.,911,"1,903"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4","2,527",.,.,"3,183","1,504","2,906",.,.,.,.,.,"4,011",.,"5,425",.,"1,943","3,412"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","3,344","2,152",.,936,"2,499","1,162",.,.,.,.,"1,288","2,339",.,.,.,"1,729","2,273"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+","1,784","1,431",.,.,"1,975","2,034",.,.,.,.,.,.,.,.,.,"1,512","1,628"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10","1,541","1,077","2,260","1,872","1,172","1,213","2,832",.,"1,983",.,"1,486","1,354","2,640","3,183",.,"1,258","1,467"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","1,288","1,155","1,245","1,437","1,133",932,"1,920",.,"1,242",.,961,"1,318",.,"1,547",.,"1,317","1,272"
AA35A,Stroke with CC Score 16+,"22,091","7,738","20,779","17,062",.,.,"6,823",.,"10,842","19,073",.,"12,592","14,353","51,632",.,"6,466","13,131"
AA35B,Stroke with CC Score 13-15,"7,439","4,743","1,527","10,765","5,173","9,319","6,171",.,"5,753","15,134","7,591","9,191","11,552","23,874",.,"5,591","8,930"
AA35C,Stroke with CC Score 10-12,"9,658","3,222","17,539","7,183","2,873","10,799","7,163",.,"5,175","9,945","5,048","7,196","12,696","17,040",.,"4,431","7,237"
AA35D,Stroke with CC Score 7-9,"4,407","3,206","2,136","7,031","2,916","6,294","6,115",.,"3,452","7,143","3,417","4,988","8,150","7,704",.,"2,704","4,671"
AA35E,Stroke with CC Score 4-6,"3,718","2,239","2,332","3,881","2,502","3,527","2,617",.,"2,245","4,292","2,854","3,551","5,721","4,500",.,"2,005","3,004"
AA35F,Stroke with CC Score 0-3,"2,252","2,415","2,811","2,005","1,698","2,178","2,518",.,"1,542","3,399","1,440","2,364","3,961","2,894",.,"1,410","2,065"
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,"17,341",.,.,.,.,"17,341"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,"18,195",.,.,.,.,"18,195"
AA50F,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,"20,340",.,.,.,.,"20,340"
AA51A,"Complex Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,"17,287",.,.,.,.,"17,287"
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,"13,507",.,.,.,.,"13,507"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"14,877",.,.,.,.,"14,877"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"14,536",.,.,.,.,"14,536"
AA51E,"Complex Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"33,235",.,.,.,.,"33,235"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"17,982",.,.,.,.,"17,982"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"8,325",.,.,.,.,"8,325"
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,"27,207",.,.,.,.,"27,207"
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,"11,157",.,.,.,.,"11,157"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"10,946",.,.,.,.,"10,946"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"8,646",.,.,.,.,"8,646"
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"10,823",.,.,.,.,"10,823"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"9,902",.,.,.,.,"9,902"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"8,755",.,.,.,.,"8,755"
AA53A,"Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,"14,752",.,.,.,.,"14,752"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,"8,450",.,"13,879",.,"2,032","8,379"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"9,311",.,.,.,"7,251","9,258"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3","3,627",.,.,.,.,.,.,.,.,.,.,"8,597",.,.,.,.,"8,516"
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,"9,613",.,.,.,.,"9,613"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"15,248",.,.,.,.,"15,248"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"4,725",.,.,.,.,"4,725"
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,816","2,816"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"15,277",.,.,.,.,"15,277"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"19,117",.,.,.,.,"19,117"
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"12,378",.,.,.,.,"12,378"
AA80Z,Complex Long Term EEG Monitoring,.,"1,674",.,.,"2,778",.,.,.,.,.,.,"2,919",.,.,.,.,"2,759"
AA81Z,Standard Long Term EEG Monitoring,.,.,"2,216",.,.,.,.,.,.,.,.,.,.,"2,056",.,.,"2,136"
BZ24D,Non-Surgical Ophthalmology with Interventions,"2,169",.,"3,693",.,.,"1,162","8,406",.,"2,038",.,"2,603","3,829",.,.,.,.,"3,375"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,.,"5,567","4,212","2,069",.,"5,665",.,.,.,.,.,.,"13,365",.,"2,919","5,271"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","1,495","1,410","1,440","1,436","1,290","1,180","1,030",.,"1,405",.,"1,553","1,641",.,"2,912",.,"1,524","1,545"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","1,337","1,270","1,691","1,170","1,967","1,146","3,090",.,.,"2,266","1,073","1,752",.,"2,437",.,"1,435","1,639"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,289",.,.,.,.,"2,289"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,860",.,.,.,.,"1,860"
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,209",.,.,.,.,"2,209"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,194",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,194"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","3,516",.,.,.,.,.,.,.,.,.,.,"5,531",.,.,.,.,"4,523"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,194",.,.,.,.,.,.,.,.,.,.,"3,485",.,.,.,.,"2,840"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,460","3,460"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","5,989",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,675","3,338"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under","3,628",.,.,.,.,.,.,.,.,.,.,"6,582",.,.,.,.,"5,597"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"3,371",.,.,.,.,"3,371"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","2,308",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,544","2,465"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"3,559",.,.,.,.,"3,559"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"3,134",.,.,.,.,"3,134"
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"2,801",.,.,.,.,"2,801"
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1","2,417",.,.,.,.,.,.,.,.,.,.,"7,388",.,.,.,.,"5,731"
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+","2,617",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,617"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,097",.,.,.,.,"2,097"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"4,713",.,.,.,.,"4,713"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,985",.,.,.,.,"2,985"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+","2,308",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,308"
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0","1,868",.,.,.,.,.,.,.,.,.,.,"3,204",.,.,.,.,"2,536"
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0","3,297",.,.,.,.,.,.,.,.,.,.,"2,940",.,.,.,.,"3,074"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",659,.,.,.,.,.,.,.,.,.,.,"2,175",.,.,.,.,"1,670"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,066",.,.,.,.,"2,066"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","1,979",.,.,.,.,.,.,.,.,.,.,"3,299",.,.,.,.,"3,244"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"3,675",.,.,.,.,"3,675"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,576",.,.,.,.,"1,576"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,629",.,.,.,.,"1,629"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"3,732",.,.,.,.,"3,732"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,164",.,.,.,.,"2,164"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","1,951",.,.,.,.,.,.,.,.,.,.,"2,184",.,.,.,.,"2,174"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"4,055",.,.,.,.,"4,055"
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,942",.,.,.,.,"2,942"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1","2,198",.,.,.,.,.,.,.,.,.,.,"2,498",.,.,.,.,"2,398"
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,922",.,.,.,.,"2,922"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,083",.,.,.,.,"2,083"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,"2,554",.,.,.,.,"2,554"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",878,.,.,.,.,.,.,.,.,.,.,"1,159",.,.,.,.,"1,103"
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"5,260",.,.,.,"7,237","6,248"
CA03B,Major Neck Procedures with CC Score 0-1,.,"2,293",.,.,.,.,.,.,.,.,.,"3,486",.,.,.,.,"2,890"
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,131","1,131"
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,"2,095",.,.,.,.,.,.,.,.,.,.,.,"2,095"
CA11A,"Septoplasty, 19 years and over","3,152",.,.,.,"1,804",.,.,.,.,.,.,"2,170",.,.,.,.,"2,490"
CA12Z,Major Treatment of Epistaxis,"2,387",929,.,.,"1,940",.,.,.,.,.,.,"2,720",.,.,.,.,"1,952"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","2,246",924,.,.,"1,097",.,.,.,.,.,.,"2,736",.,.,.,"1,045","1,871"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","2,387",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,387"
CA14Z,Nasal Polypectomy,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
CA22Z,Major Nose Procedures,.,"1,309",.,.,"1,804",.,.,.,.,.,.,.,.,.,.,.,"1,556"
CA23Z,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,321","2,321"
CA27Z,Major Sinus Procedures,.,.,.,.,.,.,.,.,.,.,.,"1,376",.,.,.,.,"1,376"
CA28Z,Intermediate Sinus Procedures,.,"2,182",.,.,.,.,.,.,.,.,.,"2,617",.,.,.,.,"2,313"
CA29Z,Minor Sinus Procedures,"3,043",418,.,.,"1,906",.,.,.,.,.,.,.,.,.,.,.,"1,446"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"1,846",.,.,.,.,.,.,.,.,.,"5,064",.,.,.,.,"4,259"
CA32A,"Tympanoplasty, 19 years and over","4,277",.,.,.,.,.,.,.,.,.,.,"2,023",.,.,.,.,"3,150"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,"3,613",.,.,.,.,"3,613"
CA53A,"Intermediate Ear Procedures, 19 years and over",.,"2,235",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,235"
CA53B,"Intermediate Ear Procedures, 18 years and under",.,"3,084",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,084"
CA60A,"Tonsillectomy, 19 years and over",.,.,.,.,"1,211",.,.,.,.,.,.,.,.,.,.,.,"1,211"
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"3,668",.,.,.,.,"3,668"
CA63Z,Tracheostomy,.,.,.,.,.,.,.,.,.,.,.,"2,564",.,.,.,"1,488","2,026"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,309",.,.,.,.,"1,309"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,343",.,.,.,.,"1,343"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"18,707",.,.,.,.,"18,707"
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"47,494",.,.,.,.,"47,494"
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"29,178",.,.,.,.,"29,178"
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"21,779",.,.,.,.,"21,779"
CA81A,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,"15,762",.,.,.,.,.,.,.,.,.,.,"7,367","11,564"
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"9,420",.,.,.,.,"9,420"
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","2,964",.,.,.,"2,775",.,.,.,.,.,.,"5,535",.,.,.,.,"3,758"
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years","3,541",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,541"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"2,496",.,.,.,.,"2,496"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,810","3,274",.,.,"1,455",.,.,.,.,.,.,"1,937",.,.,.,.,"1,831"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","1,810",464,.,.,"1,901",.,.,.,.,.,.,"1,703",.,.,.,"1,446","1,617"
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,832","2,832"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,493",929,.,.,"3,084",.,.,.,.,.,.,"1,178",.,.,.,"3,200","2,876"
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",.,464,.,.,"2,677",.,.,.,.,.,.,.,.,.,.,.,"1,570"
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,"7,626",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,551","6,243"
CA92B,Very Major Maxillofacial Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,935","3,935"
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,739","2,739"
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,971","2,971"
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,679","2,679"
CA94Z,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,618","3,618"
CA96Z,"Reduction or Fixation, of Jaw","5,547",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,943","3,668"
CA97Z,"Reduction or Fixation, of Cheekbone","6,864",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,388","3,558"
