HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,4
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ72A,"Major Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,12
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,23
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,9
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ88A,"Retinal Tomography, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,4
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12
CA03B,Major Neck Procedures with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA05A,"Minor Neck Procedures, 19 years and over",3,4,.,3,.,.,.,.,.,.,3,.,2,.,.,.,1,16
CA05B,"Minor Neck Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA11A,"Septoplasty, 19 years and over",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
CA11B,"Septoplasty, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA12Z,Major Treatment of Epistaxis,13,11,.,.,2,.,.,.,.,.,.,.,3,.,.,.,.,29
CA13A,"Minor Treatment of Epistaxis, 19 years and over",20,32,.,.,16,.,.,.,.,.,.,.,24,.,.,.,1,93
CA13B,"Minor Treatment of Epistaxis, 18 years and under",1,1,.,.,2,.,.,.,.,.,.,.,4,.,.,.,.,8
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA16Z,"Excision or Biopsy, of Lesion of External Nose",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA22Z,Major Nose Procedures,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,3,5
CA23Z,Intermediate Nose Procedures,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA24A,"Minor Nose Procedures, 19 years and over",1,2,.,.,1,.,.,.,.,.,.,.,1,.,.,.,2,7
CA24B,"Minor Nose Procedures, 18 years and under",2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,9,12
CA25A,"Minimal Nose Procedures, 19 years and over",7,1,.,.,2,.,.,.,.,.,.,.,2,.,.,.,.,12
CA25B,"Minimal Nose Procedures, 18 years and under",6,5,.,.,10,.,.,.,.,.,.,.,6,.,.,.,.,27
CA28Z,Intermediate Sinus Procedures,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
CA29Z,Minor Sinus Procedures,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
CA31Z,"Simple or Cortical, Mastoid Procedures",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA32B,"Tympanoplasty, 18 years and under",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA36B,"Clearance of External Auditory Canal, 18 years and under",4,1,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,13
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA54A,"Minor Ear Procedures, 19 years and over",.,3,.,.,1,.,.,.,.,.,.,.,1,.,.,.,8,13
CA54B,"Minor Ear Procedures, 18 years and under",1,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,11,14
CA60A,"Tonsillectomy, 19 years and over",2,.,.,.,4,.,.,.,.,.,.,.,3,.,.,.,.,9
CA60B,"Tonsillectomy, 18 years and under",1,2,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,7
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA62Z,Adenoidectomy,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
CA63Z,Tracheostomy,.,.,2,.,.,.,.,.,.,.,.,.,3,.,.,.,.,5
CA65Z,Frenotomy or Frenectomy,5,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,8
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",3,5,.,.,3,.,.,.,.,.,1,.,2,.,.,.,.,14
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,1,3
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
CA81C,"Complex, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,1,.,.,5,.,.,.,.,.,.,.,1,.,.,.,1,8
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",6,2,.,.,9,.,.,.,.,.,.,.,5,.,.,.,1,23
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",18,14,.,.,22,.,.,.,.,.,.,.,12,.,.,.,2,68
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",8,7,.,.,4,.,.,.,.,.,.,.,4,.,.,.,3,26
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",5,2,.,.,1,.,.,.,1,.,1,.,3,.,.,.,15,28
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",21,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,60,83
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under",5,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,19,26
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4
CA95Z,Minor Maxillofacial Procedures,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA96Z,"Reduction or Fixation, of Jaw",41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,74
CA97Z,"Reduction or Fixation, of Cheekbone",13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,35
CA98Z,Reduction of Fracture of Nasal Bone,1,.,.,.,2,.,.,.,.,.,.,.,4,.,.,.,3,10
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,5
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",2,4,12,.,1,.,.,.,.,.,.,.,5,.,.,.,1,25
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,3
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",5,4,.,.,2,.,.,.,1,.,1,.,.,.,.,.,8,21
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",7,1,.,.,2,1,.,.,.,.,.,.,1,.,.,.,7,19
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",44,117,15,11,61,7,.,.,10,.,35,.,233,1,24,2,115,675
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",168,294,13,46,162,41,3,.,10,2,95,.,464,1,58,9,140,"1,506"
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",154,305,2,29,222,60,3,.,7,.,62,.,948,.,46,5,55,"1,898"
CD02A,"Intermediate Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
CD02B,"Intermediate Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CD03A,"Minor Dental Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
CD03B,"Minor Dental Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CD04A,"Major Surgical Removal of Tooth, 19 years and over",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,4
CD05A,"Surgical Removal of Tooth, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
CD05B,"Surgical Removal of Tooth, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
CD06A,"Extraction of Multiple Teeth, 19 years and over",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,4
CD06B,"Extraction of Multiple Teeth, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,5
CD07A,"Minor Extraction of Tooth, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ09K,"Pulmonary Embolus with Interventions, with CC Score 0-8",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
