Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,
30-Jun-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,0,1,1,0,0,,,--,--,--,--,--,2,
30-Jun-2007,Belfast,Psychotherapy,Mental Health,14,0,0,0,0,,,--,--,--,--,--,14,
30-Jun-2007,Northern,General Surgery,Acute Services,1204,841,439,27,0,,,--,--,--,--,--,"2,511",
30-Jun-2007,Northern,Urology,Acute Services,74,105,106,5,0,,,--,--,--,--,--,290,
30-Jun-2007,Northern,ENT,Acute Services,156,133,53,2,0,,,--,--,--,--,--,344,
30-Jun-2007,Northern,Oral Surgery,Acute Services,4,6,2,0,0,,,--,--,--,--,--,12,
30-Jun-2007,Northern,Pain Management,Acute Services,62,73,43,3,0,,,--,--,--,--,--,181,
30-Jun-2007,Northern,General Medicine,Acute Services,213,68,13,0,0,,,--,--,--,--,--,294,
30-Jun-2007,Northern,Gastroenterology,Acute Services,368,352,144,23,0,,,--,--,--,--,--,887,
30-Jun-2007,Northern,Cardiology,Acute Services,23,16,19,0,0,,,--,--,--,--,--,58,
30-Jun-2007,Northern,Dermatology,Acute Services,25,19,8,6,0,,,--,--,--,--,--,58,
30-Jun-2007,Northern,Gynaecology,Acute Services,312,278,267,56,0,,,--,--,--,--,--,913,
30-Jun-2007,Northern,GP Other,Acute Services,53,7,2,2,0,,,--,--,--,--,--,64,
30-Jun-2007,South Eastern,General Surgery,Acute Services,961,635,323,42,0,,,--,--,--,--,--,"1,961",
30-Jun-2007,South Eastern,Urology,Acute Services,72,47,22,3,0,,,--,--,--,--,--,144,
30-Jun-2007,South Eastern,T & O Surgery,Acute Services,17,3,0,0,0,,,--,--,--,--,--,20,
30-Jun-2007,South Eastern,ENT,Acute Services,107,83,48,1,0,,,--,--,--,--,--,239,
30-Jun-2007,South Eastern,Ophthalmology,Acute Services,82,86,93,6,0,,,--,--,--,--,--,267,
30-Jun-2007,South Eastern,Oral Surgery,Acute Services,41,31,9,1,0,,,--,--,--,--,--,82,
30-Jun-2007,South Eastern,Plastic Surgery,Acute Services,223,59,52,9,0,,,--,--,--,--,--,343,
30-Jun-2007,South Eastern,Paediatric Surgery,Acute Services,42,46,57,9,0,,,--,--,--,--,--,154,
30-Jun-2007,South Eastern,Pain Management,Acute Services,20,10,9,0,0,,,--,--,--,--,--,39,
30-Jun-2007,South Eastern,General Medicine,Acute Services,303,96,23,1,0,,,--,--,--,--,--,423,
30-Jun-2007,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
30-Jun-2007,South Eastern,Cardiology,Acute Services,35,19,11,2,0,,,--,--,--,--,--,67,
30-Jun-2007,South Eastern,Dermatology,Acute Services,66,66,23,3,0,,,--,--,--,--,--,158,
30-Jun-2007,South Eastern,Neurology,Acute Services,0,1,1,0,0,,,--,--,--,--,--,2,
30-Jun-2007,South Eastern,Paediatrics,Acute Services,15,1,0,0,0,,,--,--,--,--,--,16,
30-Jun-2007,South Eastern,Gynaecology,Acute Services,278,175,49,7,0,,,--,--,--,--,--,509,
30-Jun-2007,South Eastern,GP Other,Acute Services,18,5,0,0,0,,,--,--,--,--,--,23,
30-Jun-2007,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
30-Jun-2007,South Eastern,Geriatric Medicine,Elderly Care,58,1,0,0,0,,,--,--,--,--,--,59,
30-Jun-2007,Southern,General Surgery,Acute Services,762,480,351,25,0,,,--,--,--,--,--,"1,618",
30-Jun-2007,Southern,Urology,Acute Services,180,199,139,33,0,,,--,--,--,--,--,551,
30-Jun-2007,Southern,T & O Surgery,Acute Services,9,3,3,0,0,,,--,--,--,--,--,15,
30-Jun-2007,Southern,ENT,Acute Services,259,296,267,22,0,,,--,--,--,--,--,844,
30-Jun-2007,Southern,Ophthalmology,Acute Services,68,64,68,0,0,,,--,--,--,--,--,200,
30-Jun-2007,Southern,Oral Surgery,Acute Services,25,22,16,0,0,,,--,--,--,--,--,63,
30-Jun-2007,Southern,Paediatric Dentistry,Acute Services,16,3,2,0,0,,,--,--,--,--,--,21,
30-Jun-2007,Southern,Pain Management,Acute Services,21,20,22,0,0,,,--,--,--,--,--,63,
30-Jun-2007,Southern,General Medicine,Acute Services,36,23,0,0,0,,,--,--,--,--,--,59,
30-Jun-2007,Southern,Gastroenterology,Acute Services,177,161,125,0,0,,,--,--,--,--,--,463,
30-Jun-2007,Southern,Haematology (Clinical),Acute Services,22,7,1,0,0,,,--,--,--,--,--,30,
30-Jun-2007,Southern,Palliative Medicine,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
30-Jun-2007,Southern,Cardiology,Acute Services,144,150,143,47,0,,,--,--,--,--,--,484,
30-Jun-2007,Southern,Dermatology,Acute Services,25,11,19,2,0,,,--,--,--,--,--,57,
30-Jun-2007,Southern,Thoracic Medicine,Acute Services,16,1,0,0,0,,,--,--,--,--,--,17,
30-Jun-2007,Southern,Neurology,Acute Services,0,2,0,0,0,,,--,--,--,--,--,2,
30-Jun-2007,Southern,Rheumatology,Acute Services,156,137,107,0,0,,,--,--,--,--,--,400,
30-Jun-2007,Southern,Paediatrics,Acute Services,1,1,0,0,0,,,--,--,--,--,--,2,
30-Jun-2007,Southern,Gynaecology,Acute Services,329,227,132,4,0,,,--,--,--,--,--,692,
30-Jun-2007,Southern,GP Other,Acute Services,62,27,1,0,0,,,--,--,--,--,--,90,
30-Jun-2007,Southern,Clinical Oncology,Acute Services,12,0,0,0,0,,,--,--,--,--,--,12,
30-Jun-2007,Western,General Surgery,Acute Services,739,390,193,21,0,,,--,--,--,--,--,"1,343",
30-Jun-2007,Western,Urology,Acute Services,131,72,38,6,0,,,--,--,--,--,--,247,
30-Jun-2007,Western,T & O Surgery,Acute Services,205,205,253,63,0,,,--,--,--,--,--,726,
30-Jun-2007,Western,ENT,Acute Services,336,252,243,37,0,,,--,--,--,--,--,868,
30-Jun-2007,Western,Ophthalmology,Acute Services,244,196,167,35,0,,,--,--,--,--,--,642,
30-Jun-2007,Western,Oral Surgery,Acute Services,113,26,14,1,0,,,--,--,--,--,--,154,
30-Jun-2007,Western,Pain Management,Acute Services,34,30,30,17,0,,,--,--,--,--,--,111,
30-Jun-2007,Western,General Medicine,Acute Services,438,225,89,9,0,,,--,--,--,--,--,761,
30-Jun-2007,Western,Cardiology,Acute Services,20,9,3,0,0,,,--,--,--,--,--,32,
30-Jun-2007,Western,Paediatrics,Acute Services,3,0,1,0,0,,,--,--,--,--,--,4,
30-Jun-2007,Western,Gynaecology,Acute Services,266,222,128,24,0,,,--,--,--,--,--,640,
30-Jun-2007,Western,GP Other,Acute Services,56,14,3,0,0,,,--,--,--,--,--,73,
30-Sep-2007,Belfast,General Surgery,Acute Services,735,481,344,1,0,,,--,--,--,--,--,"1,561",
30-Sep-2007,Belfast,Urology,Acute Services,658,439,248,2,0,,,--,--,--,--,--,"1,347",
30-Sep-2007,Belfast,T & O Surgery,Acute Services,1094,1354,786,13,336,,,--,--,--,--,--,"3,583",
30-Sep-2007,Belfast,ENT,Acute Services,400,412,386,16,0,,,--,--,--,--,--,"1,214",
30-Sep-2007,Belfast,Ophthalmology,Acute Services,1051,1007,874,17,0,,,--,--,--,--,--,"2,949",
30-Sep-2007,Belfast,Oral Surgery,Acute Services,66,56,56,0,0,,,--,--,--,--,--,178,
30-Sep-2007,Belfast,Paediatric Dentistry,Acute Services,23,20,9,0,0,,,--,--,--,--,--,52,
30-Sep-2007,Belfast,Neurosurgery,Acute Services,71,34,4,0,0,,,--,--,--,--,--,109,
30-Sep-2007,Belfast,Plastic Surgery,Acute Services,77,68,85,0,0,,,--,--,--,--,--,230,
30-Sep-2007,Belfast,Cardiac Surgery,Acute Services,96,88,36,1,0,,,--,--,--,--,--,221,
30-Sep-2007,Belfast,Paediatric Surgery,Acute Services,113,90,91,0,0,,,--,--,--,--,--,294,
30-Sep-2007,Belfast,Thoracic Surgery,Acute Services,39,17,5,0,0,,,--,--,--,--,--,61,
30-Sep-2007,Belfast,Accident & Emergency,Acute Services,25,1,0,0,0,,,--,--,--,--,--,26,
30-Sep-2007,Belfast,Anaesthetics,Acute Services,14,16,1,0,0,,,--,--,--,--,--,31,
30-Sep-2007,Belfast,Pain Management,Acute Services,119,89,72,0,0,,,--,--,--,--,--,280,
30-Sep-2007,Belfast,General Medicine,Acute Services,209,101,36,0,0,,,--,--,--,--,--,346,
30-Sep-2007,Belfast,Gastroenterology,Acute Services,390,263,87,1,0,,,--,--,--,--,--,741,
30-Sep-2007,Belfast,Endocrinology,Acute Services,34,5,2,0,0,,,--,--,--,--,--,41,
30-Sep-2007,Belfast,Cardiology,Acute Services,306,194,103,0,0,,,--,--,--,--,--,603,
30-Sep-2007,Belfast,Dermatology,Acute Services,23,21,22,0,0,,,--,--,--,--,--,66,
30-Sep-2007,Belfast,Thoracic Medicine,Acute Services,25,12,9,0,0,,,--,--,--,--,--,46,
30-Sep-2007,Belfast,Nephrology,Acute Services,17,25,14,0,0,,,--,--,--,--,--,56,
30-Sep-2007,Belfast,Neurology,Acute Services,48,30,16,0,0,,,--,--,--,--,--,94,
30-Sep-2007,Belfast,Rheumatology,Acute Services,47,42,2,0,0,,,--,--,--,--,--,91,
30-Sep-2007,Belfast,Paediatrics,Acute Services,0,1,0,0,0,,,--,--,--,--,--,1,
30-Sep-2007,Belfast,Gynaecology,Acute Services,302,185,148,0,0,,,--,--,--,--,--,635,
30-Sep-2007,Belfast,Radiology,Acute Services,2,1,0,0,0,,,--,--,--,--,--,3,
30-Sep-2007,Belfast,Mental Illness,Mental Health,4,1,0,0,0,,,--,--,--,--,--,5,
30-Sep-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,3,0,1,0,0,,,--,--,--,--,--,4,
30-Sep-2007,Belfast,Psychotherapy,Mental Health,7,0,0,0,0,,,--,--,--,--,--,7,
30-Sep-2007,Northern,General Surgery,Acute Services,1076,922,381,0,0,,,--,--,--,--,--,"2,379",
30-Sep-2007,Northern,Urology,Acute Services,131,30,14,0,0,,,--,--,--,--,--,175,
30-Sep-2007,Northern,ENT,Acute Services,214,101,21,0,0,,,--,--,--,--,--,336,
30-Sep-2007,Northern,Oral Surgery,Acute Services,0,4,2,0,0,,,--,--,--,--,--,6,
30-Sep-2007,Northern,Pain Management,Acute Services,94,63,31,0,0,,,--,--,--,--,--,188,
30-Sep-2007,Northern,General Medicine,Acute Services,159,46,44,0,0,,,--,--,--,--,--,249,
30-Sep-2007,Northern,Gastroenterology,Acute Services,376,329,122,0,0,,,--,--,--,--,--,827,
30-Sep-2007,Northern,Cardiology,Acute Services,12,16,7,0,0,,,--,--,--,--,--,35,
30-Sep-2007,Northern,Dermatology,Acute Services,19,18,7,0,0,,,--,--,--,--,--,44,
30-Sep-2007,Northern,Gynaecology,Acute Services,290,285,139,0,0,,,--,--,--,--,--,714,
30-Sep-2007,Northern,GP Other,Acute Services,84,16,2,0,0,,,--,--,--,--,--,102,
30-Sep-2007,South Eastern,General Surgery,Acute Services,890,575,442,0,0,,,--,--,--,--,--,"1,907",
30-Sep-2007,South Eastern,Urology,Acute Services,64,41,15,0,0,,,--,--,--,--,--,120,
30-Sep-2007,South Eastern,T & O Surgery,Acute Services,13,1,1,0,0,,,--,--,--,--,--,15,
30-Sep-2007,South Eastern,ENT,Acute Services,99,98,55,0,0,,,--,--,--,--,--,252,
30-Sep-2007,South Eastern,Ophthalmology,Acute Services,70,94,44,0,0,,,--,--,--,--,--,208,
30-Sep-2007,South Eastern,Oral Surgery,Acute Services,20,50,16,0,0,,,--,--,--,--,--,86,
30-Sep-2007,South Eastern,Restorative Dentistry,Acute Services,0,1,0,0,0,,,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Paediatric Dentistry,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Plastic Surgery,Acute Services,177,91,62,0,0,,,--,--,--,--,--,330,
30-Sep-2007,South Eastern,Paediatric Surgery,Acute Services,42,48,37,0,0,,,--,--,--,--,--,127,
30-Sep-2007,South Eastern,Pain Management,Acute Services,19,18,1,0,0,,,--,--,--,--,--,38,
30-Sep-2007,South Eastern,General Medicine,Acute Services,245,106,51,0,0,,,--,--,--,--,--,402,
30-Sep-2007,South Eastern,Haematology (Clinical),Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
30-Sep-2007,South Eastern,Cardiology,Acute Services,32,21,7,0,0,,,--,--,--,--,--,60,
30-Sep-2007,South Eastern,Dermatology,Acute Services,70,71,16,0,0,,,--,--,--,--,--,157,
30-Sep-2007,South Eastern,Paediatrics,Acute Services,17,0,0,0,0,,,--,--,--,--,--,17,
30-Sep-2007,South Eastern,Gynaecology,Acute Services,225,187,57,0,0,,,--,--,--,--,--,469,
30-Sep-2007,South Eastern,GP Other,Acute Services,14,0,0,0,0,,,--,--,--,--,--,14,
30-Sep-2007,South Eastern,Clinical Oncology,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,
30-Sep-2007,South Eastern,Geriatric Medicine,Elderly Care,33,0,0,0,0,,,--,--,--,--,--,33,
30-Sep-2007,Southern,General Surgery,Acute Services,840,588,499,0,0,,,--,--,--,--,--,"1,927",
30-Sep-2007,Southern,Urology,Acute Services,222,181,136,0,1,,,--,--,--,--,--,540,
30-Sep-2007,Southern,T & O Surgery,Acute Services,4,11,3,0,0,,,--,--,--,--,--,18,
30-Sep-2007,Southern,ENT,Acute Services,228,196,245,0,0,,,--,--,--,--,--,669,
30-Sep-2007,Southern,Ophthalmology,Acute Services,36,54,55,0,0,,,--,--,--,--,--,145,
30-Sep-2007,Southern,Oral Surgery,Acute Services,24,18,14,0,0,,,--,--,--,--,--,56,
30-Sep-2007,Southern,Paediatric Dentistry,Acute Services,10,16,1,0,0,,,--,--,--,--,--,27,
30-Sep-2007,Southern,Pain Management,Acute Services,21,26,29,0,0,,,--,--,--,--,--,76,
30-Sep-2007,Southern,General Medicine,Acute Services,41,19,0,0,0,,,--,--,--,--,--,60,
30-Sep-2007,Southern,Gastroenterology,Acute Services,196,153,44,0,0,,,--,--,--,--,--,393,
30-Sep-2007,Southern,Haematology (Clinical),Acute Services,36,1,0,0,0,,,--,--,--,--,--,37,
30-Sep-2007,Southern,Palliative Medicine,Acute Services,2,1,0,0,0,,,--,--,--,--,--,3,
30-Sep-2007,Southern,Cardiology,Acute Services,194,131,110,0,0,,,--,--,--,--,--,435,
30-Sep-2007,Southern,Dermatology,Acute Services,34,15,17,0,0,,,--,--,--,--,--,66,
30-Sep-2007,Southern,Thoracic Medicine,Acute Services,12,1,0,0,0,,,--,--,--,--,--,13,
30-Sep-2007,Southern,Rheumatology,Acute Services,124,137,103,0,0,,,--,--,--,--,--,364,
30-Sep-2007,Southern,Paediatrics,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
30-Sep-2007,Southern,Gynaecology,Acute Services,277,241,176,0,0,,,--,--,--,--,--,694,
30-Sep-2007,Southern,GP Other,Acute Services,61,4,0,0,0,,,--,--,--,--,--,65,
30-Sep-2007,Southern,Clinical Oncology,Acute Services,15,2,0,0,0,,,--,--,--,--,--,17,
30-Sep-2007,Western,General Surgery,Acute Services,770,399,210,1,0,,,--,--,--,--,--,"1,380",
30-Sep-2007,Western,Urology,Acute Services,166,68,56,0,0,,,--,--,--,--,--,290,
30-Sep-2007,Western,T & O Surgery,Acute Services,271,210,168,3,0,,,--,--,--,--,--,652,
30-Sep-2007,Western,ENT,Acute Services,220,185,190,5,0,,,--,--,--,--,--,600,
30-Sep-2007,Western,Ophthalmology,Acute Services,325,226,210,0,0,,,--,--,--,--,--,761,
30-Sep-2007,Western,Oral Surgery,Acute Services,96,30,14,0,0,,,--,--,--,--,--,140,
30-Sep-2007,Western,Pain Management,Acute Services,53,15,29,0,0,,,--,--,--,--,--,97,
30-Sep-2007,Western,General Medicine,Acute Services,495,308,129,0,0,,,--,--,--,--,--,932,
30-Sep-2007,Western,Cardiology,Acute Services,26,4,1,0,0,,,--,--,--,--,--,31,
30-Sep-2007,Western,Paediatrics,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,
30-Sep-2007,Western,Gynaecology,Acute Services,263,214,115,0,0,,,--,--,--,--,--,592,
30-Sep-2007,Western,GP Other,Acute Services,44,3,3,0,0,,,--,--,--,--,--,50,
31-Dec-2007,Belfast,General Surgery,Acute Services,840,625,253,0,0,,,--,--,--,--,--,"1,718",
31-Dec-2007,Belfast,Urology,Acute Services,668,488,245,27,15,,,--,--,--,--,--,"1,443",
31-Dec-2007,Belfast,T & O Surgery,Acute Services,1151,1353,990,53,358,,,--,--,--,--,--,"3,905",
31-Dec-2007,Belfast,ENT,Acute Services,444,517,242,0,0,,,--,--,--,--,--,"1,203",
31-Dec-2007,Belfast,Ophthalmology,Acute Services,1129,1251,560,0,0,,,--,--,--,--,--,"2,940",
31-Dec-2007,Belfast,Oral Surgery,Acute Services,64,113,48,0,0,,,--,--,--,--,--,225,
31-Dec-2007,Belfast,Paediatric Dentistry,Acute Services,57,19,6,0,0,,,--,--,--,--,--,82,
31-Dec-2007,Belfast,Neurosurgery,Acute Services,51,67,8,0,0,,,--,--,--,--,--,126,
31-Dec-2007,Belfast,Plastic Surgery,Acute Services,116,102,46,0,0,,,--,--,--,--,--,264,
31-Dec-2007,Belfast,Cardiac Surgery,Acute Services,96,152,64,0,0,,,--,--,--,--,--,312,
31-Dec-2007,Belfast,Paediatric Surgery,Acute Services,128,134,61,0,0,,,--,--,--,--,--,323,
31-Dec-2007,Belfast,Thoracic Surgery,Acute Services,67,23,9,0,0,,,--,--,--,--,--,99,
31-Dec-2007,Belfast,Accident & Emergency,Acute Services,7,12,0,0,0,,,--,--,--,--,--,19,
31-Dec-2007,Belfast,Anaesthetics,Acute Services,17,19,2,0,0,,,--,--,--,--,--,38,
31-Dec-2007,Belfast,Pain Management,Acute Services,140,115,70,0,0,,,--,--,--,--,--,325,
31-Dec-2007,Belfast,General Medicine,Acute Services,330,132,8,0,0,,,--,--,--,--,--,470,
31-Dec-2007,Belfast,Gastroenterology,Acute Services,406,381,143,0,0,,,--,--,--,--,--,930,
31-Dec-2007,Belfast,Endocrinology,Acute Services,21,8,0,0,0,,,--,--,--,--,--,29,
31-Dec-2007,Belfast,Cardiology,Acute Services,281,190,74,0,0,,,--,--,--,--,--,545,
31-Dec-2007,Belfast,Dermatology,Acute Services,37,34,22,0,0,,,--,--,--,--,--,93,
31-Dec-2007,Belfast,Thoracic Medicine,Acute Services,15,25,5,0,0,,,--,--,--,--,--,45,
31-Dec-2007,Belfast,Nephrology,Acute Services,24,28,2,0,0,,,--,--,--,--,--,54,
31-Dec-2007,Belfast,Neurology,Acute Services,66,31,30,0,0,,,--,--,--,--,--,127,
31-Dec-2007,Belfast,Rheumatology,Acute Services,25,21,2,0,0,,,--,--,--,--,--,48,
31-Dec-2007,Belfast,Gynaecology,Acute Services,360,221,109,0,0,,,--,--,--,--,--,690,
31-Dec-2007,Belfast,Radiology,Acute Services,3,0,0,0,0,,,--,--,--,--,--,3,
31-Dec-2007,Belfast,Mental Illness,Mental Health,6,2,0,0,0,,,--,--,--,--,--,8,
31-Dec-2007,Belfast,Child & Adolescent Psychiatry,Mental Health,2,4,0,0,0,,,--,--,--,--,--,6,
31-Dec-2007,Belfast,Psychotherapy,Mental Health,16,2,0,0,0,,,--,--,--,--,--,18,
31-Dec-2007,Northern,General Surgery,Acute Services,1053,896,374,0,0,,,--,--,--,--,--,"2,323",
31-Dec-2007,Northern,Urology,Acute Services,127,47,7,0,0,,,--,--,--,--,--,181,
31-Dec-2007,Northern,ENT,Acute Services,165,194,62,0,0,,,--,--,--,--,--,421,
31-Dec-2007,Northern,Oral Surgery,Acute Services,1,5,3,0,0,,,--,--,--,--,--,9,
31-Dec-2007,Northern,Pain Management,Acute Services,83,128,54,0,0,,,--,--,--,--,--,265,
31-Dec-2007,Northern,General Medicine,Acute Services,170,83,11,0,0,,,--,--,--,--,--,264,
31-Dec-2007,Northern,Gastroenterology,Acute Services,409,344,154,0,0,,,--,--,--,--,--,907,
31-Dec-2007,Northern,Cardiology,Acute Services,10,15,1,0,0,,,--,--,--,--,--,26,
31-Dec-2007,Northern,Dermatology,Acute Services,28,26,42,0,0,,,--,--,--,--,--,96,
31-Dec-2007,Northern,Gynaecology,Acute Services,368,311,116,0,0,,,--,--,--,--,--,795,
31-Dec-2007,Northern,GP Other,Acute Services,77,12,1,0,0,,,--,--,--,--,--,90,
31-Dec-2007,South Eastern,General Surgery,Acute Services,919,690,191,0,0,,,--,--,--,--,--,"1,800",
31-Dec-2007,South Eastern,Urology,Acute Services,28,34,2,0,0,,,--,--,--,--,--,64,
31-Dec-2007,South Eastern,T & O Surgery,Acute Services,17,2,0,0,0,,,--,--,--,--,--,19,
31-Dec-2007,South Eastern,ENT,Acute Services,85,83,51,0,0,,,--,--,--,--,--,219,
31-Dec-2007,South Eastern,Ophthalmology,Acute Services,91,122,31,0,0,,,--,--,--,--,--,244,
31-Dec-2007,South Eastern,Oral Surgery,Acute Services,45,42,2,0,0,,,--,--,--,--,--,89,
31-Dec-2007,South Eastern,Neurosurgery,Acute Services,1,3,0,0,0,,,--,--,--,--,--,4,
31-Dec-2007,South Eastern,Plastic Surgery,Acute Services,203,277,88,0,0,,,--,--,--,--,--,568,
31-Dec-2007,South Eastern,Paediatric Surgery,Acute Services,58,46,1,0,0,,,--,--,--,--,--,105,
31-Dec-2007,South Eastern,Pain Management,Acute Services,9,23,5,0,0,,,--,--,--,--,--,37,
31-Dec-2007,South Eastern,General Medicine,Acute Services,360,302,41,0,0,,,--,--,--,--,--,703,
31-Dec-2007,South Eastern,Haematology (Clinical),Acute Services,13,0,0,0,0,,,--,--,--,--,--,13,
31-Dec-2007,South Eastern,Cardiology,Acute Services,42,9,1,0,0,,,--,--,--,--,--,52,
31-Dec-2007,South Eastern,Dermatology,Acute Services,43,65,24,0,0,,,--,--,--,--,--,132,
31-Dec-2007,South Eastern,Paediatrics,Acute Services,36,3,0,0,0,,,--,--,--,--,--,39,
31-Dec-2007,South Eastern,Gynaecology,Acute Services,298,207,49,0,0,,,--,--,--,--,--,554,
31-Dec-2007,South Eastern,GP Other,Acute Services,27,0,0,0,0,,,--,--,--,--,--,27,
31-Dec-2007,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,0,,,--,--,--,--,--,5,
31-Dec-2007,South Eastern,Geriatric Medicine,Elderly Care,39,0,1,0,0,,,--,--,--,--,--,40,
31-Dec-2007,Southern,General Surgery,Acute Services,667,820,507,1,0,,,--,--,--,--,--,"1,995",
31-Dec-2007,Southern,Urology,Acute Services,243,263,137,0,0,,,--,--,--,--,--,643,
31-Dec-2007,Southern,T & O Surgery,Acute Services,8,10,5,0,0,,,--,--,--,--,--,23,
31-Dec-2007,Southern,ENT,Acute Services,281,329,207,0,0,,,--,--,--,--,--,817,
31-Dec-2007,Southern,Ophthalmology,Acute Services,54,62,13,0,0,,,--,--,--,--,--,129,
31-Dec-2007,Southern,Oral Surgery,Acute Services,13,22,18,0,0,,,--,--,--,--,--,53,
31-Dec-2007,Southern,Paediatric Dentistry,Acute Services,9,3,0,0,0,,,--,--,--,--,--,12,
31-Dec-2007,Southern,Pain Management,Acute Services,31,51,32,0,0,,,--,--,--,--,--,114,
31-Dec-2007,Southern,General Medicine,Acute Services,39,46,2,0,0,,,--,--,--,--,--,87,
31-Dec-2007,Southern,Gastroenterology,Acute Services,189,171,50,0,0,,,--,--,--,--,--,410,
31-Dec-2007,Southern,Haematology (Clinical),Acute Services,39,2,0,0,0,,,--,--,--,--,--,41,
31-Dec-2007,Southern,Palliative Medicine,Acute Services,2,0,1,0,0,,,--,--,--,--,--,3,
31-Dec-2007,Southern,Cardiology,Acute Services,196,121,123,0,0,,,--,--,--,--,--,440,
31-Dec-2007,Southern,Dermatology,Acute Services,21,30,20,0,0,,,--,--,--,--,--,71,
31-Dec-2007,Southern,Thoracic Medicine,Acute Services,9,2,0,0,0,,,--,--,--,--,--,11,
31-Dec-2007,Southern,Rheumatology,Acute Services,124,172,123,0,0,,,--,--,--,--,--,419,
