HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",31,11,6,6,20,9,.,.,6,2,6,33,3,10,.,25,168
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",70,42,7,14,47,11,5,.,8,2,11,120,2,6,.,51,396
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",1,.,.,.,1,1,.,.,5,6,.,2,8,.,.,.,24
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",4,4,13,5,10,4,1,.,2,14,2,4,6,6,.,15,90
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",13,12,4,10,27,7,1,.,4,20,.,47,11,10,.,38,204
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",58,60,19,26,78,30,8,.,14,15,8,93,7,32,.,78,526
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",105,104,19,41,127,45,21,.,20,6,25,193,2,38,.,97,843
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",100,124,26,41,91,39,8,2,6,.,40,205,1,33,.,73,789
AA27Z,Medical Care of Patients with Alzheimer's Disease,14,3,9,3,4,.,8,.,9,2,1,4,.,.,.,14,71
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,3,.,.,.,.,.,.,.,.,1,.,.,2,6
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,6,9
AA28E,Motor Neuron Disease with CC Score 2-4,1,4,.,1,.,1,.,.,.,.,.,6,.,.,.,1,14
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,2,.,.,.,.,1,.,.,14,.,1,.,6,24
AA29D,Transient Ischaemic Attack with CC Score 8-10,7,9,.,18,4,.,4,.,3,2,3,22,1,6,.,15,94
AA29E,Transient Ischaemic Attack with CC Score 5-7,28,32,.,19,16,10,8,.,6,.,10,35,.,12,.,29,205
AA29F,Transient Ischaemic Attack with CC Score 0-4,39,49,1,21,33,20,6,.,4,.,23,46,.,20,.,25,287
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,1,.,.,2,.,.,1,4
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,6,9
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",3,2,.,.,5,1,1,.,.,.,1,9,1,3,.,9,35
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",12,2,.,.,4,1,1,.,.,.,1,30,.,5,.,4,60
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",3,.,1,.,.,.,.,.,.,.,.,3,.,1,.,2,10
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",4,4,.,2,2,5,1,.,3,1,1,14,.,3,.,5,45
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",123,113,10,42,100,35,30,.,17,.,37,237,1,52,.,135,932
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,1,12,.,.,.,.,13
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,5,.,.,.,.,.,.,4,.,.,.,.,9
AA35A,Stroke with CC Score 16+,.,.,.,2,1,1,3,.,16,14,2,6,5,3,.,25,78
AA35B,Stroke with CC Score 13-15,2,7,1,6,5,7,4,.,11,9,3,22,8,11,.,21,117
AA35C,Stroke with CC Score 10-12,17,27,5,17,17,23,12,.,18,20,6,56,10,26,.,65,319
AA35D,Stroke with CC Score 7-9,31,57,4,57,74,35,16,.,31,30,15,141,20,44,.,132,687
AA35E,Stroke with CC Score 4-6,114,165,10,72,124,80,21,.,29,20,24,206,8,60,.,169,"1,102"
AA35F,Stroke with CC Score 0-3,96,128,15,30,108,80,10,.,7,3,44,156,2,40,.,99,818
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA39Z,Long Term EEG Monitoring,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,18,.,.,.,.,.,.,6,.,.,.,.,24
AA41Z,Sleep Studies,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA42Z,Complex Sleep Studies,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AB03Z,Complex Pain Procedures,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB04Z,Major Pain Procedures,.,2,.,.,.,1,.,2,.,.,.,1,.,.,.,1,7
AB05Z,Intermediate Pain Procedures,2,.,1,1,1,.,.,.,.,1,.,2,.,1,.,.,9
AB06Z,Minor Pain Procedures,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AB11Z,Cognitive Behavioural Therapy,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ04B,Lens Capsulotomy with CC Score 0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,3
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",2,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,5
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,3,5
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,13,16
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",2,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,15
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,12
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ19B,Minor Glaucoma Procedures with CC Score 0,4,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,6
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,15
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,1,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,29
BZ24D,Non-Surgical Ophthalmology with Interventions,7,3,.,.,2,.,.,.,2,.,.,31,.,.,.,.,45
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,.,.,.,1,2,1,.,.,.,.,2,1,.,.,.,7
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",9,7,.,.,9,8,1,.,1,2,5,17,.,3,.,10,72
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",30,10,3,1,7,4,3,1,3,.,7,86,1,5,.,9,170
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA03A,Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
CA03B,Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA04A,"Intermediate Neck Procedures, 19 years and over",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA11A,"Septoplasty, 19 years and over",2,.,.,.,2,.,.,.,.,.,.,1,.,.,.,.,5
CA12Z,Major Treatment of Epistaxis,4,6,.,.,5,.,.,.,.,.,.,1,.,.,.,.,16
CA13A,"Minor Treatment of Epistaxis, 19 years and over",20,15,.,.,21,1,.,.,.,.,.,10,.,.,.,1,68
CA13B,"Minor Treatment of Epistaxis, 18 years and under",1,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,3
CA21Z,Very Major Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA22Z,Major Nose Procedures,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA23Z,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
CA28Z,Intermediate Sinus Procedures,.,11,.,.,1,.,.,.,.,.,.,2,.,.,.,.,14
CA29Z,Minor Sinus Procedures,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,2
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA31Z,"Simple or Cortical, Mastoid Procedures",.,1,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
CA33Z,Pinnaplasty,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA52A,"Major Ear Procedures, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,3
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
CA60A,"Tonsillectomy, 19 years and over",.,1,.,.,1,.,.,.,.,.,.,3,.,.,.,.,5
CA60B,"Tonsillectomy, 18 years and under",.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,3
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA63Z,Tracheostomy,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,2,4
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,3
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1,1,.,.,.,.,.,.,.,.,.,3,.,.,.,.,5
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA82D,"Very Major, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2,4,.,.,3,.,.,.,.,.,.,1,.,.,.,1,11
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",3,1,.,.,4,.,.,.,.,.,.,3,.,.,.,1,12
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2,3
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",2,2,.,.,1,.,.,.,.,.,.,.,.,.,.,2,7
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,12
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
CA94Z,Intermediate Maxillofacial Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5
CA96Z,"Reduction or Fixation, of Jaw",16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,100
CA97Z,"Reduction or Fixation, of Cheekbone",13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,64
CB01A,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 9+",1,.,.,.,1,.,.,.,.,.,.,3,1,.,.,.,6
CB01B,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5-8",.,.,5,.,1,.,.,.,.,.,.,1,.,.,.,.,7
CB01C,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0-4",3,2,11,.,1,.,.,.,.,.,.,5,.,.,.,1,23
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",1,2,2,.,.,.,.,.,.,.,1,6,.,.,.,2,14
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",2,1,19,.,1,.,.,.,.,.,1,2,1,.,.,.,27
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",7,1,82,.,4,.,.,.,.,.,.,8,.,.,.,3,105
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",10,7,.,.,11,.,.,.,2,.,.,3,.,2,.,9,44
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",23,21,2,.,35,6,1,.,.,.,.,7,.,3,.,49,147
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0",47,31,.,2,59,2,.,.,.,.,1,41,.,.,.,53,236
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",35,52,23,10,43,14,5,.,12,3,7,29,2,22,.,86,343
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",80,76,14,30,57,27,9,.,10,1,11,65,.,24,.,71,475
CB02F,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0",71,54,2,4,76,10,2,.,6,.,11,162,1,9,.,23,431
CD04A,"Major Surgical Removal of Tooth, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,5
DZ02H,"Complex Thoracic Procedures, 19 years and over, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
DZ02J,"Complex Thoracic Procedures, 19 years and over, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
DZ02K,"Complex Thoracic Procedures, 19 years and over, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,18
