HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total Cost
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,780,.,.,.,.,780
AA22F,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,963",.,.,.,.,"1,963"
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,675","4,009",.,.,"1,880",872,.,.,740,.,.,.,"9,529",.,514,.,"1,457","21,675"
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",580,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,580
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"2,554",.,.,.,.,"2,554"
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",357,"1,034",.,.,376,.,.,.,.,.,.,.,"10,224",.,.,.,.,"11,991"
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,.,.,549,439,.,.,.,.,.,.,.,997,.,.,.,.,"2,432"
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,591,.,.,.,.,591
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA22G,180,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,735,.,.,"4,002",.,.,.,.,.,.,.,.,.,.,.,.,"4,736"
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","12,039","8,018",.,936,"5,639",581,.,.,.,.,"1,032",.,"18,046",.,"1,028",.,"9,470","56,788"
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,747,.,.,349,.,.,.,.,.,.,.,.,.,.,.,.,"1,096"
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,330,.,.,.,.,.,.,330
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","1,160",.,.,.,429,.,.,.,.,.,.,.,.,.,.,.,.,"1,590"
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"1,757",.,.,.,.,.,.,.,.,"1,312",.,.,.,.,.,.,"3,069"
AA22G,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,546
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,"1,723","1,031",.,"1,881",.,.,.,.,.,.,.,"9,130",.,.,.,.,"13,765"
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,581,.,.,.,.,.,.,366,.,.,.,.,947
AA23C,361,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,422,874
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,535,.,.,.,.,535
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"1,203",.,.,"1,504",.,.,.,929,.,.,.,732,.,.,.,"1,093","5,459"
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,345,.,.,.,.,.,.,.,.,.,.,.,.,.,.,307,651
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,390,.,.,.,.,390
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,892,"2,004",.,.,"1,128",581,.,.,370,.,344,.,"1,464",.,"1,028",.,728,"8,539"
AA23E,340,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,"1,378",.,.,752,.,.,.,.,.,.,.,538,.,656,.,307,"3,632"
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,549,.,.,.,.,.,.,.,.,451,.,.,.,.,"1,000"
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"6,770",.,.,.,.,"6,770"
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,675","3,207",.,468,752,872,.,.,740,.,.,.,"3,691",.,.,.,"3,278","15,682"
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA23F,303,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,399
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA23F,361,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"1,251",.,.,.,.,"1,251"
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,357,"1,378",.,.,.,.,.,.,.,.,.,.,"1,069",.,656,.,.,"3,461"
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,439,.,.,.,.,.,.,.,390,.,.,.,.,829
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"3,385",.,.,.,.,"3,385"
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"2,675","2,004",.,"1,404","1,880","1,162",.,.,.,.,344,.,"3,660",.,.,.,"2,550","15,679"
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,474,.,.,.,.,.,.,.,.,.,.,.,.,.,474
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,703,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,703
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,714,"1,034","1,031",.,.,818,.,.,.,.,340,.,"1,604",.,.,.,.,"5,541"
AA23G,502,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,"1,098",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,098"
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"1,203",.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,"1,567"
AA24D,180,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,"2,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,457","3,862"
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,345,"1,031",.,.,.,.,.,.,.,.,.,"1,076",.,.,.,.,"2,451"
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","1,338","2,405",.,.,376,.,.,.,.,.,.,.,"2,373",.,"1,028",.,"1,093","8,613"
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,"1,054",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,054"
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,345,.,.,.,.,.,.,.,.,340,.,.,.,.,.,.,685
AA24F,180,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,000"
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",892,401,.,.,"2,255",291,.,.,.,.,690,.,"5,564",.,"1,028",.,"8,741","19,862"
AA24F,340,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,"1,703",.,.,.,.,"1,703"
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,307,683
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"1,782",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,782"
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,129",.,.,.,.,"1,129"
AA24G,180,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,367,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,367
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","1,784","3,207",.,936,752,291,.,.,370,.,344,.,"10,699",.,"2,056",.,"6,192","26,630"
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,328,.,509,.,.,.,.,836
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,689,"1,562",.,.,.,.,.,.,.,340,.,535,.,.,.,.,"3,126"
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"1,188",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,188"
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,605,.,.,.,.,605
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,289",.,.,.,.,"2,289"
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,"2,001",.,.,.,.,.,.,.,.,.,.,.,.,"2,001"
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","3,567","2,405",.,.,"1,880",.,.,.,370,.,"1,402",.,"18,243",.,"1,542",.,"6,556","35,965"
AA24H,301,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,474,.,.,.,.,474
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,345,.,.,752,.,.,.,.,.,.,.,.,.,.,.,.,"1,097"
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",446,401,.,.,.,.,.,.,370,.,.,.,"2,252",.,.,.,.,"3,468"
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,"1,082",.,.,.,.,"1,082"
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","1,784",401,.,.,"3,007",.,.,.,.,.,.,.,"1,103",.,514,.,"2,185","8,994"
AA25D,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,471,.,.,.,.,.,.,471
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,351,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351
AA25D,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,"1,728",.,.,.,.,"1,728"
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",357,"1,034",.,.,.,.,.,.,.,.,.,.,"1,604",.,.,.,307,"3,301"
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","8,026","4,009",429,.,"4,511",.,.,.,740,.,697,.,"12,955",.,"3,598",.,"5,463","40,427"
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,"1,020",.,.,.,.,.,.,"1,020"
AA25E,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,392,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,392
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,351,.,.,.,.,.,.,.,.,327,.,.,.,.,.,.,678
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,452,.,.,.,.,.,.,.,.,.,.,.,452
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",714,"1,034",515,.,752,.,.,.,.,.,.,.,"6,000",.,.,.,920,"9,936"
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,631,.,.,.,.,631
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","16,944","7,216",.,"2,340","11,653","1,162","1,545",.,"2,959",.,"2,088",.,"28,715",.,"2,056",.,"13,840","90,518"
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,661,.,476,.,.,.,.,"1,136"
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",580,392,.,.,.,.,.,.,.,.,.,.,613,.,.,.,457,"2,043"
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,703,445,.,.,.,.,.,.,.,691,.,.,.,.,.,.,"1,839"
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,093",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,093"
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,703",.,.,.,.,"1,703"
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",714,"4,135",515,.,752,818,.,.,.,378,343,.,"9,719",440,656,.,"3,988","22,459"
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",893,.,.,.,.,.,.,.,.,.,.,.,780,.,.,.,.,"1,673"
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,664,.,.,.,.,664
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",577,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,577
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"3,634",.,.,.,.,"3,634"
AA25G,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"1,836",.,.,"3,001",.,.,.,.,.,.,.,599,.,.,.,.,"5,437"
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","36,563","28,063","1,341","3,276","13,157","2,324","1,030",.,"1,849",.,"7,556",.,"66,524",.,"9,253",.,"36,422","207,358"
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,747
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,"1,780",.,.,.,.,.,.,"1,780"
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",564,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,564
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",580,.,586,.,.,"1,116",.,.,721,.,471,.,653,.,.,498,457,"5,082"
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,"4,216",909,.,.,.,.,.,.,.,988,.,.,.,.,.,.,"6,114"
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,682,.,.,452,.,.,.,.,.,.,.,.,.,.,.,"1,134"
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,279",.,.,.,.,"5,279"
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,786","8,270",618,.,"4,891",818,.,.,.,.,"1,374",.,"26,209",.,.,.,"11,965","55,931"
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",593,.,.,"1,225",.,.,.,.,.,.,.,.,.,.,.,.,"1,459","3,276"
AA26C,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,408,.,.,.,.,.,.,.,.,.,.,.,.,408
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,401,857,.,752,291,.,.,.,.,.,.,"3,734",.,.,.,364,"6,399"
AA26C,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,445,.,.,.,.,.,.,.,.,.,.,.,.,.,.,445
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,"4,774",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,774"
AA26C,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,.,.,.,.,851,.,.,.,.,851
AA26C,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,333,.,.,.,.,.,.,.,.,333
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",892,802,"1,293",.,"3,759",291,.,.,.,.,344,.,"7,844",.,.,.,"2,550","17,774"
AA26D,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,721,.,.,.,.,.,.,.,.,721
AA26D,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,.,"3,412",.,.,.,.,"3,412"
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,"1,124",.,376,.,.,.,.,.,.,.,"3,271",.,.,.,307,"5,077"
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,312",.,.,"1,758"
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,"1,128",.,.,.,.,"1,128"
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","3,121","4,410",.,.,"6,390",872,515,.,740,.,"1,135",.,"22,701",.,"2,570",.,"14,205","56,659"
AA26E,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,373,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,373
AA26E,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,661,.,.,.,.,.,.,661
AA26E,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,392,619,.,.,.,.,.,.,.,.,.,.,.,.,.,457,"1,468"
AA26E,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,"1,405",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,405"
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",357,"2,067","2,072",.,"1,505",.,.,.,.,.,.,.,.,.,656,.,"1,227","7,885"
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","2,678","1,333",.,549,"2,634",389,.,.,.,.,.,.,"1,170",.,.,.,886,"9,638"
AA26F,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","1,005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,005"
AA26F,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,591,.,.,.,.,591
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"7,975",.,.,.,.,"7,975"
AA26F,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,"1,000",.,.,.,.,.,.,.,280,.,.,.,.,"1,281"
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","19,619","25,882","1,721","3,276","17,291","5,521",515,.,"3,698",.,"6,976",.,"90,561",.,"13,365",.,"30,230","218,655"
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,"1,493",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,493"
AA26F,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,"1,096",.,474,.,.,.,.,"1,570"
AA26F,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","2,321","2,745",.,.,859,.,.,.,.,.,471,.,.,.,"2,425","2,988",457,"12,267"
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,"2,459",.,.,.,.,.,.,.,.,653,.,453,.,.,.,.,"3,565"
AA26F,350,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"1,132",.,.,.,.,"1,132"
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",546,.,.,.,.,904,.,.,.,.,.,.,.,.,.,.,.,"1,450"
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"2,714",.,.,.,.,"2,714"
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",357,"3,446","2,815",.,"2,634",409,.,.,.,.,"1,409",.,"24,963",440,"1,969",.,"2,761","41,203"
AA26F,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,"1,189",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,189"
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","2,874","2,666",.,.,"2,634",389,.,.,.,.,.,.,"5,123",.,"1,968",.,886,"16,540"
AA26G,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,525
