HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA27Z,Medical Care of Patients with Alzheimer's Disease,"6,327","1,605","6,942","2,268","3,384",.,"4,022",.,"6,194","8,811","3,054","3,751",.,.,.,"3,114","4,837"
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,"4,838",.,.,.,.,.,.,.,.,"8,550",.,.,"10,314","7,282"
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,"2,688",.,.,.,.,.,.,.,.,"4,861",.,.,.,"3,118","3,457"
AA28E,Motor Neuron Disease with CC Score 2-4,"12,155","6,067",.,"8,751",.,"1,428",.,.,.,.,.,"6,676",.,.,.,"10,637","6,950"
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"8,416",.,.,.,.,"8,416"
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,"7,711",.,.,.,.,732,.,.,"2,423",.,"4,506",.,"2,643","2,935"
AA29D,Transient Ischaemic Attack with CC Score 8-10,"1,996","2,162",.,"2,621","1,631",.,"1,846",.,"1,351","3,956","2,687","2,640","4,479","3,077",.,"1,406","2,305"
AA29E,Transient Ischaemic Attack with CC Score 5-7,"1,761","1,423",.,"1,790","1,357","1,406","1,912",.,"1,503",.,"1,641","1,495",.,"2,594",.,"1,084","1,562"
AA29F,Transient Ischaemic Attack with CC Score 0-4,"1,349","1,042","1,718","1,288","1,068","1,000","1,758",.,"1,033",.,"1,043","1,263",.,"1,950",.,774,"1,194"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,"3,596",.,.,"7,940",.,.,"4,035","5,878"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,"7,409",.,.,.,.,.,.,.,.,.,"14,136",.,.,.,"2,812","5,839"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4","5,260","4,685",.,.,"4,575","2,712","2,638",.,.,.,"7,677","5,484","7,329","4,854",.,"1,571","4,184"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","1,706","2,236",.,.,"2,042","1,506","3,693",.,.,.,"1,073","2,949",.,"3,394",.,"1,100","2,487"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+","1,285",.,"1,168",.,.,.,.,.,.,.,.,"1,047",.,"2,009",.,895,"1,196"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10","1,329","1,202",.,"2,268","1,961","1,431","2,189",.,"2,035","2,158",815,"1,725",.,"1,648",.,953,"1,575"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","1,251","1,197","1,185","1,386",974,783,"1,768",.,974,.,"1,043","1,255","1,629","1,528",.,"1,204","1,216"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,986,"1,021",.,.,.,.,"1,018"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,"1,735",.,.,.,.,.,.,"2,918",.,.,.,.,"2,261"
AA35A,Stroke with CC Score 16+,.,.,.,"24,493","1,450","19,694","11,871",.,"9,299","14,848","10,866","19,783","21,986","44,999",.,"3,655","12,040"
AA35B,Stroke with CC Score 13-15,"15,065","5,103","24,888","15,195","3,337","9,775","9,100",.,"8,143","11,908","6,795","12,891","20,867","32,433",.,"5,015","12,249"
AA35C,Stroke with CC Score 10-12,"10,719","3,347","6,120","11,019","4,026","5,870","6,682",.,"5,232","9,800","6,104","8,294","10,708","10,602",.,"3,589","6,838"
AA35D,Stroke with CC Score 7-9,"7,772","3,712","9,717","7,765","3,093","4,860","5,143",.,"3,881","7,924","6,429","5,263","9,222","8,958",.,"3,130","5,245"
AA35E,Stroke with CC Score 4-6,"4,034","2,531","5,114","4,136","2,256","3,308","3,366",.,"2,289","5,646","3,021","3,024","6,006","5,550",.,"2,357","3,172"
AA35F,Stroke with CC Score 0-3,"2,679","1,867","2,761","1,900","1,935","2,255","2,057",.,"1,017","3,596","2,029","2,345","3,461","3,840",.,"1,507","2,185"
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,"9,592",.,.,.,.,"9,592"
AA39Z,Long Term EEG Monitoring,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,327
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,"2,097",.,.,.,.,.,.,"5,135",.,.,.,.,"2,857"
AA41Z,Sleep Studies,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689
AA42Z,Complex Sleep Studies,.,.,.,.,"3,594",.,.,.,.,.,.,.,.,.,.,.,"3,594"
AB03Z,Complex Pain Procedures,.,.,.,"3,955",.,.,.,.,.,.,.,.,.,.,.,.,"3,955"
AB04Z,Major Pain Procedures,.,597,.,.,.,"1,013",.,"1,264",.,.,.,835,.,.,.,987,937
AB05Z,Intermediate Pain Procedures,"2,992",.,"1,326","4,039","2,175",.,.,.,.,"3,956",.,"3,786",.,"1,599",.,.,"2,961"
AB06Z,Minor Pain Procedures,.,"1,220",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,220"
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,"1,248",.,.,.,.,.,.,.,.,"1,248"
AB11Z,Cognitive Behavioural Therapy,.,"1,111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,111"
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,"3,474",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,474"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"2,099",.,.,.,.,"2,099"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,545",.,.,.,.,"1,545"
BZ04B,Lens Capsulotomy with CC Score 0,"1,283",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,283"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,669",.,.,.,.,.,.,.,.,.,.,"3,384",.,.,.,.,"2,908"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","1,236",.,.,.,.,.,.,.,.,.,.,"3,254",.,.,.,"1,169","1,887"
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,"1,882",.,.,.,.,.,.,.,.,.,.,"1,882"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","4,158",.,.,.,.,.,.,.,.,.,.,"1,416",.,.,.,.,"2,787"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","3,260",.,.,.,.,.,.,.,.,.,.,"2,619",.,.,.,.,"2,875"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under","5,336",.,.,.,.,.,.,.,.,.,.,"8,927",.,.,.,"2,587","4,404"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,271","3,271"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","3,018",.,.,.,.,.,.,.,.,.,.,"2,921",.,.,.,"2,800","2,835"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,669",.,.,.,.,"1,669"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,156",.,.,.,.,"3,156"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+","3,355",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,355"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0","2,821",.,.,.,.,.,.,.,.,.,.,"4,038",.,.,.,.,"3,876"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+","2,481",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,481"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","3,167",.,.,.,.,.,.,.,.,.,.,"4,799",.,.,.,.,"4,391"
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"1,707",.,.,.,.,"1,707"
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"2,676",.,.,.,.,"2,676"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,405",.,.,.,.,"1,405"
BZ19B,Minor Glaucoma Procedures with CC Score 0,"1,780",.,.,.,.,.,.,.,.,.,.,"1,943",.,.,.,.,"1,834"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,638",.,.,.,.,"1,638"
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,"1,301",.,.,.,.,.,.,.,.,.,.,"2,225",.,.,.,.,"1,763"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,576",.,.,.,.,"1,576"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,890,.,.,.,.,.,.,.,.,.,.,"1,864",.,.,.,.,"1,830"
BZ24D,Non-Surgical Ophthalmology with Interventions,"1,737","2,106",.,.,"2,418",.,.,.,"2,910",.,.,"2,881",.,.,.,.,"2,632"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,.,.,.,"3,268","2,561","5,275",.,.,.,.,"1,542","4,886",.,.,.,"3,091"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","1,896","1,335",.,.,"2,592","1,762","1,583",.,752,"3,956","1,441","2,460",.,"4,731",.,"1,509","2,116"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",856,"1,150","1,423","1,814",875,"1,205","1,055","3,539","1,378",.,"1,127","1,608","2,443","1,451",.,"1,465","1,377"
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"3,711",.,.,.,.,"3,711"
CA03A,Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"12,553",.,.,.,"4,956","8,754"
CA03B,Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"3,468",.,.,.,.,"3,468"
CA04A,"Intermediate Neck Procedures, 19 years and over","3,398",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,398"
CA11A,"Septoplasty, 19 years and over","2,787",.,.,.,"1,960",.,.,.,.,.,.,"2,398",.,.,.,.,"2,379"
CA12Z,Major Treatment of Epistaxis,"2,149",900,.,.,"1,473",.,.,.,.,.,.,"2,669",.,.,.,.,"1,502"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","1,993",899,.,.,"1,513",603,.,.,.,.,.,"2,102",.,.,.,"2,198","1,602"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","2,149","1,219",.,.,"1,523",.,.,.,.,.,.,.,.,.,.,.,"1,630"
CA21Z,Very Major Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"6,198",.,.,.,.,"6,198"
CA22Z,Major Nose Procedures,.,"1,756",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,756"
CA23Z,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"4,008",.,.,.,.,"4,008"
CA28Z,Intermediate Sinus Procedures,.,"1,359",.,.,"2,851",.,.,.,.,.,.,"1,877",.,.,.,.,"1,540"
CA29Z,Minor Sinus Procedures,.,.,.,.,327,.,.,.,.,.,.,"1,993",.,.,.,.,"1,160"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,879",.,.,.,.,"1,879"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"1,015",.,.,.,.,.,.,.,.,.,"4,197",.,.,.,.,"3,560"
CA33Z,Pinnaplasty,.,.,.,.,.,.,.,.,.,.,.,"4,300",.,.,.,.,"4,300"
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"2,384",.,.,.,.,"2,384"
CA52A,"Major Ear Procedures, 19 years and over","2,678",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,610","1,966"
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,"2,794",.,.,.,.,.,.,.,.,.,.,.,.,"2,794"
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,704,.,.,.,.,.,.,.,.,.,.,.,704
CA60A,"Tonsillectomy, 19 years and over",.,450,.,.,"2,314",.,.,.,.,.,.,"1,689",.,.,.,.,"1,566"
CA60B,"Tonsillectomy, 18 years and under",.,.,.,.,"2,314",.,.,.,.,.,.,"1,528",.,.,.,.,"1,790"
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"2,624",.,.,.,.,"2,624"
CA63Z,Tracheostomy,"1,913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,913"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,725",.,.,.,.,"1,725"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,450,.,.,"1,145",.,.,.,.,.,.,.,.,.,.,"1,436","1,117"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,688",.,.,.,"1,790","2,388"
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,"10,152",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,152"
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"11,531",.,.,.,.,"11,531"
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"16,786",.,.,.,.,"16,786"
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"4,940",.,.,.,.,"4,940"
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,767","3,695",.,.,.,.,.,.,.,.,.,"4,726",.,.,.,.,"4,328"
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,"1,320",.,.,.,.,"1,320"
