HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA08D,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"6,779",.,.,.,.,"6,779"
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,"8,740",.,.,.,"3,995",.,.,.,.,"6,367"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"19,366",.,.,.,.,"19,366"
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"5,772",.,.,.,.,"5,772"
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"4,373",.,.,.,.,"4,373"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"6,546",.,.,.,.,"6,546"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,720",.,.,.,.,"6,720"
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"9,351",.,.,.,.,"9,351"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,160",.,.,.,.,"6,160"
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,.,.,.,.,.,.,.,"19,023",.,.,.,.,"19,023"
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"18,310",.,.,.,.,"18,310"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"9,702",.,.,.,.,"9,702"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,"7,159",.,.,.,.,.,.,"5,568",.,.,.,.,"5,767"
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"12,140",.,.,.,.,"12,140"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"20,869",.,.,.,.,"20,869"
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"4,775",.,.,.,.,"4,775"
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"5,010",.,.,.,.,"5,010"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"9,129",.,.,.,.,"9,129"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"7,134",.,.,.,.,"7,134"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"5,564",.,.,.,.,"5,564"
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"4,406",.,.,.,"2,410","3,741"
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1","1,155",.,.,.,.,.,.,.,.,.,.,"12,087",.,.,.,.,"10,994"
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"3,937",.,.,.,.,"3,937"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"4,920",.,.,.,.,"4,920"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,"2,110",.,.,.,.,.,.,.,.,"5,203",.,.,.,"1,972","4,934"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,"2,582",.,991,.,.,.,.,.,.,"4,801",.,.,.,.,"4,198"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,"1,326","1,594",.,.,.,.,.,.,.,.,"2,857",.,.,.,.,"1,793"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","6,136",.,.,.,.,.,.,"8,080",.,.,.,.,.,.,.,.,"7,108"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,411",.,559,.,438,603,.,588,.,.,.,"4,185",.,.,.,"2,751","2,956"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,"2,561",.,.,"9,869",.,.,.,.,"6,215"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,"3,387",.,.,.,.,"3,387"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,"1,390",.,.,.,.,"1,390"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,"3,506",.,.,.,.,.,.,.,.,"11,845",.,.,.,.,"9,065"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,"4,533",.,.,.,.,.,.,.,.,"3,341",.,.,.,.,"4,003"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","7,451",.,"3,039",.,.,.,.,.,.,.,.,"3,270",.,502,.,.,"3,068"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",877,.,"5,983",.,.,.,.,.,.,.,.,"3,450",.,.,.,.,"4,617"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,697",.,.,.,"1,885","1,718"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,"1,371",.,.,.,.,.,.,.,.,"10,126",.,.,.,367,"2,663"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,"9,328",.,.,.,.,"9,328"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,315","1,417",.,.,.,.,.,.,"2,927",.,.,"3,620",.,.,.,.,"2,203"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,158","1,326",907,573,.,.,.,.,.,.,.,"3,272",.,.,.,"1,664","2,843"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,"3,048",.,.,.,.,.,.,.,.,.,.,.,.,.,"3,048"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,"2,223",.,"4,082",.,.,.,.,"2,012",.,.,.,.,.,.,.,"2,582"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,363,.,.,"1,790","1,285",.,.,"4,146",.,502,.,.,"2,596"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,315","1,333","1,237",.,.,.,.,.,"2,195",.,.,"3,162",.,"2,331",.,495,"2,666"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",519,.,438,.,879,.,.,.,"1,636",.,.,"2,243",.,"1,438",.,"1,467","2,103"
AA28D,Motor Neuron Disease with CC Score 5-7,"1,534",.,.,.,.,.,.,.,.,.,.,"7,840",.,.,.,.,"4,687"
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,438,.,.,.,.,.,.,.,.,"6,439",.,.,.,.,"5,839"
AA28F,Motor Neuron Disease with CC Score 0-1,.,813,.,.,.,.,.,.,.,.,.,"8,615",.,.,.,.,"7,055"
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,791,.,.,.,.,.,.,.,.,.,.,.,.,.,791
AA29E,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,"1,269",.,.,.,.,.,.,.,.,.,.,.,"1,269"
AA29F,Transient Ischaemic Attack with CC Score 0-4,737,.,.,.,.,.,.,.,376,.,.,"1,775",.,.,.,.,"1,288"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+","2,204",.,.,.,.,.,.,.,.,.,.,"8,704",.,.,.,.,"5,454"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,"6,350",.,.,.,.,.,.,.,"7,801",.,.,.,.,"7,075"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"1,562",.,.,.,.,.,.,"3,489",.,.,.,.,"3,168"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,904,"1,639",.,.,.,.,.,.,.,.,"2,170",.,502,.,"1,073","1,953"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",477,.,288,.,677,.,.,.,.,.,.,"1,227",.,502,.,611,810
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"1,540"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,350",.,.,.,.,"2,350"
AA35A,Stroke with CC Score 16+,.,.,.,"14,221",.,.,.,.,.,.,.,.,.,.,.,853,"2,524"
AA35B,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,218","1,218"
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,"3,634",.,.,.,597,"2,622"
AA35D,Stroke with CC Score 7-9,"5,260",.,.,"3,282",.,.,.,.,.,.,.,869,.,.,.,.,"3,137"
AA35E,Stroke with CC Score 4-6,"2,358",.,.,.,"8,323",.,.,.,.,.,.,"2,560",.,.,.,"1,119","2,498"
AA35F,Stroke with CC Score 0-3,.,407,.,.,625,"2,110",.,.,.,.,.,599,.,.,.,"1,364",999
AA39Z,Long Term EEG Monitoring,.,.,.,.,.,.,.,.,.,.,.,"1,670",.,.,.,.,"1,670"
AA40Z,Complex Long Term EEG Monitoring,.,812,"4,691",.,.,.,.,.,.,.,.,"3,667",.,.,.,.,"3,622"
AA41Z,Sleep Studies,.,.,"1,773",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,773"
AA42Z,Complex Sleep Studies,.,.,.,.,"7,807",.,.,.,.,.,.,"2,548",.,.,.,.,"5,178"
AB03Z,Complex Pain Procedures,.,.,347,.,.,.,.,.,.,.,.,.,.,.,.,.,347
AB04Z,Major Pain Procedures,.,.,"1,551",.,.,.,.,"1,256",.,.,.,"5,263",.,.,.,.,"1,661"
AB05Z,Intermediate Pain Procedures,"1,330",.,.,.,.,.,.,"2,355",.,.,.,"4,376",.,.,.,"2,274","4,026"
AB06Z,Minor Pain Procedures,969,"1,186",.,.,917,.,.,"1,689",.,.,.,.,.,.,.,.,"1,372"
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,"10,186",.,.,.,.,.,.,.,.,"17,784",.,.,.,.,"16,031"
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,"1,192",.,.,.,.,.,.,.,.,"1,192"
AB09Z,Other Specified Pain Procedures,"2,660",.,.,.,.,.,.,.,.,.,.,"1,237",.,.,.,.,"1,948"
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,"2,464",.,.,.,.,.,.,.,.,.,.,"1,742",.,.,.,.,"2,223"
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"1,364",.,.,.,.,"1,364"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","2,464",.,.,.,.,.,.,.,.,"1,716",.,"1,705",.,.,.,.,"1,767"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,"1,677",.,.,.,.,.,.,.,.,.,.,"2,285",.,.,.,.,"2,245"
BZ04B,Lens Capsulotomy with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,525",.,.,.,.,"1,525"
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"4,154",.,.,.,"3,582","3,811"
BZ05B,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,"1,661",.,"4,122",.,.,.,"2,111","2,334"
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,896",.,.,.,.,"2,896"
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,640","1,640"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","4,235",.,.,.,.,.,.,.,.,.,.,"1,957",.,.,.,"2,193","2,206"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","1,155",.,.,.,.,.,.,.,.,.,.,"1,841",.,.,.,.,"1,704"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","2,567",.,.,.,.,.,.,.,.,.,.,"1,469",.,.,.,.,"1,835"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","4,291",.,.,.,.,.,.,.,.,.,.,"1,987",.,.,.,.,"2,333"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under","4,153",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,506","2,918"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+","3,163",.,.,.,.,.,.,.,.,.,.,"1,851",.,.,.,"2,410","2,647"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","3,284",.,.,.,.,.,.,.,.,.,.,"2,711",.,.,.,"2,634","2,739"
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"3,395",.,.,.,.,"3,395"
BZ09C,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+","2,173",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,173"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1","2,899",.,.,.,.,.,.,.,.,"1,661",.,"1,763",.,.,.,"1,862","1,975"
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"1,611",.,.,.,.,"1,611"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,785",.,.,.,.,"1,785"
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"2,181",.,.,.,.,"2,181"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+","2,664",.,.,.,.,.,.,.,.,.,.,"1,558",.,.,.,.,"1,926"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0","2,129",.,.,.,.,.,.,.,.,.,.,"2,147",.,.,.,.,"2,145"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+","4,928",.,.,.,.,.,.,.,.,.,.,"2,597",.,.,.,.,"3,374"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","5,030",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,030"
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"2,672",.,.,.,.,"2,672"
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0","3,644",.,.,.,.,.,.,.,.,.,.,"1,849",.,.,.,.,"2,106"
BZ16A,"Minor Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,464",.,.,.,.,"1,464"
BZ17A,Major Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"4,243",.,.,.,.,"4,243"
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"2,296",.,.,.,.,"2,296"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,346",.,.,.,.,"1,346"
BZ19B,Minor Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"2,265",.,.,.,.,"2,265"
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"2,029",.,.,.,.,"2,029"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,660",.,.,.,.,"1,660"
BZ21A,Major Vitreous Retinal Procedures with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,"2,410",.,.,.,.,"2,410"
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,"1,575",.,.,.,.,"1,575"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,"1,283",.,.,.,.,.,.,.,.,.,.,"1,688",.,.,.,.,"1,683"
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"1,455",.,.,.,.,"1,455"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"1,635",.,.,.,.,"1,635"
BZ23Z,Minor Vitreous Retinal Procedures,.,.,.,.,.,.,.,.,.,.,.,"1,783",.,.,.,.,"1,783"
BZ24D,Non-Surgical Ophthalmology with Interventions,"3,595",.,"2,877",.,.,.,.,.,.,.,.,"3,595",.,.,.,.,"3,515"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,363,.,.,.,.,.,.,.,.,.,.,.,363
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",326,.,"1,427",.,438,.,.,.,.,593,.,"1,286",.,.,.,.,"1,125"
CA01Z,Complex Neck Procedures,"5,035",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"10,670","9,543"
CA02A,Very Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"6,492",.,.,.,"5,610","5,988"
CA02B,Very Major Neck Procedures with CC Score 0-1,"6,944",.,.,.,"7,469",.,.,.,.,.,.,"5,852",.,.,.,"4,668","5,971"
CA03A,Major Neck Procedures with CC Score 2+,"8,861",.,.,.,.,.,.,.,.,.,.,"5,701",.,.,.,"5,377","6,205"
CA03B,Major Neck Procedures with CC Score 0-1,"5,874","1,872","5,254",.,"3,980",.,.,.,.,.,.,"5,631",.,.,.,"3,884","4,862"
CA04A,"Intermediate Neck Procedures, 19 years and over","2,560","1,497",.,.,"1,886",.,.,.,.,.,.,"2,622",.,.,.,"2,639","2,473"
CA04B,"Intermediate Neck Procedures, 18 years and under","3,405",.,.,.,"2,372",.,.,.,.,.,.,"3,384",.,.,.,.,"3,278"
CA05A,"Minor Neck Procedures, 19 years and over","1,778","1,476","1,333",.,"1,793",301,.,.,.,.,.,"1,908",.,"2,867",.,"1,254","1,805"
CA05B,"Minor Neck Procedures, 18 years and under","1,779",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,779"
CA10A,"Septorhinoplasty, 19 years and over","2,751","1,746",.,.,"1,891",.,.,.,.,.,.,"2,445",.,.,.,"2,022","2,080"
CA10B,"Septorhinoplasty, 18 years and under","3,271",.,.,.,"2,640",.,.,.,.,.,.,"2,566",.,.,.,"1,797","2,424"
CA11A,"Septoplasty, 19 years and over","2,469","1,404",.,.,"1,740","1,782",.,.,.,.,.,"1,929",.,.,.,"1,508","1,927"
CA11B,"Septoplasty, 18 years and under","2,469","1,200",.,.,"1,363","2,036",.,.,.,.,.,"2,251",.,.,.,"1,570","1,936"
CA12Z,Major Treatment of Epistaxis,"1,450",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,450"
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,.,.,.,"1,461",.,.,.,.,.,.,.,.,.,.,.,"1,461"
CA14Z,Nasal Polypectomy,"1,450","1,509",.,.,"1,824",.,.,.,.,.,.,"1,693",.,.,.,.,"1,664"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","1,450","1,457",.,.,"2,468",.,.,.,.,.,.,"1,273",.,.,.,.,"1,711"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","1,397",689,.,.,"2,525",.,.,.,.,.,.,"1,616",.,.,.,"1,093","1,388"
CA20Z,Complex Nose Procedures,.,.,.,.,"3,388",.,.,.,.,.,.,"2,703",.,.,.,"4,291","3,048"
CA21Z,Very Major Nose Procedures,"2,469","1,604",.,.,"2,915",.,.,.,.,.,.,"2,427",.,.,.,"2,945","2,600"
CA22Z,Major Nose Procedures,"2,544","1,505",.,.,"2,135",.,.,.,.,.,.,"2,478",.,.,.,"2,325","2,205"
CA23Z,Intermediate Nose Procedures,"1,426",.,.,.,.,.,.,.,.,.,.,"2,197",.,.,.,"1,891","1,947"
CA24A,"Minor Nose Procedures, 19 years and over","1,438","1,059",.,.,"1,427",.,.,.,.,.,.,"1,981",.,.,.,"1,685","1,562"
CA24B,"Minor Nose Procedures, 18 years and under",.,"1,100",.,.,"1,931",.,.,.,.,.,.,"1,570",.,.,.,965,"1,391"
CA25A,"Minimal Nose Procedures, 19 years and over","1,147",942,.,.,"1,605",.,.,.,.,.,.,"1,455",.,.,.,.,"1,249"
CA25B,"Minimal Nose Procedures, 18 years and under","1,147",.,.,.,819,"1,033",.,.,.,.,.,.,.,.,.,.,999
CA26Z,Complex Sinus Procedures,843,"4,191",.,.,"2,762",.,.,.,.,.,.,"3,189",.,.,.,.,"3,129"
CA27Z,Major Sinus Procedures,"1,450","1,977",.,.,"3,013",.,.,.,.,.,.,"2,838",.,.,.,.,"2,248"
CA28Z,Intermediate Sinus Procedures,"1,730","1,549",.,.,"2,737",.,.,.,.,.,.,"2,554",.,.,.,.,"2,280"
CA29Z,Minor Sinus Procedures,"1,996","1,307",.,.,"2,327","1,571",.,.,.,.,.,"2,119",.,.,.,"1,281","1,931"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over","4,181","1,830",.,.,"4,292",.,.,.,.,.,.,"4,166",.,.,.,.,"4,007"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under","4,181","2,099",.,.,"4,200",.,.,.,.,.,.,"5,389",.,.,.,"2,932","4,301"
CA31Z,"Simple or Cortical, Mastoid Procedures","4,181","1,658",.,.,"3,094",.,.,.,.,.,.,"4,415",.,.,.,"2,478","3,499"
CA32A,"Tympanoplasty, 19 years and over","3,469","1,769",.,.,"2,612",.,.,.,.,.,.,"2,857",.,.,.,.,"2,748"
CA32B,"Tympanoplasty, 18 years and under","3,271","1,515",.,.,"2,426","2,775",.,.,.,.,.,"3,865",.,.,.,"1,817","2,630"
CA33Z,Pinnaplasty,"3,271","1,623",.,.,"2,653",.,.,.,.,.,.,"2,634",.,.,.,"1,651","2,476"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over","1,450","1,647",.,.,"2,161",.,.,.,.,.,.,"1,656",.,.,.,.,"1,626"
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under","1,450","1,227",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,376"
CA35A,"Insertion of Grommets, 19 years and over","1,450","1,181",.,.,838,.,.,.,.,.,.,"1,335",.,.,.,.,"1,271"
CA35B,"Insertion of Grommets, between 2 and 18 years","1,450","1,292",.,.,"1,072",.,.,.,.,.,.,"1,754",.,.,.,"1,116","1,328"
CA35C,"Insertion of Grommets, 1 year and under",.,644,.,.,723,.,.,.,.,.,.,.,.,.,.,.,684
CA36B,"Clearance of External Auditory Canal, 18 years and under","1,450",.,.,.,"1,988",.,.,.,.,.,.,.,.,.,.,.,"1,719"
