Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
AUCKLAND,FRANKLIN LOCAL BOARD,WAIROA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,7,2.33,"4,695","2,662",,,,,,,,,2,28.6%,1,33.3%,"14,062",23,0.16%,"14,085",20200,69.7%,"14,062",23,"14,085","7,962",56.6%,24,104.3%,"7,986",56.7%,55,0.7%,5,20.8%,60,0.8%,23,41.8%,3,60.0%,26,43.3%,9,0.1%,619,7.8%,628,7.9%,1,14.3%,0,0.0%,
AUCKLAND,FRANKLIN LOCAL BOARD,WAIUKU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,5,2.50,"4,665","2,335",,,,,,,,,2,40.0%,2,100.0%,"9,296",34,0.36%,"9,330",13750,67.9%,"9,296",34,"9,330","4,636",49.9%,33,97.1%,"4,669",50.0%,28,0.6%,9,27.3%,37,0.8%,20,71.4%,2,22.2%,22,59.5%,3,0.1%,256,5.5%,259,5.5%,3,60.0%,1,50.0%,
AUCKLAND,GREAT BARRIER LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,5,0,10,2.00,141,111,,,,,,,,,5,50.0%,3,60.0%,663,42,5.96%,705,850,82.9%,663,42,705,499,75.3%,54,128.6%,553,78.4%,20,4.0%,18,33.3%,38,6.9%,11,55.0%,15,83.3%,26,68.4%,0,0.0%,5,0.9%,5,0.9%,4,40.0%,2,40.0%,
AUCKLAND,HENDERSON-MASSEY LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,0,26,3.25,"8,644","3,928",,,,,,,,,12,46.2%,7,87.5%,"69,105",45,0.07%,"69,150",109600,63.1%,"69,105",45,"69,150","31,380",45.4%,46,102.2%,"31,426",45.4%,434,1.4%,12,26.1%,446,1.4%,163,37.6%,8,66.7%,171,38.3%,139,0.4%,"2,075",6.6%,"2,214",7.0%,6,23.1%,3,37.5%,
AUCKLAND,HIBISCUS AND BAYS LOCAL BOARD,EAST COAST BAYS,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,14,3.50,"8,279","4,440",,,,,,,,,6,42.9%,3,75.0%,"33,098",19,0.06%,"33,117",46300,71.5%,"33,098",19,"33,117","17,742",53.6%,18,94.7%,"17,760",53.6%,168,0.9%,5,27.8%,173,1.0%,82,48.8%,0,0.0%,82,47.4%,50,0.3%,"2,016",11.4%,"2,066",11.6%,5,35.7%,2,50.0%,
AUCKLAND,HIBISCUS AND BAYS LOCAL BOARD,HIBISCUS COAST,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,13,3.25,"7,700","4,175",,,,,,,,,3,23.1%,2,50.0%,"30,710",91,0.30%,"30,801",42500,72.5%,"30,710",91,"30,801","16,618",54.1%,81,89.0%,"16,699",54.2%,141,0.8%,10,12.3%,151,0.9%,79,56.0%,3,30.0%,82,54.3%,37,0.2%,"1,294",7.7%,"1,331",8.0%,4,30.8%,1,25.0%,
AUCKLAND,HOWICK LOCAL BOARD,BOTANY,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,7,2.33,"9,810","5,157",,,,,,,,,5,71.4%,3,100.0%,"29,414",17,0.06%,"29,431",43600,67.5%,"29,414",17,"29,431","15,457",52.5%,15,88.2%,"15,472",52.6%,191,1.2%,10,66.7%,201,1.3%,76,39.8%,1,10.0%,77,38.3%,11,0.1%,"1,349",8.7%,"1,360",8.8%,2,28.6%,1,33.3%,
AUCKLAND,HOWICK LOCAL BOARD,HOWICK,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,9,3.00,"10,238","5,870",,,,,,,,,5,55.6%,2,66.7%,"30,708",7,0.02%,"30,715",42700,71.9%,"30,708",7,"30,715","17,603",57.3%,6,85.7%,"17,609",57.3%,133,0.8%,8,133.3%,141,0.8%,101,75.9%,0,0.0%,101,71.6%,17,0.1%,"1,002",5.7%,"1,019",5.8%,4,44.4%,1,33.3%,
AUCKLAND,HOWICK LOCAL BOARD,PAKURANGA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,9,3.00,"9,731","5,363",,,,,,,,,4,44.4%,3,100.0%,"29,176",16,0.05%,"29,192",41900,69.7%,"29,176",16,"29,192","16,078",55.1%,12,75.0%,"16,090",55.1%,124,0.8%,13,108.3%,137,0.9%,58,46.8%,0,0.0%,58,42.3%,10,0.1%,"1,522",9.5%,"1,532",9.5%,2,22.2%,1,33.3%,
AUCKLAND,KAIPATIKI LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,0,23,2.88,"7,242","3,471",,,,,,,,,10,43.5%,6,75.0%,"57,883",55,0.09%,"57,938",86000,67.4%,"57,883",55,"57,938","27,720",47.9%,51,92.7%,"27,771",47.9%,339,1.2%,8,15.7%,347,1.2%,154,45.4%,2,25.0%,156,45.0%,84,0.3%,"2,522",9.1%,"2,606",9.4%,6,26.1%,4,50.0%,
AUCKLAND,MANGERE-OTAHUHU LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,0,16,2.29,"6,383","2,965",,,,,,,,,6,37.5%,4,57.1%,"44,644",37,0.08%,"44,681",75900,58.9%,"44,644",37,"44,681","20,714",46.4%,38,102.7%,"20,752",46.4%,442,2.1%,16,42.1%,458,2.2%,129,29.2%,3,18.8%,132,28.8%,33,0.2%,"1,713",8.3%,"1,746",8.4%,6,37.5%,4,57.1%,
AUCKLAND,MANUREWA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,0,32,4.00,"6,435","3,080",,,,,,,,,7,21.9%,6,75.0%,"51,458",23,0.04%,"51,481",86600,59.4%,"51,458",23,"51,481","24,617",47.8%,21,91.3%,"24,638",47.9%,307,1.2%,0,0.0%,307,1.2%,164,53.4%,0,,164,53.4%,229,0.9%,"1,427",5.8%,"1,656",6.7%,11,34.4%,3,37.5%,
AUCKLAND,MAUNGAKIEKIE-TAMAKI LOCAL BOARD,MAUNGAKIEKIE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,9,3.00,"6,465","3,349",,,,,,,,,3,33.3%,3,100.0%,"19,332",64,0.33%,"19,396",28500,68.1%,"19,332",64,"19,396","9,993",51.7%,55,85.9%,"10,048",51.8%,173,1.7%,5,9.1%,178,1.8%,68,39.3%,4,80.0%,72,40.4%,16,0.2%,875,8.7%,891,8.9%,3,33.3%,1,33.3%,
AUCKLAND,MAUNGAKIEKIE-TAMAKI LOCAL BOARD,TAMAKI,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,5,1.25,"6,976","3,193",,,,,,,,,1,20.0%,1,25.0%,"27,860",42,0.15%,"27,902",44400,62.8%,"27,860",42,"27,902","12,730",45.7%,41,97.6%,"12,771",45.8%,214,1.7%,4,9.8%,218,1.7%,58,27.1%,2,50.0%,60,27.5%,7,0.1%,"1,238",9.7%,"1,245",9.7%,2,40.0%,2,50.0%,
AUCKLAND,ORAKEI LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,0,14,2.00,"8,624","5,065",,,,,,,,,4,28.6%,4,57.1%,"60,283",86,0.14%,"60,369",81100,74.4%,"60,283",86,"60,369","35,374",58.7%,79,91.9%,"35,453",58.7%,472,1.3%,11,13.9%,483,1.4%,183,38.8%,1,9.1%,184,38.1%,75,0.2%,"4,516",12.7%,"4,591",12.9%,3,21.4%,2,28.6%,
AUCKLAND,OTARA-PAPATOETOE LOCAL BOARD,OTARA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,12,4.00,"6,721","3,061",,,,,,,,,3,25.0%,2,66.7%,"20,153",9,0.04%,"20,162",34200,59.0%,"20,153",9,"20,162","9,173",45.5%,9,100.0%,"9,182",45.5%,207,2.3%,6,66.7%,213,2.3%,46,22.2%,1,16.7%,47,22.1%,28,0.3%,720,7.8%,748,8.1%,5,41.7%,1,33.3%,
AUCKLAND,OTARA-PAPATOETOE LOCAL BOARD,PAPATOETOE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,10,2.50,"7,116","3,624",,,,,,,,,3,30.0%,2,50.0%,"28,444",18,0.06%,"28,462",46100,61.7%,"28,444",18,"28,462","14,479",50.9%,18,100.0%,"14,497",50.9%,297,2.1%,14,77.8%,311,2.1%,101,34.0%,5,35.7%,106,34.1%,21,0.1%,"1,004",6.9%,"1,025",7.1%,1,10.0%,1,25.0%,
AUCKLAND,PAPAKURA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,15,2.50,"4,872","2,314",,,,,,,,,5,33.3%,2,33.3%,"29,202",32,0.11%,"29,234",44900,65.1%,"29,202",32,"29,234","13,853",47.4%,29,90.6%,"13,882",47.5%,178,1.3%,17,58.6%,195,1.4%,97,54.5%,1,5.9%,98,50.3%,56,0.4%,891,6.4%,947,6.8%,5,33.3%,2,33.3%,
AUCKLAND,PUKETAPAPA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,14,2.33,"6,346","3,207",,,,,,,,,2,14.3%,2,33.3%,"38,049",29,0.08%,"38,078",56100,67.9%,"38,049",29,"38,078","19,216",50.5%,27,93.1%,"19,243",50.5%,293,1.5%,8,29.6%,301,1.6%,97,33.1%,2,25.0%,99,32.9%,65,0.3%,"2,429",12.6%,"2,494",13.0%,3,21.4%,2,33.3%,
AUCKLAND,RODNEY LOCAL BOARD,DAIRY FLAT,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,3,3.00,"4,481","2,454",,,,,,,,,1,33.3%,1,100.0%,"4,479",2,0.04%,"4,481",6460,69.4%,"4,479",2,"4,481","2,452",54.7%,2,100.0%,"2,454",54.8%,12,0.5%,3,150.0%,15,0.6%,10,83.3%,0,0.0%,10,66.7%,0,0.0%,241,9.8%,241,9.8%,0,0.0%,0,0.0%,
AUCKLAND,RODNEY LOCAL BOARD,KUMEU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,8,2.00,"4,194","2,138",,,,,,,,,2,25.0%,1,25.0%,"16,747",29,0.17%,"16,776",25400,66.0%,"16,747",29,"16,776","8,526",50.9%,25,86.2%,"8,551",51.0%,84,1.0%,6,24.0%,90,1.1%,45,53.6%,1,16.7%,46,51.1%,2,0.0%,583,6.8%,585,6.8%,2,25.0%,1,25.0%,
AUCKLAND,RODNEY LOCAL BOARD,WARKWORTH,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,5,1.67,"4,133","2,467",,,,,,,,,1,20.0%,1,33.3%,"12,198",202,1.63%,"12,400",16700,74.3%,"12,198",202,"12,400","7,206",59.1%,194,96.0%,"7,400",59.7%,84,1.2%,18,9.3%,102,1.4%,28,33.3%,15,83.3%,43,42.2%,11,0.1%,426,5.8%,437,5.9%,2,40.0%,2,66.7%,
AUCKLAND,RODNEY LOCAL BOARD,WELLSFORD,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,5,5.00,"3,702","1,893",,,,,,,,,0,0.0%,0,0.0%,"3,696",6,0.16%,"3,702",5550,66.7%,"3,696",6,"3,702","1,886",51.0%,7,116.7%,"1,893",51.1%,12,0.6%,3,42.9%,15,0.8%,4,33.3%,1,33.3%,5,33.3%,2,0.1%,133,7.0%,135,7.1%,2,40.0%,0,0.0%,
AUCKLAND,UPPER HARBOUR LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,17,2.83,"5,735","2,837",,,,,,,,,8,47.1%,5,83.3%,"34,385",27,0.08%,"34,412",49000,70.2%,"34,385",27,"34,412","16,993",49.4%,31,114.8%,"17,024",49.5%,148,0.9%,6,19.4%,154,0.9%,72,48.6%,4,66.7%,76,49.4%,52,0.3%,"1,527",9.0%,"1,579",9.3%,6,35.3%,3,50.0%,
AUCKLAND,WAIHEKE LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,5,0,17,3.40,"1,196",782,,,,,,,,,3,17.6%,1,20.0%,"5,832",147,2.46%,"5,979",8450,70.8%,"5,832",147,"5,979","3,770",64.6%,142,96.6%,"3,912",65.4%,63,1.7%,12,8.5%,75,1.9%,32,50.8%,7,58.3%,39,52.0%,15,0.4%,58,1.5%,73,1.9%,8,47.1%,3,60.0%,
AUCKLAND,WAITAKERE RANGES LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,17,2.83,"5,492","2,829",,,,,,,,,6,35.3%,2,33.3%,"32,882",71,0.22%,"32,953",49000,67.3%,"32,882",71,"32,953","16,899",51.4%,72,101.4%,"16,971",51.5%,285,1.7%,12,16.7%,297,1.8%,150,52.6%,7,58.3%,157,52.9%,84,0.5%,"1,239",7.3%,"1,323",7.8%,4,23.5%,3,50.0%,
AUCKLAND,WAITEMATA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,0,23,3.29,"6,572","3,224",,,,,,,,,6,26.1%,2,28.6%,"45,785",219,0.48%,"46,004",70000,65.7%,"45,785",219,"46,004","22,363",48.8%,208,95.0%,"22,571",49.1%,638,2.9%,24,11.5%,662,2.9%,278,43.6%,12,50.0%,290,43.8%,117,0.5%,"2,890",12.8%,"3,007",13.3%,8,34.8%,2,28.6%,
AUCKLAND,WHAU LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,0,22,3.14,"7,148","3,496",,,,,,,,,4,18.2%,3,42.9%,"49,984",52,0.10%,"50,036",76400,65.5%,"49,984",52,"50,036","24,426",48.9%,46,88.5%,"24,472",48.9%,379,1.6%,4,8.7%,383,1.6%,174,45.9%,4,100.0%,178,46.5%,82,0.3%,"2,218",9.1%,"2,300",9.4%,10,45.5%,4,57.1%,
AUCKLAND,AUCKLAND COUNCIL,ALBANY,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,19,9.50,"49,165","25,742",9,47.4%,,,2,100.0%,2,,2,10.5%,0,0.0%,"98,193",137,0.14%,"98,330",137800,71.4%,"98,193",137,"98,330","51,353",52.3%,130,94.9%,"51,483",52.4%,457,0.9%,21,16.2%,478,0.9%,233,51.0%,7,33.3%,240,50.2%,147,0.3%,"3,255",6.3%,"3,402",6.6%,5,26.3%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,ALBERT-EDEN-ROSKILL,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,11,5.50,"52,386","26,723",4,36.4%,,,1,50.0%,1,,0,0.0%,0,0.0%,"104,608",164,0.16%,"104,772",154900,67.6%,"104,608",164,"104,772","53,288",50.9%,157,95.7%,"53,445",51.0%,846,1.6%,30,19.1%,876,1.6%,351,41.5%,12,40.0%,363,41.4%,94,0.2%,"4,013",7.5%,"4,107",7.7%,4,36.4%,1,50.0%,
AUCKLAND,AUCKLAND COUNCIL,FRANKLIN,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,3,3.00,"43,725","23,078",1,33.3%,,,1,100.0%,1,,0,0.0%,0,0.0%,"43,650",75,0.17%,"43,725",64200,68.1%,"43,650",75,"43,725","23,001",52.7%,77,102.7%,"23,078",52.8%,156,0.7%,25,32.5%,181,0.8%,68,43.6%,9,36.0%,77,42.5%,19,0.1%,"1,438",6.2%,"1,457",6.3%,1,33.3%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,HOWICK,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,6,3.00,"44,669","24,586",4,66.7%,,,2,100.0%,2,,1,16.7%,0,0.0%,"89,298",40,0.04%,"89,338",128100,69.7%,"89,298",40,"89,338","49,138",55.0%,33,82.5%,"49,171",55.0%,448,0.9%,31,93.9%,479,1.0%,235,52.5%,1,3.2%,236,49.3%,160,0.3%,"2,253",4.6%,"2,413",4.9%,2,33.3%,1,50.0%,
AUCKLAND,AUCKLAND COUNCIL,MANUKAU,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,12,6.00,"46,653","22,216",5,41.7%,,,2,100.0%,2,,0,0.0%,0,0.0%,"93,241",64,0.07%,"93,305",156200,59.7%,"93,241",64,"93,305","44,366",47.6%,65,101.6%,"44,431",47.6%,946,2.1%,36,55.4%,982,2.2%,276,29.2%,9,25.0%,285,29.0%,187,0.4%,"1,381",3.1%,"1,568",3.5%,4,33.3%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,MANUREWA-PAPAKURA,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,7,3.50,"40,358","19,260",2,28.6%,,,2,100.0%,2,,1,14.3%,0,0.0%,"80,660",55,0.07%,"80,715",131500,61.4%,"80,660",55,"80,715","38,470",47.7%,50,90.9%,"38,520",47.7%,485,1.3%,17,34.0%,502,1.3%,261,53.8%,1,5.9%,262,52.2%,61,0.2%,"1,341",3.5%,"1,402",3.6%,1,14.3%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,MAUNGAKIEKIE-TAMAKI,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,5,5.00,"47,298","22,819",1,20.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"47,192",106,0.22%,"47,298",73000,64.8%,"47,192",106,"47,298","22,723",48.2%,96,90.6%,"22,819",48.2%,387,1.7%,9,9.4%,396,1.7%,126,32.6%,6,66.7%,132,33.3%,55,0.2%,"1,504",6.6%,"1,559",6.8%,0,0.0%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,NORTH SHORE,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,12,6.00,"49,541","25,228",6,50.0%,,,1,50.0%,1,,0,0.0%,0,0.0%,"98,994",88,0.09%,"99,082",143300,69.1%,"98,994",88,"99,082","50,365",50.9%,91,103.4%,"50,456",50.9%,664,1.3%,15,16.5%,679,1.3%,369,55.6%,9,60.0%,378,55.7%,115,0.2%,"2,173",4.3%,"2,288",4.5%,5,41.7%,1,50.0%,
AUCKLAND,AUCKLAND COUNCIL,ORAKEI,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,3,3.00,"60,369","35,453",1,33.3%,,,0,0.0%,0,,0,0.0%,0,0.0%,"60,283",86,0.14%,"60,369",81100,74.4%,"60,283",86,"60,369","35,374",58.7%,79,91.9%,"35,453",58.7%,472,1.3%,11,13.9%,483,1.4%,183,38.8%,1,9.1%,184,38.1%,36,0.1%,"2,440",6.9%,"2,476",7.0%,0,0.0%,0,0.0%,
