HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Unit Cost,
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,"10,446",.,.,.,.,"10,446",
AA23E,303,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,"14,447",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"14,447",
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,"3,652",.,.,.,.,"3,652",
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"2,845",.,.,.,.,"2,845",
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,"7,322",.,.,.,.,"7,322",
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,"2,808",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,808",
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,540",.,.,.,.,"1,540",
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,"3,249",.,.,.,.,"3,249",
AA24F,302,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,496,.,.,.,.,496,
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,"2,499",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,499",
AA24G,101,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,"1,660",.,.,.,.,.,.,.,.,.,.,.,.,"1,660",
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"2,873",.,.,.,.,"2,873",
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,633,.,.,.,.,633,
AA24G,302,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"2,577",.,.,.,.,"2,577",
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,"1,149",.,.,.,.,"1,149",
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,"3,248",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,248",
AA24H,100,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,498","2,498",
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,408,.,.,.,.,.,.,.,"7,083",.,.,.,.,"3,746",
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,805",.,.,.,.,"2,805",
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,157","2,157",
AA24H,172,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"4,310",.,.,.,.,"4,310",
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"2,349",.,.,.,.,.,.,.,.,.,.,.,514,.,.,"1,432",
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"3,468",.,.,.,.,"3,468",
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854,
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,"1,677",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,677",
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,"13,105",.,.,.,.,.,.,.,.,.,.,.,.,.,"13,105",
AA25C,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,728,.,.,.,.,.,.,.,.,.,.,.,.,.,.,728,
AA25D,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","4,013",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,567","2,790",
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,422,422,
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"3,257",.,.,.,.,"3,257",
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"1,187",.,.,.,.,.,.,.,.,.,"1,034",.,.,.,.,"1,111",
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,"4,897",.,.,.,.,.,.,.,.,.,.,.,.,"4,897",
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,"1,238",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,238",
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"4,282",.,.,.,.,"4,282",
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,518,.,.,.,.,518,
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,592,.,.,.,.,.,.,.,.,.,592,
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,793",.,.,.,.,"2,793",
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,915","1,915",
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,366",.,.,.,.,"1,366",
AA25G,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,515",.,.,.,.,"2,515",
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,824",.,.,.,.,"2,824",
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,"2,257",.,.,.,.,.,.,.,463,.,"3,938",.,.,"2,220",
AA26D,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,"3,902",.,.,.,.,.,.,.,.,.,"3,902",
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,443,443,
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA26F,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,"2,751",.,.,.,.,.,.,.,.,.,"2,751",
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,733,.,.,.,.,733,
AA26F,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","1,693",.,"4,624",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,159",
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,981,.,.,.,.,981,
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,"1,688",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,688",
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,"4,047",.,.,.,.,"4,047",
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,152",.,.,.,.,.,.,.,.,.,.,.,"3,178",.,.,.,.,"1,827",
AA26G,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,"1,056",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,056",
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,430","1,430",
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",595,"2,205",837,.,.,.,.,.,.,.,.,.,"2,033",.,514,.,.,"1,029",
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,120",
AA26G,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,399,
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,"2,729",.,.,.,.,"2,729",
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,"1,290",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,290",
AA26H,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,770",.,.,.,"3,754",.,.,"2,263",.,.,.,.,.,.,.,.,.,"2,265",
AA26H,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"4,399",.,.,.,.,"4,399",
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,915","1,915",
AA26H,172,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,881,.,.,.,.,881,
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",624,"1,203",478,.,.,.,.,.,.,.,.,.,.,.,.,.,.,751,
AA26H,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,120",
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,129",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,129",
AA26H,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,794,.,.,.,.,.,.,.,.,.,.,.,.,.,.,794,
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,"2,268",.,.,.,.,"2,268",
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,"2,066",.,.,.,.,.,.,.,.,.,"2,066",
AA27Z,400,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,855,.,.,.,.,855,
AA28C,400,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,"15,957",.,.,.,.,"15,957",
AA28D,300,Motor Neuron Disease with CC Score 5-7,"3,716",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,716",
AA28D,340,Motor Neuron Disease with CC Score 5-7,.,.,841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,841,
AA28D,400,Motor Neuron Disease with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,"4,830",.,.,.,.,"4,830",
AA28E,300,Motor Neuron Disease with CC Score 2-4,.,.,"1,948",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,948",
AA28E,340,Motor Neuron Disease with CC Score 2-4,.,.,"1,717",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,717",
AA28E,400,Motor Neuron Disease with CC Score 2-4,.,.,.,.,.,.,.,.,.,.,.,.,"6,520",.,.,.,.,"6,520",
AA28F,340,Motor Neuron Disease with CC Score 0-1,.,.,615,.,.,.,.,.,.,.,.,.,.,.,.,.,.,615,
AA28F,400,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,"5,835",.,.,.,.,"5,835",
AA29D,430,Transient Ischaemic Attack with CC Score 8-10,.,345,.,.,.,.,.,.,.,.,.,.,"2,318",.,.,.,.,"1,331",
AA29E,100,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,"1,491",.,.,.,.,"1,491",
AA29E,160,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,485,485,
AA29E,300,Transient Ischaemic Attack with CC Score 5-7,446,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,423,
AA29F,300,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,514,.,.,514,
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",.,.,.,.,"1,350",
AA30D,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"15,953",.,.,.,.,.,.,.,.,.,.,.,.,"15,953",
AA30D,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,"1,479",.,.,.,"2,111",.,.,.,.,"1,795",
AA30D,302,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,845,.,.,.,.,845,
AA30D,430,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,"1,881",.,.,.,.,.,.,.,.,.,"2,625",.,.,"2,253",
AA30E,100,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"1,748",.,.,.,.,.,.,.,.,.,.,.,.,"1,748",
AA30E,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,"2,521",.,.,.,.,.,.,.,.,.,.,.,"1,865","2,193",
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,"1,416",.,.,.,.,"1,416",
AA30F,101,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,"1,338",.,.,.,.,.,.,.,.,.,.,.,.,"1,338",
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",446,.,.,.,.,291,.,.,.,.,.,.,367,.,.,.,.,378,
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,668,.,.,.,.,668,
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,615",.,.,.,.,"2,615",
AA31D,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,401,
AA31E,101,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"3,019",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,019",
AA31E,110,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"1,578",.,.,.,.,"1,578",
AA31E,150,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"3,085",.,.,.,.,"3,085",
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",446,.,.,468,.,291,.,.,.,.,.,.,372,.,"1,028",.,.,459,
AA31E,303,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"1,677",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,677",
AA31E,350,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"2,940",.,.,.,.,"2,940",
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,.,.,.,.,.,.,.,"1,691",.,.,.,.,"1,691",
AA31E,800,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,"1,818",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,818",
AA33C,400,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,144",.,.,.,.,"1,144",
AA33D,420,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,652,
AA33D,421,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,627",.,.,.,.,"1,627",
AA35B,100,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,997,
AA35B,430,Stroke with CC Score 13-15,.,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689,
AA35C,400,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"8,665",.,.,.,.,"8,665",
AA35C,430,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,"14,933",.,.,.,.,"14,933",
AA35D,100,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,997,.,.,.,.,997,
AA35D,300,Stroke with CC Score 7-9,.,802,.,"3,744",.,.,.,.,.,.,.,.,"8,986",.,.,.,.,"4,020",
AA35D,361,Stroke with CC Score 7-9,.,338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,338,
AA35D,430,Stroke with CC Score 7-9,.,.,.,.,.,.,.,.,.,.,.,.,"2,360",.,.,.,.,"2,360",
AA35E,300,Stroke with CC Score 4-6,446,.,.,.,.,"1,162",.,.,.,.,.,.,370,.,.,.,.,587,
AA35E,430,Stroke with CC Score 4-6,357,.,.,.,"3,010",.,.,.,.,.,.,.,"4,084",.,.,.,.,"3,284",
AA35F,100,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,656,.,.,656,
AA35F,300,Stroke with CC Score 0-3,446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA35F,303,Stroke with CC Score 0-3,.,.,"4,624",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,624",
AA35F,430,Stroke with CC Score 0-3,.,.,.,.,.,.,.,.,.,.,.,.,929,.,.,.,.,929,
AA50B,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"27,094",.,.,.,.,"27,094",
AA50C,100,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"8,120",.,.,.,.,"8,120",
AA50C,150,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"17,262",.,.,.,.,"17,262",
AA50E,370,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,"86,864",.,.,.,.,"86,864",
AA51B,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"7,707",.,.,.,.,"7,707",
AA51C,100,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"4,278",.,.,.,.,"4,278",
AA51C,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"9,101",.,.,.,.,"9,101",
AA51D,110,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,342",.,.,.,.,.,.,.,.,.,"3,342",
AA51D,120,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"8,194",.,.,.,.,"8,194",
AA51D,150,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"9,274",.,.,.,.,"9,274",
AA51D,172,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"3,704",.,.,.,.,"3,704",
AA51F,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"20,454",.,.,.,.,"20,454",
AA51G,150,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"14,022",.,.,.,.,"14,022",
AA52C,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,"7,110",.,.,.,.,.,.,.,.,.,"7,110",
AA52C,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"9,252",.,.,.,.,"9,252",
AA52C,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"8,156",.,.,.,"1,890","5,023",
AA52D,110,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,836",.,.,.,.,.,.,.,.,.,"3,836",
AA52D,120,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"11,387",.,.,.,.,"11,387",
AA52D,150,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"10,321",.,.,.,.,"10,321",
AA52D,160,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,890","1,890",
AA52D,320,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"3,871",.,.,.,.,"3,871",
AA52E,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"9,699",.,.,.,.,"9,699",
AA52F,150,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"9,322",.,.,.,.,"9,322",
AA52G,110,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"6,393",.,.,.,.,"6,393",
