HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA08D,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,1,.,.,.,1,.,.,.,.,2
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,25
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,81,.,.,.,.,81
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,7,.,.,.,.,8
AA17C,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,25
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,40,.,.,.,.,40
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,3
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,10
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,2,.,.,.,.,.,.,.,.,43,.,.,.,2,47
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,1,.,1,.,.,.,.,.,.,8,.,.,.,.,10
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,1,3,.,.,.,.,.,.,.,.,1,.,.,.,.,5
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,2
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",4,.,1,.,2,1,.,1,.,.,.,12,.,.,.,2,23
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,2
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,3
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,5,.,.,.,.,.,.,.,.,4,.,.,.,.,9
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",1,.,2,.,.,.,.,.,.,.,.,4,.,2,.,.,9
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",1,.,13,.,.,.,.,.,.,.,.,12,.,.,.,.,26
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,1,9
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,4,.,.,.,.,.,.,.,.,1,.,.,.,1,6
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1,7,.,.,.,.,.,.,1,.,.,4,.,.,.,.,13
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",3,3,7,1,.,.,.,.,.,.,.,62,.,.,.,1,77
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,.,1,.,.,.,.,2,.,.,.,.,.,.,.,4
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,1,.,.,1,2,.,.,5,.,1,.,.,10
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",2,2,2,.,.,.,.,.,1,.,.,32,.,2,.,3,44
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",1,.,1,.,3,.,.,.,1,.,.,67,.,2,.,1,76
AA28D,Motor Neuron Disease with CC Score 5-7,2,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,4
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,1,.,.,.,.,.,.,.,.,9,.,.,.,.,10
AA28F,Motor Neuron Disease with CC Score 0-1,.,1,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,6
AA29E,Transient Ischaemic Attack with CC Score 5-7,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AA29F,Transient Ischaemic Attack with CC Score 0-4,1,.,.,.,.,.,.,.,1,.,.,3,.,.,.,.,5
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,1,.,.,.,.,.,.,5,.,.,.,.,6
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,1,1,.,.,.,.,.,.,.,.,17,.,1,.,1,21
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",3,.,2,.,3,.,.,.,.,.,.,8,.,1,.,3,20
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA35A,Stroke with CC Score 16+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,7,8
AA35B,Stroke with CC Score 13-15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,25
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,2,6
AA35D,Stroke with CC Score 7-9,1,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,3
AA35E,Stroke with CC Score 4-6,4,.,.,.,1,.,.,.,.,.,.,4,.,.,.,4,13
AA35F,Stroke with CC Score 0-3,.,3,.,.,4,1,.,.,.,.,.,1,.,.,.,7,16
AA39Z,Long Term EEG Monitoring,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA40Z,Complex Long Term EEG Monitoring,.,3,1,.,.,.,.,.,.,.,.,163,.,.,.,.,167
AA41Z,Sleep Studies,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA42Z,Complex Sleep Studies,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,2
AB03Z,Complex Pain Procedures,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB04Z,Major Pain Procedures,.,.,2,.,.,.,.,44,.,.,.,5,.,.,.,.,51
AB05Z,Intermediate Pain Procedures,1,.,.,.,.,.,.,3,.,.,.,37,.,.,.,3,44
AB06Z,Minor Pain Procedures,2,1,.,.,2,.,.,6,.,.,.,.,.,.,.,.,11
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,3,.,.,.,.,.,.,.,.,10,.,.,.,.,13
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,11,.,.,.,.,.,.,.,.,11
AB09Z,Other Specified Pain Procedures,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",8,.,.,.,.,.,.,.,.,4,.,86,.,.,.,.,98
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,1,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,15
BZ04B,Lens Capsulotomy with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,3,5
BZ05B,Major Oculoplastics Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,5,7
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,.,.,.,.,.,.,.,16,.,.,.,6,24
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,5
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,20
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",2,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,4
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",4,.,.,.,.,.,.,.,.,.,.,10,.,.,.,18,32
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ09C,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",11,.,.,.,.,.,.,.,.,1,.,46,.,.,.,1,59
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,23
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,7
BZ16A,"Minor Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ17A,Major Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ17B,Major Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ19B,Minor Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,75,.,.,.,.,75
BZ21A,Major Vitreous Retinal Procedures with CC Score 3+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,1,.,.,.,.,.,.,.,.,.,.,78,.,.,.,.,79
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,112,.,.,.,.,112
BZ23Z,Minor Vitreous Retinal Procedures,.,.,.,.,.,.,.,.,.,.,.,58,.,.,.,.,58
BZ24D,Non-Surgical Ophthalmology with Interventions,1,.,1,.,.,.,.,.,.,.,.,7,.,.,.,.,9
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",3,.,5,.,1,.,.,.,.,1,.,13,.,.,.,.,23
CA01Z,Complex Neck Procedures,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,5
CA02A,Very Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,8,14
CA02B,Very Major Neck Procedures with CC Score 0-1,3,.,.,.,4,.,.,.,.,.,.,20,.,.,.,5,32
CA03A,Major Neck Procedures with CC Score 2+,4,.,.,.,.,.,.,.,.,.,.,3,.,.,.,11,18
CA03B,Major Neck Procedures with CC Score 0-1,24,14,1,.,17,.,.,.,.,.,.,52,.,.,.,8,116
CA04A,"Intermediate Neck Procedures, 19 years and over",9,3,.,.,3,.,.,.,.,.,.,25,.,.,.,1,41
CA04B,"Intermediate Neck Procedures, 18 years and under",3,.,.,.,1,.,.,.,.,.,.,5,.,.,.,.,9
CA05A,"Minor Neck Procedures, 19 years and over",16,5,2,.,6,1,.,.,.,.,.,14,.,4,.,2,50
CA05B,"Minor Neck Procedures, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA10A,"Septorhinoplasty, 19 years and over",35,35,.,.,87,.,.,.,.,.,.,14,.,.,.,6,177
CA10B,"Septorhinoplasty, 18 years and under",2,.,.,.,6,.,.,.,.,.,.,1,.,.,.,5,14
CA11A,"Septoplasty, 19 years and over",90,46,.,.,125,3,.,.,.,.,.,102,.,.,.,3,369
CA11B,"Septoplasty, 18 years and under",9,1,.,.,8,1,.,.,.,.,.,6,.,.,.,4,29
CA12Z,Major Treatment of Epistaxis,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
CA14Z,Nasal Polypectomy,13,17,.,.,27,.,.,.,.,.,.,38,.,.,.,.,95
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",1,1,.,.,3,.,.,.,.,.,.,4,.,.,.,.,9
CA16Z,"Excision or Biopsy, of Lesion of External Nose",6,1,.,.,1,.,.,.,.,.,.,3,.,.,.,4,15
CA20Z,Complex Nose Procedures,.,.,.,.,1,.,.,.,.,.,.,19,.,.,.,5,25
CA21Z,Very Major Nose Procedures,4,3,.,.,9,.,.,.,.,.,.,8,.,.,.,6,30
CA22Z,Major Nose Procedures,25,24,.,.,38,.,.,.,.,.,.,35,.,.,.,12,134
CA23Z,Intermediate Nose Procedures,2,.,.,.,.,.,.,.,.,.,.,6,.,.,.,8,16
CA24A,"Minor Nose Procedures, 19 years and over",2,6,.,.,15,.,.,.,.,.,.,12,.,.,.,2,37
CA24B,"Minor Nose Procedures, 18 years and under",.,1,.,.,1,.,.,.,.,.,.,1,.,.,.,1,4
CA25A,"Minimal Nose Procedures, 19 years and over",2,3,.,.,2,.,.,.,.,.,.,2,.,.,.,.,9
CA25B,"Minimal Nose Procedures, 18 years and under",2,.,.,.,2,2,.,.,.,.,.,.,.,.,.,.,6
CA26Z,Complex Sinus Procedures,1,1,.,.,3,.,.,.,.,.,.,39,.,.,.,.,44
CA27Z,Major Sinus Procedures,12,1,.,.,9,.,.,.,.,.,.,5,.,.,.,.,27
CA28Z,Intermediate Sinus Procedures,13,29,.,.,32,.,.,.,.,.,.,50,.,.,.,.,124
CA29Z,Minor Sinus Procedures,5,6,.,.,6,1,.,.,.,.,.,11,.,.,.,1,30
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",8,5,.,.,21,.,.,.,.,.,.,22,.,.,.,.,56
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",4,1,.,.,3,.,.,.,.,.,.,4,.,.,.,1,13
CA31Z,"Simple or Cortical, Mastoid Procedures",2,5,.,.,3,.,.,.,.,.,.,11,.,.,.,1,22
CA32A,"Tympanoplasty, 19 years and over",23,20,.,.,17,.,.,.,.,.,.,49,.,.,.,.,109
CA32B,"Tympanoplasty, 18 years and under",3,11,.,.,15,1,.,.,.,.,.,18,.,.,.,11,59
CA33Z,Pinnaplasty,6,5,.,.,17,.,.,.,.,.,.,4,.,.,.,5,37
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",4,1,.,.,1,.,.,.,.,.,.,5,.,.,.,.,11
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
CA35A,"Insertion of Grommets, 19 years and over",3,4,.,.,1,.,.,.,.,.,.,4,.,.,.,.,12
CA35B,"Insertion of Grommets, between 2 and 18 years",8,5,.,.,9,.,.,.,.,.,.,4,.,.,.,1,27
CA35C,"Insertion of Grommets, 1 year and under",.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA36B,"Clearance of External Auditory Canal, 18 years and under",1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,3
CA41Z,Bilateral Cochlear Implants,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,41
CA50Z,Complex Ear Procedures,.,.,.,.,2,.,.,.,.,.,.,11,.,.,.,1,14
CA51A,"Very Major Ear Procedures, 19 years and over",.,6,.,.,7,.,.,.,.,.,.,14,.,.,.,2,29
CA51B,"Very Major Ear Procedures, 18 years and under",.,1,.,.,3,.,.,.,.,.,.,8,.,.,.,8,20
CA52A,"Major Ear Procedures, 19 years and over",7,3,.,.,10,.,.,.,.,.,.,29,.,.,.,7,56
CA52B,"Major Ear Procedures, 18 years and under",1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,3,5
CA53A,"Intermediate Ear Procedures, 19 years and over",1,5,.,.,2,.,.,.,.,.,.,7,.,.,.,1,16
CA53B,"Intermediate Ear Procedures, 18 years and under",2,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,4
CA54A,"Minor Ear Procedures, 19 years and over",1,.,.,.,2,.,.,.,.,.,.,2,.,.,.,.,5
CA54B,"Minor Ear Procedures, 18 years and under",2,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,4
CA55A,"Minimal Ear Procedures, 19 years and over",.,2,.,.,.,.,.,.,.,.,.,2,.,.,.,.,4
CA55B,"Minimal Ear Procedures, 18 years and under",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA60A,"Tonsillectomy, 19 years and over",177,129,.,.,156,.,.,.,.,.,.,274,.,.,.,1,737
CA60B,"Tonsillectomy, 18 years and under",233,251,.,.,207,5,.,.,.,.,.,122,.,.,.,99,917
CA61Z,Adenotonsillectomy,52,94,.,.,160,5,.,.,.,.,.,49,.,.,.,88,448
CA62Z,Adenoidectomy,33,18,.,.,17,1,.,.,.,.,.,10,.,.,.,5,84
CA63Z,Tracheostomy,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,3,.,.,.,2,.,.,.,.,.,.,5,.,.,.,.,10
CA65Z,Frenotomy or Frenectomy,.,.,.,.,2,.,.,.,.,.,.,1,.,.,.,.,3
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",12,2,.,.,5,.,.,.,.,.,.,12,.,.,.,16,47
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",4,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2,7
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+",4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",10,4,.,.,5,.,.,.,.,.,.,25,.,.,.,.,44
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",8,.,.,.,7,.,.,.,.,.,.,8,.,.,.,.,23
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,8
