FID,PERIMETER,NAME,ACRES
221,563.4287,Bethany Cemetery,0.495
222,1022.665,Mifflin Cemetery,1.534
223,2316.574,Holy Family Cemetery,4.623
224,3118.637,Saint Josephs Cemetery,14.292
225,772.8775,North Versailles Cemetery,0.902
226,4070.126,Saint Casiner Cemetery,22.326
227,1877.777,Saint Sava Cemetery,5.182
228,2081.367,Saint Mary's Cemetery,5.508
229,2363.013,.000,0
230,3856.1,Melrose Cemetery,23.669
231,7515.9,Mckeesport And Versailles Cemetery,60.068
232,2395.252,Saint Agatha Cemetery,6.226
233,3222.829,Richland Cemetery,14.568
234,1941.752,West Mifflin Cemetery,5.186
235,2363.713,Saint Georges Cemetery,7.909
236,2235.392,Fairview Cemetery,6.064
237,2282.387,Saint Josephs Cemetery,5.786
238,517.7793,.000,0
239,2144.009,.000,0
240,3086.505,Bethel Cemetery,12.479
241,18004.99,Jefferson Memorial Park Cemetery,284.071
242,5913.564,Sacred Heart Cemetery,20.27
243,1522.193,Emblem Cemetery,2.622
244,2393.739,Saint Vladimer Cemetery,6.16
245,2149.781,Kasher Israel Anchab Cemetery,6.427
246,931.35,.000,0
247,799.0266,Alpville Cemetery,0.809
248,380.4982,Tourman Cemetery,0.206
249,406.7154,Coulterville Cemetery,0.254
250,1432.886,S.S. Peter And Paul Cemetery,3.069
251,2937.468,St. Olaus Cemetery,11.673
252,5778.193,Mount Vernon Cemetery,44.946
253,893.8784,West Library Cemetery,1.169
254,931.8386,Dravo Cemetery,1.133
255,2586.879,Blaine Hill Cemetery,9.899
256,917.1205,St. Michaels Cemetery,1.223
257,1061.696,Elizabeth Cemetery,1.285
258,1269.758,Lobbs Run Cemetery,2.46
259,3877.888,Churchill Cemetery,17.65
260,1056.114,Taylor Cemetery,1.547
261,831.9457,Weaver And Wendell Cemetery,0.866
