HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total FCEs
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,81,.,.,.,.,.,.,25,.,.,.,.,.,106
AA25G,410,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26F,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
AA26G,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
AA26G,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,3
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,4
AA26G,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,4,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,8
AA26H,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,1,2,1,.,.,.,.,.,.,3,.,.,.,.,7
AA26H,130,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
AA26H,140,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26H,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA26H,160,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,.,8
AA26H,191,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,47,1,.,.,.,.,.,5,.,.,5,.,.,.,.,58
AA26H,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",11,.,.,.,.,1,4,.,.,2,.,.,.,.,.,.,66,.,84
AA26H,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
AA26H,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,68,.,.,.,.,.,.,65,.,.,.,.,.,133
AA26H,410,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,48,.,.,28,.,.,.,.,.,.,.,7,.,.,.,.,83
AA26H,823,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,5
AA29D,361,Transient Ischaemic Attack with CC Score 8-10,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,320,Transient Ischaemic Attack with CC Score 0-4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,400,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
AA30E,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,1,.,8
AA30E,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA30F,130,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA30F,150,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,8
AA30F,191,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
AA30F,300,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",4,.,.,.,.,.,54,.,.,.,.,.,83,.,.,.,.,.,141
AA30F,303,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA30F,320,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,3
AA30F,340,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,4
AA30F,400,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,52,.,.,.,.,.,1,"1,719",.,.,.,.,.,"1,772"
AA30F,823,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
AA31E,191,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,17,.,19
AA31E,300,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,1,2,.,.,.,.,.,.,.,.,.,1,.,4
AA31E,400,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,.,.,197,.,.,.,.,.,.,5,.,.,.,.,.,202
AA35B,361,Stroke with CC Score 13-15,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA35D,301,Stroke with CC Score 7-9,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA35E,300,Stroke with CC Score 4-6,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA35F,300,Stroke with CC Score 0-3,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA53D,191,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA53D,502,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA54B,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA54C,140,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
AA54C,191,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,1,1,.,.,.,.,.,.,.,.,1,.,.,.,.,3
AA55A,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA55B,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA55B,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,1,.,10
AA55B,300,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA55C,140,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA55C,150,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA55C,191,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,20,.,.,.,.,.,.,.,.,24,.,.,4,.,48
AA56B,120,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,4
AA57A,150,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA57A,191,"Minimal Intracranial Procedures, 19 years and over",1,.,.,14,23,.,.,.,.,.,.,.,.,39,.,.,2,.,79
AA57A,400,"Minimal Intracranial Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,68,.,.,.,.,.,68
AA57B,110,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,2
AA60A,100,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA60A,191,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,1,6,.,.,.,.,.,.,.,.,.,.,.,.,.,7
AA80Z,420,Complex Long Term EEG Monitoring,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA81Z,420,Standard Long Term EEG Monitoring,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB12Z,150,Insertion of Neurostimulator for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AB12Z,191,Insertion of Neurostimulator for Pain Management,.,.,.,8,21,.,.,.,.,.,.,.,.,5,.,.,.,.,34
AB13Z,191,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB14Z,191,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,6,.,.,.,.,.,.,.,.,.,8,.,.,.,.,14
AB15Z,191,"Radiofrequency Ablation or Cryoablation, for Pain Management",48,.,.,109,32,.,.,.,.,.,17,21,.,65,.,8,11,.,311
AB16Z,110,"Denervation or Injection Around Spinal Facet, for Pain Management",.,.,.,.,.,.,.,.,249,.,.,.,1,.,.,.,.,.,250
AB16Z,191,"Denervation or Injection Around Spinal Facet, for Pain Management",180,.,.,402,10,.,.,.,.,.,23,83,.,293,.,192,11,.,"1,194"
AB17Z,110,"Nerve Block or Destruction of Nerve, for Pain Management",1,.,.,.,.,.,.,.,7,.,.,.,.,.,.,.,.,.,8
AB17Z,120,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AB17Z,140,"Nerve Block or Destruction of Nerve, for Pain Management",1,.,.,.,.,.,.,4,.,.,.,.,.,.,.,.,.,.,5
AB17Z,150,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AB17Z,160,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AB17Z,191,"Nerve Block or Destruction of Nerve, for Pain Management",19,.,.,36,7,.,.,.,.,.,8,33,.,23,.,18,97,.,241
AB17Z,400,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,70,.,.,.,.,.,.,.,.,.,.,.,.,70
AB17Z,410,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB17Z,502,"Nerve Block or Destruction of Nerve, for Pain Management",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
AB18Z,110,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,9
AB18Z,191,Continuous Infusion of Therapeutic Substance for Pain Management,34,.,.,6,.,.,.,.,.,.,.,25,.,34,.,6,145,.,250
AB18Z,300,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,.,2
AB18Z,400,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,8,.,.,.,.,.,.,221,.,.,.,.,.,229
AB18Z,410,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
AB18Z,501,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AB19Z,110,Injection of Therapeutic Substance into Joint for Pain Management,19,.,.,.,.,99,.,2,219,.,.,.,7,9,.,.,2,.,357
AB19Z,191,Injection of Therapeutic Substance into Joint for Pain Management,6,.,.,24,.,.,.,.,.,.,.,35,.,7,.,14,5,.,91
AB19Z,300,Injection of Therapeutic Substance into Joint for Pain Management,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AB19Z,410,Injection of Therapeutic Substance into Joint for Pain Management,.,.,54,.,.,56,.,.,.,.,.,.,.,5,.,.,.,.,115
AB20Z,110,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,152,.,.,.,1,.,.,.,.,.,153
AB20Z,150,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
AB20Z,191,Epidural Under Image Control for Pain Management,2,.,.,39,.,.,.,.,.,.,.,18,.,155,.,.,1,.,215
AB21Z,110,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,.,.,.,36,.,.,.,.,.,.,.,.,.,36
AB21Z,191,"Epidural or Therapeutic Spinal Puncture, for Pain Management",42,.,.,195,1,.,.,.,.,.,3,50,.,4,.,77,303,.,675
AB21Z,400,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,3,.,.,.,.,.,.,11,.,.,.,.,.,14
AB22Z,110,Trigger Point Injection for Pain Management,4,.,.,.,.,19,.,.,21,.,.,.,.,1,.,.,1,.,46
AB22Z,160,Trigger Point Injection for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AB22Z,191,Trigger Point Injection for Pain Management,4,.,.,10,1,.,.,.,.,.,2,9,.,2,.,3,118,.,149
AB22Z,400,Trigger Point Injection for Pain Management,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB22Z,410,Trigger Point Injection for Pain Management,.,.,23,.,.,23,.,.,.,.,.,.,.,8,.,.,.,.,54
BZ24E,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",1,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,5
BZ24F,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",2,.,.,.,.,.,.,.,.,.,.,.,102,.,.,.,.,.,104
BZ24G,130,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",6,.,.,.,.,.,.,.,.,.,3,.,523,1,.,.,.,.,533
BZ24G,300,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,2,.,.,.,.,.,4,.,.,.,.,.,6
BZ24G,303,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ24G,320,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
BZ24G,361,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ24G,400,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,15
BZ24G,800,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ30A,130,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
BZ30B,130,"Complex, Cataract or Lens Procedures, with CC Score 0-1",2,.,.,.,.,.,.,.,.,1,1,.,19,.,.,.,.,.,23
BZ31A,130,"Very Major, Cataract or Lens Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,1,.,5,.,.,.,.,.,7
BZ31B,130,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",35,.,.,.,.,.,.,3,.,2,9,.,33,.,.,1,.,.,83
BZ32A,130,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
BZ32B,130,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",8,.,.,.,.,.,.,.,.,2,17,.,25,2,1,2,.,.,57
BZ32B,800,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
BZ33Z,120,"Minor, Cataract or Lens Procedures",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
BZ33Z,130,"Minor, Cataract or Lens Procedures",289,.,.,.,.,.,.,.,.,.,119,.,725,.,44,.,.,.,"1,177"
BZ34A,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,9,.,20,.,.,2,1,.,1,.,.,33
BZ34B,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",4,.,.,.,.,.,.,64,.,150,5,.,12,15,.,24,.,.,274
BZ34C,130,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,304",.,.,.,.,.,.,416,.,635,"3,004",.,"1,043",368,.,521,.,.,"7,291"
BZ40Z,130,Very Complex Oculoplastics Procedures,4,.,.,.,.,.,.,.,.,.,10,.,4,.,.,5,.,.,23
BZ41B,130,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",14,.,.,.,.,.,.,.,.,.,34,.,16,.,.,3,.,.,67
BZ41B,160,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,3,.,4
BZ42A,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,1,.,.,1,.,.,.,.,2
BZ42A,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,.,2
BZ42B,120,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,1
BZ42B,130,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",43,.,.,.,.,.,.,.,.,.,64,.,94,2,.,5,.,.,208
BZ42B,140,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ42B,160,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,.,7,.,19
BZ43Z,130,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,6
BZ44A,130,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ44B,100,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,2
BZ44B,130,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",84,.,.,.,.,.,.,.,.,5,133,.,161,17,5,14,.,.,419
BZ44B,140,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ44B,160,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,2
BZ44B,330,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ44C,130,"Major Oculoplastics Procedures, 18 years and under",7,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,24
BZ45A,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
BZ45A,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",3,.,.,.,.,.,.,.,.,.,.,.,5,1,.,1,.,.,10
BZ45A,160,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,.,3
BZ45B,100,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,3,.,.,16,.,1,2,.,.,.,2,.,3,.,3,2,.,33
BZ45B,120,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
BZ45B,130,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",153,.,.,.,.,.,.,.,.,16,64,.,410,73,7,18,.,.,741
