HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Average
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,"8,318",.,.,.,.,.,.,.,.,.,"1,704",.,.,.,.,"4,538"
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",596,.,.,"1,182","1,898",.,.,.,.,.,737,"1,281",.,592,.,674,391,.,983
AB16Z,"Denervation or Injection Around Spinal Facet, for Pain Management",558,.,.,957,"2,012",.,.,.,650,.,724,"1,126","1,015",472,.,674,391,.,727
AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management",620,.,.,"1,036","1,927",370,.,"1,161",640,.,754,"1,167","1,946",478,.,828,407,.,649
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,522,.,.,145,.,380,.,.,"1,053",.,.,"1,290",313,"1,308",.,674,390,.,486
AB19Z,Injection of Therapeutic Substance into Joint for Pain Management,767,.,292,145,.,585,.,"1,785",676,743,.,"1,168",665,475,.,520,569,.,617
AB20Z,Epidural Under Image Control for Pain Management,539,.,.,"1,254",.,.,.,.,657,.,.,"1,150","1,046",433,.,.,391,.,653
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",510,.,.,"1,363","2,638",371,.,.,675,.,907,"1,188",228,559,.,674,391,.,762
AB22Z,Trigger Point Injection for Pain Management,778,.,292,586,"2,018",487,.,.,662,.,684,"1,105",776,366,.,572,391,.,478
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",396,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,347
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",396,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,336
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",484,327,.,67,.,.,454,.,.,.,238,.,348,209,.,.,.,.,348
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,278",.,.,.,.,.,"2,278"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",791,.,.,.,.,.,.,.,.,811,715,.,"2,126",.,.,.,.,.,"1,892"
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,758,.,"1,852",.,.,.,.,.,"1,544"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",791,.,.,.,.,.,.,671,.,811,752,.,"1,752",.,.,790,.,.,"1,165"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",791,.,.,.,.,.,.,.,.,.,.,.,"1,075",.,.,.,.,.,933
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",758,.,.,"1,042",.,.,.,.,.,811,770,.,"1,238",943,353,790,652,.,970
BZ33Z,"Minor, Cataract or Lens Procedures",594,.,.,.,.,.,.,.,.,.,695,.,348,.,353,.,.,.,443
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,671,.,811,.,.,"1,067","1,024",.,790,.,.,794
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",791,.,.,.,.,.,.,671,.,811,765,.,"1,412",966,.,790,.,.,810
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",791,.,.,.,.,.,.,671,.,811,763,.,"1,238",982,.,790,.,.,848
BZ40Z,Very Complex Oculoplastics Procedures,"1,384",.,.,.,.,.,.,.,.,.,733,.,"1,870",.,.,835,.,.,"1,066"
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,215",.,.,.,.,.,.,.,.,.,716,.,"1,926",.,.,616,"1,585",.,"1,137"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,"1,402",654,.,.,891,.,.,"1,585",.,"1,133"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,066",.,.,.,.,.,.,.,.,"1,614",708,.,"1,424","1,017",.,888,"1,969",.,"1,164"
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under","1,187",.,.,.,.,.,.,.,.,.,.,.,"1,861",.,.,.,.,.,"1,636"
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,861,.,.,.,.,861
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,093",.,.,.,362,.,.,"1,581",.,"1,245",680,.,830,798,388,728,"1,348",.,831
BZ44C,"Major Oculoplastics Procedures, 18 years and under","1,036",.,.,.,.,.,.,.,.,.,.,.,"1,660",.,.,.,.,.,"1,478"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",857,.,.,.,"1,154",.,.,.,.,"1,091",.,.,604,446,.,616,"1,202",.,823
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",960,447,.,.,674,384,652,760,.,"1,141",679,"1,010",512,531,488,796,"1,231",143,668
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years","1,109",.,.,.,.,.,.,.,.,.,.,.,701,.,.,.,.,.,799
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under","1,088",.,.,.,.,.,.,.,.,.,.,.,"1,096",.,.,.,"1,266",.,"1,107"
BZ46A,"Minor Oculoplastics Procedures, 19 years and over","1,003",.,.,.,.,.,.,.,.,"1,084",677,.,342,484,505,780,"1,202",.,458
BZ46B,"Minor Oculoplastics Procedures, 18 years and under",894,.,.,.,.,.,.,.,.,.,.,.,635,439,.,.,.,.,679
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",989,.,.,.,.,.,.,.,.,.,.,.,"3,489",.,.,.,.,.,"2,239"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",989,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,989
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",989,.,.,.,.,.,.,.,.,.,.,.,"1,159",476,.,.,.,.,"1,013"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,080",.,.,.,.,.,"1,080"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",989,.,.,.,.,.,.,.,.,.,.,.,"1,821",.,.,.,.,.,"1,322"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",989,.,.,.,.,.,.,.,.,.,.,.,"1,033",.,.,.,.,.,"1,023"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",857,.,.,.,.,.,.,.,.,.,.,.,"1,616",846,.,.,.,.,"1,330"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",936,.,.,.,.,.,.,.,.,.,757,.,"1,606",.,.,725,.,.,"1,380"
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"1,341",.,.,.,.,.,"1,320"
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",791,.,.,.,.,.,.,.,.,822,.,.,335,.,.,.,.,.,520
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",996,.,.,.,.,.,.,.,.,.,689,.,346,471,488,.,.,.,499
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"1,188",.,.,.,.,.,"1,138"
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",989,.,.,.,.,.,.,.,.,.,668,.,356,457,388,.,.,.,418
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,752,.,.,.,.,.,805
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1","1,123",.,.,.,.,.,.,.,.,.,984,.,"1,787",.,.,.,.,.,"1,420"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,762,.,"1,645",.,.,.,.,.,"1,101"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,822,667,.,708,.,.,.,.,.,713
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",791,.,.,.,.,.,.,.,.,822,701,.,"1,315",.,.,.,.,.,"1,132"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,650,.,.,.,.,.,.,.,650
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",758,.,.,.,.,.,.,.,.,.,.,.,"1,064",.,.,.,.,.,920
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",791,.,.,.,.,.,.,.,.,822,658,.,796,.,.,.,.,.,758
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",791,.,.,.,.,.,.,.,.,.,684,.,"1,090",.,.,579,.,.,888
BZ65Z,"Minor, Cornea or Sclera Procedures",.,.,.,.,.,.,.,.,.,.,.,.,335,.,.,.,.,.,335
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over","1,017",.,.,.,.,.,.,.,.,822,.,.,"2,356",.,.,.,.,.,"1,365"
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"2,044",.,.,.,.,.,"1,605"
BZ72A,"Major Ocular Motility Procedures, 19 years and over",997,.,.,.,.,.,.,.,.,940,720,.,"2,087",.,.,.,.,.,"1,432"
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",989,.,.,.,.,.,.,.,.,988,.,.,"2,050",.,.,.,.,.,"1,563"
BZ72C,"Major Ocular Motility Procedures, 3 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"1,920",.,.,.,.,.,"1,547"
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",989,.,.,659,.,.,.,.,.,.,.,.,893,.,.,.,.,.,858
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,822,.,.,"2,281",.,.,.,.,.,"2,099"
BZ74A,"Minor Ocular Motility Procedures, 19 years and over",989,.,.,.,.,.,.,.,.,822,679,.,"1,146",.,.,.,.,.,987
BZ74B,"Minor Ocular Motility Procedures, 18 years and under",989,.,.,.,.,.,.,.,.,.,.,.,"1,248",.,.,.,.,.,"1,184"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,609",.,.,.,.,.,"1,609"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,197",.,.,.,.,.,"2,197"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,828",.,.,.,.,.,"1,828"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,996",.,.,.,.,.,"1,996"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",544,.,.,.,.,.,.,.,.,.,.,.,"2,358",.,255,.,.,.,"1,498"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",539,.,.,.,.,.,.,.,.,.,.,.,"1,493",.,.,.,.,.,"1,451"
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",544,.,.,.,.,.,.,.,.,.,.,.,417,.,255,.,.,.,438
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",547,.,.,.,.,.,.,671,.,.,675,.,473,.,255,591,.,.,493
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,317",.,.,.,.,.,"1,317"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",603,.,.,.,.,.,.,.,.,.,668,.,353,.,255,.,.,.,378
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",593,.,.,.,.,.,.,.,.,.,670,.,386,.,256,.,.,.,449
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,746,.,.,.,.,.,746
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",739,.,.,.,.,.,.,.,.,.,723,.,429,.,.,.,"1,553",.,496
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",528,.,.,.,.,.,.,.,.,.,.,.,"1,290",.,.,.,.,.,"1,082"
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,085",.,.,.,.,.,"1,085"
BZ88A,"Retinal Tomography, 19 years and over",791,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,791
BZ89A,"Digital Retinal Photography, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,388,.,.,.,388
BZ90Z,"Very Complex, Glaucoma or Iris Procedures",660,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,660
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",660,.,.,.,.,.,.,.,.,.,792,.,"2,373",.,.,.,.,.,"1,275"
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",660,.,.,.,.,.,.,.,.,.,819,.,"1,828",.,.,.,.,.,"1,259"
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",660,.,.,.,.,.,.,.,.,.,.,.,"1,493",.,.,.,.,.,"1,215"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",663,.,.,.,.,.,.,.,.,.,763,.,"1,539",.,.,543,.,.,"1,144"
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",544,.,.,.,.,.,.,.,.,.,.,.,967,.,.,.,.,.,713
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",660,.,.,.,.,.,.,.,.,.,631,.,861,.,.,.,.,.,811
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",660,.,.,.,.,.,.,.,.,822,680,.,615,.,.,.,.,.,641
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",660,.,.,.,.,.,.,.,.,.,663,.,405,.,321,725,.,.,454
BZ95Z,"Minor, Glaucoma or Iris Procedures",660,.,.,.,.,.,.,.,.,.,687,.,364,.,321,.,.,.,464
CA03B,Major Neck Procedures with CC Score 0-1,.,"1,619",.,.,"1,649","1,193",.,.,.,.,.,.,"2,384",.,.,.,.,.,"1,919"
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,759,.,.,.,.,.,.,933,.,.,.,.,.,846
CA04B,"Intermediate Neck Procedures, 18 years and under",.,554,.,.,.,"1,201",.,.,.,.,.,.,"2,300",.,.,.,"1,436",.,"1,472"
CA05A,"Minor Neck Procedures, 19 years and over","1,126","1,173",.,.,"1,018","1,033","1,180",802,"1,057",949,"1,026","1,551","1,278",981,.,"1,045","1,058",.,"1,121"
CA05B,"Minor Neck Procedures, 18 years and under","1,071",.,.,.,"1,120","1,041",.,.,.,.,.,.,"1,945",930,.,.,"1,244",.,"1,199"
CA10A,"Septorhinoplasty, 19 years and over",.,"2,309",.,.,.,"1,556","1,793",.,.,.,.,"2,573","1,798",948,.,.,.,.,"1,838"
CA10B,"Septorhinoplasty, 18 years and under",.,.,.,.,.,"1,801",.,"1,045",.,.,.,.,.,.,.,.,"1,114",.,"1,269"
CA11A,"Septoplasty, 19 years and over",.,"2,352",.,.,"1,591","1,421","1,360","1,107",.,996,.,"2,295","1,235","1,135",.,"2,021",.,.,"1,542"
CA11B,"Septoplasty, 18 years and under",.,797,.,.,.,"1,325","1,320","1,107",.,.,.,"2,631","1,079","1,348",.,"2,021","1,064",.,"1,335"
CA12Z,Major Treatment of Epistaxis,.,.,.,.,.,.,.,.,.,.,.,.,366,.,.,.,.,.,366
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,"1,655",.,.,.,901,.,.,.,"1,084",.,.,320,.,.,.,.,.,990
CA13B,"Minor Treatment of Epistaxis, 18 years and under",730,"1,462",.,.,"1,129",756,.,.,.,.,.,.,599,"1,041",.,.,748,.,772
CA14Z,Nasal Polypectomy,730,"1,012",.,.,"1,129","1,024",867,"1,107",.,.,.,"1,838",989,856,.,"1,618",.,.,"1,042"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",793,"1,149",.,.,765,"1,075",780,937,.,.,.,"1,173",874,.,.,"1,429",946,.,959
CA16Z,"Excision or Biopsy, of Lesion of External Nose",367,391,.,.,621,492,672,811,.,967,.,886,"1,026",597,.,"1,340","1,061",143,629
CA20Z,Complex Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,.,"1,030",.,.,.,"1,202",.,"1,087"
CA21Z,Very Major Nose Procedures,.,"3,072",.,.,.,"2,529",.,.,.,969,.,"2,153","1,263",.,.,.,562,.,"1,637"
CA22Z,Major Nose Procedures,"1,328","2,442",.,.,"1,022","1,677","1,911","1,095",.,.,.,"2,334","1,236",897,.,"1,901",221,.,524
CA23Z,Intermediate Nose Procedures,350,"2,032",.,.,.,"1,201","1,038",956,.,962,.,.,"1,057",588,.,"1,337","1,110",.,895
CA24A,"Minor Nose Procedures, 19 years and over",817,"1,872",.,.,204,"1,180",987,956,.,.,.,"1,409",721,885,.,"1,475","1,008",.,"1,252"
CA24B,"Minor Nose Procedures, 18 years and under","1,014","1,118",.,.,"1,086",.,795,.,.,.,.,"1,536","1,179",.,.,.,"1,221",.,"1,109"
CA25A,"Minimal Nose Procedures, 19 years and over",665,"1,682",.,.,"1,184",996,.,804,.,.,.,"1,994",499,899,.,"1,521",.,.,"1,069"
CA25B,"Minimal Nose Procedures, 18 years and under",730,"1,001",.,.,"1,290",720,743,925,.,.,.,943,718,948,.,.,"1,019",.,921
CA26Z,Complex Sinus Procedures,.,.,.,.,.,.,"2,148",.,.,942,.,"2,305","2,189",.,.,.,.,.,"2,022"
CA27Z,Major Sinus Procedures,.,"2,358",.,.,.,"1,312","1,642","1,045",.,942,.,.,"1,098",.,.,.,.,.,"1,262"
CA28Z,Intermediate Sinus Procedures,.,"2,511",.,.,.,"1,827","1,317","1,183",.,942,.,"2,303","1,250",.,.,.,.,.,"1,801"
CA29Z,Minor Sinus Procedures,730,"1,909",.,.,"1,001","1,556","1,725",.,.,.,.,"2,135","1,163",.,.,.,.,.,"1,497"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,"1,932",.,.,.,"3,371",.,.,.,942,.,.,585,.,.,.,.,.,"2,040"
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,441",.,"1,441"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"1,692",.,.,.,.,.,.,.,942,.,.,.,.,.,.,"1,027",.,"1,110"
CA32A,"Tympanoplasty, 19 years and over","1,708","2,044",.,.,.,"1,801",.,.,.,"1,155",.,"1,988","1,776",.,.,"1,814","1,539",.,"1,819"
CA32B,"Tympanoplasty, 18 years and under","1,708","1,470",.,.,.,"1,419","1,925",.,.,"1,368",.,.,"2,428",.,.,"1,814","1,516",.,"1,895"
CA33Z,Pinnaplasty,"1,708","1,455",.,.,.,"2,543","1,448",.,.,"1,402",.,.,"2,548","1,847",.,"2,400","1,593",.,"2,368"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",564,733,.,.,486,549,787,867,.,877,659,"1,283",815,846,.,"1,346",888,143,712
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",594,879,.,.,"1,305",775,"1,049",.,.,.,.,"1,197","1,113","1,053",.,"1,423","1,108",.,"1,057"
CA35A,"Insertion of Grommets, 19 years and over",730,"1,405",.,.,998,798,846,956,.,873,.,"1,376",667,641,.,"1,228",906,.,939
CA35B,"Insertion of Grommets, between 2 and 18 years",727,"1,026",.,.,"1,077",728,774,956,.,873,.,572,766,774,.,"1,228",908,.,830
CA35C,"Insertion of Grommets, 1 year and under",730,"1,108",.,.,998,747,664,.,.,.,.,.,845,.,.,.,906,.,839
CA36A,"Clearance of External Auditory Canal, 19 years and over",567,718,.,.,.,"1,848",.,925,.,.,.,"1,523",487,.,.,.,.,.,957
CA36B,"Clearance of External Auditory Canal, 18 years and under",665,894,.,.,"1,088",623,797,.,.,.,.,660,692,782,.,.,748,.,713
CA38B,"Evoked Potential Recording, 18 years and under",486,"1,365",.,.,"1,201",948,.,.,.,.,.,.,.,.,.,.,"1,027",.,"1,085"
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"6,517",.,.,.,.,.,"6,517"
CA40Z,Fitting of Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,"7,351",.,.,.,.,.,"7,351"
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,.,"21,456",.,.,.,.,.,"21,456"
