Name of Dept / sponsor Dept where NDPB,Business Area / NDPB (as applicable),Title of Dataset,Date submitted,Status,Status Reason,Date referred to Data-holder,Response receipt deadline,Response received (Y/N),Date of response receipt,Response Received - Working Days taken,Response Outstanding -Working Days to date,Deadline met? (Y/N),Can Publish? (Y/N/Not Yet Determined),If can't publish - Primary exception reason provided,Exception reason comments,If can publish - timeframe advised to complete,Publication timeframe met? (Y/N)
Department for Infrastructure,TransportNI,Road Traffic Counts,04/12/2015,Open,Response received - Awaiting Publication,04/12/2015,18/12/2015,Y,17/12/2015,9,,Y,Y,,,29/02/2016,N
Department for Infrastructure,TransportNI,Scheduled road works,06/12/2015,Open,Response received - Awaiting Publication,07/12/2015,21/12/2015,Y,07/01/2016,19,,N,Y,,,29/02/2016,N
Department of Health,HSC Public Health Authority,NOIDS data,14/12/2015,Open,Referred to dataholder - Awaiting Response,15/12/2015,04/01/2016,N,,,133,N,,,,,
Department of Finance,Land and Property Services,Sold house prices,16/12/2015,Closed,Dataset not held,16/12/2015,05/01/2016,Y,16/12/2015,0,,Y,N,Data not held / not recorded.,Data not held in NI - data is held by HMRC.,,
Department for Communities,Core,Housing Condition Survey and NIHE Stock Survey data,23/12/2015,Open,Response received - Dataholder Investigating,29/12/2015,13/01/2016,Y,25/01/2016,18,,N,Not Yet Determined,,,,
Department of Finance,Land and Property Services,Cadastral Parcels,05/01/2016,Closed,Dataset cannot be published (exempt),07/01/2016,21/01/2016,Y,27/01/2016,14,,N,N,Third party IPR.,Dataset subject to an existing Public Finance Initiative (PFI) contract - not planned for release under OGL.,,
Department of Finance,NISRA Geography,NISRA (statistical) GIS boundaries,20/01/2016,Closed,Dataset published,21/01/2016,04/02/2016,Y,08/02/2016,12,,N,Y,,,08/02/2016,Y
Department for Communities,Belfast City Council,Bike Hire Journeys Dataset,24/01/2016,Open,Response received - Awaiting Publication,25/01/2016,08/02/2016,Y,12/04/2016,53,,N,Y,,,30/06/2016,N
Department for Infrastructure,TransportNI,Location of Road Speed Bumps,29/01/2016,Closed,Dataset not held,29/01/2016,12/02/2016,Y,08/02/2016,6,,Y,N,Data not held / not recorded.,"Data not held/not recorded; Where provided, road humps are considered part of the structure of a road and are not recorded as a unique feature.",,
Department of Justice,Police Service of Northern Ireland,Road Traffic Collisions,01/02/2016,Open,Response received - Awaiting Publication,01/02/2016,15/02/2016,Y,26/02/2016,19,,N,Y,,,31/07/2016,
Department of Agriculture Environment and Rural Affairs,Rivers Agency,Lidar data,01/02/2016,Closed,Dataset not held,02/02/2016,16/02/2016,Y,09/02/2016,5,,Y,N,Data not held / not recorded.,Data not held by DARD  (held by DFP LPS).,,
Department for Infrastructure,TransportNI,Lidar data,01/02/2016,Open,Response received - Awaiting Publication,02/02/2016,16/02/2016,Y,18/02/2016,12,,N,Y,,,31/05/2016,N
Department of Agriculture Environment and Rural Affairs,Historic Environment; NIEA,Lidar data,01/02/2016,Open,Response received - Awaiting Publication,02/02/2016,16/02/2016,Y,18/02/2016,12,,N,Y,,,01/08/2016,
Department of Agriculture Environment and Rural Affairs,Inland Fisheries,Lidar data,01/02/2016,Closed,Dataset not held,02/02/2016,16/02/2016,Y,03/02/2016,1,,Y,N,Data not held / not recorded.,No LiDAR data held by DCAL Inland Fisheries.,,
Department of Finance,Land and Property Services,Lidar data,01/02/2016,Closed,Dataset published,02/02/2016,16/02/2016,Y,18/02/2016,12,,N,Y,,,30/04/2016,Y
Department of Health,HSC Public Health Authority,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Open,Referred to dataholder - Awaiting Response,04/02/2016,18/02/2016,N,,,100,N,Not Yet Determined,,,,
Department of Education,Education and Training Inspectorate,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Closed,Dataset not held,04/02/2016,18/02/2016,Y,09/02/2016,3,,Y,N,Data not held / not recorded.,No data held; (no referrals made by DE or ETI),,
Department for Communities,Core,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Open,Referred to dataholder - Awaiting Response,04/02/2016,18/02/2016,N,,,100,N,Not Yet Determined,,,,
Department of Justice,Core,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Closed,Dataset cannot be published (exempt),04/02/2016,18/02/2016,Y,03/03/2016,20,,N,N,Data not held / not recorded.,Data not held in a coherent or updated dataset(s).,,
Department for Communities,Employment Service,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Open,Response received - Awaiting Publication,04/02/2016,18/02/2016,Y,26/02/2016,16,,N,Y,,,31/03/2016,N
Department for Infrastructure,TransportNI,Pedestrian Road Crossings,16/02/2016,Closed,Dataset published,16/02/2016,01/03/2016,Y,25/02/2016,7,,Y,Y,,,03/03/2016,Y
Department for Communities,SportNI,Location and types of sport and leisure facilities,23/02/2016,Open,Response received - Awaiting Publication,23/02/2016,08/03/2016,Y,21/03/2016,18,,N,Y,,,01/05/2016,N
The Executive Office,Victims and Survivors Service,Dataset of all Voluntary/Community services across Northern Ireland,04/02/2016,Open,Response received - Awaiting Publication,26/02/2016,11/03/2016,Y,11/04/2016,28,,N,Y,,,30/06/2016,N
Department of Agriculture Environment and Rural Affairs,Environment and Heritage Service,Air Quality NI,08/03/2016,Closed,Dataset published,08/03/2016,23/03/2016,Y,23/03/2016,10,,Y,Y,,,08/04/2016,
Department of Agriculture Environment and Rural Affairs,Natural Heritage,DOE Data Sets,04/04/2016,Open,Response received - Dataholder Investigating,04/04/2016,18/04/2016,Y,16/06/2016,51,,N,Not Yet Determined,,,,
Department for Infrastructure,TransportNI,Pot holes,17/04/2016,Closed,Dataset published,18/04/2016,03/05/2016,Y,25/04/2016,5,,Y,Y,,,31/05/2016,
Non-departmental / Independent,Electoral Office for Northern Ireland,NI Council and Assembly Election Data,17/04/2016,Open,Response received - Dataholder Investigating,20/04/2016,05/05/2016,Y,27/04/2016,5,,Y,Not Yet Determined,,,,
Department of Health,Core,Waiting lists for operations in Northern Ireland,07/05/2016,Closed,Dataset published,09/05/2016,23/05/2016,Y,18/05/2016,7,,Y,Y,,,03/06/2016,Y
Department of Health,Business Services Organisation,Staff In hospitals in Northern Ireland,07/05/2016,Open,Referred to dataholder - Awaiting Response,09/05/2016,23/05/2016,N,,,37,N,Not Yet Determined,,,,
Department of Health,Business Services Organisation,Theatre Utilization within the NHS,07/05/2016,Open,Referred to dataholder - Awaiting Response,09/05/2016,23/05/2016,N,,,37,N,Not Yet Determined,,,,
Department of Health,Business Services Organisation,Northern Ireland GP \ Practice lists,09/05/2016,Open,Response received - Awaiting Publication,10/05/2016,24/05/2016,Y,25/05/2016,11,,N,Y,,,01/08/2016,
Department for Infrastructure ,Core,eCar charge points,11/05/2016,Closed,Dataset not held,11/05/2016,25/05/2016,Y,17/05/2016,4,,Y,N,Data not held / not recorded.,Data with private sector company (ESB).,,
Department for Communities,Historic Environment Division,Redundant railway lines of NI,13/05/2016,Closed,Dataset not held,13/05/2016,27/05/2016,Y,26/05/2016,9,,Y,N,Data not held / not recorded.,,,
Department for Infrastructure,Translink,Redundant railway lines of NI,13/05/2016,Closed,Dataset not held,16/05/2016,31/05/2016,Y,27/05/2016,9,,Y,N,Data not held / not recorded.,,,
Department for Communities,Public Records Office NI,Redundant railway lines of NI,13/05/2016,Closed,Dataset not held,07/06/2016,21/06/2016,Y,20/06/2016,9,,Y,N,Data not held / not recorded.,Data not held electronically - only in hard copy map form.,,
Non-departmental / Independent,Northern Ireland Public Services Ombudsman,Complaints to Public Services Ombudsman,11/06/2016,Open,Referred to dataholder - Awaiting Response,13/06/2016,27/06/2016,N,,,13,N,Not Yet Determined,,,,
Department of Finance,Land and Property Services,Property Valuation Lists,14/06/2016,Open,Referred to dataholder - Awaiting Response,14/06/2016,28/06/2016,N,,,12,N,Not Yet Determined,,,,
Department of Agriculture Environment and Rural Affairs,NIEA Water Management Unit,DOE Data Sets,04/04/2016,Open,Response received - Dataholder Investigating,04/04/2016,18/04/2016,Y,16/06/2016,51,,N,Not Yet Determined,,,,
Department for Communities,Historic Environment Division,DOE Data Sets,04/04/2016,Open,Referred to dataholder - Awaiting Response,04/04/2016,18/04/2016,N,,,61,N,Not Yet Determined,,,,
Department for Communities,Libraries NI,LIbrary Usage Data,20/06/2016,Open,Referred to dataholder - Awaiting Response,21/06/2016,05/07/2016,N,,,7,N,Not Yet Determined,,,,
Non-departmental / Independent,Electoral Office for Northern Ireland,Polling Stations,23/06/2016,Open,Referred to dataholder - Awaiting Response,24/06/2016,08/07/2016,N,,,4,N,Not Yet Determined,,,,
