X,Y,FID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_IDP
-79.740187990728927,40.460206702467048,24,PJ03,Pierson's Run Br #3,379,6,486,1414754.22153,416742.955801,117.407308,486
-79.741216611716638,40.46216606961886,25,PJ04,Pierson's Run Br #4,380,6,487,1414484.16143,417463.024213,0,487
-79.742874332883133,40.465758600808229,26,PJ05,Pierson's Run Br#5,381,5,488,1414052.54322,418781.856167,138.814072,488
-79.741768418584599,40.459469639191219,27,PJ07,Pierson's Run Br#7,383,4,489,1414308.50504,416484.42551,35.837844,489
-79.735474851777454,40.458082873612923,28,PJ08,Pierson's Run Br #8,384,5,490,1416047.98238,415939.921598,150.255107,490
-80.165610431519497,40.535155396015057,29,PK03,Parks Run Br #3,384,4,491,1297159.09444,446989.383782,58.392472,491
-79.897105245935037,40.556189180976958,30,PL15,Little Pine Creek Br #15,385,5,492,1371952.18185,452722.101202,176.185864,492
-79.747057564606422,40.508895024250961,31,PM06,Plum Creek Br #6,385,20,493,1413244.24169,434518.821519,163.300759,493
-80.015980549349052,40.608559811878457,32,PN03,Pine Creek North Branch #3,385,48,494,1339420.59896,472620.151569,18.711744,494
-80.026346166363723,40.61941050017532,33,PN06,Pine Creek North Branch Br #6,386,35,495,1336645.42227,476645.877351,22.520583,495
-80.024071969465183,40.61609470584132,34,PN09,Pine Creek North Branch Br #9,386,24,496,1337245.43847,475422.031161,77.619248,496
-80.02450302615182,40.615926896742977,35,PN10,Pine Creek N Br #10,188,3,497,1337124.23435,475363.998119,345.590714,497
-79.923673780928496,40.333989189074671,36,PR05,Pine Run Br #5,193,6,498,1362579.68122,371979.828009,128.076609,498
-79.972531884424797,40.528717233930308,37,PS05,Pine Creek South Branch Br #5,387,30,499,1350748.25563,443235.53436,49.899068,499
-79.999603582619827,40.552096488193122,38,PS10,Pine Creek South Branch Br #1,388,37,500,1343442.23822,451940.495114,70.709956,500
-79.783948739872841,40.488234083716733,39,PU07,Plum Creek Bridge No. 7,429,7,501,1402815.57651,427228.072058,180.188774,501
-79.759769327058265,40.476952342380606,40,PU09,Pierson Run Road #9,414,6,502,1409445.7008,422965.214542,123.703789,502
-80.033435807705757,40.30791231283132,41,PY02,Piney Fork North Branch Br #2,389,20,503,1331744.09157,363255.502582,69.044286,503
-79.899528031974981,40.318901936260247,42,MR06,McRobert's Run Br #6,390,10,504,1369175.31157,366320.530316,156.037442,504
-80.19834514927237,40.389642975429567,43,RS03,Robinson Run South Branch Br,390,61,505,1286594.37182,394250.027541,343.663935,505
-79.868563585563805,40.477758567136519,44,RY03,Ryan's Run Br #3,390,4,506,1379195.23957,423966.199628,138.576386,506
-79.866499060201193,40.476613278452824,45,RY04,Ryan's Run Br #4,391,3,507,1379759.40509,423535.319142,112.46405,507
-79.865965092769159,40.475522427295736,46,RY05,Ryan's Run Br #5,392,3,508,1379898.38812,423134.475273,71.565121,508
-79.873033966582369,40.474086616000108,47,RY07,Ryan's Run Br #7,392,0,509,1377919.82973,422658.751808,36.870016,509
-79.859749887703231,40.474837625233462,48,SA07,Sandy Creek Br #7,393,5,510,1381620.99571,422843.708059,94.398943,510
-79.871508264265046,40.467053999169977,49,SA14,Sandy Creek Br #14,394,5,511,1378282.62358,420087.302035,81.253951,511
-79.996573561152616,40.482893620065603,50,SG02,Spring Garden Run Br #2,204,6,512,1343642.6786,426716.321787,270.871538,512
-79.996554222373518,40.485191651291125,51,SG04,Spring Garden Br #4,396,10,513,1343669.351,427553.091232,4.39867,513
-80.172936757635,40.567216163931413,52,SL02,LITTLE SEW CRK NO. 2,343,42,514,1295443.90138,458720.71885,335.512887,514
-80.220523202346627,40.556459265063388,53,SN05,Spring Run Rd Br #5,398,6,515,1282118.87453,455169.670309,171.869825,515
-80.153642972122114,40.566603218058461,54,SS01,Little Sewickley Creek South,468,28,516,1300796.03046,458351.039933,217.245505,516
-80.149662473916663,40.550158641584318,55,SS06,L. Sewickley Creek S. Br. #6,427,9,517,1301738.72647,452332.302861,100.165919,517
-79.744546790074537,40.443418461763358,56,TC05,Thompson Creek Br #5,482,20,518,1413403.52302,410655.923789,153.434853,518
-79.823601187643675,40.415995981587045,57,TE02,Thompson Run East Branch Br #,484,49,519,1391171.51371,401175.467741,112.83363,519
-80.14790107817231,40.378877988861738,58,TH02,Thoms Run No. 2,412,11,520,1300533.9559,389944.335182,55.444425,520
-80.140066513280047,40.377456901307724,59,TH04,Thom's Run Bridge #4,485,5,521,1302701.8336,389367.666887,116.565051,521
-80.143744446937433,40.377896771587011,60,TH05,Thom's Run Br #5,486,4,522,1301681.86831,389555.600893,101.309825,522
-80.131033105996892,40.372680439635545,61,TH06,Thom's Run Br #6,487,2,523,1305170.74261,387560.280592,106.927465,523
-80.153170537826867,40.380200319499551,62,TH09,Thom's Run Br #9,488,4,524,1299079.54798,390465.776768,128.659699,524
-79.808487258341827,40.413484969814853,63,TL10,Turtle Creek Br #10,489,25,525,1395357.4279,400162.514472,53.92823,525
-79.799462039275625,40.41606531803675,64,TL12,Turtle Creek Br #12,490,20,526,1397891.67493,401043.830298,70.016964,526
-79.804012186550395,40.400497688187592,65,TL15,Turtle Creek Br #15,490,4,527,1396493.16161,395403.553294,184.085603,527
-79.803636488808223,40.406383596847782,66,TL16,Turtle Creek Br #16,491,5,528,1396647.62648,397544.758548,33.690019,528
-79.727795122406988,40.408404244766928,67,TL19,TURTLE CREEK NO. 19,319,75,529,1417779.20635,397798.651655,173.165281,529
-79.993423504362511,40.512253112604768,68,TN02,Thompson's Run North Side Br,491,12,530,1344790.32248,437386.344326,1.432002,530
-79.993347017768585,40.512596533028166,69,TN03,Thompson's Run North Side Br,492,17,531,1344814.76032,437510.873196,27.0127,531
-79.99370129560775,40.517318381954951,70,TN04,Thompson's Run North Side Br,492,7,532,1344759.98639,439233.008913,22.988756,532
-79.988263937967204,40.525975793041646,71,TN09,Thompson's Run North Side Br,493,3,533,1346351.1562,442347.572517,3.179774,533
-79.970220351894824,40.504304040802886,72,WB05,Wible Run Br #5,494,17,534,1351167.03547,434328.35597,52.12503,534
-79.815171033379158,40.286412970770975,73,WC04,Wildcat Run Br #4,495,12,535,1392414.37106,353927.0502,83.290172,535
-79.82348441213847,40.285058462280645,74,WC07,Wildcat Run Br #7,496,10,536,1390084.1672,353488.091564,117.758358,536
-79.844084498540269,40.284751208171592,75,WY08,Liberty Way over Wylies Run,497,21,537,1384336.01135,353511.78865,158.805781,537
-79.905696760014962,40.275381299345348,76,XC01,Scotia Run #1, 498,22.5,539,1367068.73934,350512.985639,139.184874,539
-79.862629166263375,40.406148026272582,77,XO01,Sixth Street Bridge,499,129.5,540,1380221.63497,397846.453988,132.429261,540
-79.804985379947951,40.241093698023896,78,YR01,Douglas Run Road over Youghio,500,606,541,1394871.04426,337355.886413,137.258752,541
-79.82350229836284,40.312153844112508,79,YR07,Youghioghney River #7,501,5,542,1390310.91423,363356.1033,233.343882,542
-79.820389914950155,40.314395748222026,80,YR08,Youghioghney #8,502,5,543,1391197.77908,364152.224784,225.806855,543
-79.813848210689969,40.317795357316747,81,YR10,Youghioghney #10,503,22.25,544,1393050.461,365347.641382,57.917753,544
-79.789127277321754,40.343140766898294,82,WP02,White Oak Park No. 2,504,2.5,545,1400155.19308,374418.213331,150.422186,545
-79.791978848063991,40.34005334071265,83,WP04,White Oak Park Number 4,505,1.5,546,1399334.54059,373312.149335,157.011257,546
-79.997954395243511,40.396267350516567,109,SW06,Sawmill Run # 6,605,72.481774,605,1342455.483,395178.447,110,605
-79.978960648286119,40.406580317855862,110,BC09,Beck's Run Rd Bridge No.9, ,0,0,0,0,-60,0
-79.915960467589358,40.230060534759858,111,PG06,Pangburn Hollow #6,402,14,235,1363800.88521,334078.142129,163.930502,235
-79.848545467601141,40.414818241310407,112,TF01,Thorn Run East #1,222,15,1,1384217.66632,400910.593283,42.075315,1
-79.908661992706968,40.580527634581607,113,SF02,Wagner Rd. Bridge #2,223,16,2,1368958.62423,461664.421559,55.87861,2
-79.987439636915795,40.329206645591036,114,LC13,Lick's Run Br #13,403,8,236,1344764.28342,370682.066125,168.556891,236
-79.986001387192601,40.325522083094128,115,LC14,Lick's Run #14,404,8,237,1345131.16024,369330.081791,152.807813,237
-79.904956319863018,40.39015259494424,116,WR02,West Run Br #2,224,22.232668,3,1368295.42758,392305.891042,142.782417,3
-80.016973561184059,40.325770730056419,117,CT11,Corrgian Drive #11,405,6,238,1336500.70948,369640.771727,314.430015,238
-79.907342037679868,40.388903772556162,118,WR03,West Run Br #3,225,22.05784,4,1367619.96941,391867.309083,330.661578,4
-79.991496922957808,40.336125432975265,119,LC07,Lick's Run #7,406,18,239,1343697.43373,373230.402925,177.137589,239
-79.911714707176287,40.380944632014518,120,WR04,West Run Br #4,226,27.064712,5,1366331.33283,388998.478305,77.789676,5
-80.05121785280204,40.33734292620241,121,GS01,Fort Couch Rd. #1,408,20,240,1327065.87199,374101.930801,355.207979,240
-79.902964971473679,40.394918410845179,122,WR05,West Run Br #5,227,27.086646,6,1368892.2767,394028.016172,242.245505,6
-80.028841313334951,40.361076909595084,123,SW07,Saw Mill Run Br. #7,409,39.960192,241,1333524.73914,382583.459487,95.317046,241
-79.906199641783161,40.395850678594108,124,WR06,West Run Br #6,228,19.952152,7,1367999.87965,394389.515731,101.010011,7
-79.997957645261877,40.303695105439324,125,CT07,Catfish Run #7,410,42.961673,242,1341596.24077,361465.882616,171.926835,242
-79.970251810937015,40.509107560771554,126,WB08,Wible Run Br #8,229,5,8,1351202.28112,436077.961887,347.349005,8
-80.004935355361994,40.298775706697867,127,SY01,Sleepy Hollow Bridge #1,411,18.876365,243,1339604.98336,359723.981751,50.322683,243
-79.973165016887194,40.514175149488786,128,WB09,Wible Run Br #9,230,4,9,1350438.96128,437943.89555,186.736701,9
-80.121888426810159,40.37296424998344,129,TH03,Thoms Run No. 2,413,10,244,1307720.51375,387595.077664,97.195873,244
-79.82375380153934,40.272720319608339,130,WC10,Wildcat Run Br #10,231,6,10,1389903.49693,348996.426753,294.42826,10
-79.893373765391743,40.649091457932165,131,DS01,Dawsons Run No. 1,415,15,245,1373810.0946,486532.240567,105.642345,245
-79.814533802033978,40.268639231836609,132,WC09,Wildcat Run Br #9,232,11,11,1392440.74285,347449.859559,15.733941,11
-79.73220897377054,40.500263753133737,133,PB07,Plum Creek South Br. #7,417,8,246,1417301.43545,431282.199398,265.3233,246
-80.095236190262753,40.381152604998704,134,WD01,Wood Run Br #1,233,12,12,1315222.96597,390378.703364,265.820712,12
-80.104411586411786,40.380563262163534,135,WD02,Wood Run Br #2,234,5,13,1312661.99279,390232.091907,269.033829,13
-79.769086118305424,40.485431983555308,136,PU04,Unity Trestle Rd. #4,418,8,247,1406925.13315,426112.67187,306.149634,247
-79.84540260315336,40.286440248784508,137,WY13,Wylie's Run Br #13,235,23.948777,14,1383982.98078,354135.639297,221.28925,14
-79.78293797368778,40.584163900324612,138,CE02,Crawford Run #2,419,41.03065,248,1403901.07458,462160.109966,112.074625,248
-79.845931031991441,40.287024904542946,139,WY14,Wylie's Run Br #14,236,22,15,1383840.6563,354352.062053,211.938558,15
-79.723947405821733,40.505147660464338,140,PM07,Plum Creek Br #7,420,16,249,1419638.13928,433009.520458,206.401258,249
-79.818026248146381,40.316095176177413,141,YR09,Youghiogheny River #9,237,12,16,1391871.23432,364755.700613,217.874931,16
-80.093598415599203,40.517255551982032,142,LO07,Lowrie's Run #7,421,12,250,1316994.72615,439931.40292,187.989243,250
-79.991141713662401,40.436188326339398,143,AR01,Armstrong Tunnels,1,1298.966,17,1344721.4085,409668.65931,149.012799,17
-80.084212164707523,40.522267848415353,144,LO08,Lowrie's Run #8,422,12,251,1319651.69608,441687.659322,236.715555,251
-80.03929764385677,40.507207380452336,145,PD04,Bellevue Rd Br,2,240,18,1331991.70346,435876.087409,46.642936,18
-80.078734678143007,40.505082634572091,146,XP01,Spruce Run #1,423,36.890065,252,1321008.86703,435388.996961,154.692908,252
-80.026643507537443,40.619878809436543,147,PN02,Pine Creek N Branch No 2,3,30,19,1336567.30406,476818.558869,271.615548,19
-80.079086261339256,40.502937540894571,148,XP04,Spruce Run #4,424,18.915698,253,1320890.52626,434610.382029,113.395401,253
-80.046112560565419,40.499292190158911,149,JA04,Jacks Run No 4,9,35,22,1330022.36806,433042.724649,13.211898,22
-80.169440111096549,40.531796666457424,150,PK01,Park's Run #1,425,8,254,1296061.50505,445795.376068,125.383055,254
-80.037069618737462,40.507158137339779,151,PD03,Jacks Run No. 3,10,197,23,1332610.57336,435842.103166,358.984554,23
-80.149510352502872,40.553117018330333,152,SS05,L. Sewickley Creek S. Br. #5,426,33.070381,255,1301810.26418,453408.513009,159.868534,255
-79.763143158538711,40.479479391897101,153,PU05,Unity Trestle Rd. #5,428,7,256,1408528.35313,423906.959401,329.35921,256
-80.085329503103054,40.549749677996303,154,LO09,Lowrie's Run No. 9,11,13,24,1319605.90178,451704.153531,144.010697,24
-80.138067896272958,40.641187166319931,155,SB07,Spang Road Bridge #7,430,15,257,1305856.22607,485395.462806,99.999312,257
-80.018725102731366,40.611198835479868,156,PN07,Pine Creek N Branch Br #7,12,22,25,1338683.52166,473600.822774,69.759039,25
-80.22575800938796,40.553302203400939,157,SN03,Spring Road Run #3,431,12,258,1280632.63702,454060.71228,46.479608,258
-80.158322756910778,40.573374504975362,158,SL03,Little Sewickley Creek No. 3,14,31,26,1299563.62574,460852.374652,180.835804,26
-79.993157578762975,40.518171079608891,159,TN05,Thompson Run N S #5,432,7,259,1344918.99475,439539.710273,50.014523,259
-79.997871549461181,40.597625465240526,160,IW01,Irwin Run No. 1,15,23,27,1344345.53335,468509.459632,104.872971,27
-79.990957151307157,40.522317953134745,161,TN06,Thompson Run N S #6,433,8,260,1345568.89797,441034.418273,18.748299,260
-79.977703093717835,40.498233253774352,162,GI10,Girty's Run No. 10,17,38,28,1349031.11177,432169.848848,332.847688,28
-79.991032104416931,40.540661216740304,163,PS08,Thompson Run #8,435,7,261,1345717.62889,447715.342233,138.82592,261
-79.997787133090824,40.549944553966668,164,PS01,Pine Creek S Branch No. 1,19,34,29,1343926.88256,451143.93356,172.772084,29
-79.976266904278944,40.502198349931774,165,WB07,Wible Run #7,436,10,262,1349466.8071,433603.815296,350.833612,262
-79.988290493304234,40.524762317943733,166,TN07,Thompson Run N S No. 7,20,6,30,1346332.57306,441905.826837,196.224266,30
-79.97400925582906,40.502445802687056,167,WB03,Wible Run #3,437,16,263,1350096.70422,433678.117152,60.318878,263
-79.978602591452656,40.53249745986075,168,PS06,Pine Creek S Branch No. 6,21,22,31,1349096.01097,444654.775307,3.595034,31
-79.975957126359489,40.501374014153527,169,WB11,Wible Run #11,438,16,264,1349545.35678,433301.431294,152.8007,264
-79.930573216594638,40.599838764470107,170,PZ01,Middle Rd Br No. 1,22,100.171775,32,1363047.97459,468847.017488,24.13369,32
-79.97482188256005,40.502053023149948,171,WB12,Wible Run #12,439,12,265,1349867.19003,433540.763207,130.805988,265
-80.012593733110577,40.496698239932279,172,IV01,Ivory Avenue No. 1,23,192,33,1339316.66116,431857.483138,77.982753,33
-79.865144185206859,40.417815999876602,173,TY02,Tassy Hollow #2,440,10,266,1379623.23775,402112.610756,216.239742,266
-79.976575797495798,40.500422702597866,174,WB01,Wible Run No. 1,24,20,34,1349364.62697,432959.312437,44.714121,34
-79.817799975795907,40.285479247317276,175,WC05,Wildcat Run #5,441,13,267,1391673.18901,353604.157055,49.803722,267
-79.971312500470631,40.503037849646297,176,WB04,Wible Run No 4,25,29,35,1350851.82552,433874.860808,36.249464,35
-79.821477294460195,40.284241249329817,177,WC06,Wildcat Run #6,442,13,268,1390636.98501,353177.330486,270.44267,268
-79.877622412011362,40.488057459246562,178,SQ01,Squaw Run Br No 1,26,48,36,1376766.28121,427777.595483,75.777198,36
-80.01287160732808,40.498090929818872,179,NR01,Nelson Run #1,27,100.386377,37,1339252.40569,432366.657338,215.003452,37
-79.812955951155374,40.370154063478253,180,CK02,Crooked Run #2,443,41.989326,269,1393744.72698,384410.568712,103.838867,269
-79.777752426289453,40.595272282666926,181,DY03,Days Run No. 3,30,31,38,1405433.89652,466172.823245,288.802371,38
-79.835288826207417,40.328137605748672,182,LG08,Long Run Br #8,444,8,270,1387162.36571,369254.631528,261.148335,270
-79.7833570668204,40.489903740152542,183,PU02,Plum Creek Upper Branch No 2,36,30,42,1402994.10835,427832.381063,200.496279,42
-79.934239254286567,40.650150869851466,184,DE18,Deer Creek #18,445,12,271,1362483.57944,487195.894015,97.899118,271
-79.879860785567445,40.406424675029839,185,MA07,Rankin Bridge,38,863,43,1375426.70488,398062.462189,224.103217,43
-79.817988699023019,40.381758323344513,186,PD01,Jacks Run No 1,41,96.898868,44,1392441.80292,388669.582119,152.268619,44
-79.94698276100921,40.643274281704961,187,DW01,Deer Creek West Br. #1,446,10,272,1358886.30275,484779.13461,63.717705,272
-79.91816765602249,40.33151481136106,188,PR04,Pine Run Br No 4,42,23,45,1364092.10041,371040.970218,138.848246,45
-79.922526960264491,40.623217986426084,189,DW02,Deer Creek West Br. #2,447,18,273,1365491.139,477306.693891,77.114548,273
-79.916270443325118,40.32978300914678,190,PR03,Pine Run Br No 3,43,13,46,1364605.39618,370397.297698,116.925311,46
-79.888214985391102,40.638578002601086,191,DS03,Dawson Run #3,449,12,274,1375148.41721,482668.466303,349.412595,274
-80.028811539285954,40.345239646445151,192,PT15,Hillcrest Bridge,45,118,47,1333384.17403,376815.744355,261.521457,47
-79.888418301058607,40.638439608036734,193,DS06,Dawson Run #6,451,12,275,1375090.78765,482619.428138,311.19958,275
-79.986497192257758,40.346477915750604,194,PV01,Brownsville Rd No 1,48,115,48,1345186.27888,376965.202036,198.178719,48
-79.8838912512403,40.634613609216977,195,DS04,Dawson Run #4,450,9,276,1376313.11976,481195.584901,312.847041,276
-79.887062288295994,40.345870675850712,196,MA14,Mansfield Br,50,1931,49,1372888.01757,376057.824639,123.490977,49
-79.810812507685171,40.411422161866255,197,TL09,Turtle Creek #9,452,15,277,1394692.59293,399426.342949,49.711189,277
-79.890419003564517,40.347548144831293,198,MA26,Maple Ave Underpass,51,68,50,1371967.47266,376691.393745,290.276387,50
-79.87443196359817,40.480055442903648,199,RY02,Ryan's Run Br. #2,453,14,278,1377583.31695,424841.927222,123.864876,278
-79.893685286205809,40.394959323337517,200,HV05,Homeville Creek No 5,55,13.33,52,1371476.55528,393980.045298,274.349065,52
-79.868847215347216,40.466579889446173,201,SA13,Sandy Creek Br #13,454,10,279,1379018.6598,419896.85948,135.936532,279
-79.873224008994328,40.372123651761228,202,TS05,Homeville Rd Viaduct,57,778,53,1376974.00344,385525.843722,348.353208,53
-79.810862760840294,40.460328515000278,203,TE10,Thompson Run E Side #10,455,44.743975,280,1395094.33823,417238.346127,117.202817,280
-80.005804211145758,40.315514424637129,204,CT05,Catfish Run No 5,59,24,54,1339518.45784,365825.959128,65.306089,54
-79.837151181464051,40.487414508133782,205,QY03,Quigley Run #3,457,9,281,1388014.4905,427274.831364,190.439325,281
-79.905936228745077,40.362004566953402,206,TS04,Thompson Run Br No 4,60,15,55,1367772.24439,382061.412318,333.775818,55
-79.836836804172549,40.487305583191407,207,QY01,Quigley Run #1,456,8,282,1388100.97236,427233.094535,351.011009,282
-79.915046213874177,40.406752562831137,208,MA12 West,Homestead High Level (Ramp),61,340,56,1365633.96148,398420.121937,224.144915,56
-79.836215816454327,40.491701449320168,209,XT02,Porter Creek #2,458,28.243524,283,1388311.47958,428829.991096,114.633385,283
-79.913312118879901,40.408069543656332,210,MA12,Homestead High Level (Ramp),62,469.474441,57,1366128.48283,398887.917034,225.854277,57
-79.804658147519049,40.460744164825513,211,TE09,Thompson Run E Side #9,459,12,284,1396823.89627,417349.500556,44.617586,284
-80.11305917984869,40.465850803528561,212,MO02,Moon Run Br No 2,65,15,58,1311084.9992,421355.396864,143.311907,58
-79.886797918914766,40.588097720774151,213,SF01,Shaffer's Run #1,460,18,285,1375096.63661,464273.783425,271.521347,285
-80.173895618531105,40.534118583409388,214,DV01,Beaver Road Bridge No. 1,461,10,286,1294846.70311,446674.901549,123.889643,286
-80.114601236931378,40.426096022258655,215,CM05,Campbells Run No. 5,72,16,59,1310268.35564,406889.425837,103.906843,59
-80.064661827891925,40.362013206513822,216,PA04,Painter's Run Br No 4,77,15,62,1323554.92349,383184.010813,118.590362,62
-80.124954333613758,40.538722350749858,217,KL12,Kilbuck Run Bridge No. 12,462,16,287,1308490.35094,447981.908453,224.560144,287
-80.224396805473091,40.554784803111737,218,SN02,Spring Run Rd Br No 2,78,14,63,1281025.86856,454590.02189,205.358489,63
-80.130893554921585,40.557722777474297,219,KL16,Kilbuck Run Bridge No. 16,464,20.091358,288,1307026.80992,454945.814348,85.601293,288
-80.206794072715269,40.471219291232373,220,MC05,McClaren's Run Bridge No. 5,466,6,289,1285068.45021,424022.011995,295.128683,289
-80.227252818500503,40.552430475175861,221,SN04,Spring Run Rd Br No 4,79,10,64,1280208.5188,453754.907554,250.811478,64
-80.211014134623767,40.474360341597531,222,MC04,McClaren's Run Bridge No. 4,465,10,290,1283926.69916,425198.542694,314.510286,290
-80.214191678504008,40.476713471979991,223,MC08,McClaren's Run Bridge No. 8,467,5,291,1283066.95627,426080.105318,329.808544,291
-80.096696789736825,40.371239543708235,224,CC17,Chartiers Creek No 17,84,205.834857,65,1314720.25275,386779.504208,28.072495,65
-80.190038204248694,40.445089780106549,225,MT17,Montour Run Bridge No.17,469,22.198193,292,1289465.44042,414377.428261,281.592112,292
-80.233766729796997,40.455110088166244,226,MT20,Montour Run No 20,86,20,67,1277402.11676,418365.625656,352.366609,67
-80.151574159589316,40.461407785745919,227,MT18,Montour Run Bridge No.18,470,11,293,1300328.53442,420026.454487,295.744942,293
-80.046292568124102,40.50941263265296,228,XP05,Levi Bird Duff Br,89,889.556622,70,1330068.18203,436729.690493,24.332716,70
-79.741626946727379,40.459634782053463,229,PJ02,Pierson's Run Bridge No. 2,471,8,294,1414349.2183,416543.684094,32.753568,294
-79.960166585604327,40.559560732425517,230,GH03,Gourdhead Run #3,90,36,71,1354465.65539,454382.234971,279.811128,71
-79.873447185731024,40.473910421935031,231,RY06,Ryan's Run Bridge No. 6,472,5,295,1377803.36024,422597.346338,96.988581,295
-79.858586934108899,40.474445631080002,232,SA06,Sandy Creek Bridge #6,473,4,296,1381941.02951,422693.218425,119.564671,296
-80.004210036666919,40.37819669745241,233,SW09,Saw Mill Run No 9,92,26.437079,72,1340545.67331,388641.933849,315.717238,72
-80.220910958890599,40.556504358524776,234,SN01,Spring Run Bridge No 1,474,6,297,1282011.63237,455189.105703,63.226903,297
-79.912104814187288,40.223289582874592,235,PG08,Pangburn Hollow Br No 8,94,22,73,1364816.72106,331585.924669,341.322887,73
-79.915063223534403,40.228690878362606,236,PG07,Pangburn Hollow Br No 7,95,25,74,1364039.09937,333573.199513,333.66564,74
-80.155644992116379,40.382462435729821,237,TH07,Thom's Run Bridge No. 7,475,8,298,1298412.8862,391308.316792,171.554508,298
-79.881548743773791,40.474509840710411,238,SD03,Shades Run No 3,96,395,75,1375555.38794,422869.944904,72.874219,75
-80.161694934443702,40.394718202883816,239,TH08,Thom's Run Bridge No. 8,476,6,299,1296850.01687,395817.342885,250.347569,299
-79.956362246438317,40.346339605899075,240,AT01,Adtranz Ped Bridge,97,48,76,1353581.90628,376703.567904,159.637513,76
-80.156638270542743,40.386539145785029,241,TH10,Thom's Run Bridge No. 10,477,14,300,1298176.74619,392800.4321,345.815754,300
-79.972520161892547,40.405129867526895,242,BC04,Beck's Run #4,98,27.293893,77,1349618.54403,398226.725109,350.107566,77
-79.868838932832219,40.414092616542845,243,TY01,Tassy Hollow Bridge No. 1,478,12,301,1378562.23863,400781.240331,86.594875,301
-79.976341649373865,40.40469101463021,244,BC07,Beck's Run #7,99,22.621746,78,1348550.60919,398093.707028,132.273698,78
-79.790589084248069,40.345196095884965,245,WP01,White Oak Park Bridge No. 1,479,41.384056,302,1399765.13028,375176.167878,152.012601,302
-79.979256200737709,40.398282029737551,246,BC08,Beck's Run #8,100,33.712605,79,1347680.26077,395780.152002,347.604601,79
-79.782932150679287,40.340763929702867,247,WP03,White Oak Park Bridge No. 3,480,20.961964,303,1401861.66266,373512.766807,194.290443,303
-80.140807908221689,40.624477809298298,248,SB16,Big Sewickley Creek Br #16,101,4,80,1304931.32711,479330.827108,159.392533,80
-80.169122818597017,40.548128111188724,249,BB02,Blackburn Rd Bridge No.2,39,62.998715,304,1296312.62767,451740.368824,84.289391,304
-80.142457000116863,40.628510021121045,250,SB17,Big Sewickley Creek Br #17,102,5,81,1304513.52484,480811.669104,14.983171,81
