HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","1,338","3,804",.,.,376,.,.,.,.,.,340,.,"2,373",.,"1,028",.,"1,093","10,352"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",892,752,"1,782",.,"3,632",291,.,.,.,.,690,.,"7,267",.,"1,028",.,"9,048","25,382"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","1,784","4,264","2,750",936,752,291,.,.,370,.,"1,012",.,"12,871",.,"2,056",.,"6,192","33,277"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","3,567","3,123",.,.,"4,633",.,.,.,370,.,"1,402",.,"21,610",.,"1,542",.,"6,556","42,804"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",446,401,.,.,.,.,.,.,370,.,.,.,"3,334",.,.,.,.,"4,550"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","2,141","1,786",.,.,"3,007",.,.,.,.,.,471,.,"4,435",.,514,.,"2,492","14,846"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","8,740","5,786",944,.,"5,263",452,.,.,740,.,"2,044",.,"18,954",.,"3,598",.,"6,384","52,905"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","19,777","12,446",960,"2,340","12,405","1,980","1,545",.,"2,959",378,"3,782",.,"42,985",440,"2,712",.,"18,286","122,996"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","41,555","43,132","4,136","4,501","21,049","4,711","1,030",.,"2,570",.,"12,169",.,"104,343",.,"9,253",498,"50,303","299,249"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,401,"6,076",.,"1,160",291,.,.,333,.,.,.,"4,586",.,.,.,364,"13,210"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",892,802,"2,417",.,"4,135",291,.,.,721,.,344,.,"14,527",.,.,.,"2,856","26,984"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","3,925","8,648","2,691",.,"7,895",872,515,.,740,.,"1,796",.,"23,829",.,"4,539",.,"15,889","71,339"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","26,526","37,358","5,725","3,825","24,418","7,223",515,.,"3,698",.,"10,605",.,"130,312",440,"17,759","2,988","34,334","305,727"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","56,957","93,690","5,045","9,379","59,929","15,157","1,545",.,"4,438",.,"28,766",.,"183,374",.,"30,732","11,455","69,807","570,275"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","80,365","119,435","4,337","23,998","82,139","23,876","4,120",.,"6,268",.,"60,250",.,"243,839",.,"46,792","26,397","77,257","799,073"
AA27Z,Medical Care of Patients with Alzheimer's Disease,"2,052","1,827","4,193",.,"1,753","1,162",515,.,"1,110",.,340,.,"4,117",.,"1,684",.,"2,492","21,245"
AA28D,Motor Neuron Disease with CC Score 5-7,"1,249",.,.,.,.,291,.,.,.,.,.,.,.,.,.,.,.,"1,539"
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,.,.,376,.,.,.,.,.,.,.,"1,267",.,.,.,.,"1,643"
AA28F,Motor Neuron Disease with CC Score 0-1,"1,639",.,.,.,.,.,.,.,.,.,.,.,"1,837",.,.,.,364,"3,840"
AA29C,Transient Ischaemic Attack with CC Score 11+,803,"1,435",.,468,"1,128",291,.,.,.,.,.,.,"1,519",.,.,.,"1,342","6,985"
AA29D,Transient Ischaemic Attack with CC Score 8-10,"1,784","3,340",.,474,"1,880",291,515,.,.,.,688,.,"12,988",.,"3,511",.,"5,962","31,432"
AA29E,Transient Ischaemic Attack with CC Score 5-7,"9,275","23,069",.,"4,212","8,649","1,927","2,273",.,"1,812",.,"8,084",.,"25,679",.,"5,480",.,"11,617","102,077"
AA29F,Transient Ischaemic Attack with CC Score 0-4,"20,513","59,485",944,"9,841","18,419","5,630","1,030",.,"1,110",.,"21,403",.,"30,657",.,"17,753",.,"27,894","214,678"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,"1,128",.,.,.,.,.,.,.,.,.,.,.,.,"1,128"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",892,.,.,468,.,.,.,.,370,.,.,.,.,.,.,.,.,"1,730"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",892,.,.,468,"1,880",.,.,.,.,.,.,.,"2,580",.,.,.,"1,093","6,912"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","3,567","3,151",.,.,"1,880",644,.,.,.,.,.,.,"11,645",.,"1,170",.,"1,093","23,149"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",892,"3,581",.,.,376,.,.,.,.,.,.,.,"1,514",.,.,.,"1,093","7,455"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10","5,708","8,658","1,546",936,"5,639",.,.,.,740,.,"6,089",.,"17,362",.,"2,570",498,"4,984","54,730"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","140,342","160,517","2,339","25,426","95,114","20,580","5,665",.,"9,986",378,"62,598",.,"279,217",.,"72,984","2,988","110,135","988,268"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",803,.,.,.,.,.,.,.,.,.,"2,365",.,"17,843",.,.,.,.,"21,010"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,.,.,.,.,.,.,.,.,.,.,.,"8,712",.,.,.,.,"9,457"
AA35A,Stroke with CC Score 16+,.,"1,435",.,.,.,.,.,.,.,.,.,.,"2,364",440,.,.,"2,185","6,424"
AA35B,Stroke with CC Score 13-15,892,"2,982","2,046",.,.,644,.,.,.,378,784,.,"9,818",.,.,.,"3,163","20,706"
AA35C,Stroke with CC Score 10-12,.,"10,042",.,.,"3,384",.,515,.,.,378,657,.,"33,692",.,"3,883",.,"13,995","66,546"
AA35D,Stroke with CC Score 7-9,"9,632","19,690",515,"5,154","6,848","1,162",.,.,"1,849",378,"7,128",.,"46,052",440,"6,738",.,"23,233","128,820"
AA35E,Stroke with CC Score 4-6,"17,392","51,292",.,"12,187","14,353","13,434",.,.,"1,479",.,"11,531",.,"73,030",880,"12,043",.,"43,478","251,100"
AA35F,Stroke with CC Score 0-3,"16,768","64,353","2,321","11,245","23,691","8,730",515,.,"2,589",.,"12,898",.,"63,883",.,"13,618",.,"35,908","256,517"
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"7,513",.,.,.,.,"7,513"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"21,147",.,.,.,.,"21,147"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"13,714",.,.,.,.,"13,714"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"7,435",.,.,.,.,"7,435"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"12,810",.,.,.,.,"12,810"
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,.,"4,809",.,.,.,.,"4,809"
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"10,060",.,.,.,.,"10,060"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"33,810",.,.,.,.,"33,810"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"12,502",.,.,.,.,"12,502"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"13,850",.,.,.,.,"13,850"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"54,455",.,.,.,.,"54,455"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"6,377",.,.,.,.,"6,377"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"58,312",.,.,.,.,"58,312"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"22,887",.,.,.,.,"22,887"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"5,060",.,.,.,.,"5,060"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,547","1,547"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"8,550",.,.,.,.,"8,550"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,981","1,981"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"12,907",.,.,.,.,"12,907"
AA80Z,Complex Long Term EEG Monitoring,.,.,.,.,"3,457",.,.,.,.,.,.,.,"1,010",.,.,.,.,"4,467"
AA81Z,Standard Long Term EEG Monitoring,.,.,"1,269",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,269"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,802,.,.,439,.,.,.,370,.,.,.,.,.,514,.,.,"2,125"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","3,556","2,588",.,468,"4,760",291,.,.,"1,110",.,"2,025",.,"16,648",.,"1,170",.,"4,256","36,871"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","14,806","13,014","1,218","2,034","13,456","3,685",515,.,.,.,"6,313",.,"55,795",.,"4,451",996,"6,020","122,303"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,793",.,.,.,.,"1,793"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,380",.,.,.,.,"1,380"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"1,946",.,.,.,.,"1,946"
BZ33Z,"Minor, Cataract or Lens Procedures",769,.,.,.,.,.,.,.,.,.,.,.,954,.,.,.,.,"1,722"
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,097",.,.,.,.,.,.,.,.,.,959,.,"8,282",.,.,.,.,"10,338"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,666","1,666"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,426"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,426"
BZ44C,"Major Oculoplastics Procedures, 18 years and under","1,709",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,573",.,"1,587","4,869"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,097",.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"2,098"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","6,457",367,.,.,.,.,.,.,.,.,.,.,"10,299",.,.,.,"2,387","19,510"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years","1,709",367,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,"2,931"
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under","1,709",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,963","5,672"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,778",.,.,.,.,"1,778"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under","5,112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,112"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"3,494",.,.,.,.,"3,494"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"2,615",.,.,.,.,"2,615"
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,092",.,.,.,.,"2,092"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"8,937",.,.,.,.,"8,937"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"5,642",.,.,.,.,"5,642"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0","3,182",.,.,.,.,.,.,.,.,.,.,.,"3,177",.,.,.,.,"6,359"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",988,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,988
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0","1,097",.,.,.,.,.,.,.,.,.,.,.,"3,949",.,.,.,.,"5,046"
BZ72A,"Major Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,566",.,.,.,.,"1,566"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,666",.,.,.,.,"2,666"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",659,.,.,.,.,.,.,.,.,.,.,.,"23,400",.,.,.,.,"24,059"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"14,995",.,.,.,.,"14,995"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,138",.,.,.,.,"2,138"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"40,068",.,.,.,.,"40,068"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,199",.,.,.,.,"2,199"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"4,422",.,.,.,.,"4,422"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1","1,318",.,.,.,.,.,.,.,.,.,.,.,"8,933",.,.,.,.,"10,251"
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"4,771",.,.,.,.,"4,771"
BZ88A,"Retinal Tomography, 19 years and over","1,097",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,097"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",878,.,.,.,.,.,.,.,.,.,.,.,"5,318",.,.,.,.,"6,197"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,431",.,.,.,.,"1,431"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"1,189",.,.,.,.,"1,189"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"13,403",.,.,.,.,"13,403"
CA03B,Major Neck Procedures with CC Score 0-1,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,464
CA05A,"Minor Neck Procedures, 19 years and over","11,677","1,605",.,"1,902",.,.,.,.,.,.,"4,585",.,"1,739",.,.,.,"1,446","22,955"
CA05B,"Minor Neck Procedures, 18 years and under","2,467",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,467"
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,"2,870",.,.,.,.,.,.,.,.,.,.,.,.,"2,870"
CA11A,"Septoplasty, 19 years and over",.,.,.,.,"5,392",.,.,.,.,.,.,.,.,.,.,.,.,"5,392"
CA11B,"Septoplasty, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,162",.,.,.,.,"2,162"
CA12Z,Major Treatment of Epistaxis,"23,532","5,107",.,.,"3,065",.,.,.,.,.,.,.,"6,847",.,.,.,.,"38,550"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","33,474","17,456",.,.,"12,672",.,.,.,.,.,.,.,"47,174",.,.,.,"1,603","112,378"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","1,810",464,.,.,"1,378",.,.,.,.,.,.,.,"6,637",.,.,.,.,"10,289"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
CA16Z,"Excision or Biopsy, of Lesion of External Nose","2,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,126"
CA22Z,Major Nose Procedures,.,.,.,.,"5,101",.,.,.,.,.,.,.,.,.,.,.,"6,179","11,280"
CA23Z,Intermediate Nose Procedures,"2,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,126"
CA24A,"Minor Nose Procedures, 19 years and over","2,427",929,.,.,931,.,.,.,.,.,.,.,"1,108",.,.,.,"2,545","7,940"
CA24B,"Minor Nose Procedures, 18 years and under","4,251",.,.,"1,047",.,.,.,.,.,.,.,.,.,.,.,.,"11,597","16,895"
CA25A,"Minimal Nose Procedures, 19 years and over","14,390",464,.,.,805,.,.,.,.,.,.,.,"2,070",.,.,.,.,"17,729"
CA25B,"Minimal Nose Procedures, 18 years and under","11,477","3,356",.,.,"8,131",.,.,.,.,.,.,.,"6,333",.,.,.,.,"29,297"
CA28Z,Intermediate Sinus Procedures,.,"1,857",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,857"
CA29Z,Minor Sinus Procedures,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,577","2,041"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,.,.,.,.,.,.,.,.,.,.,.,"3,692",.,.,.,.,"3,692"
CA32B,"Tympanoplasty, 18 years and under",.,"18,850",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"18,850"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,272","1,272"
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"3,280",.,.,.,.,"3,280"
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,312",.,.,.,.,"1,312"
CA36B,"Clearance of External Auditory Canal, 18 years and under","7,240",967,.,.,"6,229",.,.,.,.,.,.,.,.,.,.,.,.,"14,437"
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,611","2,611"
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,"1,280",.,.,.,.,.,.,.,.,.,.,.,.,"1,280"
CA54A,"Minor Ear Procedures, 19 years and over",.,"1,296",.,.,"1,067",.,.,.,.,.,.,.,"1,231",.,.,.,"11,831","15,426"
CA54B,"Minor Ear Procedures, 18 years and under","1,810","1,011",.,.,"1,067",.,.,.,.,.,.,.,.,.,.,.,"17,903","21,791"
CA60A,"Tonsillectomy, 19 years and over","2,256",.,.,.,"4,928",.,.,.,.,.,.,.,"4,310",.,.,.,.,"11,493"
CA60B,"Tonsillectomy, 18 years and under",745,"1,022",.,.,"4,928",.,.,.,.,.,.,.,.,.,.,.,.,"6,695"
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,446","1,446"
CA62Z,Adenoidectomy,.,.,.,.,757,.,.,.,.,.,.,.,"1,215",.,.,.,.,"1,972"
CA63Z,Tracheostomy,.,.,"1,870",.,.,.,.,.,.,.,.,.,"6,673",.,.,.,.,"8,542"
CA65Z,Frenotomy or Frenectomy,"10,628","1,116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,672,"12,416"
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",.,.,.,.,"1,455",.,.,.,.,.,.,.,.,.,.,.,"1,194","2,648"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,"1,011",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,011"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","4,367","2,430",.,.,"2,394",.,.,.,.,.,623,.,"2,081",.,.,.,.,"11,894"
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,.,.,.,"2,018",.,.,.,.,.,.,.,.,.,.,.,"1,358","3,376"
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,902,.,.,.,.,.,.,.,"1,523",.,.,.,.,"2,425"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,"3,342",.,.,.,.,"3,342"
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over","3,620",464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"4,085"
CA81C,"Complex, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,834,.,.,.,.,.,.,.,.,.,.,.,.,834
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,464,.,.,.,"1,390",.,.,.,.,.,.,.,.,.,.,.,"1,854"
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","3,040",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,040"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,464,.,.,"7,565",.,.,.,.,.,.,.,"2,159",.,.,.,"1,446","11,635"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","10,861","2,574",.,.,"20,191",.,.,.,.,.,.,.,"10,254",.,.,.,"1,446","45,326"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,620",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,620"
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over","35,158","10,524",.,.,"8,971",.,.,.,.,.,.,.,"7,405",.,.,.,"2,796","64,854"
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years","14,796","3,250",.,.,"1,662",.,.,.,.,.,.,.,"2,568",.,.,.,"4,373","26,650"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,265",.,.,.,.,"1,265"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over","8,653",909,.,.,"1,000",.,.,.,"1,115",.,798,.,"5,680",.,.,.,"22,837","40,991"
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years","44,321",752,.,.,931,.,.,.,.,.,.,.,.,.,.,.,"87,539","133,544"
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under","9,247",.,.,.,.,.,.,.,.,.,.,.,"3,158",.,.,.,"27,754","40,159"
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,605","2,605"
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","5,872",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,872"
