HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,"5,931",.,.,.,.,.,.,"72,041",.,.,.,.,"77,973"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"114,813",.,.,.,"6,334","121,147"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"6,529",.,.,.,.,"6,529"
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+","15,779",.,.,.,"2,900",.,.,.,.,.,.,"39,516",.,.,.,.,"58,195"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,"4,901","22,145",.,.,"4,509","11,149",.,"72,561",.,"82,196",.,.,"197,462"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","11,971","14,553",.,.,"35,244","4,923","3,693",.,"7,607","6,833",.,"96,021",.,"3,013",.,"1,194","185,052"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","22,884","11,485","16,575","14,968","18,732","9,880","15,825",.,"7,891","1,439","7,805","109,123","11,400","26,562",.,"20,236","294,808"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","54,405","56,407","10,225","33,858","55,983","16,373","7,015",.,"6,633",.,"18,186","301,624",.,"32,062",.,"68,129","660,902"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"4,473",.,.,.,.,.,.,"39,145",.,.,.,"44,787",.,.,.,"88,405"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,"12,210","38,897",.,.,"3,625",.,"7,385",.,"1,829",.,.,"6,691",.,.,.,"5,135","75,773"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"28,335","44,019","26,699","31,751","10,696","1,407",.,.,"19,163","14,745","29,609","37,652","16,693","44,723",.,"15,630","321,121"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"27,876","38,802",786,"15,629","28,280","16,928","1,583",.,"5,983","3,237","16,157","60,809",.,"32,808",.,"29,039","277,916"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"13,019","5,403","14,974","6,826","16,363","8,115",.,.,"1,219",.,"16,559","80,283",.,"6,798",.,"5,415","174,975"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+","31,124","9,759","15,038",.,"2,614",.,.,.,"20,606",.,"14,274",.,"11,400",.,.,"4,178","108,993"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","13,260","12,198","19,807","13,607",.,"13,257","17,812",.,"12,281",.,.,"6,990","17,915",.,.,"6,235","133,364"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","29,352","15,877","41,633",.,"5,555","5,724","8,440",.,"4,885",.,"12,407","17,579","6,107",.,.,"16,975","164,534"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","47,252","38,943","102,808","20,865","17,511","3,917","1,055",.,"4,509",.,"13,612","40,258",.,"28,763",.,"24,874","344,367"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","29,366","53,553","79,389","20,144","33,371","7,833","21,628",.,.,.,"5,594","55,840",.,"6,734",.,"20,428","333,882"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","31,557","3,773","39,562","20,002","22,218",.,.,.,"3,758",.,734,"48,521",814,"15,335",.,"11,974","198,247"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,907,"14,321",.,.,.,"10,393","55,744","21,635","31,348","47,230","3,013",.,"38,327","222,918"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","11,890","4,698",.,"8,164","10,124","3,229","4,220",.,"12,073",.,.,"6,351",.,"4,506",.,"8,561","73,817"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","29,447","22,365","16,553","10,839","22,521","8,135","8,440",.,"4,865","28,411","11,482","61,768",.,"12,979",.,"25,396","263,202"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","61,436","17,063","22,367","15,325","39,965","11,901",.,.,"10,522","6,114","12,537","75,015","9,365","35,369",.,"29,080","346,058"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","128,400","57,121","15,033","23,664","65,134","16,105","10,102",.,"8,999","4,316","12,931","222,051","4,886","11,897",.,"75,296","655,934"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+","1,315",.,.,.,"1,813","1,581",.,.,"81,812","33,806",.,"1,763","83,467",.,.,.,"205,557"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14","46,053","8,864","20,070","33,565","47,669","26,198","3,165",.,"5,567","101,058","2,368","11,162","47,230","51,146",.,"49,109","453,224"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","38,628","63,824","13,337","77,628","64,402","17,506","6,330",.,"16,829","110,769",.,"175,060","88,760","58,596",.,"115,660","847,329"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","138,966","137,630","57,971","69,168","150,692","55,153","22,964",.,"24,286","54,305","8,985","230,444","23,208","102,444",.,"141,486","1,217,702"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","181,588","162,149","28,007","79,322","185,245","54,445","45,965",.,"32,949","11,868","35,964","335,999","4,886","79,391",.,"135,217","1,372,994"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","130,196","146,712","34,287","62,463","97,657","35,574","10,023","3,861","7,852",.,"41,836","315,780","1,629","55,012",.,"85,405","1,028,285"
AA27Z,Medical Care of Patients with Alzheimer's Disease,"88,574","4,816","62,479","6,804","13,535",.,"32,178",.,"55,749","17,622","3,054","15,004",.,.,.,"43,600","343,414"
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,"14,515",.,.,.,.,.,.,.,.,"8,550",.,.,"20,628","43,693"
AA28D,Motor Neuron Disease with CC Score 5-7,.,.,"2,688",.,.,.,.,.,.,.,.,"9,722",.,.,.,"18,706","31,116"
AA28E,Motor Neuron Disease with CC Score 2-4,"12,155","24,269",.,"8,751",.,"1,428",.,.,.,.,.,"40,055",.,.,.,"10,637","97,295"
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"42,080",.,.,.,.,"42,080"
AA29C,Transient Ischaemic Attack with CC Score 11+,.,.,.,"15,422",.,.,.,.,732,.,.,"33,919",.,"4,506",.,"15,860","70,438"
AA29D,Transient Ischaemic Attack with CC Score 8-10,"13,974","19,462",.,"47,172","6,525",.,"7,385",.,"4,054","7,912","8,061","58,082","4,479","18,463",.,"21,088","216,658"
AA29E,Transient Ischaemic Attack with CC Score 5-7,"49,308","45,534",.,"34,018","21,719","14,064","15,298",.,"9,019",.,"16,412","52,328",.,"31,133",.,"31,426","320,259"
AA29F,Transient Ischaemic Attack with CC Score 0-4,"52,604","51,076","1,718","27,041","35,244","19,993","10,550",.,"4,134",.,"23,979","58,100",.,"38,991",.,"19,341","342,771"
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,.,.,.,.,.,"3,596",.,.,"15,879",.,.,"4,035","23,510"
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,"7,409",.,.,.,.,.,.,.,.,.,"28,273",.,.,.,"16,872","52,554"
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4","15,779","9,369",.,.,"22,873","2,712","2,638",.,.,.,"7,677","49,352","7,329","14,562",.,"14,136","146,427"
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1","20,470","4,473",.,.,"8,169","1,506","3,693",.,.,.,"1,073","88,460",.,"16,970",.,"4,401","149,215"
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+","3,856",.,"1,168",.,.,.,.,.,.,.,.,"3,140",.,"2,009",.,"1,791","11,964"
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10","5,315","4,807",.,"4,536","3,921","7,155","2,189",.,"6,104","2,158",815,"24,153",.,"4,944",.,"4,765","70,862"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6","153,865","135,287","11,848","58,192","97,380","27,417","53,036",.,"16,563",.,"38,597","297,484","1,629","79,480",.,"162,606","1,133,384"
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,986,"12,251",.,.,.,.,"13,237"
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",.,.,.,.,"8,675",.,.,.,.,.,.,"11,673",.,.,.,.,"20,348"
AA35A,Stroke with CC Score 16+,.,.,.,"48,987","1,450","19,694","35,613",.,"148,784","207,871","21,733","118,696","109,932","134,998",.,"91,376","939,133"
AA35B,Stroke with CC Score 13-15,"30,130","35,724","24,888","91,169","16,685","68,426","36,398",.,"89,574","107,172","20,384","283,612","166,934","356,758",.,"105,306","1,433,160"
AA35C,Stroke with CC Score 10-12,"182,217","90,372","30,600","187,328","68,439","135,006","80,182",.,"94,170","196,003","36,622","464,455","107,082","275,647",.,"233,258","2,181,381"
AA35D,Stroke with CC Score 7-9,"240,918","211,604","38,867","442,596","228,880","170,114","82,292",.,"120,318","237,721","96,438","742,036","184,442","394,131",.,"413,159","3,603,516"
AA35E,Stroke with CC Score 4-6,"459,836","417,617","51,144","297,814","279,741","264,678","70,687",.,"66,390","112,927","72,508","623,030","48,044","333,020",.,"398,296","3,495,731"
AA35F,Stroke with CC Score 0-3,"257,231","238,956","41,408","57,010","208,976","180,402","20,573",.,"7,120","10,789","89,255","365,791","6,922","153,613",.,"149,233","1,787,279"
AA38Z,"Minor Intracranial Procedures Except Trauma, with Stroke",.,.,.,.,.,.,.,.,.,.,.,"38,366",.,.,.,.,"38,366"
AA39Z,Long Term EEG Monitoring,.,.,.,.,327,.,.,.,.,.,.,.,.,.,.,.,327
AA40Z,Complex Long Term EEG Monitoring,.,.,.,.,"37,754",.,.,.,.,.,.,"30,810",.,.,.,.,"68,564"
AA41Z,Sleep Studies,689,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,689
AA42Z,Complex Sleep Studies,.,.,.,.,"3,594",.,.,.,.,.,.,.,.,.,.,.,"3,594"
AB03Z,Complex Pain Procedures,.,.,.,"3,955",.,.,.,.,.,.,.,.,.,.,.,.,"3,955"
AB04Z,Major Pain Procedures,.,"1,194",.,.,.,"1,013",.,"2,529",.,.,.,835,.,.,.,987,"6,558"
AB05Z,Intermediate Pain Procedures,"5,983",.,"1,326","4,039","2,175",.,.,.,.,"3,956",.,"7,571",.,"1,599",.,.,"26,649"
AB06Z,Minor Pain Procedures,.,"1,220",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,220"
AB08Z,Pain Radiofrequency Treatments,.,.,.,.,.,.,.,"1,248",.,.,.,.,.,.,.,.,"1,248"
AB11Z,Cognitive Behavioural Therapy,.,"1,111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,111"
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,"3,474",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,474"
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"8,398",.,.,.,.,"8,398"
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,545",.,.,.,.,"1,545"
BZ04B,Lens Capsulotomy with CC Score 0,"1,283",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,283"
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","5,339",.,.,.,.,.,.,.,.,.,.,"3,384",.,.,.,.,"8,723"
BZ07B,"Minor Oculoplastics Procedures, 18 years and under","1,236",.,.,.,.,.,.,.,.,.,.,"3,254",.,.,.,"1,169","5,660"
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",.,.,.,.,.,"1,882",.,.,.,.,.,.,.,.,.,.,"1,882"
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2","4,158",.,.,.,.,.,.,.,.,.,.,"1,416",.,.,.,.,"5,575"
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0","6,519",.,.,.,.,.,.,.,.,.,.,"7,856",.,.,.,.,"14,375"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under","5,336",.,.,.,.,.,.,.,.,.,.,"8,927",.,.,.,"7,760","22,022"
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"22,895","22,895"
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0","6,035",.,.,.,.,.,.,.,.,.,.,"2,921",.,.,.,"36,406","45,363"
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,355",.,.,.,.,"13,355"
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,156",.,.,.,.,"3,156"
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+","10,064",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"10,064"
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0","5,642",.,.,.,.,.,.,.,.,.,.,"52,495",.,.,.,.,"58,136"
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+","2,481",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,481"
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0","9,500",.,.,.,.,.,.,.,.,.,.,"43,187",.,.,.,.,"52,688"
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"1,707",.,.,.,.,"1,707"
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,"2,676",.,.,.,.,"2,676"
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"1,405",.,.,.,.,"1,405"
BZ19B,Minor Glaucoma Procedures with CC Score 0,"7,118",.,.,.,.,.,.,.,.,.,.,"3,885",.,.,.,.,"11,004"
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"24,563",.,.,.,.,"24,563"
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,"1,301",.,.,.,.,.,.,.,.,.,.,"2,225",.,.,.,.,"3,526"
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,"12,611",.,.,.,.,"12,611"
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,890,.,.,.,.,.,.,.,.,.,.,"52,194",.,.,.,.,"53,084"
BZ24D,Non-Surgical Ophthalmology with Interventions,"12,157","6,319",.,.,"4,835",.,.,.,"5,819",.,.,"89,314",.,.,.,.,"118,445"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,.,.,.,"3,268","5,122","5,275",.,.,.,.,"3,085","4,886",.,.,.,"21,635"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","17,062","9,343",.,.,"23,328","14,099","1,583",.,752,"7,912","7,205","41,812",.,"14,193",.,"15,088","152,377"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1","25,676","11,495","4,270","1,814","6,127","4,821","3,165","3,539","4,134",.,"7,887","138,262","2,443","7,253",.,"13,189","234,074"
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"7,422",.,.,.,.,"7,422"
CA03A,Major Neck Procedures with CC Score 2+,.,.,.,.,.,.,.,.,.,.,.,"12,553",.,.,.,"4,956","17,509"
CA03B,Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,"6,936",.,.,.,.,"6,936"
CA04A,"Intermediate Neck Procedures, 19 years and over","6,797",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,797"
CA11A,"Septoplasty, 19 years and over","5,575",.,.,.,"3,919",.,.,.,.,.,.,"2,398",.,.,.,.,"11,893"
CA12Z,Major Treatment of Epistaxis,"8,595","5,401",.,.,"7,365",.,.,.,.,.,.,"2,669",.,.,.,.,"24,029"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","39,860","13,491",.,.,"31,767",603,.,.,.,.,.,"21,020",.,.,.,"2,198","108,939"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","2,149","1,219",.,.,"1,523",.,.,.,.,.,.,.,.,.,.,.,"4,890"
CA21Z,Very Major Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"12,397",.,.,.,.,"12,397"
CA22Z,Major Nose Procedures,.,"1,756",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,756"
CA23Z,Intermediate Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,"8,015",.,.,.,.,"8,015"
CA28Z,Intermediate Sinus Procedures,.,"14,952",.,.,"2,851",.,.,.,.,.,.,"3,755",.,.,.,.,"21,558"
CA29Z,Minor Sinus Procedures,.,.,.,.,327,.,.,.,.,.,.,"1,993",.,.,.,.,"2,320"
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"1,879",.,.,.,.,"1,879"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,"1,015",.,.,.,.,.,.,.,.,.,"16,787",.,.,.,.,"17,801"
CA33Z,Pinnaplasty,.,.,.,.,.,.,.,.,.,.,.,"4,300",.,.,.,.,"4,300"
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,"2,384",.,.,.,.,"2,384"
CA52A,"Major Ear Procedures, 19 years and over","2,678",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,220","5,898"
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,"2,794",.,.,.,.,.,.,.,.,.,.,.,.,"2,794"
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,704,.,.,.,.,.,.,.,.,.,.,.,704
CA60A,"Tonsillectomy, 19 years and over",.,450,.,.,"2,314",.,.,.,.,.,.,"5,068",.,.,.,.,"7,832"
CA60B,"Tonsillectomy, 18 years and under",.,.,.,.,"2,314",.,.,.,.,.,.,"3,055",.,.,.,.,"5,369"
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,"2,624",.,.,.,.,"2,624"
CA63Z,Tracheostomy,"1,913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,913"
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"1,725",.,.,.,.,"1,725"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,450,.,.,"1,145",.,.,.,.,.,.,.,.,.,.,"2,872","4,466"
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,"5,375",.,.,.,"1,790","7,165"
CA80A,"Very Complex, Mouth or Throat Procedures, with CC Score 5+",.,.,"10,152",.,.,.,.,.,.,.,.,.,.,.,.,.,"10,152"
CA80B,"Very Complex, Mouth or Throat Procedures, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,"46,126",.,.,.,.,"46,126"
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"50,359",.,.,.,.,"50,359"
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"4,940",.,.,.,.,"4,940"
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","3,767","3,695",.,.,.,.,.,.,.,.,.,"14,177",.,.,.,.,"21,639"
