HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
BZ05A,Major Oculoplastics Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,2
BZ05B,Major Oculoplastics Procedures with CC Score 0,6,.,.,.,.,.,.,.,.,1,9,.,4,.,.,.,3,.,23
BZ06B,"Intermediate Oculoplastics Procedures, 18 years and under",6,.,.,.,.,.,.,.,.,.,1,.,23,1,.,.,.,.,31
BZ06C,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,2,1,5
BZ06D,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",69,.,.,.,13,11,3,.,.,7,112,1,85,14,.,15,17,3,350
BZ07B,"Minor Oculoplastics Procedures, 18 years and under",26,.,.,.,1,.,.,.,.,2,.,.,80,12,.,.,4,.,125
BZ07C,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 3+",4,.,.,.,.,.,.,.,.,.,.,.,1,1,.,.,1,.,7
BZ07D,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 1-2",16,.,.,.,2,.,.,.,.,5,5,.,11,15,.,1,7,.,62
BZ07E,"Minor Oculoplastics Procedures, 19 years and over, with CC Score 0",262,.,.,.,11,11,1,3,.,15,121,1,787,119,16,33,23,9,"1,412"
BZ08B,"Major Orbits or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
BZ08C,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
BZ08D,"Major Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,3,.,3,.,.,.,.,.,7
BZ09B,"Intermediate Orbits or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,11
BZ09D,"Intermediate Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",29,.,.,.,.,.,.,.,.,1,4,.,71,3,.,.,.,.,108
BZ10B,"Minor Orbits or Lacrimal Procedures, 18 years and under",26,.,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,.,86
BZ10C,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
BZ10D,"Minor Orbits or Lacrimal Procedures, 19 years and over, with CC Score 0-1",22,.,.,.,.,.,.,.,.,2,1,.,88,13,4,5,.,.,135
BZ11A,"Major Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,3
BZ11B,"Major Cornea or Sclera Procedures, with CC Score 0",5,.,.,.,.,.,.,.,.,.,4,.,2,.,.,.,.,.,11
BZ12A,"Intermediate Cornea or Sclera Procedures, with CC Score 1+",3,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,5
BZ12B,"Intermediate Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,10,.,6,.,.,.,.,.,19
BZ13A,"Minor Cornea or Sclera Procedures, with CC Score 1+",1,.,.,.,.,.,.,1,.,.,11,.,2,1,.,.,.,.,16
BZ13B,"Minor Cornea or Sclera Procedures, with CC Score 0",4,.,.,.,.,.,.,.,.,.,40,.,26,.,.,.,.,.,70
BZ14A,"Major Ocular Motility Procedures, 19 years and over",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,4
BZ14B,"Major Ocular Motility Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ15B,"Intermediate Ocular Motility Procedures, 18 years and under",59,.,.,.,.,.,.,.,.,15,4,.,107,.,.,.,.,.,185
BZ15C,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
BZ15D,"Intermediate Ocular Motility Procedures, 19 years and over, with CC Score 0",27,.,.,.,.,.,.,.,.,2,4,.,17,.,.,.,.,.,50
BZ16A,"Minor Ocular Motility Procedures, 19 years and over",5,.,.,.,.,.,.,.,.,.,5,.,4,.,.,.,.,.,14
BZ16B,"Minor Ocular Motility Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,6,.,.,26,.,.,.,.,.,33
BZ17B,Major Glaucoma Procedures with CC Score 0,1,.,.,.,.,.,.,.,.,.,2,.,4,.,.,3,.,.,10
BZ18A,Intermediate Glaucoma Procedures with CC Score 1+,3,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,14
BZ18B,Intermediate Glaucoma Procedures with CC Score 0,15,.,.,.,.,.,.,.,.,.,11,.,112,.,.,1,.,.,139
BZ19A,Minor Glaucoma Procedures with CC Score 1+,2,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,5
BZ19B,Minor Glaucoma Procedures with CC Score 0,56,.,.,.,.,.,.,.,.,.,1,.,182,.,6,5,.,.,250
BZ20A,Complex Vitreous Retinal Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
BZ20B,Complex Vitreous Retinal Procedures with CC Score 0,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,.,20
BZ21B,Major Vitreous Retinal Procedures with CC Score 1-2,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
BZ21C,Major Vitreous Retinal Procedures with CC Score 0,13,.,.,.,.,.,.,1,.,.,1,.,31,.,.,.,.,.,46
BZ22A,Intermediate Vitreous Retinal Procedures with CC Score 2+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2
BZ22B,Intermediate Vitreous Retinal Procedures with CC Score 0-1,21,.,.,1,.,.,.,.,.,1,.,.,79,.,10,.,.,.,112
BZ23Z,Minor Vitreous Retinal Procedures,604,.,.,1,.,.,.,.,.,.,11,.,"1,780",1,69,.,.,.,"2,466"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,7
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",17,.,.,1,.,.,.,.,.,2,5,.,624,2,.,.,.,.,651
CA02B,Very Major Neck Procedures with CC Score 0-1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,2
CA03B,Major Neck Procedures with CC Score 0-1,1,3,.,.,.,.,.,.,.,.,1,.,9,.,.,.,.,.,14
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA04B,"Intermediate Neck Procedures, 18 years and under",.,1,.,.,.,1,1,.,.,.,.,.,5,.,.,.,.,.,8
CA05A,"Minor Neck Procedures, 19 years and over",13,9,.,.,9,20,4,5,.,1,13,5,46,5,2,4,12,.,148
CA05B,"Minor Neck Procedures, 18 years and under",4,1,.,.,1,5,2,.,.,.,.,1,5,1,.,.,1,.,21
CA10A,"Septorhinoplasty, 19 years and over",2,5,.,.,.,2,3,1,.,.,.,3,.,.,.,.,.,.,16
CA10B,"Septorhinoplasty, 18 years and under",.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
CA11A,"Septoplasty, 19 years and over",2,30,.,.,16,24,39,16,.,1,.,25,81,41,.,62,.,.,337
CA11B,"Septoplasty, 18 years and under",.,.,.,.,2,1,4,1,.,.,.,3,6,4,.,2,.,.,23
CA12Z,Major Treatment of Epistaxis,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA13A,"Minor Treatment of Epistaxis, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,4
CA13B,"Minor Treatment of Epistaxis, 18 years and under",4,2,.,.,.,.,1,1,.,.,.,1,33,1,.,.,3,.,46
CA14Z,Nasal Polypectomy,1,22,.,.,7,13,1,4,.,.,.,11,52,6,.,1,1,.,119
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",4,5,.,.,.,9,2,.,.,.,.,5,17,.,.,8,4,.,54
CA16Z,"Excision or Biopsy, of Lesion of External Nose",60,3,.,.,54,58,10,4,.,32,1,4,20,1,.,7,80,21,355
CA20Z,Complex Nose Procedures,4,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,3,.,9
CA21Z,Very Major Nose Procedures,.,.,.,.,1,4,.,.,.,4,.,.,.,.,.,.,12,.,21
CA22Z,Major Nose Procedures,5,14,.,.,2,9,8,.,.,.,.,4,6,1,.,5,245,.,299
CA23Z,Intermediate Nose Procedures,19,2,.,.,2,1,5,.,.,6,.,.,6,2,.,2,21,.,66
CA24A,"Minor Nose Procedures, 19 years and over",4,35,.,.,9,8,7,.,.,5,.,6,22,10,.,4,6,.,116
CA24B,"Minor Nose Procedures, 18 years and under",4,1,.,.,1,3,1,.,.,1,.,4,14,4,.,.,1,.,34
CA25A,"Minimal Nose Procedures, 19 years and over",2,19,.,.,5,1,4,4,.,.,.,8,24,1,.,1,.,.,69
CA25B,"Minimal Nose Procedures, 18 years and under",5,17,.,.,7,4,5,2,.,.,.,2,25,6,.,.,14,.,87
CA26Z,Complex Sinus Procedures,1,1,.,.,.,1,.,.,.,3,.,.,1,.,.,.,.,.,7
CA27Z,Major Sinus Procedures,.,.,.,.,.,2,3,.,.,15,.,.,2,.,.,.,.,.,22
CA28Z,Intermediate Sinus Procedures,1,7,.,.,.,5,8,2,.,2,.,8,5,.,.,.,1,.,39
CA29Z,Minor Sinus Procedures,1,13,.,.,.,8,3,.,.,.,.,2,9,.,.,.,.,.,36
CA31Z,"Simple or Cortical, Mastoid Procedures",.,1,.,.,.,.,.,.,.,1,.,.,1,.,.,1,.,.,4
CA32A,"Tympanoplasty, 19 years and over",4,6,.,.,.,11,.,.,.,.,.,2,10,.,.,5,.,.,38
CA32B,"Tympanoplasty, 18 years and under",2,6,.,.,2,2,2,.,.,2,.,.,5,.,.,.,1,.,22
CA33Z,Pinnaplasty,2,1,.,.,.,3,.,.,.,.,.,1,60,2,.,.,4,.,73
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",57,16,.,.,45,52,26,4,.,20,4,10,22,4,.,35,46,27,368
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",1,1,.,.,.,2,3,.,.,.,.,2,7,.,.,2,8,.,26
CA35A,"Insertion of Grommets, 19 years and over",18,53,.,.,12,8,8,8,.,4,.,27,82,5,.,13,13,.,251
CA35B,"Insertion of Grommets, between 2 and 18 years",122,145,.,.,66,74,52,15,.,4,.,31,254,73,.,6,141,.,983
CA35C,"Insertion of Grommets, 1 year and under",7,8,.,.,1,25,4,.,.,.,.,.,35,.,.,.,18,.,98
CA36A,"Clearance of External Auditory Canal, 19 years and over",2,4,.,.,1,.,.,.,.,.,.,1,2,.,.,.,.,.,10
CA36B,"Clearance of External Auditory Canal, 18 years and under",8,19,.,.,5,13,4,.,.,.,.,3,14,7,.,.,8,.,81
CA37B,"Audiometry or Hearing Assessment, between 5 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
CA37C,"Audiometry or Hearing Assessment, 4 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA38B,"Evoked Potential Recording, 18 years and under",6,4,.,.,.,6,.,.,.,.,.,.,.,.,.,.,5,.,21
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
CA40Z,Fitting of Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,6
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
CA50Z,Complex Ear Procedures,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,3
CA51A,"Very Major Ear Procedures, 19 years and over",1,.,.,.,1,3,.,.,.,.,.,.,2,.,.,.,2,.,9
CA51B,"Very Major Ear Procedures, 18 years and under",.,.,.,.,.,1,.,.,.,1,.,.,1,.,.,.,.,.,3
CA52A,"Major Ear Procedures, 19 years and over",4,1,.,.,3,2,1,.,.,.,.,1,1,1,.,2,9,.,25
CA52B,"Major Ear Procedures, 18 years and under",2,1,.,.,.,.,5,.,.,.,.,.,2,1,.,.,1,.,12
CA53A,"Intermediate Ear Procedures, 19 years and over",10,4,.,.,3,15,1,.,.,2,.,3,3,.,.,.,6,.,47
CA53B,"Intermediate Ear Procedures, 18 years and under",2,3,.,.,.,3,.,.,.,.,.,.,44,1,.,.,5,.,58
CA54A,"Minor Ear Procedures, 19 years and over",5,7,.,.,2,5,1,1,.,.,.,6,11,2,.,4,9,.,53
CA54B,"Minor Ear Procedures, 18 years and under",18,8,.,.,1,9,1,.,.,1,.,.,84,2,.,1,7,.,132
CA55A,"Minimal Ear Procedures, 19 years and over",1,8,.,.,.,.,1,1,.,1,.,5,4,1,.,.,2,.,24
CA55B,"Minimal Ear Procedures, 18 years and under",8,12,.,.,2,9,.,2,.,.,.,1,7,4,.,.,4,.,49
CA60A,"Tonsillectomy, 19 years and over",2,32,.,.,.,51,14,.,.,.,.,1,1,2,.,.,.,.,103
CA60B,"Tonsillectomy, 18 years and under",.,21,.,.,.,66,55,.,.,.,.,.,178,1,.,.,119,.,440
CA61Z,Adenotonsillectomy,.,8,.,.,.,30,103,.,.,.,.,.,80,.,.,.,62,.,283
CA62Z,Adenoidectomy,4,44,.,.,6,70,43,18,.,4,.,13,120,57,.,.,113,.,492
CA63Z,Tracheostomy,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
CA65Z,Frenotomy or Frenectomy,22,18,.,.,13,24,9,1,.,.,.,.,38,3,.,1,37,.,166
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",463,15,.,.,16,30,3,67,.,17,1,4,68,1,.,3,50,11,749
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",24,2,.,.,1,.,.,3,.,.,.,.,14,.,.,.,10,.,54
CA67A,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 2+",2,.,.,.,.,2,.,.,.,.,.,.,2,.,.,.,.,.,6
CA67B,"Complex Therapeutic Endoscopic, Larynx or Pharynx Procedures, with CC Score 0-1",4,5,.,.,.,2,1,.,.,.,.,.,36,.,.,.,.,.,48
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",2,1,.,.,.,5,.,.,.,.,.,.,17,2,.,.,.,.,27
CA68B,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 18 years and under",.,.,.,.,.,1,.,.,.,.,.,.,2,.,.,.,.,.,3
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over",79,39,.,1,.,52,7,4,.,.,1,34,199,1,.,2,2,.,421
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",2,2,.,.,.,3,4,1,.,.,.,.,13,.,.,.,4,.,29
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",1,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,2,.,10
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,18,15,.,.,.,20,2,.,.,.,.,3,32,.,.,2,.,.,92
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over",11,9,.,.,1,12,3,1,.,1,.,4,26,2,.,5,.,.,75
CA71B,"Diagnostic Nasopharyngoscopy, 18 years and under",4,8,.,.,.,3,.,.,.,.,.,.,14,.,.,.,.,.,29
CA80C,"Very Complex, Mouth or Throat Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA81B,"Complex, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
CA82B,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,4
CA82C,"Very Major, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA82D,"Very Major, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",3,1,.,.,.,2,1,.,.,.,.,.,8,.,.,.,1,.,16
CA83C,"Major, Mouth or Throat Procedures, 18 years and under",1,.,.,.,.,.,2,.,.,.,.,.,1,1,.,.,1,.,6
CA84A,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",3,1,.,1,.,.,1,3,.,1,.,.,.,.,.,.,.,.,10
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",24,.,.,1,2,6,1,2,.,1,.,.,8,1,.,1,2,.,49
CA84C,"Intermediate, Mouth or Throat Procedures, 18 years and under",1,.,.,.,.,1,3,.,.,.,.,.,8,2,.,.,.,.,15
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over",27,2,.,7,.,3,3,.,.,.,.,3,8,.,.,.,2,.,55
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years",6,.,.,.,.,2,.,5,.,.,.,.,14,.,.,.,2,.,29
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over",4,.,.,.,.,.,3,.,.,.,.,.,1,.,.,.,1,.,9
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years",1,.,.,.,.,3,3,.,.,.,.,1,1,.,.,.,16,.,25
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
CA92B,Very Major Maxillofacial Procedures with CC Score 0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,4
CA93C,"Major Maxillofacial Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA94Z,Intermediate Maxillofacial Procedures,6,.,.,1,.,1,.,1,.,.,.,.,4,.,.,1,5,.,19
CA95Z,Minor Maxillofacial Procedures,24,.,.,.,.,.,2,2,.,.,.,.,2,.,.,.,23,.,53
CA96Z,"Reduction or Fixation, of Jaw",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
CA97Z,"Reduction or Fixation, of Cheekbone",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,4
CA98Z,Reduction of Fracture of Nasal Bone,42,92,.,.,37,129,25,1,.,.,.,47,180,15,.,85,28,.,681
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",.,5,.,15,1,.,.,.,.,.,.,.,.,.,.,.,4,.,25
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",.,.,.,2,.,.,1,.,.,.,.,.,.,.,.,.,1,.,4
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",.,1,.,2,.,1,.,.,.,.,.,.,2,.,.,.,2,1,9
