HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA22E,823,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22F,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA22F,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",11,8,.,2,3,6,3,.,1,.,3,19,.,.,.,8,64
AA22F,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA22F,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",2,.,1,.,1,.,.,.,.,2,1,21,.,1,.,4,33
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,3
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,2
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",15,27,.,7,21,7,2,.,5,.,6,26,.,5,.,29,150
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,6,.,.,1,.,.,.,.,.,.,.,.,.,.,.,7
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA22G,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,1,.,1,1,.,.,.,1,.,.,.,.,.,.,.,5
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,3,.,.,.,1,.,.,.,.,1,.,.,.,.,.,5
AA22G,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA22G,360,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,22
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",2,3,1,.,6,1,.,.,.,.,3,16,.,2,.,2,36
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,1,.,.,.,2,1,.,.,.,.,.,.,.,.,.,4
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,1,.,.,.,.,.,.,3,.,.,1,1,.,.,.,6
AA23D,150,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,1,.,2,2,2,1,.,1,.,1,.,.,.,.,.,10
AA23D,320,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,4,1,.,2,3,.,.,.,.,.,1,1,.,.,4,16
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA23E,110,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23E,150,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,14
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,7,4,.,4,4,3,.,.,.,.,1,2,.,2,.,8,35
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23E,400,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,1,6,.,.,6,2,.,.,.,.,1,.,3,.,.,7,26
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,31
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,6,6,.,2,.,1,.,.,1,.,1,2,.,1,.,2,22
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23F,400,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,3,6,.,.,6,2,.,.,.,.,.,4,.,1,.,8,30
AA23F,800,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,3,1,.,.,.,.,.,.,.,.,.,.,4
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,29
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,7,1,.,4,4,.,.,.,.,.,1,3,.,1,.,3,24
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23G,400,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,2,.,.,1,.,.,.,.,.,1,6,.,.,.,5,15
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,6,.,1,4,1,.,.,.,.,.,.,.,.,.,1,13
AA24C,302,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24C,340,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA24C,430,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,1,.,.,1,.,.,.,.,.,.,1,1,.,.,2,6
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",3,6,.,4,2,1,.,.,.,.,4,.,.,3,.,.,23
AA24D,302,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,1,3,.,.,.,.,4
AA24D,400,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",1,.,7,.,.,.,.,.,.,.,.,1,.,1,.,1,11
AA24E,100,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,110,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,150,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",3,4,.,1,2,1,.,.,.,.,.,6,.,4,.,4,25
AA24E,302,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24E,320,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24E,370,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",1,4,.,.,1,.,.,.,1,.,1,.,.,3,.,2,13
AA24E,800,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,100,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,2
AA24F,150,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",5,3,.,3,9,3,.,.,2,.,1,12,.,3,.,23,64
AA24F,320,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
AA24F,370,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,1,2,.,.,2,.,.,.,.,.,.,.,1,.,2,8
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,5
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",11,5,.,6,8,6,.,.,2,.,.,25,.,5,.,11,79
AA24G,320,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24G,370,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,10,1,.,1,.,.,.,.,.,.,.,1,2,.,4,19
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,19
AA24H,130,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,9
AA24H,160,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",8,8,.,2,8,1,1,.,.,.,4,33,.,4,.,6,75
AA24H,340,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24H,370,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24H,400,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,2,.,.,.,.,.,.,.,2,.,2,.,1,.,1,8
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,13
AA25C,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",3,2,.,.,.,2,1,.,.,.,.,.,.,.,.,.,8
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",1,.,.,.,1,.,.,.,5,1,.,2,.,.,.,.,10
AA25D,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1
AA25D,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",6,2,.,2,6,.,4,.,2,.,.,5,.,1,.,4,32
AA25D,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",1,.,1,.,3,.,.,.,5,2,.,4,5,.,.,5,26
AA25E,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,101,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA25E,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",18,6,.,5,13,2,.,.,2,.,.,11,.,5,.,14,76
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",7,2,6,.,6,.,.,.,2,2,.,16,2,4,.,15,62
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,2
AA25F,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",29,11,.,7,23,6,4,.,7,.,4,27,.,3,.,27,148
AA25F,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,1,3,.,.,.,.,.,.,.,3,1,.,.,.,.,8
AA25F,350,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",5,13,10,.,15,3,.,.,2,5,2,23,4,8,.,23,113
AA25F,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,1,.,.,.,1,.,.,.,.,.,1,.,.,.,.,3
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,12
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",35,19,1,9,27,17,4,.,4,.,6,55,.,5,.,51,233
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,2,.,1,1,1,.,.,.,.,.,.,.,.,.,.,5
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,2
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,43,.,.,.,.,43
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",6,11,5,.,16,3,.,.,.,2,7,23,2,1,.,15,91
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,2
AA26C,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,1,.,1,.,1,.,.,.,.,.,.,.,.,.,.,3
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,3,1,1,3,.,.,.,1,.,.,8,.,1,.,.,18
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,16,.,.,12,.,.,.,.,.,.,.,.,.,.,28
AA26C,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",1,1,.,.,.,.,.,.,3,10,.,1,5,.,.,4,25
AA26D,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",2,.,.,.,.,2,.,.,.,.,.,1,.,.,.,1,6
AA26D,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",4,.,1,.,11,1,2,.,.,.,2,21,.,1,.,7,50
AA26D,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26D,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26D,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",2,3,2,.,5,1,.,.,7,4,.,5,6,2,.,6,43
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",8,5,.,1,.,1,.,.,.,.,.,9,.,.,.,2,26
AA26E,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,13
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",13,8,1,9,12,9,5,.,6,.,.,29,.,8,.,21,121
AA26E,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26E,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",2,1,1,.,2,.,.,.,.,.,1,.,.,.,.,2,9
AA26E,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA26E,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",2,7,8,.,10,1,.,.,4,14,.,11,7,6,.,20,90
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",5,14,.,1,12,6,.,.,.,.,.,5,.,2,.,10,55
