a_year,a_ref,a_dcu,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2014,37,DOWN,3,1,1,FRI,3,1,10,47,340410,336370,13,30, , , , , , , , , , 
2014,38,BELS,3,2,1,FRI,3,1,12,44,334160,373327,13,30, , , , , , , , , , 
2014,39,NEWM,3,2,1,FRI,3,1,12,50,316478,318310,13,40, , , , , , , , , , 
2014,40,CREA,3,2,1,FRI,3,1,14,36,335307,370107,13,30, , , , , , , , , , 
2014,41,LARN,3,1,1,FRI,3,1,14,20,342094,397322,13,60, , , , , , , , , , 
2014,42,BELN,3,2,1,FRI,3,1,15,25,333445,380632,13,30, , , , , , , , , , 
2014,43,STRB,3,2,1,FRI,3,1,14,15,234028,396925,13,30, , , , , , , , , , 
2014,44,STRB,1,3,3,FRI,3,1,16,30,236327,388076,13,60,1,1,1,1,2,1,2,1,1,1
2014,45,DOWN,3,1,3,THU,2,1,17,15,337495,332438,13,30, , , , , , , , , , 
2014,46,CREA,3,1,1,FRI,3,1,16,58,340686,367556,13,60, , , , , , , , , , 
2014,47,LISB,3,2,2,FRI,3,1,17,13,321763,355430,11,60, , , , , , , , , , 
2014,48,BMEN,3,2,2,FRI,3,1,18,30,302162,405598,13,60, , , , , , , , , , 
2014,49,FERM,3,1,1,SAT,4,1,0,50,237366,332720,13,60, , , , , , , , , , 
2014,50,FOYL,3,1,1,SAT,4,1,10,20,247041,422730,13,30, , , , , , , , , , 
2014,51,FOYL,3,2,1,SAT,4,1,10,55,241475,418956,13,30, , , , , , , , , , 
2014,52,DOWN,3,3,1,SAT,4,1,12,19,334501,336494,13,40, , , , , , , , , , 
2014,53,BELE,3,1,2,SAT,4,1,13,15,335729,373671,13,30, , , , , , , , , , 
2014,54,BELW,3,2,1,SAT,4,1,14,40,330971,373240,13,40, , , , , , , , , , 
2014,55,LISB,3,2,1,SAT,4,1,16,30,324572,359755,13,30, , , , , , , , , , 
2014,56,CFER,2,2,5,SAT,4,1,17,10,343271,390957,13,40,6,7,1,1,4,4,2,1,1,1
2014,57,CRAI,3,2,3,SAT,4,1,20,7,301320,354041,13,30, , , , , , , , , , 
2014,58,BMON,3,2,3,SAT,4,1,22,53,295646,421948,13,60, , , , , , , , , , 
2014,59,BELS,3,2,2,SAT,4,1,23,40,333478,374408,2,30, , , , , , , , , , 
2014,60,FERM,1,1,1,SUN,5,1,2,50,203542,362086,13,60,1,1,1,1,6,1,2,1,1,1
2014,61,DOWN,3,1,3,SUN,5,1,3,4,340887,349391,13,60, , , , , , , , , , 
2014,62,MFEL,3,1,1,SUN,5,1,3,40,286116,407893,13,60, , , , , , , , , , 
2014,63,DOWN,3,2,2,SUN,5,1,3,35,340936,349380,13,60, , , , , , , , , , 
2014,64,NEWM,3,1,1,SUN,5,1,4,30,310466,327627,13,60, , , , , , , , , , 
2014,65,LARN,3,1,1,SUN,5,1,9,29,338261,404513,13,60, , , , , , , , , , 
2014,66,BELN,3,2,1,SAT,4,1,14,50,333447,374723,13,30, , , , , , , , , , 
2014,67,OMAG,3,2,1,SUN,5,1,11,20,252073,359728,13,60, , , , , , , , , , 
2014,68,ARDS,3,2,1,SAT,4,1,14,30,349198,373357,1,30, , , , , , , , , , 
2014,69,BELS,3,2,2,SUN,5,1,8,20,333921,374927,13,30, , , , , , , , , , 
2014,70,DAST,3,3,2,SUN,5,1,17,15,286052,367426,13,60, , , , , , , , , , 
2014,71,NEWM,3,2,1,SAT,4,1,14,30,308497,325944,13,30, , , , , , , , , , 
2014,72,BELS,3,1,1,SUN,5,1,22,58,332104,372778,13,30, , , , , , , , , , 
2014,73,NDOW,3,2,2,MON,6,1,7,25,341750,380263,13,50, , , , , , , , , , 
2014,74,NDOW,3,2,2,MON,6,1,12,29,342265,380523,13,60, , , , , , , , , , 
2014,75,FOYL,2,1,1,SUN,5,1,3,0,242117,418789,13,30,12,7,1,1,4,10,1,1,1,2
2014,76,FOYL,3,1,1,MON,6,1,12,45,243062,416153,13,30, , , , , , , , , , 
2014,77,BELS,3,2,1,MON,6,1,14,30,334200,374127,2,30, , , , , , , , , , 
2014,78,FOYL,3,2,1,MON,6,1,15,6,241513,416043,13,30, , , , , , , , , , 
2014,79,BELN,3,3,1,MON,6,1,15,56,334352,377742,1,30, , , , , , , , , , 
2014,80,NEWM,3,2,1,MON,6,1,16,0,306004,328193,13,40, , , , , , , , , , 
2014,81,LISB,3,1,1,MON,6,1,16,37,315229,361551,12,70, , , , , , , , , , 
2014,82,CRAI,3,2,1,MON,6,1,17,8,302755,356859,13,40, , , , , , , , , , 
2014,83,BMEN,3,1,1,MON,6,1,18,45,311940,407179,13,60, , , , , , , , , , 
2014,84,BELN,3,1,1,TUE,7,1,8,30,333181,377827,13,30, , , , , , , , , , 
2014,85,LISB,3,2,1,MON,6,1,19,15,319556,366149,13,60, , , , , , , , , , 
2014,86,BELE,3,2,1,TUE,7,1,8,50,335882,372709,13,30, , , , , , , , , , 
2014,87,ARDS,3,2,3,TUE,7,1,9,35,348112,374366,13,30, , , , , , , , , , 
2014,88,BELS,3,1,1,TUE,7,1,9,48,333684,373810,13,30, , , , , , , , , , 
2014,89,FERM,2,2,1,TUE,7,1,9,55,235181,347954,13,30,1,1,1,1,3,1,2,1,1,1
2014,90,COOK,3,1,1,TUE,7,1,10,22,281075,381984,13,60, , , , , , , , , , 
2014,91,ARDS,3,2,1,TUE,7,1,10,30,363111,367241,13,60, , , , , , , , , , 
2014,92,BELS,3,2,1,TUE,7,1,8,30,330308,369892,13,30, , , , , , , , , , 
2014,93,MFEL,2,1,1,TUE,7,1,11,30,289669,390732,13,30,1,1,1,12,1,2,2,1,1,1
2014,94,DAST,3,2,1,TUE,7,1,11,55,279974,362008,13,30, , , , , , , , , , 
2014,95,LARN,3,2,1,TUE,7,1,12,0,338481,406920,13,60, , , , , , , , , , 
2014,96,FOYL,3,2,1,TUE,7,1,12,48,246306,418116,11,50, , , , , , , , , , 
2014,97,FOYL,3,3,2,TUE,7,1,13,49,245522,414281,13,30, , , , , , , , , , 
2014,98,BANB,3,2,1,TUE,7,1,13,0,324606,339384,13,60, , , , , , , , , , 
2014,99,NEWM,3,2,1,TUE,7,1,14,0,308831,328696,1,40, , , , , , , , , , 
2014,100,BELE,3,3,2,TUE,7,1,15,24,335876,374773,11,50, , , , , , , , , , 
2014,101,ANTR,3,4,3,TUE,7,1,15,39,301334,389720,13,60, , , , , , , , , , 
2014,102,BMEN,3,1,1,TUE,7,1,17,38,299801,400105,13,60, , , , , , , , , , 
2014,103,NABB,3,2,1,TUE,7,1,17,0,328709,391337,13,30, , , , , , , , , , 
2014,104,FOYL,3,2,1,WED,8,1,7,47,245147,415587,13,40, , , , , , , , , , 
2014,105,FOYL,3,2,1,WED,8,1,8,0,247526,419428,11,50, , , , , , , , , , 
2014,106,NDOW,3,2,1,WED,8,1,10,46,350936,379307,13,30, , , , , , , , , , 
2014,107,BELS,3,2,1,WED,8,1,10,40,334784,373944,13,30, , , , , , , , , , 
2014,108,STRB,1,2,5,WED,8,1,10,52,234389,392058,13,60,1,1,1,1,2,1,1,1,1,1
2014,109,CRAI,3,2,1,WED,8,1,12,12,305845,360325,12,70, , , , , , , , , , 
2014,110,ARMA,3,4,1,WED,8,1,12,47,287291,346122,13,30, , , , , , , , , , 
2014,111,FOYL,3,2,2,WED,8,1,14,5,253038,420385,13,30, , , , , , , , , , 
2014,112,BELN,2,1,1,WED,8,1,14,48,333571,376231,13,30,12,7,1,1,1,1,2,1,1,1
2014,113,CREA,3,2,1,WED,8,1,8,30,337528,370679,13,60, , , , , , , , , , 
2014,114,CREA,3,2,1,WED,8,1,15,28,336292,371079,13,30, , , , , , , , , , 
2014,115,BELN,3,2,2,WED,8,1,15,43,332260,376020,13,30, , , , , , , , , , 
2014,116,FOYL,3,2,1,WED,8,1,16,30,252370,420665,13,60, , , , , , , , , , 
2014,117,NEWM,2,1,1,WED,8,1,17,15,330578,314506,13,30,12,7,1,11,4,1,2,1,1,1
2014,118,DAST,3,2,1,WED,8,1,17,30,277075,359976,13,60, , , , , , , , , , 
2014,119,BELE,3,3,3,WED,8,1,18,29,335740,374769,11,50, , , , , , , , , , 
2014,120,BELW,3,3,4,WED,8,1,20,24,332842,374138,13,30, , , , , , , , , , 
2014,121,BELW,3,2,1,WED,8,1,22,48,327310,372463,13,40, , , , , , , , , , 
2014,122,BMEN,3,2,2,THU,9,1,8,50,306501,400832,13,60, , , , , , , , , , 
2014,123,BMON,3,1,1,THU,9,1,9,10,290009,426083,13,60, , , , , , , , , , 
2014,124,CREA,3,2,2,THU,9,1,10,0,333913,368164,13,60, , , , , , , , , , 
2014,125,LARN,2,1,1,THU,9,1,10,0,346467,397890,13,60,1,1,1,1,2,1,2,1,1,1
2014,126,CRAI,3,2,1,THU,9,1,13,39,308465,359101,13,30, , , , , , , , , , 
2014,127,DOWN,3,1,1,THU,9,1,14,0,335392,338212,13,60, , , , , , , , , , 
2014,128,CREA,3,2,1,THU,9,1,13,10,340642,367271,13,30, , , , , , , , , , 
2014,129,BELW,3,1,2,THU,9,1,14,20,330696,372381,13,30, , , , , , , , , , 
2014,130,BELE,2,1,1,WED,8,1,11,40,335161,374456,13,30,12,7,1,1,2,10,2,1,1,2
2014,131,BELS,3,1,1,THU,9,1,14,0,334394,375374,13,30, , , , , , , , , , 
2014,132,COLE,3,2,1,THU,9,1,15,1,285557,439686,1,30, , , , , , , , , , 
2014,133,STRB,3,1,1,THU,9,1,15,19,231180,393640,13,60, , , , , , , , , , 
2014,134,FOYL,3,2,6,THU,9,1,15,38,242402,419016,13,30, , , , , , , , , , 
2014,135,NABB,3,2,1,THU,9,1,15,45,329004,391014,13,30, , , , , , , , , , 
2014,136,FOYL,3,2,1,FRI,3,1,12,45,245094,419355,13,50, , , , , , , , , , 
2014,137,LISB,3,2,1,THU,9,1,16,55,327641,370153,13,30, , , , , , , , , , 
2014,138,ARDS,3,1,1,THU,9,1,17,18,351389,373153,13,60, , , , , , , , , , 
2014,139,BELW,3,2,3,THU,9,1,17,43,332728,374121,13,30, , , , , , , , , , 
2014,140,LISB,3,2,1,THU,9,1,18,8,315898,361277,1,70, , , , , , , , , , 
2014,141,CRAI,3,3,4,THU,9,1,18,50,300504,354710,13,30, , , , , , , , , , 
2014,142,DOWN,3,1,1,THU,9,1,19,40,342223,345601,13,60, , , , , , , , , , 
2014,143,BELW,3,2,6,THU,9,1,20,2,331878,374282,13,30, , , , , , , , , , 
2014,144,BELW,3,2,3,THU,9,1,20,40,328667,370608,13,30, , , , , , , , , , 
2014,145,BANB,3,2,2,THU,9,1,21,0,319379,337865,13,60, , , , , , , , , , 
2014,146,BELW,3,1,1,THU,9,1,21,37,331847,373492,13,30, , , , , , , , , , 
2014,147,LISB,1,2,3,FRI,10,1,8,10,327554,367235,13,50,1,1,1,1,1,2,2,1,1,1
2014,148,ARDS,3,2,1,FRI,10,1,8,23,348526,374048,13,30, , , , , , , , , , 
2014,149,ANTR,3,2,1,FRI,10,1,7,27,312788,393945,11,70, , , , , , , , , , 
2014,150,ANTR,3,2,1,FRI,10,1,10,35,315216,387023,13,30, , , , , , , , , , 
2014,151,BELE,3,2,1,THU,9,1,15,30,337962,373961,13,30, , , , , , , , , , 
2014,152,LISB,3,2,2,FRI,10,1,14,45,316768,359331,13,60, , , , , , , , , , 
2014,153,NDOW,3,2,2,FRI,10,1,14,47,344939,380878,13,50, , , , , , , , , , 
2014,154,FOYL,3,2,2,FRI,10,1,16,20,241236,412744,13,30, , , , , , , , , , 
2014,155,COLE,2,1,1,FRI,10,1,17,14,285330,432807,13,30,12,4,1,1,4,9,2,1,1,1
2014,156,CREA,3,2,1,FRI,10,1,17,21,338040,370896,13,40, , , , , , , , , , 
2014,157,NEWM,1,1,1,FRI,10,1,17,31,296598,326296,13,60,1,1,1,1,6,1,2,1,1,1
2014,158,BELE,3,3,1,FRI,10,1,17,35,336568,372747,13,30, , , , , , , , , , 
2014,159,CREA,3,2,4,FRI,10,1,17,47,335113,369953,13,40, , , , , , , , , , 
2014,160,COLE,3,2,3,FRI,10,1,18,5,281175,419186,13,60, , , , , , , , , , 
2014,161,BANB,3,2,1,FRI,10,1,17,45,310914,349060,13,40, , , , , , , , , , 
2014,162,NEWM,3,1,1,FRI,10,1,20,47,329337,317888,13,60, , , , , , , , , , 
2014,163,ARDS,3,2,2,FRI,10,1,21,0,360059,354367,13,60, , , , , , , , , , 
2014,164,BELS,3,1,1,SAT,11,1,15,48,334375,374176,2,30, , , , , , , , , , 
2014,165,NDOW,3,2,3,SAT,11,1,0,55,351080,381944,1,30, , , , , , , , , , 
2014,166,NDOW,3,1,1,SAT,11,1,8,45,344277,380732,13,60, , , , , , , , , , 
2014,167,NABB,2,2,1,SAT,11,1,10,30,334150,381274,13,30,12,7,1,1,3,10,4,1,1,2
2014,168,BANB,3,2,3,SAT,11,1,13,6,316963,351373,13,60, , , , , , , , , , 
2014,169,FERM,3,1,1,SAT,11,1,13,40,227967,340777,13,30, , , , , , , , , , 
2014,170,BMEN,3,1,1,SAT,11,1,13,44,302901,409768,13,60, , , , , , , , , , 
2014,171,BMEN,3,1,4,SAT,11,1,14,20,300232,413885,13,60, , , , , , , , , , 
2014,172,ARDS,3,2,1,SAT,11,1,9,55,362848,368962,13,30, , , , , , , , , , 
2014,173,NABB,3,1,1,SAT,11,1,16,0,326523,391698,13,60, , , , , , , , , , 
2014,174,ARMA,3,2,2,SAT,11,1,17,10,298749,338142,13,60, , , , , , , , , , 
2014,175,BELS,3,2,1,SAT,11,1,19,28,334381,372579,13,30, , , , , , , , , , 
2014,176,BELW,3,2,1,SAT,11,1,20,5,330160,372306,13,30, , , , , , , , , , 
2014,177,BMEN,3,2,2,SAT,11,1,21,12,310922,403576,13,30, , , , , , , , , , 
2014,178,FERM,3,1,1,SUN,12,1,2,58,223369,344244,13,30, , , , , , , , , , 
2014,179,LISB,3,2,2,SUN,12,1,9,9,326520,363893,13,30, , , , , , , , , , 
2014,180,NDOW,3,3,1,SUN,12,1,13,11,347942,380056,13,30, , , , , , , , , , 
2014,181,LARN,3,2,1,SUN,12,1,14,4,338870,402422,13,40, , , , , , , , , , 
2014,182,CREA,3,2,1,SUN,12,1,15,9,335477,370434,11,30, , , , , , , , , , 
2014,183,DAST,3,2,1,SUN,12,1,16,50,279417,362284,13,30, , , , , , , , , , 
2014,184,ARDS,3,1,1,SUN,12,1,17,16,358775,380397,13,30, , , , , , , , , , 
2014,185,NDOW,3,2,1,SUN,12,1,18,33,350113,379973,11,30, , , , , , , , , , 
2014,186,ARDS,3,2,3,SUN,12,1,19,46,346007,362739,13,60, , , , , , , , , , 
2014,187,NABB,3,2,1,SUN,12,1,19,15,334650,382577,1,30, , , , , , , , , , 
2014,188,BANB,3,2,2,SAT,11,1,23,15,312535,345830,13,30, , , , , , , , , , 
2014,189,NEWM,3,2,1,MON,13,1,23,50,301577,315802,13,60, , , , , , , , , , 
2014,190,ARMA,2,2,1,MON,13,1,6,11,296803,339541,13,60,12,7,1,1,4,9,4,1,1,1
2014,191,DOWN,1,1,1,MON,13,1,6,15,341289,360500,13,60,1,1,1,1,6,1,4,1,1,1
2014,192,LISB,3,1,1,MON,13,1,6,59,325137,360766,11,70, , , , , , , , , , 
2014,193,BELN,3,1,2,MON,13,1,6,1,331261,375394,13,30, , , , , , , , , , 
2014,194,CRAI,3,1,2,MON,13,1,7,25,306477,350931,13,60, , , , , , , , , , 
2014,195,BELS,3,2,1,MON,13,1,7,50,330716,367564,13,60, , , , , , , , , , 
2014,196,BELS,3,1,1,MON,13,1,7,55,334263,372990,13,30, , , , , , , , , , 
2014,197,ARMA,3,2,1,MON,13,1,7,57,297645,333652,13,60, , , , , , , , , , 
2014,198,CRAI,3,1,1,MON,13,1,8,10,303600,354831,13,30, , , , , , , , , , 
2014,199,CRAI,3,2,1,MON,13,1,8,41,307055,355713,13,40, , , , , , , , , , 
2014,200,NEWM,3,1,3,MON,13,1,8,53,327388,327162,13,50, , , , , , , , , , 
2014,201,LIMA,3,3,2,MON,13,1,8,50,266659,423413,13,60, , , , , , , , , , 
2014,202,LIMA,3,1,1,MON,13,1,9,0,269094,416180,13,60, , , , , , , , , , 
2014,203,NABB,3,2,1,MON,13,1,10,38,330411,382941,14,70, , , , , , , , , , 
2014,204,BELE,3,1,2,MON,13,1,11,58,335675,373657,13,30, , , , , , , , , , 
2014,205,CREA,3,2,1,MON,13,1,12,50,336976,365283,13,30, , , , , , , , , , 
2014,206,CFER,3,2,2,MON,13,1,13,0,342280,390437,13,30, , , , , , , , , , 
2014,207,NEWM,3,2,1,MON,13,1,11,20,308710,326670,2,30, , , , , , , , , , 
2014,208,NDOW,3,2,2,THU,9,1,16,30,343853,376890,13,60, , , , , , , , , , 
2014,209,BELN,3,2,1,MON,13,1,15,12,334240,379624,13,30, , , , , , , , , , 
2014,210,FOYL,3,2,2,MON,13,1,15,45,244042,416124,13,30, , , , , , , , , , 
2014,211,COLE,3,2,1,MON,13,1,14,0,284649,432419,2,30, , , , , , , , , , 
2014,212,LISB,3,2,1,MON,13,1,17,12,328713,368015,13,30, , , , , , , , , , 
2014,213,DOWN,2,1,1,MON,13,1,17,34,348488,344372,13,30,10,7,1,1,4,1,1,1,1,1
2014,214,BELW,3,2,2,MON,13,1,17,47,332744,374153,13,30, , , , , , , , , , 
2014,215,CRAI,3,2,1,MON,13,1,17,50,301830,358715,12,70, , , , , , , , , , 
2014,216,ARMA,3,2,1,MON,13,1,18,28,295301,349831,13,60, , , , , , , , , , 
2014,217,BELS,3,2,2,MON,13,1,18,55,334414,372450,13,30, , , , , , , , , , 
2014,218,BELW,2,3,4,MON,13,1,19,30,331788,372707,12,50,1,1,1,1,4,1,1,1,4,1
2014,219,BELN,3,2,2,MON,13,1,20,15,333643,374986,13,30, , , , , , , , , , 
2014,220,BMEN,3,2,5,MON,13,1,22,18,312271,408536,13,60, , , , , , , , , , 
2014,221,MFEL,3,2,1,TUE,14,1,7,0,284603,399598,13,60, , , , , , , , , , 
2014,222,ARMA,3,2,1,TUE,14,1,7,20,285563,343456,13,60, , , , , , , , , , 
2014,223,LISB,3,2,2,TUE,14,1,13,39,332186,364182,13,60, , , , , , , , , , 
2014,224,LIMA,3,3,2,TUE,14,1,13,45,261655,422152,13,50, , , , , , , , , , 
2014,225,BELE,3,2,1,TUE,14,1,15,10,339979,375471,13,30, , , , , , , , , , 
2014,226,DOWN,3,2,2,TUE,14,1,16,10,337720,329987,13,30, , , , , , , , , , 
2014,227,ARDS,3,1,1,TUE,14,1,16,30,348878,374187,13,30, , , , , , , , , , 
2014,228,ANTR,3,2,2,TUE,14,1,16,48,317440,381815,13,60, , , , , , , , , , 
2014,229,ARDS,2,2,3,TUE,14,1,17,15,348854,373123,1,30,2,7,1,1,7,10,1,1,1,2
2014,230,COLE,3,2,2,TUE,14,1,17,40,286843,431060,11,60, , , , , , , , , , 
2014,231,NEWM,3,1,1,SAT,11,1,9,0,318307,327656,13,60, , , , , , , , , , 
2014,232,BMON,3,2,2,TUE,14,1,18,45,305658,417108,13,60, , , , , , , , , , 
2014,233,BELW,3,1,1,TUE,14,1,20,0,329748,372124,13,30, , , , , , , , , , 
2014,234,NABB,3,3,3,TUE,14,1,20,20,334394,383217,13,30, , , , , , , , , , 
2014,235,ARDS,3,2,1,TUE,14,1,21,53,359745,351810,13,60, , , , , , , , , , 
2014,236,FERM,3,2,1,WED,15,1,7,40,227247,366490,13,30, , , , , , , , , , 
2014,237,MOYL,3,1,2,WED,15,1,9,56,312366,440925,13,40, , , , , , , , , , 
2014,238,BELS,3,2,1,WED,15,1,6,40,333628,373594,2,30, , , , , , , , , , 
2014,239,BELS,3,2,1,SAT,11,1,13,30,333620,373209,13,30, , , , , , , , , , 
2014,240,COLE,3,2,2,TUE,14,1,15,20,280136,413527,13,60, , , , , , , , , , 
2014,241,FOYL,3,2,1,WED,15,1,14,50,243209,417725,13,30, , , , , , , , , , 
2014,242,LISB,3,2,2,WED,15,1,15,16,329961,361743,13,60, , , , , , , , , , 
2014,243,BELN,3,2,1,WED,15,1,15,19,331723,377772,13,30, , , , , , , , , , 
2014,244,DOWN,3,1,1,WED,15,1,15,28,348562,344453,13,30, , , , , , , , , , 
2014,245,BELN,3,2,1,MON,13,1,20,30,332771,377943,13,30, , , , , , , , , , 
2014,246,BELS,3,2,1,WED,15,1,13,55,334143,373328,13,30, , , , , , , , , , 
2014,247,NDOW,3,2,1,WED,15,1,17,41,349610,380650,13,30, , , , , , , , , , 
2014,248,NEWM,1,1,2,WED,15,1,17,44,322946,314917,13,60,1,1,1,1,6,1,2,1,1,1
2014,249,NABB,3,2,1,WED,15,1,19,20,334202,383687,13,30, , , , , , , , , , 
2014,250,BELN,3,2,1,WED,15,1,7,20,334166,376765,13,30, , , , , , , , , , 
2014,251,CRAI,3,2,1,THU,16,1,7,24,301609,354271,13,30, , , , , , , , , , 
2014,252,BELN,3,1,1,THU,16,1,7,20,333363,375914,13,30, , , , , , , , , , 
2014,253,LISB,3,1,1,THU,16,1,8,23,324771,366977,13,60, , , , , , , , , , 
2014,254,BELE,3,2,1,THU,16,1,7,50,338210,376299,13,30, , , , , , , , , , 
2014,255,LARN,3,2,1,THU,16,1,9,0,339138,405191,13,40, , , , , , , , , , 
2014,256,ARDS,3,1,1,THU,16,1,7,10,346904,366289,13,60, , , , , , , , , , 
2014,257,NEWM,3,2,2,THU,16,1,10,10,308726,326050,13,30, , , , , , , , , , 
2014,258,BELN,3,2,2,THU,16,1,9,45,331462,375940,13,30, , , , , , , , , , 
2014,259,BELN,3,2,2,THU,16,1,10,52,333902,375179,11,50, , , , , , , , , , 
2014,260,ARMA,2,1,1,MON,6,1,7,55,287373,344836,13,30,10,7,1,1,2,2,2,1,1,2
2014,261,COLE,3,1,1,THU,16,1,12,20,285145,432466,2,30, , , , , , , , , , 
2014,262,BMEN,3,1,1,THU,16,1,13,43,312564,401808,1,40, , , , , , , , , , 
2014,263,DAST,3,2,1,THU,16,1,13,23,284071,366504,13,30, , , , , , , , , , 
2014,264,STRB,3,1,1,THU,16,1,15,0,235541,380667,13,60, , , , , , , , , , 
2014,265,BMON,3,2,1,THU,16,1,15,10,301109,422718,13,60, , , , , , , , , , 
2014,266,BANB,3,2,2,THU,16,1,16,0,317599,349348,11,70, , , , , , , , , , 
2014,267,LISB,3,3,1,THU,16,1,16,40,325046,364966,13,50, , , , , , , , , , 
2014,268,ANTR,3,1,1,THU,16,1,17,32,317327,386135,13,30, , , , , , , , , , 
2014,269,BMEN,3,1,1,THU,16,1,12,15,310762,402787,13,30, , , , , , , , , , 
2014,270,NEWM,2,3,4,THU,16,1,20,35,317791,332900,13,60,1,1,1,1,4,2,2,1,1,1
2014,271,BELS,3,1,1,THU,16,1,10,0,333959,373955,13,30, , , , , , , , , , 
2014,272,BELE,3,2,4,THU,16,1,22,45,336213,373019,13,30, , , , , , , , , , 
2014,273,NABB,3,2,1,FRI,17,1,7,46,325978,390079,13,60, , , , , , , , , , 
2014,274,LISB,3,2,1,FRI,17,1,7,40,324824,366051,13,50, , , , , , , , , , 
2014,275,CRAI,3,2,1,WED,15,1,13,20,307787,358394,13,30, , , , , , , , , , 
2014,276,FOYL,3,3,2,FRI,17,1,9,0,241120,420854,13,60, , , , , , , , , , 
2014,277,CFER,3,2,1,FRI,17,1,10,0,341330,387501,13,30, , , , , , , , , , 
2014,278,FOYL,3,2,2,FRI,17,1,10,56,251898,420974,13,60, , , , , , , , , , 
2014,279,BANB,3,2,1,FRI,17,1,11,26,314511,343464,13,60, , , , , , , , , , 
2014,280,NDOW,3,2,1,FRI,17,1,12,18,340904,379083,13,30, , , , , , , , , , 
2014,281,FERM,3,2,1,FRI,17,1,14,17,242864,345025,13,60, , , , , , , , , , 
