HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"20,454",.,.,.,.,"20,454"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"14,022",.,.,.,.,"14,022"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,"7,110",.,.,.,.,"9,208",.,.,.,"1,890","8,797"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,"3,836",.,.,.,.,"10,256",.,.,.,"1,890","9,613"
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,"9,699",.,.,.,.,"9,699"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"9,322",.,.,.,.,"9,322"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"7,141",.,.,.,.,"7,141"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"9,033",.,.,.,.,"9,033"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"8,180",.,.,.,"2,375","8,027"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3","3,627","2,554",.,.,.,.,.,.,.,.,.,.,"8,641",.,.,.,"2,375","8,491"
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"16,933",.,.,.,.,"16,933"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"18,093",.,.,.,.,"18,093"
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"8,764",.,.,.,.,"8,764"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,"2,427",.,.,.,.,.,.,.,.,.,"9,229",.,.,.,.,"6,962"
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"5,229",.,.,.,"1,890","4,752"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,205","2,205"
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"12,386",.,.,.,.,"12,386"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"8,958",.,.,.,.,"8,958"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"6,074",.,.,.,.,"6,074"
AA57A,"Minimal Intracranial Procedures, 19 years and over",.,.,"11,603",.,.,.,.,.,.,.,.,.,"9,264",.,.,.,.,"10,287"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,"10,921",.,.,.,.,.,.,.,.,.,"12,709",.,.,.,.,"12,198"
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"10,850",.,.,.,.,"10,850"
AA80Z,Complex Long Term EEG Monitoring,.,558,.,.,"1,804",.,.,.,.,.,.,.,"2,814",.,.,.,.,"2,760"
AA81Z,Standard Long Term EEG Monitoring,.,558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,558
AB12Z,Insertion of Neurostimulator for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,"12,219",.,.,.,.,"12,219"
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,"8,845",.,.,.,.,"8,845"
AB16Z,"Denervation or Injection Around Spinal Facet, for Pain Management",.,.,.,.,.,.,.,"1,104",.,.,.,.,"3,456",.,.,.,.,"1,339"
AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management","2,427",.,.,.,.,.,.,"1,274",.,.,.,.,"3,254",.,.,.,.,"2,743"
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,854
AB19Z,Injection of Therapeutic Substance into Joint for Pain Management,.,.,.,.,.,.,.,"1,366",.,.,.,.,395,.,.,.,957,"1,030"
AB20Z,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,"1,121",.,.,.,.,"2,201",.,.,.,.,"1,661"
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,.,.,"2,581",.,.,.,.,.,.,.,.,.,"2,581"
AB22Z,Trigger Point Injection for Pain Management,.,.,.,.,"1,404",.,.,.,.,.,.,0,.,.,885,.,.,763
BZ24D,Non-Surgical Ophthalmology with Interventions,"1,784","4,351",.,.,.,.,.,.,.,.,.,.,"4,197",.,.,.,.,"3,632"
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4","2,640",.,593,.,.,.,.,.,.,.,.,.,"3,476",.,.,.,.,"2,236"
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",973,.,.,.,.,.,.,.,.,.,.,.,"1,484",.,.,.,.,"1,275"
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"1,699",.,.,.,.,"1,699"
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,291",.,.,.,.,"2,291"
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+","1,097",.,.,.,.,.,.,.,.,.,.,.,"1,545",.,.,.,.,"1,321"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,349",.,.,.,.,"2,349"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"1,397",.,.,.,.,"1,397"
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,639",.,.,.,.,"2,639"
BZ33Z,"Minor, Cataract or Lens Procedures",769,.,.,.,.,.,.,.,.,.,.,.,755,.,.,.,.,764
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,097",.,.,.,.,.,.,.,.,.,"1,032",.,"1,585",.,.,.,.,"1,389"
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"3,351",.,.,.,"2,151","3,111"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,754",.,.,.,.,.,.,.,.,.,.,.,"2,472",.,.,.,"4,576","2,934"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","2,750",.,.,.,.,.,.,.,.,.,.,.,"2,897",.,.,.,"2,257","2,716"
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"4,037",.,.,.,.,"4,037"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","3,999",.,.,.,.,.,.,.,.,.,"1,018",.,"2,472",.,.,.,.,"2,487"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,435,.,.,.,"1,915","1,175"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","3,262",.,.,.,.,.,.,.,.,.,.,.,"2,145",.,.,.,"1,668","2,268"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years","1,316",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,430","1,373"
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under","1,709",.,.,.,.,.,.,.,.,.,.,.,"1,842",.,.,.,.,"1,742"
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,890","1,890"
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over","5,551",.,.,.,.,.,.,.,.,.,.,.,"2,993",.,.,.,"5,052","4,787"
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+","5,989",.,.,.,.,.,.,.,.,.,.,.,"2,846",.,.,.,"3,565","3,706"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","5,332",.,.,.,.,.,.,.,.,.,.,.,"3,241",.,.,.,"2,722","3,580"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,640","2,640"
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,"1,293",.,.,.,.,.,"1,965","1,741"
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","3,375",.,.,.,.,.,.,.,.,.,.,.,"3,087",.,.,.,.,"3,159"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+","1,428",.,.,.,.,.,.,.,.,.,.,.,"1,759",.,.,.,.,"1,649"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0","1,353",.,.,.,.,.,.,.,.,.,.,.,"2,120",.,.,.,.,"1,989"
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,520",.,.,.,.,"2,520"
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,823,.,.,.,.,823
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,737",.,.,.,.,"1,737"
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1","1,754",.,.,.,.,.,.,.,.,.,.,.,"3,054",.,.,.,.,"2,924"
BZ61A,"Complex, Cornea or Sclera Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"1,792",.,.,.,.,"1,792"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1","1,411",.,.,.,.,.,.,.,.,.,.,.,"2,676",.,.,.,.,"2,532"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0","1,097",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,097"
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"1,164",.,.,.,.,"1,164"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"1,855",.,.,.,.,"1,855"
BZ72A,"Major Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"2,141",.,.,.,.,"2,141"
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"2,562",.,.,.,.,"2,562"
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"3,440",.,.,.,.,"3,440"
BZ74B,"Minor Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,980,.,.,.,.,.,.,980
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,347",.,.,.,.,"2,347"
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,152",.,.,.,.,"2,152"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,048",.,.,.,.,"2,048"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"3,136",.,.,.,.,"3,136"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+","2,831",.,.,.,.,.,.,.,.,.,.,.,"2,224",.,.,.,.,"2,285"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,785",.,.,.,.,"1,785"
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,093",.,.,.,.,"2,093"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,660",.,.,.,.,"1,660"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,923",.,.,.,.,"2,923"
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,451,.,.,.,.,451
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,597",.,.,.,.,"1,597"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",659,.,.,.,.,.,.,.,.,.,.,.,"1,231",.,.,.,.,945
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"2,105",.,.,.,.,"2,105"
BZ90Z,"Very Complex, Glaucoma or Iris Procedures",.,.,.,.,.,.,.,.,.,.,.,.,"5,214",.,.,.,.,"5,214"
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"6,161",.,.,.,.,"6,161"
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"3,002",.,.,.,.,"3,002"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,"1,007",.,"1,732",.,.,.,.,"1,551"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"7,166",.,.,.,.,"7,166"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+","1,318",.,.,.,.,.,.,.,.,.,.,.,"1,075",.,.,.,.,"1,197"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",878,.,.,.,.,.,.,.,.,.,.,.,"1,811",.,.,.,.,"1,578"
CA01Z,Complex Neck Procedures,"10,728",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,055","6,946"
CA02A,Very Major Neck Procedures with CC Score 2+,"8,391",.,.,.,"8,312",.,.,.,.,.,.,.,"6,740",.,.,.,"4,963","6,598"
CA02B,Very Major Neck Procedures with CC Score 0-1,"7,315","1,827",.,.,"6,196",.,.,.,.,.,.,.,"8,289",.,.,.,"4,701","7,295"
CA03A,Major Neck Procedures with CC Score 2+,"6,207","2,236","3,078",.,"7,042",.,.,.,.,.,.,.,"6,117",.,.,.,"3,214","4,510"
CA03B,Major Neck Procedures with CC Score 0-1,"8,512","2,354","2,725",.,"3,675",.,.,.,.,.,.,.,"6,360",.,.,.,"3,215","5,299"
CA04A,"Intermediate Neck Procedures, 19 years and over","2,903","1,696",.,.,"1,474",.,.,.,.,.,.,.,"2,990",.,.,.,"1,194","2,535"
CA04B,"Intermediate Neck Procedures, 18 years and under","3,749","1,287",.,.,"2,206",.,.,.,.,.,.,.,"2,799",.,.,.,.,"2,649"
CA05A,"Minor Neck Procedures, 19 years and over","2,425","1,204",.,.,"1,494",.,.,"1,893",.,.,.,.,"2,174",.,"3,320",.,"1,221","2,179"
CA05B,"Minor Neck Procedures, 18 years and under","2,066",.,.,.,"1,242",.,.,.,.,.,.,.,"2,335",.,.,.,.,"2,025"
CA10A,"Septorhinoplasty, 19 years and over","3,822","1,917",.,.,"2,092",.,.,.,.,.,.,.,"2,629",.,.,.,"2,032","2,465"
CA10B,"Septorhinoplasty, 18 years and under","3,455","4,617",.,.,"2,298",.,.,.,.,.,.,.,"2,219",.,.,.,"1,909","2,776"
CA11A,"Septoplasty, 19 years and over","3,152","1,454",.,.,"1,668",.,.,.,.,.,.,.,"2,139",.,.,.,"1,577","2,154"
CA11B,"Septoplasty, 18 years and under","3,152","1,167",.,.,"1,852","1,715",.,.,.,.,.,.,"1,502",.,.,.,.,"1,962"
CA12Z,Major Treatment of Epistaxis,"2,387",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,387"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","1,461",.,.,.,.,.,.,.,.,.,.,.,"2,666",.,.,.,.,"1,762"
CA13B,"Minor Treatment of Epistaxis, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"8,839",.,.,.,.,"8,839"
CA14Z,Nasal Polypectomy,"1,810","1,302",.,.,"2,119",.,.,.,.,.,.,.,"2,121",.,.,.,.,"1,937"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose","1,832",.,.,.,"2,192","1,357",.,.,.,.,.,.,"1,314",.,.,.,.,"1,793"
CA16Z,"Excision or Biopsy, of Lesion of External Nose","2,065",.,.,.,.,.,.,.,.,.,.,.,"1,217",.,.,.,"1,115","1,597"
CA20Z,Complex Nose Procedures,"4,251",.,.,.,.,.,.,.,.,.,.,.,"2,924",.,.,.,.,"3,256"
CA21Z,Very Major Nose Procedures,"3,152","2,061",.,.,"3,166",.,.,.,.,.,.,.,"3,669",.,.,.,"1,934","3,211"
CA22Z,Major Nose Procedures,"3,108","1,642",.,.,"2,308","2,883",.,.,.,.,.,.,"2,431",.,.,.,"2,048","2,308"
CA23Z,Intermediate Nose Procedures,"2,126",.,.,.,.,.,.,.,.,.,.,.,"2,059",.,.,.,"1,915","2,063"
CA24A,"Minor Nose Procedures, 19 years and over","2,018","1,354",.,.,"1,422",.,.,.,.,.,.,.,"1,957",.,.,.,.,"1,724"
CA24B,"Minor Nose Procedures, 18 years and under","1,810",.,.,.,873,.,.,.,.,.,.,.,"1,671",.,.,.,"1,443","1,493"
CA25A,"Minimal Nose Procedures, 19 years and over","1,810",.,.,.,.,"1,065",.,.,.,.,.,.,"1,079",.,.,.,.,"1,144"
CA25B,"Minimal Nose Procedures, 18 years and under","1,399","1,460",.,.,834,.,.,.,.,.,.,.,"1,111",.,.,.,.,"1,171"
CA26Z,Complex Sinus Procedures,"3,043",.,.,.,.,.,.,.,.,.,.,.,"3,351",.,.,.,.,"3,342"
CA27Z,Major Sinus Procedures,"1,913","1,692",.,.,"1,993",.,.,.,.,.,.,.,"3,211",.,.,.,.,"2,362"
CA28Z,Intermediate Sinus Procedures,"2,495","1,687",.,.,"2,707",.,.,.,.,.,.,.,"3,311",.,.,.,"2,052","2,604"
CA29Z,Minor Sinus Procedures,"3,043","1,827",.,.,"2,068",.,.,.,.,.,.,.,"3,442",.,.,.,.,"2,659"
