Ward,BlockLot,MAPBLOCKLO,latitude,longitude,StreetNumber,StreetName,Neighborhood,LandUse,LandArea,SaleCode,SALEDESCRIPTION2
03,11A 58,11-A-58,40.441715032394,-79.9822250601745,20,HELDMAN,CRAWFORD ROBERTS,3 STY BRK APT HSE,2000,Hold for URA,APPROVED FOR A SALE
03,11A173,11-A-173,40.4419551678,-79.9807793390897,323,DINWIDDIE,CRAWFORD-ROBERTS,,2000,Hold for URA,APPROVED FOR A SALE
03,11A206,11-A-206,40.440612517502,-79.9799055076487,264,WICK,CRAWFORD ROBERTS,,2400,Hold for URA,APPROVED FOR A SALE
03,11A209,11-A-209,40.4407926091927,-79.9800023041775,270,WICK,CRAWFORD ROBERTS,2 STY BRK HSE,2400,Hold for URA,APPROVED FOR A SALE
03,11A217,11-A-217,40.441133779637,-79.9802732774996,284,WICK,CRAWFORD-ROBERTS,,1200,Hold for URA,APPROVED FOR A SALE
03,11A2221,11-A-222-1,,,291,LOMBARD,CRAWFORD-ROBERTS,,853,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A2222,11-A-222-2,,,266,LOMBARD,CRAWFORD-ROBERTS,,2913,Hold for URA,APPROVED FOR A SALE
03,11A225,11-A-225,40.440693178043,-79.9793136547024,260 62,LOMBARD,CRAWFORD-ROBERTS,,7241,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A227,11-A-227,40.4407546147885,-79.9793977195287,264 66,LOMBARD,CRAWFORD-ROBERTS,,1694,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A228,11-A-228,40.4408651566005,-79.9794358703055,268,LOMBARD,CRAWFORD-ROBERTS,,2800,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A229,11-A-229,40.4409268993408,-79.9794747465692,270,LOMBARD,CRAWFORD-ROBERTS,,2779,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A230,11-A-230,40.4409825954921,-79.9795059134752,272,LOMBARD,CRAWFORD-ROBERTS,,2700,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A236,11-A-236,40.4413131109173,-79.9797119728879,284,LOMBARD,CRAWFORD-ROBERTS,,2300,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E130,11-E-130,40.4392115057545,-79.9796396225552,1825,COLWELL,LOWER HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E131,11-E-131,40.4392751400644,-79.9795650517569,1826,DIAZ,CRAWFORD-ROBERTS,,600,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E132,11-E-132,40.4392733318845,-79.9795204673409,1828,DIAZ,CRAWFORD-ROBERTS,,600,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E133,11-E-133,40.4391410509854,-79.9795514259274,1827,COLWELL,LOWER HILL,,1200,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E135,11-E-135,40.4392083347533,-79.9794613025701,1829,COLWELL,CRAWFORD-ROBERTS,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E136,11-E-136,40.4392008303567,-79.9793792659637,1831,COLWELL,LOWER HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E137,11-E-137,40.439201632566,-79.9792963578336,1833,COLWELL,CRAWFORD-ROBERTS,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E138,11-E-138,40.4391491254014,-79.9792273683564,1835,COLWELL,LOWER HILL,,1020,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E140,11-E-140,40.4392054761386,-79.9791809434712,1837,COLWELL,CRAWFORD-ROBERTS,,1950,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E141,11-E-141,40.4392490761317,-79.9791157782145,1840,DIAZ,LOWER HILL,,1160,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E142,11-E-142,40.4391172012494,-79.9790973015465,1839,COLWELL,LOWER HILL,,864,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E143,11-E-143,40.439189781285,-79.9790389160357,,COLWELL,LOWER HILL,,2024,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E144,11-E-144,40.4391875769002,-79.9789689984344,1843,COLWELL,LOWER HILL,,2024,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E145,11-E-145,40.4391795778062,-79.9788984861478,1845 47,COLWELL,LOWER HILL,,2424,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E147,11-E-147,40.4391231299597,-79.9786649904361,1901,COLWELL,LOWER HILL,,1532,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E148,11-E-148,40.4392583291809,-79.9786806614601,1900 02,DIAZ,LOWER HILL,,880,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E157,11-E-157,40.4403570326128,-79.9789316037841,246,LOMBARD,CRAWFORD-ROBERTS,,2112,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E158,11-E-158,40.4404148160587,-79.9789644141841,250,LOMBARD,CRAWFORD-ROBERTS,,2044,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E171,11-E-171,40.4398668102587,-79.9791664579053,231,LOMBARD,CRAWFORD-ROBERTS,,1920,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E174,11-E-174,40.4397026967846,-79.9790549936252,,LOMBARD,CRAWFORD-ROBERTS,,1876,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E189,11-E-189,40.4396810939166,-79.9794310514689,220,WICK,CRAWFORD-ROBERTS,,2880,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E192,11-E-192,40.4398147413257,-79.9794637410146,222-226,WICK,CRAWFORD-ROBERTS,,7107,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E196,11-E-196,40.4400112499717,-79.9796241331614,232-236,WICK,CRAWFORD-ROBERTS,,2639,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E198,11-E-198,40.4402121244347,-79.9796929022374,253,WICK,CRAWFORD-ROBERTS,,4800,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E200,11-E-200,40.4403233400798,-79.979682259466,255,LOMBARD,CRAWFORD-ROBERTS,,1560,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E209,11-E-209,40.4401745967762,-79.9800689032633,249,WICK,CRAWFORD-ROBERTS,,536,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E209A,11-E-209-A,40.4401295569576,-79.9800609506987,247,WICK,CRAWFORD-ROBERTS,,505,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E210,11-E-210,40.440091666985,-79.9800517583035,245,WICK,CRAWFORD-ROBERTS,,600,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E215,11-E-215,40.439888393184,-79.9800206414315,235,WICK,CRAWFORD-ROBERTS,,1146,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E216,11-E-216,40.4398478653658,-79.9800077185824,233,WICK,CRAWFORD-ROBERTS,,1300,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E217,11-E-217,40.4398032291535,-79.9799926225177,231,WICK,CRAWFORD-ROBERTS,,1311,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E219,11-E-219,40.439774412793,-79.9799001922823,229,WICK,CRAWFORD-ROBERTS,,1100,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E222,11-E-222,40.4396824933775,-79.9799737894263,225,WICK,CRAWFORD-ROBERTS,,1500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E223,11-E-223,40.4396427392982,-79.9799795921396,223,WICK,CRAWFORD-ROBERTS,,1500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E224,11-E-224,40.4396014339044,-79.9799854885903,221,WICK,CRAWFORD-ROBERTS,,1500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E225,11-E-225,40.4395590704779,-79.9799904256762,219,WICK,CRAWFORD-ROBERTS,,1500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E226,11-E-226,40.4395188366512,-79.9799904645953,217,WICK,CRAWFORD-ROBERTS,,1500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E228,11-E-228,40.4394054138597,-79.9799105387511,213,WICK,CRAWFORD-ROBERTS,,2663,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E230,11-E-230,40.439336091794,-79.9799165007242,211,WICK,CRAWFORD-ROBERTS,,794,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E231,11-E-231,40.4392942369489,-79.9799192651388,209,WICK,CRAWFORD-ROBERTS,,750,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E233,11-E-233,40.4392155565985,-79.9799241997123,205,WICK,CRAWFORD-ROBERTS,,800,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E234,11-E-234,40.4391750799993,-79.9799285094311,203,WICK,CRAWFORD-ROBERTS,,780,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E235,11-E-235,40.4391216664754,-79.9799318574047,201,WICK,CRAWFORD-ROBERTS,,1238,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11E304,11-E-304,40.4392755940391,-79.9819026551407,85,MILLER,CRAWFORD-ROBERTS,2 STY BRK WARE HSE,"8,088",Hold for URA,APPROVED FOR A SALE
03,11E306,11-E-306,40.4394457999318,-79.9820370348011,81,MILLER,CRAWFORD-ROBERTS,,1436,Hold for URA,APPROVED FOR A SALE
03,11F  7,11-F-7,40.4396408525818,-79.9784892645648,220,LOMBARD,CRAWFORD-ROBERTS,,3664,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11F  9,11-F-9,40.4395832104875,-79.978515031792,218,LOMBARD,CRAWFORD-ROBERTS,,2413,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11H 65,11-H-65,40.4396305795867,-79.9663282790272,121,BURROWS,WEST OAKLAND,,3047,Property Reserve,APPROVED FOR A SALE
04,11D 46,11-D-46,40.4410959610382,-79.9674248030748,18,ELLERS,WEST OAKLAND,,1600,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11F188,11-F-188,40.438665174864,-79.9764447383549,2003,WYANDOTTE,CRAWFORD ROBERTS,,1517,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11F192,11-F-192,40.4389984876681,-79.9751816112029,2041 43,WYANDOTTE,WEST OAKLAND,,545075,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11G 84,11-G-84,40.4389923425979,-79.9733357238198,40,ORR,WEST OAKLAND,,"4,934",Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11G 86,11-G-86,40.4390733724609,-79.9733264576305,32,ORR,WEST OAKLAND,,1955,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11H  4,11-H-4,40.4405737216688,-79.967168902859,212,WHITRIDGE,WEST OAKLAND,,4980,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,11H 66,11-H-66,40.4395616437387,-79.9663165971321,121,BURROWS,WEST OAKLAND,,3045,Property Reserve,APPROVED FOR A SALE
04,11L 25,11-L-25,40.4373984233395,-79.9703892584816,48,BEELAN,WEST OAKLAND,,1313,Hold for URA,APPROVED FOR A SALE
04,11L 60,11-L-60,40.4379578917773,-79.9723214089176,2310,BEELEN,WEST OAKLAND,,956,Hold for URA,APPROVED FOR A SALE
04,11M 72,11-M-72,40.4367820481866,-79.9678434615304,2513,FIFTH,WEST OAKLAND,,5823,Hold for URA,APPROVED FOR A SALE
04,11M 73,11-M-73,40.436787934992,-79.96796476273,2509,FIFTH,WEST OAKLAND,,6105,Hold for URA,APPROVED FOR A SALE
04,11M102,11-M-102,40.4373709429073,-79.9702646973674,50,BEELEN,WEST OAKLAND,,3625,Hold for URA,APPROVED FOR A SALE
04,28A 80,28-A-80,40.4411923408791,-79.9653986104184,,ROBINSON,WEST OAKLAND,,1540,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,28E249,28-E-249,40.4386750318805,-79.9657532251738,135,ROBINSON,WEST OAKLAND,,4800,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,28R371,28-R-371,40.4356817117785,-79.9570421325569,400,BLVD OF ALLIES,OAKLAND,,17114,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,28S 87,28-S-87,40.4341666779023,-79.9525532631462,3391,PARKVIEW,OAKLAND,,703,Sideyard,APPROVED FOR SALE
04,29B 48,29-B-48,40.4329473522527,-79.9599248923709,12,MACKEY,SOUTH OAKLAND,,1547,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,29C 64,29-C-64,40.4316954007361,-79.9572285675702,3438,FRAZIER,SOUTH OAKLAND,,2000,Approved for Sale,USE IN ACCORDANCE WITH ZONING
04,29M252,29-M-252,40.4283062377715,-79.9533532381529,3157,GRIFFITH,SOUTH OAKLAND,,2760,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10C 52,10-C-52,40.4507266187371,-79.9704357312777,2623,WEBSTER,MIDDLE HILL,,1400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10C 56,10-C-56,40.4507852204631,-79.9708071700125,2603,WATT,MIDDLE HILL,,25980,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D 68,10-D-68,40.4519487185167,-79.9690459128325,2808,BEDFORD,MIDDLE HILL,,1297,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D 72,10-D-72,40.4519698175191,-79.9688097581795,2814,BEDFORD,MIDDLE HILL,2 STY FR HSE RR,2710,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D 97,10-D-97,40.452619599964,-79.9670008655601,2915,BEDFORD,MIDDLE HILL,(NO STREET PAVING),1297,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D140,10-D-140,40.4517661767917,-79.9681910830582,2825,WEBSTER,MIDDLE HILL,,2900,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D141A,10-D-141-A,40.4518290583713,-79.968339597604,2823,WEBSTER,MIDDLE HILL,,1528,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D166A,10-D-166-A,40.4511371309736,-79.9693687432419,2717,WEBSTER,MIDDLE HILL,,700,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D166C,10-D-166-C,40.4511229631659,-79.9694080475629,2715,WEBSTER,MIDDLE HILL,,752,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D170D,10-D-170-D,40.4511331953685,-79.9697804557946,700,FRANCIS,MIDDLE HILL,,810,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D269,10-D-269,40.4505137246973,-79.9665923526368,2847,WYLIE,MIDDLE HILL,,1200,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D271,10-D-271,40.4504701856183,-79.9666742733202,2843,WYLIE,MIDDLE HILL,,1300,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D282,10-D-282,40.4503387085484,-79.9670859603495,2831,WYLIE,MIDDLE HILL,,2695,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10D284,10-D-284,40.4505217014107,-79.967566421998,616,HOLLACE,MIDDLE HILL,,1031,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10F 10,10-F-10,40.4480460504612,-79.9745741272718,28,SOMERS,MIDDLE HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10F 21,10-F-21,40.4480709247472,-79.9756109166278,2300,WEBSTER,MIDDLE HILL,,2062,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10F 34,10-F-34,40.4479040297744,-79.9772346936497,2223,WEBSTER,MIDDLE HILL,,2220,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10F191,10-F-191,40.4479936018653,-79.9785102666779,2166,BEDFORD,MIDDLE HILL,,4173,Hold for URA,APPROVED FOR A SALE
05,10G 12,10-G-12,40.4484181009519,-79.9704048745768,2534,WYLIE,MIDDLE HILL,,1890,Hold for URA,APPROVED FOR A SALE
05,10G 13,10-G-13,40.4483906271799,-79.9704700932859,2532,WYLIE,MIDDLE HILL,,1890,Hold for URA,APPROVED FOR A SALE
05,10G 14,10-G-14,40.4483614950532,-79.9705359118118,2530,WYLIE,MIDDLE HILL,,1880,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G 20,10-G-20,40.4481924785213,-79.9709376332408,2518,WYLIE,MIDDLE HILL,,1890,Hold for URA,APPROVED FOR A SALE
05,10G 21,10-G-21,40.4481633377273,-79.9710017789787,2516,WYLIE,MIDDLE HILL,,1890,Hold for URA,APPROVED FOR A SALE
05,10G 48,10-G-48,40.4485557626179,-79.9712669072638,2519 1/2,WYLIE,MIDDLE HILL,,1363,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G 56,10-G-56,40.4487009203779,-79.9709104414289,2527,WYLIE,MIDDLE HILL,,1383,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G 57,10-G-57,40.4487221219534,-79.9708690214056,2529,WYLIE,MIDDLE HILL,,1383,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G 58,10-G-58,40.4487317337368,-79.9708211821736,2531,WYLIE,MIDDLE HILL,,1560,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G131,10-G-131,40.4492392257513,-79.9720545110355,634,JUNILLA,MIDDLE HILL,,3784,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G135,10-G-135,40.4490667662031,-79.9719663430008,626,JUNILLA,MIDDLE HILL,,3085,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G138,10-G-138,40.4492604956408,-79.9718058146455,2511,UPTON,MIDDLE HILL,,2240,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G139,10-G-139,40.4492946223695,-79.9717108753441,2515,UPTON,MIDDLE HILL,,4480,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G142,10-G-142,40.4493987166425,-79.971662678527,2511,VERDANT,MIDDLE HILL,,1180,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G152,10-G-152,40.4487823838128,-79.9717241583206,619,UPTON,MIDDLE HILL,,4480,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G154,10-G-154,40.4487171517413,-79.9718556032611,618-24,UPTON,MIDDLE HILL,,5223,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G170,10-G-170,40.4491350953071,-79.9725275005223,641,JUNILLA,MIDDLE HILL,,1391,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G172,10-G-172,40.4493166757817,-79.9726797975523,2440,WEBSTER,MIDDLE HILL,,1188,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G174A,10-G-174-A,40.4493483109027,-79.972601468473,2444,WEBSTER,MIDDLE HILL,,1328,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G177,10-G-177,40.4492252323752,-79.972890931847,2432,WEBSTER,MIDDLE HILL,,2000,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G235,10-G-235,40.4482038529181,-79.9734853154605,624,CHAUNCEY,MIDDLE HILL,,1459,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G2352,10-G-235-2,40.4482826211556,-79.9735282279922,628,CHAUNCEY,MIDDLE HILL,,1441,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G241,10-G-241,40.4479382657879,-79.973406984131,614,CHAUNCEY,MIDDLE HILL,,940,Sideyard,APPROVED FOR SALE
05,10G242,10-G-242,40.4478946368,-79.9733910972282,610,CHAUNCEY,MIDDLE HILL,,1581,Sideyard,APPROVED FOR SALE
05,10G248,10-G-248,40.4480335936146,-79.9740047293146,623,CHAUNCEY,MIDDLE HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G249,10-G-249,40.4480869273993,-79.9740382297077,629,CHAUNCEY,MIDDLE HILL,,2436,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G250,10-G-250,40.4481404499491,-79.9740644017032,631,CHAUNCEY,MIDDLE HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G252,10-G-252,40.4482670543295,-79.974129969389,28,CHAUNCEY,MIDDLE HILL,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G286,10-G-286,40.4500644777465,-79.972416930063,2505,WEBSTER FRT & REAR,MIDDLE HILL,,4440,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G292,10-G-292,40.4502544567688,-79.9730169122543,2456,BEDFORD,MIDDLE HILL,,2900,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G295,10-G-295,40.4501615663283,-79.9732066275676,2450,BEDFORD,MIDDLE HILL,,2000,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G297,10-G-297,40.4501120018979,-79.9733292931154,2446,BEDFORD,MIDDLE HILL,,2000,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G303,10-G-303,40.449909109882,-79.9730759038434,2444,JUNILLA,MIDDLE HILL,,2153,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G308,10-G-308,40.4500385739291,-79.9729441630413,719,JUNILLA,MIDDLE HILL,,638,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G309,10-G-309,40.4500088115306,-79.9729442257994,717,JUNILLA,MIDDLE HILL,,699,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G310,10-G-310,40.44997708246,-79.9729269620286,715,JUNILLA,MIDDLE HILL,,699,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G311,10-G-311,40.4499467287653,-79.9729126622186,713,JUNILLA,MIDDLE HILL,,718,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G312,10-G-312,40.4499131594207,-79.9729032564192,711,JUNILLA,MIDDLE HILL,,718,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G313,10-G-313,40.4498509855294,-79.9729390067022,709,JUNILLA,MIDDLE HILL,,2000,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G319,10-G-319,40.4496846467126,-79.9729557792858,2441,WEBSTER,MIDDLE HILL,,2529,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G320,10-G-320,40.4496086401115,-79.9730257099587,2437,WEBSTER,MIDDLE HILL,,1606,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G342,10-G-342,40.4494772577374,-79.9736761740366,705,DUFF,MIDDLE HILL,,4007,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G345,10-G-345,40.4493641288207,-79.9736804420252,2441,WEBSTER,MIDDLE HILL,,115,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10G360,10-G-360,40.4489897502048,-79.9744796246326,2341,WEBSTER,MIDDLE HILL,,690,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10H 67,10-H-67,40.4487469765995,-79.9695751273347,2616,WYLIE,MIDDLE HILL,,1550,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10H234,10-H-234,40.4491593390553,-79.9673568133638,552,MORGAN,MIDDLE HILL,,2500,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10H247,10-H-247,40.4484507608412,-79.9669126951139,524,MORGAN,MIDDLE HILL,,2804,Approved for Sale,USE IN ACCORDANCE WITH ZONING
05,10H322,10-H-322,40.4501823985647,-79.9673583711162,2821,WYLIE,MIDDLE HILL,,1516,Approved for Sale,USE IN ACCORDANCE WITH ZONING
