QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)","Local authority collected municipal waste preparing for reuse, dry recycling and composting rate (%), KPI(e2)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)","Household waste preparing for reuse, dry recycling and composting rate (%), KPI(a2)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%)
Q1,April to June,2006/07,95KK,Cookstown,SWaMP2008,Finalised,"5,484",-,"1,016",582,"1,598",-,29.1,-,0,0,0.0,"3,885",70.8,-,-,-,"4,970",-,976,582,"1,558",-,31.4,-,"3,410",68.6,-,-,"34,587",144,-,-,-
Q1,April to June,2006/07,95LL,Craigavon,SWaMP2008,Finalised,"14,599",-,"2,329","1,971","4,299",-,29.5,-,0,0,0.0,"10,299",70.5,-,-,-,"13,081",-,"2,329","1,971","4,299",-,32.9,-,"8,781",67.1,-,-,"86,086",152,-,-,-
Q1,April to June,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,"15,329",-,"3,495",274,"3,769",-,24.6,-,0,0,0.0,"11,560",75.4,-,-,-,"13,827",-,"3,243",274,"3,517",-,25.4,-,"10,310",74.6,-,-,"107,060",129,-,-,-
Q1,April to June,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,"9,505",-,"1,680","1,441","3,120",-,32.8,-,0,0,0.0,"6,385",67.2,-,-,-,"8,030",-,"1,680","1,424","3,104",-,38.7,-,"4,926",61.3,-,-,"67,142",120,-,-,-
Q1,April to June,2006/07,95OO,Dungannon,SWaMP2008,Finalised,"7,846",-,954,856,"1,810",-,23.1,-,0,0,0.0,"6,036",76.9,-,-,-,"7,722",-,954,856,"1,810",-,23.4,-,"5,912",76.6,-,-,"52,158",148,-,-,-
Q1,April to June,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,"11,125",-,"1,915","1,614","3,528",-,31.7,-,0,0,0.0,"7,568",68.0,-,-,-,"8,971",-,"1,710","1,614","3,324",-,37.1,-,"5,619",62.6,-,-,"59,640",150,-,-,-
Q1,April to June,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,"5,951",-,805,843,"1,648",-,27.7,-,0,0,0.0,"4,303",72.3,-,-,-,"5,450",-,789,843,"1,632",-,29.9,-,"3,818",70.1,-,-,"31,518",173,-,-,-
Q1,April to June,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"5,566",-,"1,249",244,"1,494",-,26.8,-,0,0,0.0,"4,072",73.2,-,-,-,"4,663",-,"1,096",244,"1,340",-,28.7,-,"3,323",71.3,-,-,"33,620",139,-,-,-
Q1,April to June,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,"18,435",-,"2,835","2,187","5,022",-,27.2,-,0,0,0.0,"13,413",72.8,-,-,-,"16,251",-,"2,211","2,187","4,398",-,27.1,-,"12,010",73.9,-,-,"113,588",143,-,-,-
Q1,April to June,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"6,477",-,"1,112",902,"2,014",-,31.1,-,0,0,0.0,"4,463",68.9,-,-,-,"5,398",-,"1,028",902,"1,930",-,35.8,-,"3,467",64.2,-,-,"42,123",128,-,-,-
Q1,April to June,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,903",-,304,376,680,-,23.4,-,0,0,0.0,"2,222",76.6,-,-,-,"2,358",-,304,376,680,-,28.8,-,"1,678",71.2,-,-,"16,532",143,-,-,-
Q1,April to June,2006/07,95VV,Newry and Mourne,SWaMP2008,Finalised,"13,884",-,"2,146","1,793","3,938",-,28.4,-,0,0,0.0,"9,946",71.6,-,-,-,"11,869",-,"1,697","1,793","3,490",-,29.4,-,"8,379",70.6,-,-,"93,410",127,-,-,-
Q1,April to June,2006/07,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"15,059",-,"1,357","2,120","3,478",-,23.1,-,0,0,0.0,"11,582",76.9,-,-,-,"13,926",-,"1,331","2,120","3,451",-,24.8,-,"10,474",75.2,-,-,"82,157",170,-,-,-
Q1,April to June,2006/07,95XX,North Down,arc21 (pre April 2015),Finalised,"15,488",-,"1,944","2,275","4,218",-,27.2,-,0,0,0.0,"9,935",64.1,-,-,-,"12,635",-,"1,944","2,275","4,218",-,33.4,-,"8,281",65.5,-,-,"78,055",162,-,-,-
Q1,April to June,2006/07,95YY,Omagh,SWaMP2008,Finalised,"6,551",-,872,418,"1,289",-,19.7,-,0,0,0.0,"5,261",80.3,-,-,-,"5,711",-,872,418,"1,289",-,22.6,-,"4,422",77.4,-,-,"49,704",115,-,-,-
Q1,April to June,2006/07,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,805",-,891,347,"1,237",-,21.3,-,0,0,0.0,"4,567",78.7,-,-,-,"5,134",-,886,347,"1,233",-,24.0,-,"3,901",76.0,-,-,"38,795",132,-,-,-
Q1,April to June,2006/07,NI,Northern Ireland,-,Finalised,"283,493",-,"41,656","34,970","76,626",-,27.0,-,0,0,0.0,"205,470",72.5,-,-,-,"250,786",-,"38,014","34,951","72,965",-,29.1,-,"177,780",70.9,-,-,"1,743,113",144,-,-,-
Q2,July to September,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,"9,665",-,"2,373","2,564","4,937",-,51.1,-,0,0,0.0,"4,729",48.9,-,-,-,"8,458",-,"1,749","2,564","4,313",-,51.0,-,"4,145",49.0,-,-,"51,059",166,-,-,-
Q2,July to September,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,"12,930",-,"1,311","2,231","3,542",-,27.4,-,0,0,0.0,"9,388",72.6,-,-,-,"12,182",-,"1,253","2,231","3,484",-,28.6,-,"8,698",71.4,-,-,"75,767",161,-,-,-
Q2,July to September,2006/07,95CC,Armagh,SWaMP2008,Finalised,"7,423",-,"1,556","1,342","2,898",-,39.0,-,0,0,0.0,"4,525",61.0,-,-,-,"6,547",-,"1,103","1,342","2,445",-,37.3,-,"4,102",62.7,-,-,"56,785",115,-,-,-
Q2,July to September,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,"9,990",-,"1,418","1,628","3,046",-,30.5,-,0,0,0.0,"6,945",69.5,-,-,-,"9,420",-,"1,418","1,628","3,046",-,32.3,-,"6,374",67.7,-,-,"61,447",153,-,-,-
Q2,July to September,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"4,521",-,540,905,"1,445",-,32.0,-,0,0,0.0,"3,076",68.0,-,-,-,"4,058",-,540,905,"1,445",-,35.6,-,"2,613",64.4,-,-,"29,392",138,-,-,-
Q2,July to September,2006/07,95FF,Banbridge,SWaMP2008,Finalised,"6,837",-,"1,037","2,152","3,189",-,46.6,-,0,0,0.0,"3,617",52.9,-,-,-,"6,588",-,993,"2,152","3,145",-,47.7,-,"3,412",51.8,-,-,"45,290",145,-,-,-
Q2,July to September,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"41,907",-,"4,626","3,059","7,685",-,18.3,-,0,0,0.0,"34,221",81.7,-,-,-,"37,434",-,"4,544","2,994","7,538",-,20.1,-,"29,896",79.9,-,-,"274,239",137,-,-,-
Q2,July to September,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"6,401",-,633,800,"1,433",-,22.4,-,0,0,0.0,"4,968",77.6,-,-,-,"5,670",-,633,800,"1,433",-,25.3,-,"4,237",74.7,-,-,"39,056",145,-,-,-
Q2,July to September,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,"9,202",-,"1,729","1,929","3,659",-,39.8,-,0,0,0.0,"5,518",60.0,-,-,-,"8,683",-,"1,401","1,929","3,330",-,38.4,-,"5,328",61.4,-,-,"66,009",132,-,-,-
Q2,July to September,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"11,252",-,"1,326","1,125","2,451",-,21.8,-,0,0,0.0,"8,801",78.2,-,-,-,"10,767",-,"1,326","1,125","2,451",-,22.8,-,"8,317",77.2,-,-,"57,894",186,-,-,-
Q2,July to September,2006/07,95KK,Cookstown,SWaMP2008,Finalised,"5,260",-,919,673,"1,592",-,30.3,-,0,0,0.0,"3,668",69.7,-,-,-,"4,765",-,878,673,"1,551",-,32.5,-,"3,215",67.5,-,-,"34,587",138,-,-,-
Q2,July to September,2006/07,95LL,Craigavon,SWaMP2008,Finalised,"14,512",-,"2,187","1,742","3,929",-,27.1,-,0,0,0.0,"10,583",72.9,-,-,-,"12,625",-,"2,187","1,742","3,929",-,31.1,-,"8,696",68.9,-,-,"86,086",147,-,-,-
Q2,July to September,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,"14,994",-,"3,378",194,"3,573",-,23.8,-,0,0,0.0,"11,421",76.2,-,-,-,"13,506",-,"3,140",194,"3,335",-,24.7,-,"10,171",75.3,-,-,"107,060",126,-,-,-
Q2,July to September,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,"8,954",-,"1,497","1,036","2,533",-,28.3,-,0,0,0.0,"6,421",71.7,-,-,-,"7,629",-,"1,497","1,025","2,522",-,33.1,-,"5,106",66.9,-,-,"67,142",114,-,-,-
Q2,July to September,2006/07,95OO,Dungannon,SWaMP2008,Finalised,"8,272",-,"1,129","1,107","2,236",-,27.0,-,0,0,0.0,"6,036",73.0,-,-,-,"7,887",-,"1,129","1,107","2,236",-,28.4,-,"5,650",71.6,-,-,"52,158",151,-,-,-
Q2,July to September,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,"9,727",-,"1,629",379,"2,009",-,20.7,-,0,0,0.0,"7,684",79.0,-,-,-,"7,609",-,"1,397",379,"1,776",-,23.3,-,"5,799",76.2,-,-,"59,640",128,-,-,-
Q2,July to September,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,"5,878",-,863,966,"1,829",-,31.1,-,0,0,0.0,"4,050",68.9,-,-,-,"4,940",-,822,966,"1,788",-,36.2,-,"3,152",63.8,-,-,"31,518",157,-,-,-
Q2,July to September,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,003",-,"1,045",280,"1,325",-,33.1,-,0,0,0.0,"2,678",66.9,-,-,-,"3,896",-,940,280,"1,220",-,31.3,-,"2,676",68.7,-,-,"33,620",116,-,-,-
Q2,July to September,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,"18,132",-,"2,562","2,446","5,008",-,27.6,-,0,0,0.0,"13,123",72.4,-,-,-,"16,286",-,"2,101","2,446","4,547",-,27.9,-,"11,853",72.8,-,-,"113,588",143,-,-,-
Q2,July to September,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"6,255",-,"1,365",957,"2,322",-,37.1,-,0,0,0.0,"3,933",62.9,-,-,-,"5,256",-,"1,068",957,"2,024",-,38.5,-,"3,232",61.5,-,-,"42,123",125,-,-,-
Q2,July to September,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"3,069",-,322,436,758,-,24.7,-,0,0,0.0,"2,311",75.3,-,-,-,"2,319",-,322,436,758,-,32.7,-,"1,561",67.3,-,-,"16,532",140,-,-,-
Q2,July to September,2006/07,95VV,Newry and Mourne,SWaMP2008,Finalised,"13,706",-,"2,184","1,404","3,588",-,26.2,-,0,0,0.0,"10,118",73.8,-,-,-,"11,757",-,"1,862","1,404","3,266",-,27.8,-,"8,491",72.2,-,-,"93,410",126,-,-,-
Q2,July to September,2006/07,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"14,192",-,"1,398","2,206","3,604",-,25.4,-,0,0,0.0,"10,589",74.6,-,-,-,"12,876",-,"1,370","2,206","3,576",-,27.8,-,"9,301",72.2,-,-,"82,157",157,-,-,-
Q2,July to September,2006/07,95XX,North Down,arc21 (pre April 2015),Finalised,"15,304",-,"2,149","2,387","4,535",-,29.6,-,0,0,0.0,"9,452",61.8,-,-,-,"12,319",-,"2,149","2,387","4,535",-,36.8,-,"7,784",63.2,-,-,"78,055",158,-,-,-
Q2,July to September,2006/07,95YY,Omagh,SWaMP2008,Finalised,"6,911",-,837,994,"1,831",-,26.5,-,0,0,0.0,"5,080",73.5,-,-,-,"6,065",-,837,994,"1,831",-,30.2,-,"4,234",69.8,-,-,"49,704",122,-,-,-
Q2,July to September,2006/07,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,856",-,912,365,"1,277",-,21.8,-,0,0,0.0,"4,579",78.2,-,-,-,"5,114",-,899,365,"1,264",-,24.7,-,"3,850",75.3,-,-,"38,795",132,-,-,-
Q2,July to September,2006/07,NI,Northern Ireland,-,Finalised,"275,153",-,"40,924","35,307","76,231",-,27.7,-,0,0,0.0,"197,515",71.8,-,-,-,"244,655",-,"37,557","35,232","72,788",-,29.8,-,"171,890",70.3,-,-,"1,743,113",140,-,-,-
Q3,October to December,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,"8,506",-,"2,032","1,711","3,743",-,44.0,-,0,0,0.0,"4,763",56.0,-,-,-,"7,586",-,"1,722","1,711","3,432",-,45.2,-,"4,153",54.8,-,-,"51,059",149,-,-,-
Q3,October to December,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,"10,748",-,"1,299","1,228","2,527",-,23.5,-,0,0,0.0,"8,221",76.5,-,-,-,"10,065",-,"1,215","1,228","2,443",-,24.3,-,"7,622",75.7,-,-,"75,767",133,-,-,-
Q3,October to December,2006/07,95CC,Armagh,SWaMP2008,Finalised,"6,849",-,"1,507",747,"2,255",-,32.9,-,0,0,0.0,"4,594",67.1,-,-,-,"6,080",-,"1,135",747,"1,883",-,31.0,-,"4,198",69.0,-,-,"56,785",107,-,-,-
Q3,October to December,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,"9,209",-,"1,229","1,077","2,306",-,25.0,-,0,0,0.0,"6,903",75.0,-,-,-,"8,639",-,"1,229","1,077","2,306",-,26.7,-,"6,332",73.3,-,-,"61,447",141,-,-,-
Q3,October to December,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"3,820",-,509,250,759,-,19.9,-,0,0,0.0,"3,004",78.6,-,-,-,"3,371",-,509,250,759,-,22.5,-,"2,612",77.5,-,-,"29,392",115,-,-,-
Q3,October to December,2006/07,95FF,Banbridge,SWaMP2008,Finalised,"6,105",-,"1,000","1,553","2,553",-,41.8,-,0,0,0.0,"3,521",57.7,-,-,-,"5,894",-,"1,000","1,553","2,553",-,43.3,-,"3,310",56.2,-,-,"45,290",130,-,-,-
Q3,October to December,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"41,226",-,"4,822","1,399","6,221",-,15.1,-,0,0,0.0,"35,005",84.9,-,-,-,"35,105",-,"4,722","1,399","6,121",-,17.4,-,"28,983",82.6,-,-,"274,239",128,-,-,-
Q3,October to December,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"5,650",-,666,301,968,-,17.1,-,0,0,0.0,"4,683",82.9,-,-,-,"5,064",-,666,301,968,-,19.1,-,"4,097",80.9,-,-,"39,056",130,-,-,-
Q3,October to December,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,"7,788",-,"1,519",967,"2,486",-,31.9,-,0,0,0.0,"5,287",67.9,-,-,-,"7,387",-,"1,379",967,"2,346",-,31.8,-,"5,026",68.0,-,-,"66,009",112,-,-,-
Q3,October to December,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"9,952",-,"1,373",975,"2,348",-,23.6,-,0,0,0.0,"7,604",76.4,-,-,-,"8,431",-,"1,373",975,"2,348",-,27.8,-,"6,083",72.1,-,-,"57,894",146,-,-,-
Q3,October to December,2006/07,95KK,Cookstown,SWaMP2008,Finalised,"5,424",-,946,588,"1,534",-,28.3,-,0,0,0.0,"3,661",67.5,-,-,-,"4,572",-,901,588,"1,489",-,32.6,-,"3,083",67.4,-,-,"34,587",132,-,-,-
Q3,October to December,2006/07,95LL,Craigavon,SWaMP2008,Finalised,"12,942",-,"2,171","1,194","3,365",-,26.0,-,0,0,0.0,"9,577",74.0,-,-,-,"11,332",-,"2,171","1,194","3,365",-,29.7,-,"7,967",70.3,-,-,"86,086",132,-,-,-
Q3,October to December,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,"15,315",-,"3,171",24,"3,195",-,20.9,-,0,0,0.0,"12,120",79.1,-,-,-,"13,864",-,"2,970",24,"2,994",-,21.6,-,"10,870",78.4,-,-,"107,060",129,-,-,-
Q3,October to December,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,"8,508",-,"1,518",642,"2,160",-,25.4,-,0,0,0.0,"6,348",74.6,-,-,-,"7,241",-,"1,518",642,"2,160",-,29.8,-,"5,081",70.2,-,-,"67,142",108,-,-,-
Q3,October to December,2006/07,95OO,Dungannon,SWaMP2008,Finalised,"7,620",-,"1,101",676,"1,777",-,23.3,-,0,0,0.0,"5,843",76.7,-,-,-,"6,991",-,"1,101",655,"1,756",-,25.1,-,"5,235",74.9,-,-,"52,158",134,-,-,-
Q3,October to December,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,"9,318",-,"1,360",709,"2,068",-,22.2,-,0,0,0.0,"7,248",77.8,-,-,-,"7,279",-,"1,117",709,"1,826",-,25.1,-,"5,452",74.9,-,-,"59,640",122,-,-,-
Q3,October to December,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,"5,071",-,903,454,"1,357",-,26.8,-,0,0,0.0,"3,714",73.2,-,-,-,"4,197",-,814,454,"1,268",-,30.2,-,"2,929",69.8,-,-,"31,518",133,-,-,-
Q3,October to December,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,"4,533",-,"1,018",167,"1,186",-,26.2,-,0,0,0.0,"3,347",73.8,-,-,-,"3,681",-,913,167,"1,080",-,29.3,-,"2,600",70.6,-,-,"33,620",109,-,-,-
Q3,October to December,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,"16,005",-,"2,626","1,286","3,912",-,24.4,-,0,0,0.0,"12,093",75.6,-,-,-,"14,041",-,"2,114","1,286","3,401",-,24.2,-,"10,641",75.8,-,-,"113,588",124,-,-,-
Q3,October to December,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,"5,865",-,"1,168",741,"1,908",-,32.5,-,0,0,0.0,"3,957",67.5,-,-,-,"4,943",-,988,741,"1,728",-,35.0,-,"3,215",65.0,-,-,"42,123",117,-,-,-
Q3,October to December,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,"2,395",-,235,125,360,-,15.0,-,0,0,0.0,"2,035",85.0,-,-,-,"1,839",-,235,125,360,-,19.6,-,"1,478",80.4,-,-,"16,532",111,-,-,-
Q3,October to December,2006/07,95VV,Newry and Mourne,SWaMP2008,Finalised,"12,907",-,"2,361","1,016","3,378",-,26.2,-,0,0,0.0,"9,529",73.8,-,-,-,"11,159",-,"2,215","1,016","3,232",-,29.0,-,"7,927",71.0,-,-,"93,410",119,-,-,-
Q3,October to December,2006/07,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,"12,430",-,"1,301","1,351","2,652",-,21.3,-,0,0,0.0,"9,778",78.7,-,-,-,"11,394",-,"1,273","1,351","2,624",-,23.0,-,"8,770",77.0,-,-,"82,157",139,-,-,-
Q3,October to December,2006/07,95XX,North Down,arc21 (pre April 2015),Finalised,"13,818",-,"2,141","1,331","3,472",-,25.1,-,0,0,0.0,"9,447",68.4,-,-,-,"11,260",-,"2,141","1,331","3,472",-,30.8,-,"7,787",69.2,-,-,"78,055",144,-,-,-
Q3,October to December,2006/07,95YY,Omagh,SWaMP2008,Finalised,"6,493",-,"1,008",602,"1,610",-,24.8,-,0,0,0.0,"4,884",75.2,-,-,-,"5,284",-,"1,000",602,"1,602",-,30.3,-,"3,682",69.7,-,-,"49,704",106,-,-,-
Q3,October to December,2006/07,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,"5,458",-,867,241,"1,108",-,20.3,-,0,0,0.0,"4,350",79.7,-,-,-,"4,773",-,858,241,"1,098",-,23.0,-,"3,675",77.0,-,-,"38,795",123,-,-,-
Q3,October to December,2006/07,NI,Northern Ireland,-,Finalised,"253,956",-,"39,854","21,355","61,209",-,24.1,-,0,0,0.0,"191,515",75.4,-,-,-,"221,472",-,"37,280","21,335","58,615",-,26.5,-,"162,808",73.5,-,-,"1,743,113",127,-,-,-
Q4,January to March,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,"8,735",-,"2,037","1,724","3,761",-,43.1,-,0,0,0.0,"4,932",56.5,-,-,-,"8,093",-,"1,882","1,724","3,606",-,44.6,-,"4,445",54.9,-,-,"51,059",159,-,-,-
Q4,January to March,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,"11,858",-,"1,426","1,011","2,437",-,20.6,-,0,0,0.0,"9,421",79.4,-,-,-,"10,988",-,"1,309","1,011","2,320",-,21.1,-,"8,668",78.9,-,-,"75,767",145,-,-,-
Q4,January to March,2006/07,95CC,Armagh,SWaMP2008,Finalised,"7,014",-,"1,824",673,"2,497",-,35.6,-,0,0,0.0,"4,517",64.4,-,-,-,"6,201",-,"1,381",673,"2,054",-,33.1,-,"4,146",66.9,-,-,"56,785",109,-,-,-
Q4,January to March,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,"8,998",-,"1,407",396,"1,803",-,20.0,-,0,0,0.0,"7,195",80.0,-,-,-,"8,428",-,"1,407",396,"1,803",-,21.4,-,"6,625",78.6,-,-,"61,447",137,-,-,-
Q4,January to March,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"3,810",-,553,186,739,-,19.4,-,0,0,0.0,"3,071",80.6,-,-,-,"3,400",-,553,186,739,-,21.7,-,"2,661",78.3,-,-,"29,392",116,-,-,-
Q4,January to March,2006/07,95FF,Banbridge,SWaMP2008,Finalised,"6,108",-,"1,093","1,268","2,362",-,38.7,-,0,0,0.0,"3,712",60.8,-,-,-,"5,679",-,"1,089","1,073","2,162",-,38.1,-,"3,482",61.3,-,-,"45,290",125,-,-,-
