Neighborhood,Sector #,Population (2010),Land Area (acres),Approx. Total # Parcels (2010),Approx. Total # Taxable Parcels (2010),Approx. # of Structures (2010),Approx. # Unoccupied Parcels (2010),% Good / Excellent Condition Buildings (2009),% Average Condition Buildings (2009),% Poor / Derelict Condition Buildings (2009),# Residential Bldg. Permits (2010),$ Residential Bldg. Permits (2010),# Commercial Bldg. Permits (2010),$ Commercial Bldg. Permits (2010),# Code Violations (2010),% of all Bldgs. w/ Code Violations (2010),# Condemned Structures (2010),% of all Bldgs. Condemned (2010),# Demolitions (2010),# Tax Delinquent Prop. (2+ yrs.) (2010),% of Taxable Prop. Delinquent (2010)
Northview Heights,1,"1,214",200.3,97,50,129,56,n/a,n/a,n/a,0,$0,16,"$1,296,726",0,0.0%,1,0.8%,0,21,42.0%
Oakwood,4,"1,027",161.3,435,388,408,67,20.3%,79.2%,0.5%,5,"$127,974",4,"$205,250",5,1.2%,1,0.2%,0,18,4.6%
Overbrook,5,"3,644",537.0,"2,098","1,962","1,944",347,2.4%,97.1%,0.5%,21,"$138,748",5,"$64,200",79,4.1%,5,0.3%,4,95,4.8%
Perry North,2,"4,050",775.7,"2,280","1,842","1,971",498,1.7%,96.5%,1.8%,19,"$344,699",3,"$55,500",57,2.9%,18,0.9%,3,166,9.0%
Perry South,2,"4,145",579.2,"3,154","2,477","1,909","1,252",5.0%,83.3%,11.8%,28,"$370,466",4,"$63,900",162,8.5%,92,4.8%,34,738,29.8%
Point Breeze,10,"5,315",642.6,"2,151","2,110","2,646",57,6.9%,92.8%,0.3%,49,"$1,135,932",5,"$492,000",34,1.3%,0,0.0%,1,28,1.3%
Point Breeze North,11,"2,054",183.0,703,656,682,66,5.7%,93.3%,1.0%,6,"$381,897",6,"$181,000",51,7.5%,6,0.9%,6,44,6.7%
Polish Hill,13,"1,274",163.2,899,740,613,293,5.2%,88.8%,6.0%,19,"$391,790",6,"$685,000",16,2.6%,8,1.3%,1,75,10.1%
Regent Square,10,928,122.9,388,386,616,4,16.4%,83.6%,0.0%,13,"$357,288",1,"$20,000",1,0.2%,0,0.0%,1,4,1.0%
Ridgemont,4,483,236.2,387,323,260,142,9.8%,90.2%,0.0%,3,"$19,830",0,$0,9,3.5%,0,0.0%,3,31,9.6%
Shadyside,12,"13,915",589.4,"3,976","3,724","2,548",193,13.9%,85.6%,0.5%,49,"$2,792,003",57,"$11,388,665",53,2.1%,0,0.0%,3,33,0.9%
Sheraden,4,"5,299",569.6,"2,756","2,280","2,500",599,1.1%,97.4%,1.5%,17,"$465,821",4,"$150,500",239,9.6%,16,0.6%,5,248,10.9%
South Oakland,14,"2,969",325.1,"1,657","1,370",776,434,0.8%,95.5%,3.7%,11,"$323,800",11,"$1,484,886",190,24.5%,9,1.2%,5,72,5.3%
South Shore,16,19,135.7,174,84,63,58,n/a,n/a,n/a,0,$0,7,"$110,114",2,3.2%,0,0.0%,0,5,6.0%
South Side Flats,7,"6,597",599.0,"3,381","3,137","1,917",338,12.7%,84.6%,2.7%,97,"$4,161,873",49,"$25,986,666",135,7.0%,4,0.2%,2,62,2.0%
South Side Slopes,7,"4,423",458.2,"3,108","2,794","2,319",757,1.8%,94.1%,4.1%,97,"$2,116,799",7,"$206,800",211,9.1%,26,1.1%,10,194,6.9%
Spring Garden,1,884,176.0,794,688,514,242,3.9%,89.3%,6.7%,3,"$32,000",0,$0,46,8.9%,18,3.5%,15,161,23.4%
Spring Hill-City View,1,"2,648",403.2,"1,527","1,251","1,217",405,4.8%,91.3%,4.0%,13,"$109,259",3,"$34,001",45,3.7%,16,1.3%,10,218,17.4%
Squirrel Hill North,10,"11,363",782.1,"2,836","2,723","3,144",99,17.6%,82.4%,0.0%,80,"$5,976,891",25,"$1,814,709",46,1.5%,1,0.0%,1,20,0.7%
Squirrel Hill South,10,"15,110","1,709.4","4,681","4,385","4,320",403,5.6%,94.2%,0.1%,89,"$3,202,389",26,"$26,259,963",100,2.3%,2,0.0%,1,54,1.2%
St. Clair,7,209,198.4,191,151,181,89,n/a,n/a,n/a,1,"$2,000",0,$0,23,12.7%,1,0.6%,2,48,31.8%
Stanton Heights,13,"4,601",470.4,"2,391","2,249","2,180",265,9.3%,90.0%,0.6%,26,"$129,586",0,$0,44,2.0%,2,0.1%,2,100,4.4%
Strip District,13,616,389.1,809,623,252,246,12.7%,72.2%,15.1%,0,$0,24,"$2,574,201",12,4.8%,2,0.8%,0,17,2.7%
Summer Hill,1,"1,051",281.0,616,558,534,119,8.4%,90.4%,1.1%,7,"$81,418",2,"$38,000",17,3.2%,1,0.2%,0,29,5.2%
Swisshelm Park,10,"1,361",307.2,755,713,769,95,11.7%,88.2%,0.1%,6,"$181,741",0,$0,6,0.8%,1,0.1%,0,17,2.4%
Terrace Village,15,"3,228",218.9,189,122,447,278,n/a,n/a,n/a,1,"$4,000",4,"$421,215",4,0.9%,0,0.0%,1,17,13.9%
Troy Hill,1,"2,714",294.4,"1,296","1,217","1,733",249,0.0%,98.3%,1.7%,11,"$90,263",5,"$614,826",90,5.2%,12,0.7%,17,99,8.1%
Upper Hill,15,"2,057",200.3,"1,344","1,192",869,397,5.0%,85.3%,9.7%,9,"$173,724",2,"$445,500",112,12.9%,16,1.8%,18,268,22.5%
Upper Lawrenceville,13,"2,669",259.2,"1,463","1,365",901,187,6.9%,85.6%,7.5%,24,"$304,522",11,"$2,419,600",56,6.2%,18,2.0%,6,105,7.7%
West End,4,254,128.0,384,295,186,156,1.0%,92.2%,6.8%,4,"$14,754",0,$0,10,5.4%,1,0.5%,3,40,13.6%
West Oakland,14,"2,604",137.6,801,540,140,82,0.6%,89.7%,9.7%,8,"$63,786",24,"$9,080,856",50,35.7%,1,0.7%,0,92,17.0%
Westwood,4,"3,066",442.9,"1,581","1,487","1,391",278,22.7%,76.4%,0.9%,21,"$415,770",1,"$19,500",25,1.8%,4,0.3%,1,65,4.4%
Windgap,4,"1,369",265.6,716,668,749,92,14.8%,84.4%,0.8%,3,"$138,050",0,$0,27,3.6%,1,0.1%,0,33,4.9%
