objectid,pin,mapblocklo,bldg_code,building_n,prime_usag,department,department_name,region,class,name,created_user,created_date,last_edited_user,last_edited_date,buff_dist,orig_fid,cid
190,0051K00138000000,51-K-138,B289,OSCEOLA PARK BLDG.,UTILITY,UTILITY,CITIPARKS,CENTRAL,UTILITY,Osceola Park Building,,,Cartegraph,2015-09-01T22:06:14.000Z,25,25,B289
121,0083P00292000000,83-P-292,B287,GARLAND PARK BLDG.,UTILITY,TENNIS COURT,CITIPARKS,EAST,TENNIS COURT,Garland Park Tennis Court,,,Cartegraph,2015-09-01T22:06:15.000Z,25,13,B287
73,0039D00090000000,39-D-90,B339,OVID FIELD BUILDING,UTILITY,BALLFIELD,CITIPARKS,WEST,BALLFIELD,Ovid Field Building,,,Cartegraph,2015-09-01T22:06:20.000Z,25,43,B339
135,0085D00050000001,85-D-50-0-1,B358,MELLON PARK GARDEN SOCIETY CENTER,ACTIVITY,PLAY AREA,CITIPARKS,EAST,PLAY AREA,Mellon Park Garden Society Center,,,Cartegraph,2015-09-01T22:06:22.000Z,25,230,B358
202,0002J00164000002,2-J-164-0-2,B536,CIVIC BUILDING aka 200 ROSS ST,OFFICE,OFFICE,DEPARTMENT OF FINANCE,CENTRAL,ADMINISTRATIVE,Civic Building,,,Cartegraph,2015-09-01T22:06:26.000Z,25,188,B536
65,0125S00174000000,125-S-174,B083,WESTINGHOUSE PARK RECREATION CENTER,ACTIVITY,RECREATION CENTER,CITIPARKS,EAST,RECREATION CENTER,Westinghouse Park Recreation Center,,,Cartegraph,2015-09-01T22:06:35.000Z,25,35,B083
2258,,82-H-102,B210,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Service Building Quonset Hut,Cartegraph,2015-09-21T15:26:59.000Z,Cartegraph,2015-09-21T15:26:59.000Z,,,
2662,,125-N-200,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Mellon Park Small Shelter,Cartegraph,2015-09-22T16:40:48.000Z,Cartegraph,2015-09-22T16:40:48.000Z,,,
244,0127H00100000001,127-H-100-0-1,B903,FRICK PARK ENTRANCE GATE,,PLAY AREA,CITIPARKS,EAST,PLAY AREA,Frick Park Entrance Gate,,,Cartegraph,2015-09-23T14:38:25.000Z,25,217,B903
238,0060K00120000000,60-K-120,B906,VOLUNTEER FIELD DUGOUT,DUGOUT,BALLFIELD,DEPARTMENT OF PUBLIC WORKS,SOUTH,BALLFIELD,Volunteer Field 1 Third Base Dugout,,,Cartegraph,2015-09-23T15:02:58.000Z,25,239,B906
3047,,115-E-40,,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Brighton Heights Park Storage Building,Cartegraph,2015-09-23T15:57:52.000Z,Cartegraph,2015-09-23T15:57:52.000Z,,,
652,,82-H-1-0-2,B107,,TRAINING,,PUBLIC SAFETY,EAST,,Public Safety Training Academy,Cartegraph,2015-09-17T15:12:37.000Z,Cartegraph,2015-09-23T16:25:24.000Z,,,
653,,82-H-1-0-2,B248,,TRAINING,,PUBLIC SAFETY,EAST,,Fire Department Training Tower,Cartegraph,2015-09-17T15:12:37.000Z,Cartegraph,2015-09-23T16:25:36.000Z,,,
9049,,96-G-1,,,POOL,,CITIPARKS,SOUTH,,Brookline Pool Building,Cartegraph,2015-10-08T13:26:26.000Z,Cartegraph,2015-10-08T13:26:26.000Z,,,
10647,,96-G-1,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Sam Bryen Field 2 Third Base Dugout,Cartegraph,2015-10-12T12:52:33.000Z,Cartegraph,2015-10-13T00:26:12.000Z,,,
194,0082H00001000002,82-H-1-0-2,B306,HIGHLAND PARK BIGELOW GROVE,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,EAST,PLAY AREA,Highland Park Bigelow Grove,,,Cartegraph,2015-10-30T19:44:50.000Z,25,82,B306
8252,,82-H-1-0-2,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Tennis Court Shelter,Cartegraph,2015-10-06T14:46:10.000Z,Cartegraph,2015-10-30T19:48:36.000Z,,,
2250,,76-D-1-0-2,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Riverview Park Locust Shelter,Cartegraph,2015-09-21T13:17:07.000Z,Cartegraph,2015-10-30T19:50:19.000Z,,,
2253,,27-S-150-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Schenley Park Anderson Shelter,Cartegraph,2015-09-21T13:38:25.000Z,Cartegraph,2015-10-30T19:51:08.000Z,,,
62,0027S00150000001,27-S-150-0-1,B297,SCHENLEY PARK CAMP DAVID LAWRENCE SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,CENTRAL,PLAY AREA,Schenley Park Camp David Lawrence Shelter,,,Cartegraph,2015-10-30T19:51:35.000Z,25,101,B297
160,0027S00150000001,27-S-150-0-1,B298,SCHENLEY PARK OVAL SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,CENTRAL,PLAY AREA,Schenley Park Oval Shelter,,,Cartegraph,2015-10-30T19:51:55.000Z,25,102,B298
150,0027S00150000001,27-S-150-0-1,B299,SCHENLEY PARK OVAL TENNIS COURT SHELTER,SHELTER,TENNIS COURT,DEPARTMENT OF PUBLIC WORKS,CENTRAL,TENNIS COURT,Schenley Park Oval Tennis Court Shelter,,,Cartegraph,2015-10-30T19:52:12.000Z,25,231,B299
228,0027S00150000001,27-S-150-0-1,B300,SCHENLEY PARK OVERLOOK SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,CENTRAL,PLAY AREA,Schenley Park Overlook Shelter,,,Cartegraph,2015-10-30T19:52:30.000Z,25,100,B300
2252,,27-S-150-0-1,B302,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Schenley Park Westinghouse Shelter,Cartegraph,2015-09-21T13:36:50.000Z,Cartegraph,2015-10-30T19:52:55.000Z,,,
3054,,27-S-150-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Schenley Vietnam Veterans Pavillion,Cartegraph,2015-09-23T16:18:13.000Z,Cartegraph,2015-10-30T19:53:07.000Z,,,
5450,,60-P-302,B345,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Volunteers Field 2 Dugout Building,Cartegraph,2015-09-29T19:15:36.000Z,Cartegraph,2016-01-12T01:25:01.000Z,,,
25853,,27-S-150-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Flagstaff Hill Gazebo,Cartegraph,2015-11-19T02:25:22.000Z,Cartegraph,2015-12-02T14:48:11.000Z,,,
95,0015D00274000000,15-D-274,B054,WARRINGTON POOL AND RECREATION CENTER,POOL CLOSED,RECREATION CENTER,CITIPARKS,SOUTH,RECREATION CENTER,Warrington Pool Building,,,Cartegraph,2016-01-12T01:24:28.000Z,25,54,B054
176,0016S00040000000,16-S-40,B312,VANUCCI FIELD DUGOUT SHELTER,DUGOUT,BALLFIELD,CITIPARKS,SOUTH,BALLFIELD,Vanucci Field 1 Dugout Building,,,Cartegraph,2016-01-12T01:24:46.000Z,25,234,B312
242,0060K00120000000,60-K-120,B905,VOLUNTEER FIELD DUGOUT,DUGOUT,BALLFIELD,CITIPARKS,SOUTH,BALLFIELD,Volunteer Field 1 First Base Dugout,,,Cartegraph,2016-01-12T01:24:57.000Z,25,240,B905
2650,,60-P-302,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Volunteers Field 2 Third Base Dugout,Cartegraph,2015-09-22T14:12:22.000Z,Cartegraph,2016-01-12T01:24:58.000Z,,,
9052,,96-G-1,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Danny McGibbeny Memorial Field First Base Dugout,Cartegraph,2015-10-08T13:34:28.000Z,Cartegraph,2016-01-12T01:25:00.000Z,,,
6,0026A00066000000,26-A-66,B614,SULLIVAN CONCESSION,CONCESSION,BALLFIELD,CITIPARKS,CENTRAL,BALLFIELD,Sullivan Concession Stand,,,Cartegraph,2016-02-12T22:25:20.000Z,25,14,B614
3052,,115-E-40,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Brighton Heights Park Shelter,Cartegraph,2015-09-23T16:10:00.000Z,Cartegraph,2016-02-12T22:25:23.000Z,,,
2652,,60-K-246,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Volunteers Field 3 First Base Dugout,Cartegraph,2015-09-22T14:18:15.000Z,Cartegraph,2016-02-12T22:25:26.000Z,,,
2649,,60-P-302,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Volunteers Field 2 First Base Dugout,Cartegraph,2015-09-22T14:07:45.000Z,Cartegraph,2016-02-12T22:25:28.000Z,,,
2651,,60-K-246,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Volunteers Field 3 Third Base Dugout,Cartegraph,2015-09-22T14:16:49.000Z,Cartegraph,2016-02-12T22:25:33.000Z,,,
193,0125S00150000000,125-S-150,B259,WILLIE STARGELL  RESTRMS/CONCESSION,CONCESSION,RECREATION CENTER,CITIPARKS,EAST,RECREATION CENTER,Willie Stargell Restrooms and Concession Stand,,,Cartegraph,2016-02-12T22:25:34.000Z,25,34,B259
2254,,27-S-150-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Schenley Park Prospect Shelter,Cartegraph,2015-09-21T13:42:25.000Z,Cartegraph,2016-02-12T22:25:36.000Z,,,
2647,,17-R-120,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Banksville Park Gazebo,Cartegraph,2015-09-22T13:00:58.000Z,Cartegraph,2016-02-12T22:25:43.000Z,,,
119,0024G00270000000,24-G-270,B034,COWLEY REC. / POOL,POOL,SWIMMING,CITIPARKS,NORTH,RECREATION CENTER,Cowley Pool Building,,,Cartegraph,2016-02-12T22:25:45.000Z,25,22,B034
3049,,115-E-40,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Brighton Heights Park Third Base Dugout,Cartegraph,2015-09-23T16:00:06.000Z,Cartegraph,2016-02-12T22:25:47.000Z,,,
13851,,34-M-131,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Bon Air Shelter,Cartegraph,2015-10-20T15:13:53.000Z,Cartegraph,2016-02-12T22:25:50.000Z,,,
3048,,115-E-40,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Brighton Heights Park First Base Dugout,Cartegraph,2015-09-23T15:59:12.000Z,Cartegraph,2016-02-12T22:25:50.000Z,,,
3846,,122-L-50,B328,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Asphalt Plant Garage 2,Cartegraph,2015-09-25T18:10:12.000Z,Cartegraph,2016-02-12T22:25:51.000Z,,,
9053,,96-G-1,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Danny McGibbeny Memorial Field Third Base Dugout,Cartegraph,2015-10-08T13:35:36.000Z,Cartegraph,2016-02-12T22:25:54.000Z,,,
9051,,96-G-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Brookline Memorial Park Shelter,Cartegraph,2015-10-08T13:30:24.000Z,Cartegraph,2016-02-12T22:25:55.000Z,,,
3849,,122-L-50,B255,,SERVICE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Asphalt Plant Testing Lab Building,Cartegraph,2015-09-25T18:12:45.000Z,Cartegraph,2016-02-12T22:25:59.000Z,,,
1047,,127-H-100-0-1,B241,,RESTROOMS,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Hollow Lower Restrooms,Cartegraph,2015-09-18T13:16:45.000Z,Cartegraph,2016-02-12T22:26:01.000Z,,,
14653,,96-G-1,,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Brookline Lower Storage and Men's Restroom,Cartegraph,2015-10-22T19:32:13.000Z,Cartegraph,2016-02-12T22:26:08.000Z,,,
197,0124H00184000000,124-H-184,B265,PAULSON POOL GUARD HOUSE,POOL,SWIMMING,CITIPARKS,EAST,SWIMMING,Paulson Pool Guard Room,,,Cartegraph,2016-02-12T22:26:12.000Z,25,10,B265
2653,,127-H-100-0-1,,,CONCESSION,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Blue Slide Park Concession Stand,Cartegraph,2015-09-22T16:14:19.000Z,Cartegraph,2016-02-12T22:26:12.000Z,,,
2659,,127-H-100-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Bowling Greens Shelter,Cartegraph,2015-09-22T16:24:23.000Z,Cartegraph,2016-02-12T22:26:13.000Z,,,
663,,127-H-100-0-1,B101,,OFFICE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Gatehouse 1,Cartegraph,2015-09-17T19:46:23.000Z,Cartegraph,2016-02-12T22:26:14.000Z,,,
2654,,127-H-100-0-1,,,RESTROOMS,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Blue Slide Park Restrooms,Cartegraph,2015-09-22T16:15:17.000Z,Cartegraph,2016-02-12T22:26:20.000Z,,,
220,0056B00240000000,56-B-240,B398,HAZLEWOOD LIBRARY,VACANT,LIBRARY,CARNEGIE LIBRARY OF PITTSBURGH,CENTRAL,LIBRARY,Hazelwood Library,,,Cartegraph,2016-02-12T22:26:06.000Z,25,193,B398
2660,,127-H-100-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Blue Slide Park Shelter,Cartegraph,2015-09-22T16:25:40.000Z,Cartegraph,2016-02-12T22:26:22.000Z,,,
655,,82-H-1-0-2,B403,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Bike Pavilion,Cartegraph,2015-09-17T15:12:38.000Z,Cartegraph,2016-02-12T22:26:27.000Z,,,
9048,,96-G-1,,,POOL,,CITIPARKS,SOUTH,,Brookline Pool Guard Room,Cartegraph,2015-10-08T13:25:37.000Z,Cartegraph,2016-02-12T22:26:28.000Z,,,
9447,,125-N-200,,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Mellon Park Tennis Bubble Storage,Cartegraph,2015-10-09T18:35:24.000Z,Cartegraph,2016-02-12T22:26:36.000Z,,,
78251,,134-A-148,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Hays Park Shelter,Cartegraph,2016-02-01T15:35:08.000Z,Cartegraph,2016-02-12T22:26:39.000Z,,,
1067,,127-H-100-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Forbes and Braddock Shelter,Cartegraph,2015-09-18T19:55:47.000Z,Cartegraph,2016-02-12T22:26:41.000Z,,,
1074,,82-H-1-0-2,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Sycamore Grove Shelter,Cartegraph,2015-09-18T20:50:43.000Z,Cartegraph,2016-02-12T22:26:48.000Z,,,
1059,,11-C-1,B611,,CONCESSION,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Kennard Concession Stand,Cartegraph,2015-09-18T15:09:14.000Z,Cartegraph,2016-02-12T22:26:49.000Z,,,
8253,,82-H-1-0-2,,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Tennis Courts Storage Building,Cartegraph,2015-10-06T14:47:38.000Z,Cartegraph,2016-02-12T22:26:49.000Z,,,
3446,,11-C-1,,,VACANT,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Martin Luther King Field Field House,Cartegraph,2015-09-24T15:23:00.000Z,Cartegraph,2016-02-12T22:26:50.000Z,,,
2272,,27-S-150-0-3,B622,,SERVICE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Schenley Plaza Maintenance Building,Cartegraph,2015-09-21T19:25:13.000Z,Cartegraph,2016-02-12T22:26:50.000Z,,,
19,0019F00143000000,19-F-143,B350,HERSCHEL UPPER FIELD DUGOUT BUILDING,DUGOUT,BALLFIELD,CITIPARKS,WEST,BALLFIELD,Herschel Upper Field First Base Dugout,,,Cartegraph,2016-02-12T22:26:50.000Z,25,221,B350
2655,,22-F-170,,,POOL/REC,,CITIPARKS,NORTH,,Manchester Pool Building,Cartegraph,2015-09-22T16:18:35.000Z,Cartegraph,2016-02-12T22:26:55.000Z,,,
89, ,,B374,LIBERTY TUBES TRAFFIC BOOTH-MCCARDLE ROAD,POLICE,POLICE,PUBLIC SAFETY,SOUTH,POLICE,Liberty Tubes Traffic Booth,,,Cartegraph,2016-02-12T22:26:56.000Z,25,190,B374
13,0082H00001000002,82-H-1-0-2,B310,HIGHLAND PARK MEMORIAL GROVE SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,EAST,PLAY AREA,Highland Park Memorial Grove Shelter,,,Cartegraph,2016-02-12T22:26:58.000Z,25,83,B310
136,0082H00001000002,82-H-1-0-2,B323,HIGHLAND PARK LAKE GROVE SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,EAST,PLAY AREA,Highland Park Lake Grove Shelter,,,Cartegraph,2016-02-12T22:26:58.000Z,25,88,B323
11452,,5-D-95,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Olympia Park Shelter,Cartegraph,2015-10-14T19:39:06.000Z,Cartegraph,2016-02-12T22:27:02.000Z,,,
2266,,184-G-250,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,McBride Picnic Shelter 2,Cartegraph,2015-09-21T19:06:31.000Z,Cartegraph,2016-02-12T22:27:03.000Z,,,
654,,82-H-1-0-2,B085,,TRAINING,,PUBLIC SAFETY,EAST,,Police Canine Training Building,Cartegraph,2015-09-17T15:12:37.000Z,Cartegraph,2016-02-12T22:27:06.000Z,,,
97,0125L00237000001,125-L-237-0-1,B015,PUBLIC WORKS 2ND. DIV. MAIN BUILDING,SERVICE,EASTERN,DEPARTMENT OF PUBLIC WORKS,EAST,DPW,Public Works 2nd Division Main Building,,,Cartegraph,2016-02-12T22:27:07.000Z,25,131,B015
32,0014N00258000000,14-N-258,B018,PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.   PUBLIC WORKS 4TH. DIV.,SERVICE,SOUTHERN,DEPARTMENT OF PUBLIC WORKS,SOUTH,DPW,Public Works 4th Division Main Building,,,Cartegraph,2016-02-12T22:27:08.000Z,25,200,B018
1075,,82-H-1-0-2,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Highland Park Pool Grove Shelter,Cartegraph,2015-09-18T20:53:00.000Z,Cartegraph,2016-02-12T22:26:33.000Z,,,
2661,,125-N-200,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Mellon Park Picnic Shelter,Cartegraph,2015-09-22T16:39:05.000Z,Cartegraph,2016-02-12T22:27:08.000Z,,,
1049,,125-L-237-0-1,B359,,SALT DOME,,DEPARTMENT OF PUBLIC WORKS,EAST,,Public Works 2nd Division Salt Dome,Cartegraph,2015-09-18T13:28:08.000Z,Cartegraph,2016-02-12T22:27:09.000Z,,,
141,0083P00165000000,83-P-165,B372,POLICE INVESTIGATIONS BUILDING (AAA),OFFICE,POLICE,PUBLIC SAFETY,EAST,POLICE,Police Investigations Building,,,Cartegraph,2016-02-12T22:27:16.000Z,25,199,B372
75,0025P00012000000,25-P-12,B109,OMI  aka  SGT. JAMES BLAIR BUILDING,OFFICE,POLICE,PUBLIC SAFETY,CENTRAL,POLICE,Office of Municipal Investigations Building,,,Cartegraph,2016-02-12T22:27:20.000Z,25,195,B109
2262,,125-L-237-0-1,,,OFFICE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Public Works Recycling Office Trailer,Cartegraph,2015-09-21T16:18:30.000Z,Cartegraph,2016-02-12T22:27:21.000Z,,,
53, ,,B401,RIVERVIEW PARK PERRYSVILLE AVE.BUS SHELTER,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,NORTH,PLAY AREA,Riverview Park Perrysville Ave Bus Shelter,,,Cartegraph,2016-02-12T22:27:22.000Z,25,123,B401
10650,,96-G-1,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Sam Bryen Field 1 Third Base Dugout,Cartegraph,2015-10-12T12:56:39.000Z,Cartegraph,2016-02-12T22:27:23.000Z,,,
10648,,96-G-1,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Sam Bryen Field 2 First Base Dugout,Cartegraph,2015-10-12T12:54:21.000Z,Cartegraph,2016-02-12T22:27:24.000Z,,,
1,0027S00150000001,27-S-150-0-1,B067,SCHENLEY PARK GOLF COURSE MAINTENANCE BLDG,SERVICE,UTILITY,CITIPARKS,CENTRAL,UTILITY,Schenley Park Golf Course Maintenance Building,,,Cartegraph,2016-02-12T22:27:25.000Z,25,107,B067
5449,,16-S-40,,,DUGOUT,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Vanucci Field 1 First Base Dugout,Cartegraph,2015-09-29T19:03:42.000Z,Cartegraph,2016-02-12T22:27:32.000Z,,,
2251,,27-S-150-0-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Schenley Park Bartlett Shelter,Cartegraph,2015-09-21T13:31:44.000Z,Cartegraph,2016-02-12T22:27:35.000Z,,,
55,0027S00150000001,27-S-150-0-1,B070,SCHENLEY CAMP DAVID LAWRENCE CABIN,SHELTER,PLAY AREA,DEPARTMENT OF PUBLIC WORKS,CENTRAL,PLAY AREA,Schenley Camp David Lawrence Cabin,,,Cartegraph,2016-02-16T17:50:29.000Z,25,108,B070
84251,,23-C-246,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Fineview Park Shelter,Cartegraph,2016-02-17T14:03:08.000Z,Cartegraph,2016-02-17T14:03:08.000Z,,,
84252,,124-J-224,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Larimer Park Shelter,Cartegraph,2016-02-17T14:15:17.000Z,Cartegraph,2016-02-17T14:15:17.000Z,,,
84253,,76-D-1-0-2,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Riverview Park Centennial Shelter,Cartegraph,2016-02-17T14:34:34.000Z,Cartegraph,2016-02-17T14:34:34.000Z,,,
84652,,85-D-50-0-1,,,VACANT,,DEPARTMENT OF PUBLIC WORKS,EAST,,Mellon Park Building,Cartegraph,2016-02-17T16:15:15.000Z,Cartegraph,2016-02-17T16:15:15.000Z,,,
80652,,82-H-1-0-2,,,OFFICE,,PUBLIC SAFETY,EAST,,Public Safety Training Center Classroom Trailer,Cartegraph,2016-02-11T15:54:15.000Z,Cartegraph,2016-02-17T17:19:32.000Z,,,
87851,,25-K-38,,,SALT DOME,,DEPARTMENT OF PUBLIC WORKS,CENTRAL,,Pulbic Works 6th Division Salt Dome,Cartegraph,2016-03-03T15:45:22.000Z,Cartegraph,2016-03-03T15:45:53.000Z,,,
87853,,85-P-53,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,EAST,,Wightman Park Gazebo,Cartegraph,2016-03-03T15:48:34.000Z,Cartegraph,2016-03-03T15:48:34.000Z,,,
89452,,19-H-197,,,SENIOR,,CITIPARKS,WEST,,West End Senior Center,Cartegraph,2016-03-07T16:26:08.000Z,Cartegraph,2016-03-07T16:26:08.000Z,,,
89455,,1-N-219,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Mount Washington Gazebo,Cartegraph,2016-03-07T18:02:04.000Z,Cartegraph,2016-03-07T18:02:04.000Z,,,
85451,,,,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Public Works 2nd Division Storage Area,Cartegraph,2016-02-19T19:05:20.000Z,Cartegraph,2016-03-07T20:10:39.000Z,,,
14651,,96-G-1,,,SHELTER,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Brookline Lower Shelter,Cartegraph,2015-10-22T19:17:09.000Z,Cartegraph,2016-03-09T20:47:23.000Z,,,
14652,,96-G-1,,,CONCESSION,,DEPARTMENT OF PUBLIC WORKS,SOUTH,,Brookline Lower Concession Stand and Women's Restroom,Cartegraph,2015-10-22T19:18:20.000Z,Cartegraph,2016-03-09T20:49:00.000Z,,,
235,0125N00200000000,125-N-200,B249,MELLON PARK FIELD BUILDING,RESTROOMS,BALLFIELD,CITIPARKS,EAST,BALLFIELD,Mellon Park Field Building,,,Cartegraph,2016-03-15T14:53:21.000Z,25,226,B249
93053,,115-C-341,,,RESTROOMS,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Riverview Park Soccer Field Restrooms,Cartegraph,2016-03-15T15:06:28.000Z,Cartegraph,2016-03-15T15:06:28.000Z,,,
2259,,22-K-154,B275,,STORAGE,,DEPARTMENT OF PUBLIC WORKS,NORTH,,Manchester Field Storage,Cartegraph,2015-09-21T15:29:52.000Z,Cartegraph,2016-03-22T15:53:23.000Z,,,
