HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,DaisyHill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA22F,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",6,10,.,.,5,3,.,.,2,.,.,.,26,.,1,.,4,57
AA22F,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",1,3,.,.,1,.,.,.,.,.,.,.,19,.,.,.,.,24
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,1,1,.,.,.,.,.,.,.,1,.,.,.,.,4
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22G,180,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,2,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,6
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",27,20,.,2,15,2,.,.,.,.,3,.,49,.,2,.,26,146
AA22G,301,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,2,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
AA22G,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1
AA22G,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,3
AA22G,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,5,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,9
AA22G,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,5,2,.,5,.,.,.,.,.,.,.,17,.,.,.,.,29
AA23C,300,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,2,.,.,.,.,.,.,1,.,.,.,.,3
AA23C,361,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,2
AA23C,430,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,3,.,.,4,.,.,.,1,.,.,.,2,.,.,.,3,13
AA23D,430,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
AA23E,100,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23E,300,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,2,5,.,.,3,2,.,.,1,.,1,.,4,.,2,.,2,22
AA23E,340,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23E,430,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,4,.,.,2,.,.,.,.,.,.,.,1,.,1,.,1,9
AA23F,100,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA23F,150,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA23F,300,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,6,8,.,1,2,3,.,.,2,.,.,.,10,.,.,.,9,41
AA23F,301,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23F,303,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23F,340,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23F,361,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA23F,430,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,1,4,.,.,.,.,.,.,.,.,.,.,2,.,1,.,.,8
AA23G,100,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA23G,300,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,6,5,.,3,5,4,.,.,.,.,1,.,10,.,.,.,7,41
AA23G,320,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,340,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA23G,430,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,2,3,2,.,.,2,.,.,.,.,1,.,3,.,.,.,.,13
AA23G,502,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24C,300,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,4
AA24D,180,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24D,300,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,10
AA24D,430,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,1,2,.,.,.,.,.,.,.,.,.,2,.,.,.,.,5
AA24E,300,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",3,6,.,.,1,.,.,.,.,.,.,.,6,.,2,.,3,21
AA24E,340,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA24E,430,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2
AA24F,180,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",2,1,.,.,6,1,.,.,.,.,2,.,15,.,2,.,24,53
AA24F,340,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,400,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24F,430,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1,2
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA24G,150,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24G,180,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24G,300,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",4,8,.,2,2,1,.,.,1,.,1,.,29,.,4,.,17,69
AA24G,340,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,2
AA24G,430,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,2,3,.,.,.,.,.,.,.,1,.,1,.,.,.,.,7
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24H,120,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,150,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA24H,180,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24H,300,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",8,6,.,.,5,.,.,.,1,.,4,.,49,.,3,.,18,94
AA24H,301,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA24H,430,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,1,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,3
AA25C,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",1,1,.,.,.,.,.,.,1,.,.,.,6,.,.,.,.,9
AA25C,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA25D,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",4,1,.,.,8,.,.,.,.,.,.,.,3,.,1,.,6,23
AA25D,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1
AA25D,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25D,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA25D,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",1,3,.,.,.,.,.,.,.,.,.,.,3,.,.,.,1,8
AA25E,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",18,10,1,.,12,.,.,.,2,.,2,.,34,.,7,.,15,101
AA25E,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,3
AA25E,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2
AA25E,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",2,3,1,.,2,.,.,.,.,.,.,.,11,.,.,.,3,22
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25F,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",38,18,.,5,31,4,3,.,8,.,6,.,77,.,4,.,38,232
AA25F,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,3
AA25F,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",1,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,4
AA25F,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,2,1,.,.,.,.,.,.,.,2,.,.,.,.,.,.,5
AA25F,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA25F,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",2,12,1,.,2,2,.,.,.,1,1,.,18,1,1,.,13,54
AA25G,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",2,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,4
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA25G,120,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA25G,180,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,5,.,.,3,.,.,.,.,.,.,.,2,.,.,.,.,10
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",82,70,3,7,35,8,2,.,5,.,21,.,180,.,18,.,100,531
AA25G,301,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25G,302,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,5
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,320,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,1,.,.,2,.,.,1,.,1,.,1,.,.,1,1,9
AA25G,340,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,12,2,.,.,.,.,.,.,.,3,.,.,.,.,.,.,17
AA25G,361,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,2
AA25G,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA25G,430,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",5,24,1,.,13,2,.,.,.,.,4,.,48,.,.,.,39,136
AA25G,501,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2,4
AA26C,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26C,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,1,2,.,2,1,.,.,.,.,.,.,10,.,.,.,1,17
AA26C,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26C,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
AA26C,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26C,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA26D,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",2,2,3,.,10,1,.,.,.,.,1,.,21,.,.,.,7,47
AA26D,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,1
AA26D,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA26D,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,2,.,1,.,.,.,.,.,.,.,6,.,.,.,1,10
AA26E,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",1,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,3
AA26E,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26E,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",7,11,.,.,17,3,1,.,2,.,3,.,61,.,5,.,39,149
AA26E,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26E,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,2
AA26E,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,3
AA26E,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA26E,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",1,6,4,.,4,.,.,.,.,.,.,.,.,.,1,.,4,20
AA26F,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",6,3,.,1,6,1,.,.,.,.,.,.,3,.,.,.,2,22
AA26F,101,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26F,120,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26F,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA26F,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,2
AA26F,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",44,62,4,7,46,19,1,.,10,.,19,.,241,.,26,.,83,562
AA26F,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4
AA26F,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,3
AA26F,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",4,7,.,.,2,.,.,.,.,.,1,.,.,.,3,6,1,24
AA26F,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,7,.,.,.,.,.,.,.,.,2,.,1,.,.,.,.,10
AA26F,350,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA26F,361,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,3
AA26F,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA26F,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1,10,5,.,7,1,.,.,.,.,4,.,46,1,3,.,9,87
AA26F,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26G,100,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",5,6,.,.,6,1,.,.,.,.,.,.,13,.,3,.,2,36
AA26G,110,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA26G,150,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA26G,180,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,3,.,.,3,.,.,.,.,.,2,.,23,.,.,.,.,31
AA26G,300,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",106,157,1,17,130,37,3,.,12,.,41,.,378,.,48,.,172,"1,102"
AA26G,301,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
AA26G,302,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,7,.,1,.,.,.,.,8
AA26G,303,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA26G,320,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",9,18,1,3,3,5,.,.,.,.,1,.,1,.,1,23,5,70
AA26G,340,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,12,.,.,.,.,.,.,.,.,19,.,.,.,.,.,.,31
AA26G,400,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,6
AA26G,430,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",3,38,4,.,11,3,.,.,.,.,10,.,25,.,5,.,13,112
AA26G,800,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
