HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,1,.,5,.,.,.,.,.,7
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",35,.,.,.,.,.,.,3,.,2,9,.,33,.,.,1,.,.,83
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",8,.,.,1,.,.,.,.,.,2,17,.,25,2,1,2,1,.,59
BZ33Z,"Minor, Cataract or Lens Procedures",289,.,.,.,.,.,.,.,.,.,119,.,726,.,44,.,.,.,"1,178"
BZ34A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 4+",.,.,.,.,.,.,.,9,.,20,.,.,2,1,.,1,.,.,33
BZ34B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-3",4,.,.,.,.,.,.,64,.,150,5,.,12,15,.,24,.,.,274
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,304",.,.,.,.,.,.,416,.,635,"3,004",.,"1,043",368,.,521,.,.,"7,291"
BZ40Z,Very Complex Oculoplastics Procedures,4,.,.,.,.,.,.,.,.,.,10,.,4,.,.,5,.,.,23
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",14,.,.,.,.,.,.,.,.,.,34,.,17,.,.,3,3,.,71
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,1,1,.,.,1,.,.,1,.,4
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",44,.,.,.,.,.,.,.,.,12,64,.,94,2,.,6,7,.,229
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,6
BZ44A,"Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",85,.,.,.,2,.,.,1,.,5,133,.,162,17,5,14,1,.,425
BZ44C,"Major Oculoplastics Procedures, 18 years and under",7,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,24
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",3,.,.,.,2,.,.,.,.,2,.,.,5,1,.,1,1,.,15
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",176,4,.,.,21,27,2,2,.,35,64,2,413,76,7,21,27,5,882
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",11,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,.,46
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",6,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,2,.,26
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",21,.,.,.,.,.,.,.,.,1,36,.,204,52,6,2,2,.,324
BZ46B,"Minor Oculoplastics Procedures, 18 years and under",7,.,.,.,.,.,.,.,.,.,.,.,23,2,.,.,.,.,32
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",2,.,.,.,.,.,.,.,.,.,.,.,4,1,.,.,.,.,7
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,12
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",6,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,10
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",5,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,22
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",2,.,.,.,.,.,.,.,.,.,.,.,5,1,.,.,.,.,8
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",15,.,.,.,.,.,.,.,.,.,13,.,68,.,.,1,.,.,97
BZ55Z,"Very Major or Major, Orbit or Lacrimal Procedures, 18 years and under",1,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,17
BZ56A,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",3,.,.,.,.,.,.,.,.,1,.,.,6,.,.,.,.,.,10
BZ56B,"Intermediate, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",9,.,.,.,.,.,.,.,.,.,7,.,37,3,5,.,.,.,61
BZ56C,"Intermediate, Orbit or Lacrimal Procedures, 18 years and under",4,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,16
BZ57A,"Minor, Orbit or Lacrimal Procedures, 19 years and over",4,.,.,.,.,.,.,.,.,.,11,.,83,4,1,.,.,.,103
BZ57B,"Minor, Orbit or Lacrimal Procedures, 18 years and under",7,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,.,31
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,1,.,2,.,.,.,.,.,4
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,16,.,10,.,.,.,.,.,26
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,1,2,.,3,.,.,.,.,.,6
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,1,16,.,45,.,.,.,.,.,65
BZ63A,"Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
BZ63B,"Major, Cornea or Sclera Procedures, with CC Score 0",8,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,17
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",3,.,.,.,.,.,.,.,.,1,2,.,1,.,.,.,.,.,7
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0",3,.,.,.,.,.,.,.,.,.,3,.,6,.,.,1,.,.,13
BZ65Z,"Minor, Cornea or Sclera Procedures",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
BZ71A,"Very Major Ocular Motility Procedures, 19 years and over",7,.,.,.,.,.,.,.,.,1,.,.,3,.,.,.,.,.,11
BZ71B,"Very Major Ocular Motility Procedures, 18 years and under",5,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,12
BZ72A,"Major Ocular Motility Procedures, 19 years and over",26,.,.,.,.,.,.,.,.,2,2,.,21,.,.,.,.,.,51
BZ72B,"Major Ocular Motility Procedures, between 4 and 18 years",45,.,.,.,.,.,.,.,.,10,.,.,65,.,.,.,.,.,120
BZ72C,"Major Ocular Motility Procedures, 3 years and under",2,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,5
BZ73A,"Intermediate Ocular Motility Procedures, 19 years and over",2,.,.,2,.,.,.,.,.,.,.,.,4,.,.,.,.,.,8
BZ73B,"Intermediate Ocular Motility Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,1,.,.,7,.,.,.,.,.,8
BZ74A,"Minor Ocular Motility Procedures, 19 years and over",2,.,.,.,.,.,.,.,.,3,2,.,7,.,.,.,.,.,14
BZ74B,"Minor Ocular Motility Procedures, 18 years and under",2,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,8
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,6
BZ81A,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,18
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,4,.,2,.,.,.,7
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",3,.,.,.,.,.,.,.,.,.,.,.,65,.,.,.,.,.,68
BZ84A,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",9,.,.,.,.,.,.,.,.,.,.,.,28,.,2,.,.,.,39
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",94,.,.,.,.,.,.,1,.,.,8,.,256,.,8,2,.,.,369
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,3
BZ86A,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",27,.,.,.,.,.,.,.,.,.,3,.,268,.,2,.,.,.,300
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",369,.,.,.,.,.,.,.,.,.,52,.,876,.,45,.,.,.,"1,342"
BZ86C,"Intermediate Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
BZ87A,"Minor Vitreous Retinal Procedures, 19 years and over",10,.,.,.,.,.,.,.,.,.,1,.,55,.,.,.,1,.,67
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",3,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,11
BZ87C,"Minor Vitreous Retinal Procedures, 3 years and under",.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,25
BZ88A,"Retinal Tomography, 19 years and over",10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10
BZ89A,"Digital Retinal Photography, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,7
BZ90Z,"Very Complex, Glaucoma or Iris Procedures",3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
BZ91A,"Complex, Glaucoma or Iris Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,.,3
BZ91B,"Complex, Glaucoma or Iris Procedures, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,31,.,25,.,.,.,.,.,57
BZ92A,"Very Major, Glaucoma or Iris Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,3
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",35,.,.,.,.,.,.,.,.,.,26,.,77,.,.,6,.,.,144
BZ93A,"Major, Glaucoma or Iris Procedures, with CC Score 2+",3,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,5
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",14,.,.,.,.,.,.,.,.,.,1,.,46,.,.,.,.,.,61
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",1,.,.,.,.,.,.,.,.,1,1,.,9,.,.,.,.,.,12
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",27,.,.,.,.,.,.,.,.,.,6,.,141,.,3,2,.,.,179
BZ95Z,"Minor, Glaucoma or Iris Procedures",53,.,.,.,.,.,.,.,.,.,1,.,104,.,2,.,.,.,160
CA03B,Major Neck Procedures with CC Score 0-1,.,2,.,.,1,2,.,.,.,.,.,.,5,.,.,.,.,.,10
CA04A,"Intermediate Neck Procedures, 19 years and over",.,.,.,.,.,1,.,.,.,.,.,.,1,.,.,.,.,.,2
CA04B,"Intermediate Neck Procedures, 18 years and under",.,2,.,.,.,2,.,.,.,.,.,.,3,.,.,.,3,.,10
CA05A,"Minor Neck Procedures, 19 years and over",8,9,.,.,10,18,10,10,1,1,28,7,44,8,.,3,16,.,173
CA05B,"Minor Neck Procedures, 18 years and under",1,.,.,.,1,7,.,.,.,.,.,.,2,1,.,.,2,.,14
CA10A,"Septorhinoplasty, 19 years and over",.,5,.,.,.,10,6,.,.,.,.,3,15,1,.,.,.,.,40
CA10B,"Septorhinoplasty, 18 years and under",.,.,.,.,.,1,.,1,.,.,.,.,.,.,.,.,2,.,4
CA11A,"Septoplasty, 19 years and over",.,24,.,.,13,60,37,15,.,6,.,31,104,33,.,54,.,.,377
CA11B,"Septoplasty, 18 years and under",.,1,.,.,.,7,5,2,.,.,.,1,3,5,.,2,3,.,29
CA12Z,Major Treatment of Epistaxis,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA13A,"Minor Treatment of Epistaxis, 19 years and over",.,2,.,.,.,1,.,.,.,1,.,.,2,.,.,.,.,.,6
CA13B,"Minor Treatment of Epistaxis, 18 years and under",3,3,.,.,2,5,.,.,.,.,.,.,16,1,.,.,3,.,33
CA14Z,Nasal Polypectomy,4,4,.,.,11,13,1,6,.,.,.,4,62,3,.,2,.,.,110
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",7,6,.,.,7,10,6,4,.,.,.,4,15,.,.,4,3,.,66
CA16Z,"Excision or Biopsy, of Lesion of External Nose",95,13,.,.,57,82,4,1,.,42,.,2,21,1,.,6,71,38,433
CA20Z,Complex Nose Procedures,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,1,.,3
CA21Z,Very Major Nose Procedures,.,1,.,.,.,7,.,.,.,2,.,1,4,.,.,.,5,.,20
CA22Z,Major Nose Procedures,1,13,.,.,14,9,9,5,.,.,.,7,20,4,.,5,310,.,397
CA23Z,Intermediate Nose Procedures,18,4,.,.,.,3,2,1,.,5,.,.,9,2,.,1,11,.,56
CA24A,"Minor Nose Procedures, 19 years and over",10,34,.,.,2,11,11,1,.,.,.,2,18,5,.,4,2,.,100
CA24B,"Minor Nose Procedures, 18 years and under",7,5,.,.,1,.,6,.,.,.,.,2,21,.,.,.,2,.,44
CA25A,"Minimal Nose Procedures, 19 years and over",5,21,.,.,3,3,.,3,.,.,.,2,21,3,.,1,.,.,62
CA25B,"Minimal Nose Procedures, 18 years and under",1,23,.,.,5,6,6,2,.,.,.,3,13,3,.,.,13,.,75
CA26Z,Complex Sinus Procedures,.,.,.,.,.,.,1,.,.,1,.,1,4,.,.,.,.,.,7
CA27Z,Major Sinus Procedures,.,1,.,.,.,1,12,1,.,13,.,.,8,.,.,.,.,.,36
CA28Z,Intermediate Sinus Procedures,.,16,.,.,.,18,4,1,.,6,.,5,12,.,.,.,.,.,62
CA29Z,Minor Sinus Procedures,1,5,.,.,1,2,5,.,.,.,.,2,10,.,.,.,.,.,26
CA30A,"Radical or Revisional, Mastoid Procedures, 19 years and over",.,1,.,.,.,2,.,.,.,1,.,.,1,.,.,.,.,.,5
CA30B,"Radical or Revisional, Mastoid Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
CA31Z,"Simple or Cortical, Mastoid Procedures",.,1,.,.,.,.,.,.,.,1,.,.,.,.,.,.,5,.,7
CA32A,"Tympanoplasty, 19 years and over",1,10,.,.,.,12,.,.,.,2,.,2,15,.,.,3,1,.,46
CA32B,"Tympanoplasty, 18 years and under",1,6,.,.,.,10,3,.,.,1,.,.,20,.,.,1,7,.,49
CA33Z,Pinnaplasty,1,2,.,.,.,4,1,.,.,1,.,.,43,2,.,2,4,.,60
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",70,17,.,.,59,59,11,5,.,31,4,11,32,3,.,41,53,33,429
CA34B,"Excision or Biopsy, of Lesion of External Ear, 18 years and under",3,2,.,.,2,1,4,.,.,.,.,6,4,3,.,1,3,.,29
CA35A,"Insertion of Grommets, 19 years and over",20,50,.,.,12,23,10,4,.,7,.,17,82,5,.,5,10,.,245
CA35B,"Insertion of Grommets, between 2 and 18 years",122,113,.,.,48,102,46,4,.,3,.,27,169,60,.,1,147,.,842
CA35C,"Insertion of Grommets, 1 year and under",5,6,.,.,3,25,5,.,.,.,.,.,36,.,.,.,21,.,101
CA36A,"Clearance of External Auditory Canal, 19 years and over",2,1,.,.,.,1,.,2,.,.,.,2,2,.,.,.,.,.,10
CA36B,"Clearance of External Auditory Canal, 18 years and under",10,2,.,.,3,14,3,.,.,.,.,2,19,1,.,.,12,.,66
CA38B,"Evoked Potential Recording, 18 years and under",4,9,.,.,5,1,.,.,.,.,.,.,.,.,.,.,10,.,29
CA39Z,Fixture for Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,12
CA40Z,Fitting of Bone Anchored Hearing Aids,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
CA42Z,Unilateral Cochlear Implant,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
CA51A,"Very Major Ear Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,2,.,3
CA51B,"Very Major Ear Procedures, 18 years and under",.,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,2,.,4
CA52A,"Major Ear Procedures, 19 years and over",2,.,.,.,3,1,1,.,.,.,.,4,6,.,.,.,15,.,32
CA52B,"Major Ear Procedures, 18 years and under",3,1,.,.,1,2,.,.,.,.,.,.,3,.,.,.,6,.,16
CA53A,"Intermediate Ear Procedures, 19 years and over",4,9,.,.,1,23,1,.,.,1,.,.,5,.,.,.,3,.,47
CA53B,"Intermediate Ear Procedures, 18 years and under",2,1,.,.,.,1,1,.,.,.,.,.,39,.,.,.,6,.,50
CA54A,"Minor Ear Procedures, 19 years and over",5,4,.,.,2,3,.,.,.,1,.,5,7,.,.,4,8,.,39
CA54B,"Minor Ear Procedures, 18 years and under",25,9,.,.,2,7,1,.,.,.,.,.,69,5,.,.,4,.,122
CA55A,"Minimal Ear Procedures, 19 years and over",1,6,.,.,4,4,1,.,.,1,.,2,1,.,.,.,3,.,23
CA55B,"Minimal Ear Procedures, 18 years and under",8,7,.,.,1,6,2,.,.,.,.,.,3,.,.,.,1,.,28
CA60A,"Tonsillectomy, 19 years and over",2,32,.,.,.,100,25,.,.,.,.,1,31,3,.,1,1,.,196
CA60B,"Tonsillectomy, 18 years and under",1,24,.,.,.,141,85,.,.,.,.,.,149,1,.,.,88,.,489
CA61Z,Adenotonsillectomy,.,8,.,.,.,70,96,.,.,.,.,.,63,.,.,.,50,.,287
CA62Z,Adenoidectomy,.,35,.,.,4,79,62,3,.,.,.,7,109,61,.,.,110,.,470
CA63Z,Tracheostomy,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2
CA64Z,Uvulopalatoplasty or Uvulopalatopharyngoplasty,.,.,.,.,.,1,.,.,.,4,.,.,2,1,.,.,.,.,8
CA65Z,Frenotomy or Frenectomy,25,33,.,.,32,27,4,2,.,.,.,4,56,8,1,.,33,.,225
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",500,13,.,.,19,32,4,62,.,18,1,4,84,1,.,.,31,4,773
CA66B,"Excision or Biopsy, of Lesion of Mouth, 18 years and under",17,1,.,.,.,3,2,4,.,1,.,.,20,1,.,.,8,.,57
