HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",436,376,538,.,376,291,515,.,370,.,359,.,384,.,567,.,361,390
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",457,402,520,478,394,314,515,.,370,.,379,.,427,440,555,498,361,417
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",459,389,561,469,392,330,515,.,370,.,360,.,403,.,539,498,364,403
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",446,392,482,500,486,332,515,.,392,.,354,.,388,.,526,498,370,409
AA27Z,Medical Care of Patients with Alzheimer's Disease,410,365,524,.,584,291,515,.,370,.,340,.,412,.,561,.,356,425
AA28D,Motor Neuron Disease with CC Score 5-7,416,.,.,.,.,291,.,.,.,.,.,.,.,.,.,.,.,385
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,.,.,376,.,.,.,.,.,.,.,422,.,.,.,.,411
AA28F,Motor Neuron Disease with CC Score 0-1,546,.,.,.,.,.,.,.,.,.,.,.,367,.,.,.,364,427
AA29C,Transient Ischaemic Attack with CC Score 11+,402,359,.,468,376,291,.,.,.,.,.,.,380,.,.,.,336,368
AA29D,Transient Ischaemic Attack with CC Score 8-10,446,371,.,474,376,291,515,.,.,.,344,.,500,.,585,.,351,437
AA29E,Transient Ischaemic Attack with CC Score 5-7,442,384,.,468,376,385,568,.,362,.,367,.,504,.,609,.,352,422
AA29F,Transient Ischaemic Attack with CC Score 0-4,436,376,472,469,419,331,515,.,370,.,351,.,479,.,612,.,344,406
AA30C,"Medical Care of Patients with Multiple Sclerosis, with CC Score 8+",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",446,.,.,468,.,.,.,.,370,.,.,.,.,.,.,.,.,432
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",446,.,.,468,376,.,.,.,.,.,.,.,369,.,.,.,364,384
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",446,394,.,.,376,322,.,.,.,.,.,.,388,.,585,.,364,399
AA31C,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 11+",446,398,.,.,376,.,.,.,.,.,.,.,505,.,.,.,364,414
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",439,394,515,468,376,.,.,.,370,.,338,.,423,.,514,498,356,402
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",448,405,585,499,459,361,515,.,370,378,340,.,401,.,533,498,382,416
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",402,.,.,.,.,.,.,.,.,.,473,.,525,.,.,.,.,512
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",745,.,.,.,.,.,.,.,.,.,.,.,871,.,.,.,.,860
AA35A,Stroke with CC Score 16+,.,359,.,.,.,.,.,.,.,.,.,.,394,440,.,.,364,378
AA35B,Stroke with CC Score 13-15,446,373,682,.,.,322,.,.,.,378,392,.,468,.,.,.,351,431
AA35C,Stroke with CC Score 10-12,.,372,.,.,376,.,515,.,.,378,328,.,518,.,555,.,350,438
AA35D,Stroke with CC Score 7-9,438,372,515,469,403,291,.,.,370,378,356,.,485,440,561,.,347,417
AA35E,Stroke with CC Score 4-6,435,377,.,469,378,354,.,.,370,.,349,.,484,440,634,.,353,412
AA35F,Stroke with CC Score 0-3,430,374,464,469,376,336,515,.,370,.,349,.,466,.,567,.,356,403
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,"7,513",.,.,.,.,"7,513"
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"7,049",.,.,.,.,"7,049"
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"6,857",.,.,.,.,"6,857"
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"7,435",.,.,.,.,"7,435"
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"12,810",.,.,.,.,"12,810"
AA52A,"Very Major Intracranial Procedures, 19 years and over, with CC Score 12+",.,.,.,.,.,.,.,.,.,.,.,.,"4,809",.,.,.,.,"4,809"
AA52B,"Very Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"3,353",.,.,.,.,"3,353"
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"4,226",.,.,.,.,"4,226"
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"4,167",.,.,.,.,"4,167"
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"6,925",.,.,.,.,"6,925"
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"6,051",.,.,.,.,"6,051"
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,"6,377",.,.,.,.,"6,377"
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,"5,301",.,.,.,.,"5,301"
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"4,577",.,.,.,.,"4,577"
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,"5,060",.,.,.,.,"5,060"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,547","1,547"
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,"8,550",.,.,.,.,"8,550"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,981","1,981"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"12,907",.,.,.,.,"12,907"
AA80Z,Complex Long Term EEG Monitoring,.,.,.,.,691,.,.,.,.,.,.,.,"1,010",.,.,.,.,745
AA81Z,Standard Long Term EEG Monitoring,.,.,"1,269",.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,269"
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",.,401,.,.,439,.,.,.,370,.,.,.,.,.,514,.,.,425
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",444,370,.,468,433,291,.,.,370,.,338,.,396,.,585,.,355,396
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",449,394,609,508,612,461,515,.,.,.,351,.,465,.,636,498,376,460
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,793",.,.,.,.,"1,793"
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,380",.,.,.,.,"1,380"
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"1,946",.,.,.,.,"1,946"
BZ33Z,"Minor, Cataract or Lens Procedures",769,.,.,.,.,.,.,.,.,.,.,.,477,.,.,.,.,574
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,097",.,.,.,.,.,.,.,.,.,959,.,"1,656",.,.,.,.,"1,477"
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,666","1,666"
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,426"
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,426",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,426"
BZ44C,"Major Oculoplastics Procedures, 18 years and under","1,709",.,.,.,.,.,.,.,.,.,.,.,.,.,"1,573",.,"1,587","1,623"
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+","1,097",.,.,.,"1,000",.,.,.,.,.,.,.,.,.,.,.,.,"1,049"
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1","1,291",367,.,.,.,.,.,.,.,.,.,.,"2,575",.,.,.,"1,194","1,626"
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years","1,709",367,.,.,.,.,.,.,.,.,.,.,854,.,.,.,.,977
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under","1,709",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,321","1,418"
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,778",.,.,.,.,"1,778"
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under","5,112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,112"
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"1,747",.,.,.,.,"1,747"
BZ54B,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"2,615",.,.,.,.,"2,615"
BZ60A,"Very Complex, Cornea or Sclera Procedures, with CC Score 2+",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446
BZ60B,"Very Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,092",.,.,.,.,"2,092"
BZ61B,"Complex, Cornea or Sclera Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,234",.,.,.,.,"2,234"
BZ62A,"Very Major, Cornea or Sclera Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"2,821",.,.,.,.,"2,821"
BZ62B,"Very Major, Cornea or Sclera Procedures, with CC Score 0","1,061",.,.,.,.,.,.,.,.,.,.,.,"3,177",.,.,.,.,"1,590"
BZ64A,"Intermediate, Cornea or Sclera Procedures, with CC Score 1+",988,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,988
BZ64B,"Intermediate, Cornea or Sclera Procedures, with CC Score 0","1,097",.,.,.,.,.,.,.,.,.,.,.,"1,974",.,.,.,.,"1,682"
BZ72A,"Major Ocular Motility Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,566",.,.,.,.,"1,566"
BZ80B,"Very Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,333",.,.,.,.,"1,333"
BZ81B,"Complex Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",659,.,.,.,.,.,.,.,.,.,.,.,"2,127",.,.,.,.,"2,005"
BZ82Z,"Very Complex or Complex, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"3,749",.,.,.,.,"3,749"
BZ83A,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,"2,138",.,.,.,.,"2,138"
BZ83B,"Very Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,742",.,.,.,.,"1,742"
BZ84B,"Major Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"2,199",.,.,.,.,"2,199"
BZ85Z,"Very Major or Major, Vitreous Retinal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"4,422",.,.,.,.,"4,422"
BZ86B,"Intermediate Vitreous Retinal Procedures, 19 years and over, with CC Score 0-1",659,.,.,.,.,.,.,.,.,.,.,.,"1,276",.,.,.,.,"1,139"
BZ87B,"Minor Vitreous Retinal Procedures, between 4 and 18 years",.,.,.,.,.,.,.,.,.,.,.,.,"2,385",.,.,.,.,"2,385"
BZ88A,"Retinal Tomography, 19 years and over","1,097",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,097"
BZ92B,"Very Major, Glaucoma or Iris Procedures, with CC Score 0-1",878,.,.,.,.,.,.,.,.,.,.,.,"1,773",.,.,.,.,"1,549"
BZ93B,"Major, Glaucoma or Iris Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,"1,431",.,.,.,.,"1,431"
BZ94A,"Intermediate, Glaucoma or Iris Procedures, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,.,.,"1,189",.,.,.,.,"1,189"
BZ94B,"Intermediate, Glaucoma or Iris Procedures, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,"1,117",.,.,.,.,"1,117"
CA03B,Major Neck Procedures with CC Score 0-1,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,464
CA05A,"Minor Neck Procedures, 19 years and over","3,892",401,.,634,.,.,.,.,.,.,"1,528",.,870,.,.,.,"1,446","1,435"
CA05B,"Minor Neck Procedures, 18 years and under","2,467",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,467"
CA10A,"Septorhinoplasty, 19 years and over",.,.,.,.,"2,870",.,.,.,.,.,.,.,.,.,.,.,.,"2,870"
CA11A,"Septoplasty, 19 years and over",.,.,.,.,"2,696",.,.,.,.,.,.,.,.,.,.,.,.,"2,696"
CA11B,"Septoplasty, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,"2,162",.,.,.,.,"2,162"
CA12Z,Major Treatment of Epistaxis,"1,810",464,.,.,"1,532",.,.,.,.,.,.,.,"2,282",.,.,.,.,"1,329"
CA13A,"Minor Treatment of Epistaxis, 19 years and over","1,674",546,.,.,792,.,.,.,.,.,.,.,"1,966",.,.,.,"1,603","1,208"
CA13B,"Minor Treatment of Epistaxis, 18 years and under","1,810",464,.,.,689,.,.,.,.,.,.,.,"1,659",.,.,.,.,"1,286"
CA15Z,"Excision or Biopsy, of Lesion of Internal Nose",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
CA16Z,"Excision or Biopsy, of Lesion of External Nose","2,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,126"
CA22Z,Major Nose Procedures,.,.,.,.,"2,550",.,.,.,.,.,.,.,.,.,.,.,"2,060","2,256"
CA23Z,Intermediate Nose Procedures,"2,126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,126"
CA24A,"Minor Nose Procedures, 19 years and over","2,427",464,.,.,931,.,.,.,.,.,.,.,"1,108",.,.,.,"1,272","1,134"
CA24B,"Minor Nose Procedures, 18 years and under","2,126",.,.,"1,047",.,.,.,.,.,.,.,.,.,.,.,.,"1,289","1,408"
CA25A,"Minimal Nose Procedures, 19 years and over","2,056",464,.,.,403,.,.,.,.,.,.,.,"1,035",.,.,.,.,"1,477"
CA25B,"Minimal Nose Procedures, 18 years and under","1,913",671,.,.,813,.,.,.,.,.,.,.,"1,056",.,.,.,.,"1,085"
CA28Z,Intermediate Sinus Procedures,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,464
CA29Z,Minor Sinus Procedures,.,464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,577","1,021"
CA31Z,"Simple or Cortical, Mastoid Procedures",.,.,.,.,.,.,.,.,.,.,.,.,"3,692",.,.,.,.,"3,692"
CA32B,"Tympanoplasty, 18 years and under",.,"18,850",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"18,850"
CA34A,"Excision or Biopsy, of Lesion of External Ear, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,272","1,272"
CA35A,"Insertion of Grommets, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,093",.,.,.,.,"1,093"
CA36A,"Clearance of External Auditory Canal, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,"1,312",.,.,.,.,"1,312"
CA36B,"Clearance of External Auditory Canal, 18 years and under","1,810",967,.,.,779,.,.,.,.,.,.,.,.,.,.,.,.,"1,111"
CA52B,"Major Ear Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,611","2,611"
CA53A,"Intermediate Ear Procedures, 19 years and over",.,.,.,.,"1,280",.,.,.,.,.,.,.,.,.,.,.,.,"1,280"
CA54A,"Minor Ear Procedures, 19 years and over",.,432,.,.,"1,067",.,.,.,.,.,.,.,"1,231",.,.,.,"1,479","1,187"
CA54B,"Minor Ear Procedures, 18 years and under","1,810","1,011",.,.,"1,067",.,.,.,.,.,.,.,.,.,.,.,"1,628","1,557"
CA60A,"Tonsillectomy, 19 years and over","1,128",.,.,.,"1,232",.,.,.,.,.,.,.,"1,437",.,.,.,.,"1,277"
CA60B,"Tonsillectomy, 18 years and under",745,511,.,.,"1,232",.,.,.,.,.,.,.,.,.,.,.,.,956
CA61Z,Adenotonsillectomy,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,446","1,446"
CA62Z,Adenoidectomy,.,.,.,.,757,.,.,.,.,.,.,.,"1,215",.,.,.,.,986
CA63Z,Tracheostomy,.,.,935,.,.,.,.,.,.,.,.,.,"2,224",.,.,.,.,"1,708"
CA65Z,Frenotomy or Frenectomy,"2,126",558,.,.,.,.,.,.,.,.,.,.,.,.,.,.,672,"1,552"
CA66A,"Excision or Biopsy, of Lesion of Mouth, 19 years and over",.,.,.,.,"1,455",.,.,.,.,.,.,.,.,.,.,.,"1,194","1,324"
CA68A,"Therapeutic Endoscopic, Larynx or Pharynx Procedures, 19 years and over",.,"1,011",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,011"
CA69A,"Diagnostic, Laryngoscopy or Pharyngoscopy, 19 years and over","1,456",486,.,.,798,.,.,.,.,.,623,.,"1,040",.,.,.,.,850
CA69B,"Diagnostic, Laryngoscopy or Pharyngoscopy, between 2 and 18 years",.,.,.,.,"1,009",.,.,.,.,.,.,.,.,.,.,.,"1,358","1,125"
CA69C,"Diagnostic, Laryngoscopy or Pharyngoscopy, 1 year and under",.,.,.,.,902,.,.,.,.,.,.,.,"1,523",.,.,.,.,"1,213"
CA70Z,Diagnostic Examination of Upper Respiratory Tract and Upper Gastrointestinal Tract,.,.,.,.,.,.,.,.,.,.,.,.,"1,114",.,.,.,.,"1,114"
CA71A,"Diagnostic Nasopharyngoscopy, 19 years and over","1,810",464,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,362"
CA81C,"Complex, Mouth or Throat Procedures, between 2 and 18 years",.,.,.,.,834,.,.,.,.,.,.,.,.,.,.,.,.,834
CA82A,"Very Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+",.,464,.,.,.,"1,390",.,.,.,.,.,.,.,.,.,.,.,927
CA83A,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 2+","1,520",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,520"
CA83B,"Major, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1",.,464,.,.,"1,513",.,.,.,.,.,.,.,"2,159",.,.,.,"1,446","1,454"
CA83C,"Major, Mouth or Throat Procedures, 18 years and under","1,810","1,287",.,.,"2,243",.,.,.,.,.,.,.,"2,051",.,.,.,"1,446","1,971"
CA84B,"Intermediate, Mouth or Throat Procedures, 19 years and over, with CC Score 0-1","1,810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,810"
CA85A,"Minor, Mouth or Throat Procedures, 19 years and over","1,953",752,.,.,408,.,.,.,.,.,.,.,617,.,.,.,"1,398",954
CA85B,"Minor, Mouth or Throat Procedures, between 2 and 18 years","1,850",464,.,.,416,.,.,.,.,.,.,.,642,.,.,.,"1,458","1,025"
CA85C,"Minor, Mouth or Throat Procedures, 1 year and under",.,.,.,.,.,.,.,.,.,.,.,.,"1,265",.,.,.,.,"1,265"
CA86A,"Minimal, Mouth or Throat Procedures, 19 years and over","1,731",454,.,.,"1,000",.,.,.,"1,115",.,798,.,"1,893",.,.,.,"1,522","1,464"
CA86B,"Minimal, Mouth or Throat Procedures, between 2 and 18 years","2,111",752,.,.,931,.,.,.,.,.,.,.,.,.,.,.,"1,459","1,609"
CA86C,"Minimal, Mouth or Throat Procedures, 1 year and under","1,849",.,.,.,.,.,.,.,.,.,.,.,"1,579",.,.,.,"1,461","1,545"
CA92A,Very Major Maxillofacial Procedures with CC Score 1+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,605","2,605"
CA93A,"Major Maxillofacial Procedures, 19 years and over, with CC Score 1+","5,872",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,872"
CA93B,"Major Maxillofacial Procedures, 19 years and over, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,052","2,052"
CA95Z,Minor Maxillofacial Procedures,"5,872",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,872"
CA96Z,"Reduction or Fixation, of Jaw","4,636",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,103","3,506"
CA97Z,"Reduction or Fixation, of Cheekbone","5,872",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,545","3,153"
CA98Z,Reduction of Fracture of Nasal Bone,"1,501",.,.,.,670,.,.,.,.,.,.,.,"1,164",.,.,.,"1,102","1,080"
CB01D,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 9+",.,.,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,376
CB01E,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5-8",446,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,395
CB01F,"Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 0-4",877,417,600,.,376,.,.,.,.,.,.,.,428,.,.,.,735,555
CB02A,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 5+",.,444,544,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,076",688
CB02B,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 1-4","1,713",444,.,.,921,.,.,.,929,.,355,.,.,.,.,.,"1,254","1,119"
CB02C,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, with Interventions, with CC Score 0","2,042",367,.,.,"1,247","2,009",.,.,.,.,.,.,"2,692",.,.,.,"1,217","1,599"
CB02D,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 5+",467,382,513,506,440,357,.,.,401,.,341,.,387,440,550,498,362,400
CB02E,"Non-Malignant, Ear, Nose, Mouth, Throat or Neck Disorders, without Interventions, with CC Score 1-4",464,390,522,508,556,355,586,.,370,378,295,.,387,440,598,498,386,421
