Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
AUCKLAND,HOWICK LOCAL BOARD,PAKURANGA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,9,3,"9,828","3,667",,,,,,,,,4,44.40%,2,66.70%,"29,473",10,0.03%,"29,483",,,"29,473",10,"29,483","10,995",37.30%,7,70.00%,"11,002",37.30%,55,0.50%,,,55,0.50%,44,80.00%,,,44,80.00%,14,0.10%,405,3.70%,419,3.80%,3,33.30%,1,33.30%,
AUCKLAND,KAIPATIKI LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,,23,2.88,"7,379","2,523",,,,,,,,,7,30.40%,6,75.00%,"58,986",45,0.08%,"59,031","89,300",66.10%,"58,986",45,"59,031","20,144",34.20%,37,82.20%,"20,181",34.20%,187,0.90%,,,187,0.90%,147,78.60%,0,,147,78.60%,145,0.70%,843,4.20%,988,4.90%,7,30.40%,4,50.00%,
AUCKLAND,MANGERE-OTAHUHU LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,,14,2,"6,775","2,070",,,,,,,,,5,35.70%,5,71.40%,"47,393",31,0.07%,"47,424","82,200",57.70%,"47,393",31,"47,424","14,463",30.50%,25,80.60%,"14,488",30.50%,104,0.70%,1,4.00%,105,0.70%,54,51.90%,1,100.00%,55,52.40%,35,0.20%,481,3.30%,516,3.60%,4,28.60%,3,42.90%,
AUCKLAND,MANUREWA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,,19,2.38,"6,673","1,998",,,,,,,,,5,26.30%,4,50.00%,"53,359",23,0.04%,"53,382",,,"53,359",23,"53,382","15,965",29.90%,21,91.30%,"15,986",29.90%,131,0.80%,2,9.50%,133,0.80%,96,73.30%,1,50.00%,97,72.90%,71,0.40%,528,3.30%,599,3.70%,8,42.10%,2,25.00%,
AUCKLAND,MAUNGAKIEKIE-TAMAKI LOCAL BOARD,MAUNGAKIEKIE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,3,3,3,1,"6,577",,,,,,,,,,3,100.00%,3,100.00%,"19,668",64,0.32%,"19,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.30%,1,33.30%,
AUCKLAND,MAUNGAKIEKIE-TAMAKI LOCAL BOARD,TAMAKI,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,8,2,"7,142","2,374",,,,,,,,,3,37.50%,3,75.00%,"28,537",31,0.11%,"28,568",,,"28,537",31,"28,568","9,473",33.20%,23,74.20%,"9,496",33.20%,72,0.80%,2,8.70%,74,0.80%,57,79.20%,,,57,77.00%,14,0.10%,662,7.00%,676,7.10%,4,50.00%,1,25.00%,
AUCKLAND,ORAKEI LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,,11,1.57,"8,805","3,644",,,,,,,,,7,63.60%,7,100.00%,"61,561",76,0.12%,"61,637","86,000",71.70%,"61,561",76,"61,637","25,449",41.30%,62,81.60%,"25,511",41.40%,220,0.90%,1,1.60%,221,0.90%,185,84.10%,1,100.00%,186,84.20%,30,0.10%,"2,124",8.30%,"2,154",8.40%,4,36.40%,2,28.60%,
AUCKLAND,OTARA-PAPATOETOE LOCAL BOARD,OTARA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,10,3.33,"6,966","2,020",,,,,,,,,2,20.00%,1,33.30%,"20,887",10,0.05%,"20,897",,,"20,887",10,"20,897","6,052",29.00%,7,70.00%,"6,059",29.00%,58,1.00%,,,58,1.00%,17,29.30%,,,17,29.30%,18,0.30%,160,2.60%,178,2.90%,5,50.00%,2,66.70%,
AUCKLAND,OTARA-PAPATOETOE LOCAL BOARD,PAPATOETOE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,10,2.5,"7,361","2,358",,,,,,,,,3,30.00%,3,75.00%,"29,425",20,0.07%,"29,445",,,"29,425",20,"29,445","9,418",32.00%,15,75.00%,"9,433",32.00%,87,0.90%,1,6.70%,88,0.90%,63,72.40%,,,63,71.60%,31,0.30%,231,2.40%,262,2.80%,2,20.00%,1,25.00%,
AUCKLAND,PAPAKURA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,15,2.5,"5,108","1,741",,,,,,,,,5,33.30%,3,50.00%,"30,622",27,0.09%,"30,649","48,600",63.10%,"30,622",27,"30,649","10,421",34.00%,24,88.90%,"10,445",34.10%,64,0.60%,6,25.00%,70,0.70%,31,48.40%,2,33.30%,33,47.10%,60,0.60%,307,2.90%,367,3.50%,6,40.00%,1,16.70%,
AUCKLAND,PUKETAPAPA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,16,2.67,"6,603","2,290",,,,,,,,,6,37.50%,4,66.70%,"39,597",23,0.06%,"39,620","59,000",67.20%,"39,597",23,"39,620","13,719",34.60%,18,78.30%,"13,737",34.70%,134,1.00%,,,134,1.00%,88,65.70%,,,88,65.70%,55,0.40%,650,4.70%,705,5.10%,2,12.50%,2,33.30%,
AUCKLAND,RODNEY LOCAL BOARD,DAIRY FLAT,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,3,3,"4,719","1,650",,,,,,,,,1,33.30%,1,100.00%,"4,717",2,0.04%,"4,719",,,"4,717",2,"4,719","1,649",35.00%,1,50.00%,"1,650",35.00%,8,0.50%,,,8,0.50%,8,100.00%,,,8,100.00%,,,118,7.20%,118,7.20%,0,,,,
AUCKLAND,RODNEY LOCAL BOARD,KUMEU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,9,2.25,"4,361","1,573",,,,,,,,,4,44.40%,3,75.00%,"17,423",22,0.13%,"17,445",,,"17,423",22,"17,445","6,273",36.00%,20,90.90%,"6,293",36.10%,44,0.70%,,,44,0.70%,39,88.60%,,,39,88.60%,8,0.10%,242,3.80%,250,4.00%,3,33.30%,1,25.00%,
AUCKLAND,RODNEY LOCAL BOARD,WARKWORTH,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,10,3.33,"4,444","2,040",,,,,,,,,2,20.00%,1,33.30%,"13,126",206,1.55%,"13,332",,,"13,126",206,"13,332","5,950",45.30%,169,82.00%,"6,119",45.90%,47,0.80%,3,1.80%,50,0.80%,34,72.30%,1,33.30%,35,70.00%,13,0.20%,168,2.70%,181,3.00%,3,30.00%,1,33.30%,
AUCKLAND,RODNEY LOCAL BOARD,WELLSFORD,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,4,4,"3,740","1,423",,,,,,,,,,,,,"3,733",7,0.19%,"3,740",,,"3,733",7,"3,740","1,416",37.90%,7,100.00%,"1,423",38.00%,9,0.60%,1,14.30%,10,0.70%,7,77.80%,,,7,70.00%,4,0.30%,57,4.00%,61,4.30%,0,,,,
AUCKLAND,UPPER HARBOUR LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,9,1.5,"6,155","1,991",,,,,,,,,6,66.70%,6,100.00%,"36,895",32,0.09%,"36,927","54,300",68.00%,"36,895",32,"36,927","11,915",32.30%,28,87.50%,"11,943",32.30%,136,1.10%,,,136,1.10%,113,83.10%,,,113,83.10%,15,0.10%,620,5.20%,635,5.30%,4,44.40%,3,50.00%,
AUCKLAND,WAIHEKE LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,5,,12,2.4,"1,271",772,,,,,,,,,3,25.00%,,,"6,187",169,2.66%,"6,356","8,930",71.20%,"6,187",169,"6,356","3,708",59.90%,150,88.80%,"3,858",60.70%,92,2.50%,10,6.70%,102,2.60%,58,63.00%,5,50.00%,63,61.80%,6,0.20%,36,0.90%,42,1.10%,6,50.00%,3,60.00%,
AUCKLAND,WAITAKERE RANGES LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,18,3,"5,733","2,113",,,,,,,,,6,33.30%,3,50.00%,"34,325",70,0.20%,"34,395","52,200",65.90%,"34,325",70,"34,395","12,616",36.80%,60,85.70%,"12,676",36.90%,141,1.10%,2,3.30%,143,1.10%,115,81.60%,1,50.00%,116,81.10%,81,0.60%,453,3.60%,534,4.20%,8,44.40%,3,50.00%,
AUCKLAND,WAITEMATA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,,20,2.86,"6,704","2,348",,,,,,,,,6,30.00%,5,71.40%,"46,735",196,0.42%,"46,931","73,900",63.50%,"46,735",196,"46,931","16,278",34.80%,161,82.10%,"16,439",35.00%,315,1.90%,10,6.20%,325,2.00%,239,75.90%,3,30.00%,242,74.50%,63,0.40%,"1,104",6.70%,"1,167",7.10%,6,30.00%,2,28.60%,
AUCKLAND,WHAU LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,7,,32,4.57,"7,389","2,514",,,,,,,,,7,21.90%,3,42.90%,"51,675",51,0.10%,"51,726","80,300",64.40%,"51,675",51,"51,726","17,559",34.00%,42,82.40%,"17,601",34.00%,162,0.90%,,,162,0.90%,120,74.10%,,,120,74.10%,172,1.00%,623,3.50%,795,4.50%,13,40.60%,4,57.10%,
AUCKLAND,AUCKLAND COUNCIL,ALBANY,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,8,4,"52,198","18,944",1,12.50%,,,1,50.00%,1,,3,37.50%,1,50.00%,"104,366",29,0.03%,"104,395","143,499",72.70%,"104,366",29,"104,395","37,860",36.30%,27,93.10%,"37,887",36.30%,324,0.90%,2,7.40%,326,0.90%,266,82.10%,2,100.00%,268,82.20%,68,0.20%,"2,647",7.00%,"2,715",7.20%,4,50.00%,0,,
AUCKLAND,AUCKLAND COUNCIL,ALBERT-EDEN-ROSKILL,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,6,3,"53,322","18,754",1,16.70%,,,1,50.00%,1,,2,33.30%,,,"106,605",38,0.04%,"106,643","147,633",72.20%,"106,605",38,"106,643","37,477",35.20%,31,81.60%,"37,508",35.20%,432,1.20%,2,6.50%,434,1.20%,330,76.40%,1,50.00%,331,76.30%,35,0.10%,"1,902",5.10%,"1,937",5.20%,3,50.00%,2,100.00%,
AUCKLAND,AUCKLAND COUNCIL,FRANKLIN,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,3,3,"46,059","17,043",0,0.00%,,,0,0.00%,0,,1,33.30%,1,100.00%,"46,033",26,0.06%,"46,059","65,319",70.50%,"46,033",26,"46,059","17,018",37.00%,25,96.20%,"17,043",37.00%,87,0.50%,2,8.00%,89,0.50%,57,65.50%,1,50.00%,58,65.20%,20,0.10%,823,4.80%,843,4.90%,2,66.70%,0,,
AUCKLAND,AUCKLAND COUNCIL,HOWICK,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,2,2,2,1,"46,582",,1,50.00%,,,1,50.00%,1,,,,,,"93,150",13,0.01%,"93,163","127,125",73.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,
AUCKLAND,AUCKLAND COUNCIL,MANUKAU,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,7,3.5,"48,859","14,971",2,28.60%,,,2,100.00%,2,,1,14.30%,,,"97,705",13,0.01%,"97,718","146,619",66.60%,"97,705",13,"97,718","29,933",30.60%,9,69.20%,"29,942",30.60%,249,0.80%,,,249,0.80%,134,53.80%,,,134,53.80%,80,0.30%,"1,305",4.40%,"1,385",4.60%,0,,0,,
AUCKLAND,AUCKLAND COUNCIL,MANUREWA-PAPAKURA,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,6,3,"41,997","13,199",2,33.30%,,,2,100.00%,2,,1,16.70%,,,"83,981",13,0.02%,"83,994","127,878",65.70%,"83,981",13,"83,994","26,386",31.40%,12,92.30%,"26,398",31.40%,195,0.70%,1,8.30%,196,0.70%,127,65.10%,1,100.00%,128,65.30%,79,0.30%,708,2.70%,787,3.00%,1,16.70%,0,,
AUCKLAND,AUCKLAND COUNCIL,MAUNGAKIEKIE-TAMAKI,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,2,2,"48,222","17,066",1,50.00%,,,1,100.00%,1,,,,,,"48,205",17,0.04%,"48,222","70,005",68.90%,"48,205",17,"48,222","17,050",35.40%,16,94.10%,"17,066",35.40%,174,1.00%,1,6.30%,175,1.00%,136,78.20%,,,136,77.70%,18,0.10%,980,5.70%,998,5.80%,1,50.00%,1,100.00%,
AUCKLAND,AUCKLAND COUNCIL,NORTH SHORE,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,6,3,"50,514","18,781",2,33.30%,,,1,50.00%,1,,3,50.00%,1,50.00%,"100,999",29,0.03%,"101,028","137,964",73.20%,"100,999",29,"101,028","37,538",37.20%,24,82.80%,"37,562",37.20%,373,1.00%,2,8.30%,375,1.00%,310,83.10%,2,100.00%,312,83.20%,43,0.10%,"1,196",3.20%,"1,239",3.30%,1,16.70%,1,50.00%,
AUCKLAND,AUCKLAND COUNCIL,ORAKEI,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,1,1,1,1,"61,600",,1,100.00%,,,1,100.00%,1,,,,,,"61,561",39,0.06%,"61,600","79,539",77.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
AUCKLAND,AUCKLAND COUNCIL,RODNEY,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,2,2,"39,020","15,304",1,50.00%,,,1,100.00%,1,,,,,,"38,999",21,0.05%,"39,020","54,879",71.10%,"38,999",21,"39,020","15,288",39.20%,16,76.20%,"15,304",39.20%,108,0.70%,1,6.30%,109,0.70%,88,81.50%,,,88,80.70%,5,,"1,096",7.20%,"1,101",7.20%,1,50.00%,1,100.00%,
AUCKLAND,AUCKLAND COUNCIL,WAITAKERE,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,8,4,"53,379","17,971",1,12.50%,,,1,50.00%,1,,2,25.00%,,,"106,735",23,0.02%,"106,758","156,081",68.40%,"106,735",23,"106,758","35,922",33.70%,19,82.60%,"35,941",33.70%,356,1.00%,,,356,1.00%,267,75.00%,,,267,75.00%,71,0.20%,"1,285",3.60%,"1,356",3.80%,3,37.50%,2,100.00%,
AUCKLAND,AUCKLAND COUNCIL,WAITEMATA AND GULF,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,6,6,"53,732","20,568",1,16.70%,,,1,100.00%,1,,2,33.30%,,,"53,605",127,0.24%,"53,732","86,412",62.20%,"53,605",127,"53,732","20,466",38.20%,102,80.30%,"20,568",38.30%,427,2.10%,7,6.90%,434,2.10%,311,72.80%,3,42.90%,314,72.40%,24,0.10%,"1,554",7.60%,"1,578",7.70%,1,16.70%,0,,
AUCKLAND,AUCKLAND COUNCIL,WHAU,CC,FPP,n,Auckland,Metro,City,l,Y,1.00 pm,13th October 2.30 am,Alphabetical,N/A,N/A,"995,206","12,337","2,152",Contested,1,,3,3,"51,690","17,571",,,,,,,,,1,33.30%,,,"51,675",15,0.03%,"51,690","72,597",71.20%,"51,675",15,"51,690","17,559",34.00%,12,80.00%,"17,571",34.00%,162,0.90%,,,162,0.90%,120,74.10%,,,120,74.10%,30,0.20%,"1,295",7.40%,"1,325",7.50%,1,33.30%,0,,
AUCKLAND,BIRKENHEAD LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,7,1.17,"3,540","1,272",,,,,,,,,4,57.10%,3,50.00%,"21,242",,,"21,242",,,"21,242",,"21,242","7,630",35.90%,,,"7,630",35.90%,68,0.90%,,,68,0.90%,50,73.50%,,,50,73.50%,1,0.00%,869,11.40%,870,11.40%,2,28.60%,2,33.30%,
